Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1996.3333,0.03,-0.2,0.4,-0.43
1996.4167,0.03,-0.2,0.4,-0.44
1996.5,-0.04,-0.2,0.4,-0.44
1996.5833,-0.04,-0.2,0.39,-0.44
1996.6667,-0.04,-0.2,0.39,-0.45
1996.75,-0.04,-0.2,0.39,-0.45
1996.8333,-0.04,-0.2,0.38,-0.45
1996.9167,-0.04,-0.2,0.38,-0.46
1997,-0.08,-0.2,0.37,-0.46
1997.0833,-0.08,-0.2,0.37,-0.47
1997.1667,-0.08,-0.2,0.36,-0.47
1997.25,-0.08,-0.2,0.36,-0.47
1997.3333,-0.08,-0.2,0.35,-0.48
1997.4167,-0.08,-0.2,0.34,-0.48
1997.5,-0.08,-0.2,0.34,-0.48
1997.5833,-0.08,-0.2,0.33,-0.49
1997.6667,-0.08,-0.2,0.32,-0.49
1997.75,-0.08,-0.2,0.32,-0.49
1997.8333,-0.08,-0.2,0.31,-0.5
1997.9167,-0.08,-0.2,0.3,-0.5
1998,-0.06,-0.2,0.3,-0.5
1998.0833,-0.06,-0.2,0.29,-0.51
1998.1667,-0.06,-0.2,0.29,-0.51
1998.25,-0.06,-0.2,0.28,-0.51
1998.3333,-0.06,-0.2,0.28,-0.52
1998.4167,-0.06,-0.2,0.27,-0.52
1998.5,-0.06,-0.2,0.27,-0.52
1998.5833,-0.06,-0.2,0.27,-0.53
1998.6667,-0.06,-0.2,0.26,-0.53
1998.75,-0.06,-0.2,0.26,-0.53
1998.8333,-0.06,-0.2,0.25,-0.53
1998.9167,-0.06,-0.2,0.25,-0.54
1999,-0.04,-0.2,0.24,-0.54
1999.0833,-0.04,-0.2,0.24,-0.54
1999.1667,-0.04,-0.2,0.23,-0.55
1999.25,-0.04,-0.2,0.23,-0.55
1999.3333,-0.04,-0.2,0.23,-0.55
1999.4167,-0.04,-0.2,0.22,-0.56
1999.5,-0.04,-0.2,0.22,-0.56
1999.5833,-0.04,-0.2,0.22,-0.56
1999.6667,-0.04,-0.2,0.21,-0.57
1999.75,-0.04,-0.2,0.21,-0.57
1999.8333,-0.04,-0.2,0.2,-0.57
1999.9167,-0.04,-0.2,0.2,-0.57
2000,-0.04,-0.2,0.2,-0.58
2000.0833,-0.04,-0.2,0.19,-0.58
2000.1667,-0.04,-0.2,0.19,-0.58
2000.25,-0.04,-0.2,0.19,-0.59
2000.3333,-0.04,-0.2,0.18,-0.59
2000.4167,-0.04,-0.2,0.18,-0.59
2000.5,-0.04,-0.2,0.18,-0.59
2000.5833,-0.04,-0.2,0.17,-0.6
2000.6667,-0.04,-0.2,0.17,-0.6
2000.75,-0.04,-0.2,0.17,-0.6
2000.8333,-0.04,-0.2,0.16,-0.6
2000.9167,-0.04,-0.2,0.16,-0.61
2001,-0.06,-0.2,0.15,-0.61
2001.0833,-0.06,-0.2,0.15,-0.61
2001.1667,-0.06,-0.2,0.14,-0.61
2001.25,-0.06,-0.2,0.14,-0.62
2001.3333,-0.06,-0.2,0.13,-0.62
2001.4167,-0.06,-0.2,0.13,-0.62
2001.5,-0.06,-0.2,0.12,-0.63
2001.5833,-0.06,-0.2,0.12,-0.63
2001.6667,-0.06,-0.2,0.11,-0.63
2001.75,-0.06,-0.2,0.11,-0.63
2001.8333,-0.06,-0.2,0.1,-0.64
2001.9167,-0.06,-0.2,0.1,-0.64
2002,-0.07,-0.2,0.09,-0.64
2002.0833,-0.07,-0.2,0.08,-0.64
2002.1667,-0.07,-0.2,0.08,-0.65
2002.25,-0.07,-0.2,0.07,-0.65
2002.3333,-0.07,-0.2,0.06,-0.65
2002.4167,-0.07,-0.2,0.06,-0.65
2002.5,-0.07,-0.2,0.05,-0.66
2002.5833,-0.09,-0.19,0.05,-0.66
2002.6667,-0.09,-0.19,0.04,-0.66
2002.75,-0.09,-0.19,0.03,-0.66
2002.8333,-0.09,-0.19,0.02,-0.66
2002.9167,-0.09,-0.19,0.02,-0.67
2003,-0.04,-0.22,0.01,-0.67
2003.0833,-0.03,-0.22,0.01,-0.67
2003.1667,-0.03,-0.22,0.01,-0.68
2003.25,-0.03,-0.22,0.01,-0.68
2003.3333,-0.03,-0.22,0,-0.68
2003.4167,-0.04,-0.22,0,-0.69
2003.5,-0.03,-0.22,0,-0.69
2003.5833,-0.02,-0.22,0,-0.69
2003.6667,-0.02,-0.22,-0.01,-0.69
2003.75,-0.05,-0.22,-0.01,-0.7
2003.8333,-0.05,-0.22,-0.01,-0.7
2003.9167,-0.05,-0.21,-0.02,-0.7
2004,-0.05,-0.22,-0.02,-0.71
2004.0833,-0.06,-0.22,-0.03,-0.71
2004.1667,-0.06,-0.22,-0.03,-0.71
2004.25,-0.06,-0.22,-0.04,-0.71
2004.3333,-0.06,-0.22,-0.04,-0.72
2004.4167,-0.07,-0.22,-0.05,-0.72
2004.5,-0.07,-0.22,-0.05,-0.72
2004.5833,-0.06,-0.22,-0.06,-0.72
2004.6667,-0.06,-0.22,-0.06,-0.73
2004.75,-0.06,-0.22,-0.07,-0.73
2004.8333,-0.07,-0.22,-0.07,-0.73
2004.9167,-0.07,-0.22,-0.08,-0.74
2005,-0.07,-0.22,-0.08,-0.74
2005.0833,-0.07,-0.21,-0.09,-0.74
2005.1667,-0.07,-0.21,-0.1,-0.74
2005.25,-0.08,-0.21,-0.1,-0.75
2005.3333,-0.08,-0.21,-0.11,-0.75
2005.4167,-0.08,-0.21,-0.12,-0.75
2005.5,-0.08,-0.21,-0.12,-0.75
2005.5833,-0.08,-0.21,-0.13,-0.76
2005.6667,-0.07,-0.21,-0.14,-0.76
2005.75,-0.07,-0.21,-0.14,-0.76
2005.8333,-0.07,-0.21,-0.15,-0.76
2005.9167,-0.07,-0.21,-0.15,-0.77
2006,-0.05,-0.22,-0.16,-0.77
2006.0833,-0.05,-0.21,-0.16,-0.77
2006.1667,-0.05,-0.21,-0.17,-0.77
2006.25,-0.05,-0.21,-0.17,-0.78
2006.3333,-0.05,-0.22,-0.18,-0.78
2006.4167,-0.05,-0.21,-0.18,-0.78
2006.5,-0.05,-0.21,-0.18,-0.78
2006.5833,-0.04,-0.22,-0.19,-0.78
2006.6667,-0.03,-0.21,-0.19,-0.79
2006.75,-0.03,-0.21,-0.19,-0.79
2006.8333,-0.02,-0.21,-0.19,-0.79
2006.9167,-0.02,-0.21,-0.2,-0.79
2007,-0.02,-0.21,-0.2,-0.8
2007.0833,-0.02,-0.21,-0.2,-0.8
2007.1667,-0.01,-0.21,-0.2,-0.8
2007.25,-0.01,-0.21,-0.2,-0.8
2007.3333,-0.01,-0.21,-0.2,-0.81
2007.4167,-0.01,-0.21,-0.2,-0.81
2007.5,-0.01,-0.21,-0.2,-0.81
2007.5833,-0.01,-0.21,-0.2,-0.81
2007.6667,-0.01,-0.21,-0.21,-0.82
2007.75,-0.01,-0.21,-0.21,-0.82
2007.8333,-0.02,-0.21,-0.21,-0.82
2007.9167,-0.02,-0.22,-0.21,-0.82
2008,-0.04,-0.22,-0.21,-0.82
2008.0833,-0.04,-0.23,-0.22,-0.83
2008.1667,-0.05,-0.24,-0.22,-0.83
2008.25,-0.06,-0.24,-0.23,-0.83
2008.3333,-0.06,-0.24,-0.23,-0.84
2008.4167,-0.07,-0.25,-0.24,-0.84
2008.5,-0.07,-0.24,-0.24,-0.84
2008.5833,-0.07,-0.25,-0.25,-0.85
2008.6667,-0.07,-0.25,-0.25,-0.85
2008.75,-0.08,-0.25,-0.26,-0.85
2008.8333,-0.06,-0.24,-0.27,-0.85
2008.9167,-0.07,-0.24,-0.27,-0.86
2009,-0.11,-0.23,-0.28,-0.86
2009.0833,-0.11,-0.24,-0.29,-0.86
2009.1667,-0.11,-0.24,-0.3,-0.86
2009.25,-0.11,-0.23,-0.31,-0.87
2009.3333,-0.11,-0.23,-0.32,-0.87
2009.4167,-0.11,-0.23,-0.33,-0.87
2009.5,-0.11,-0.23,-0.34,-0.87
2009.5833,-0.11,-0.23,-0.34,-0.88
2009.6667,-0.11,-0.23,-0.35,-0.88
2009.75,-0.11,-0.23,-0.36,-0.88
2009.8333,-0.1,-0.23,-0.37,-0.88
2009.9167,-0.1,-0.23,-0.38,-0.89
2010,-0.08,-0.23,-0.39,-0.89
2010.0833,-0.08,-0.23,-0.39,-0.89
2010.1667,-0.08,-0.23,-0.4,-0.89
2010.25,-0.08,-0.23,-0.41,-0.9
2010.3333,-0.08,-0.23,-0.41,-0.9
2010.4167,-0.08,-0.23,-0.42,-0.9
2010.5,-0.08,-0.23,-0.43,-0.9
2010.5833,-0.06,-0.22,-0.43,-0.91
2010.6667,-0.06,-0.22,-0.44,-0.91
2010.75,-0.06,-0.22,-0.44,-0.91
2010.8333,-0.06,-0.22,-0.44,-0.91
2010.9167,-0.05,-0.22,-0.45,-0.92
2011,0,-0.22,-0.45,-0.92
2011.0833,0,-0.22,-0.45,-0.92
2011.1667,0,-0.22,-0.45,-0.92
2011.25,-0.01,-0.22,-0.45,-0.92
2011.3333,-0.01,-0.22,-0.45,-0.93
2011.4167,-0.01,-0.22,-0.45,-0.93
2011.5,-0.02,-0.23,-0.45,-0.93
2011.5833,-0.01,-0.22,-0.45,-0.93
2011.6667,-0.01,-0.22,-0.45,-0.94
2011.75,-0.02,-0.22,-0.46,-0.94
2011.8333,-0.02,-0.23,-0.46,-0.94
2011.9167,-0.02,-0.23,-0.46,-0.94
2012,-0.03,-0.25,-0.46,-0.94
2012.0833,-0.02,-0.24,-0.46,-0.95
2012.1667,-0.02,-0.24,-0.47,-0.95
2012.25,-0.02,-0.23,-0.47,-0.95
2012.3333,-0.01,-0.23,-0.47,-0.95
2012.4167,0,-0.21,-0.47,-0.96
2012.5,0,-0.21,-0.47,-0.96
2012.5833,0.01,-0.21,-0.47,-0.96
2012.6667,0.01,-0.21,-0.47,-0.96
2012.75,0.01,-0.21,-0.47,-0.96
2012.8333,0.01,-0.21,-0.46,-0.97
2012.9167,0.01,-0.2,-0.46,-0.97
2013,0.04,-0.21,-0.46,-0.97
2013.0833,0.04,-0.21,-0.46,-0.97
2013.1667,0.05,-0.21,-0.45,-0.97
2013.25,0.05,-0.21,-0.45,-0.98
2013.3333,0.05,-0.21,-0.44,-0.98
2013.4167,0.05,-0.21,-0.44,-0.98
2013.5,0.05,-0.21,-0.44,-0.98
2013.5833,0.05,-0.21,-0.43,-0.98
2013.6667,0.06,-0.22,-0.43,-0.98
2013.75,0.06,-0.22,-0.42,-0.99
2013.8333,0.07,-0.22,-0.42,-0.99
2013.9167,0.07,-0.22,-0.41,-0.99
2014,0.12,-0.21,-0.4,-0.99
2014.0833,0.13,-0.2,-0.39,-0.99
2014.1667,0.13,-0.2,-0.38,-1
2014.25,0.13,-0.21,-0.37,-1
2014.3333,0.13,-0.21,-0.36,-1
2014.4167,0.13,-0.21,-0.35,-1
2014.5,0.13,-0.21,-0.34,-1
2014.5833,0.13,-0.21,-0.32,-1
2014.6667,0.14,-0.2,-0.31,-1.01
2014.75,0.14,-0.2,-0.3,-1.01
2014.8333,0.14,-0.2,-0.29,-1.01
2014.9167,0.14,-0.2,-0.28,-1.01
2015,0.07,-0.2,-0.27,-1.01
2015.0833,0.06,-0.21,-0.27,-1.02
2015.1667,0.06,-0.22,-0.26,-1.02
2015.25,0.06,-0.22,-0.26,-1.02
2015.3333,0.06,-0.22,-0.25,-1.02
2015.4167,0.05,-0.22,-0.25,-1.02
2015.5,0.05,-0.22,-0.24,-1.03
2015.5833,0.05,-0.23,-0.24,-1.03
2015.6667,0.05,-0.23,-0.24,-1.03
2015.75,0.05,-0.24,-0.23,-1.03
2015.8333,0.05,-0.24,-0.23,-1.03
2015.9167,0.04,-0.24,-0.22,-1.04
2016,-0.05,-0.24,-0.23,-1.04
2016.0833,-0.05,-0.23,-0.23,-1.04
2016.1667,-0.05,-0.23,-0.23,-1.04
2016.25,-0.05,-0.23,-0.24,-1.04
2016.3333,-0.05,-0.23,-0.24,-1.05
2016.4167,-0.06,-0.23,-0.25,-1.05
2016.5,-0.06,-0.23,-0.25,-1.05
2016.5833,-0.06,-0.24,-0.26,-1.05
2016.6667,-0.06,-0.24,-0.26,-1.06
2016.75,-0.05,-0.24,-0.27,-1.06
2016.8333,-0.06,-0.24,-0.27,-1.06
2016.9167,-0.06,-0.24,-0.28,-1.06
2017,-0.08,-0.24,-0.28,-1.06
2017.0833,-0.09,-0.24,-0.29,-1.07
2017.1667,-0.09,-0.25,-0.3,-1.07
2017.25,-0.1,-0.24,-0.31,-1.07
2017.3333,-0.17,-0.25,-0.32,-1.07
2017.4167,-0.17,-0.24,-0.34,-1.08
2017.5,-0.17,-0.25,-0.35,-1.08
2017.5833,-0.16,-0.25,-0.36,-1.08
2017.6667,-0.16,-0.25,-0.38,-1.08
2017.75,-0.16,-0.25,-0.39,-1.09
2017.8333,-0.16,-0.25,-0.4,-1.09
2017.9167,-0.16,-0.25,-0.42,-1.09
2018,0.01,-0.26,-0.42,-1.09
2018.0833,0,-0.26,-0.42,-1.1
2018.1667,-0.01,-0.25,-0.42,-1.1
2018.25,-0.02,-0.25,-0.42,-1.1
2018.3333,-0.02,-0.25,-0.42,-1.1
2018.4167,-0.01,-0.25,-0.42,-1.11
2018.5,-0.01,-0.25,-0.42,-1.11
2018.5833,-0.05,-0.27,-0.43,-1.11
2018.6667,-0.04,-0.28,-0.43,-1.11
2018.75,-0.03,-0.27,-0.43,-1.12
2018.8333,-0.02,-0.27,-0.43,-1.12
2018.9167,-0.01,-0.27,-0.43,-1.12
2019,0.03,-0.27,-0.43,-1.12
2019.0833,0.17,-0.31,-0.42,-1.13
2019.1667,0.15,-0.33,-0.41,-1.13
2019.25,0.14,-0.33,-0.39,-1.14
2019.3333,0.14,-0.33,-0.38,-1.14
2019.4167,0.14,-0.33,-0.37,-1.14
2019.5,0.14,-0.33,-0.36,-1.15
2019.5833,0.14,-0.33,-0.35,-1.15
2019.6667,0.14,-0.33,-0.33,-1.16
2019.75,0.14,-0.33,-0.32,-1.16
2019.8333,0.14,-0.33,-0.31,-1.16
2019.9167,0.14,-0.33,-0.3,-1.17
2020,0.14,-0.33,-0.29,-1.17
2020.0833,0.06,-0.4,-0.28,-1.18
2020.1667,0.06,-0.4,-0.28,-1.18
2020.25,0.06,-0.4,-0.27,-1.19
2020.3333,0.06,-0.4,-0.27,-1.19
2020.4167,0.06,-0.4,-0.26,-1.2
2020.5,0.06,-0.4,-0.25,-1.21
2020.5833,0.06,-0.4,-0.25,-1.21
2020.6667,0.06,-0.4,-0.24,-1.22
2020.75,0.06,-0.4,-0.24,-1.22
2020.8333,0.06,-0.4,-0.23,-1.23
2020.9167,0.06,-0.4,-0.23,-1.23
