Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
2013.8333,-191.0705,95.5202,-1749.2966,430.6518
2013.9167,-191.0975,95.4449,-1765.2214,431.5323
2014,-198.0188,93.6571,-1781.7229,432.3784
2014.0833,-201.1523,90.1487,-1798.4856,433.1608
2014.1667,-201.7527,90.2969,-1815.2984,433.9444
2014.25,-199.711,90.3931,-1831.9409,434.7283
2014.3333,-199.686,90.4202,-1848.5814,435.5112
2014.4167,-199.4501,90.7258,-1865.2023,436.298
2014.5,-199.4203,91.348,-1881.8207,437.0941
2014.5833,-201.2233,91.2278,-1898.5893,437.8868
2014.6667,-203.5906,89.8524,-1915.5551,438.6543
2014.75,-202.6205,89.8712,-1932.4402,439.4208
2014.8333,-201.96,90.0338,-1949.2702,440.1888
2014.9167,-200.8037,90.146,-1966.0038,440.9573
2015,-142.2661,90.31,-1977.8593,441.7273
2015.0833,-134.1177,93.0389,-1989.0358,442.5431
2015.1667,-131.334,95.3113,-1999.9803,443.3976
2015.25,-130.9481,95.4595,-2010.8926,444.2531
2015.3333,-129.2799,95.5926,-2021.666,445.1093
2015.4167,-126.7829,96.0113,-2032.2312,445.9714
2015.5,-123.9098,96.984,-2042.557,446.8493
2015.5833,-124.2215,98.7199,-2052.9088,447.7571
2015.6667,-124.2715,98.832,-2063.2648,448.6651
2015.75,-125.6945,101.7404,-2073.7393,449.6254
2015.8333,-123.5936,102.8224,-2084.0388,450.6041
2015.9167,-120.9759,102.509,-2094.1201,451.5747
2016,-75.5386,103.7714,-2100.415,452.5672
2016.0833,-75.2676,102.7739,-2106.6873,453.5386
2016.1667,-73.4342,102.9976,-2112.8068,454.5122
2016.25,-69.9195,100.9609,-2118.6334,455.4457
2016.3333,-66.4545,99.9611,-2124.1713,456.3589
2016.4167,-61.5805,98.3407,-2129.303,457.241
2016.5,-61.2091,98.3169,-2134.4038,458.121
2016.5833,-59.4696,99.1011,-2139.3596,459.0134
2016.6667,-59.0427,100.036,-2144.2798,459.9209
2016.75,-57.8303,101.0572,-2149.099,460.8452
2016.8333,-53.7983,102.0954,-2153.5822,461.7866
