Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1995.3333,0.02,-0.07,0.09,-0.13
1995.4167,0.01,-0.07,0.09,-0.13
1995.5,0.01,-0.07,0.09,-0.13
1995.5833,0.01,-0.07,0.09,-0.13
1995.6667,0.01,-0.07,0.09,-0.13
1995.75,0.01,-0.07,0.09,-0.13
1995.8333,0.01,-0.07,0.09,-0.13
1995.9167,0.01,-0.07,0.09,-0.14
1996,0.01,-0.07,0.1,-0.14
1996.0833,0.01,-0.07,0.1,-0.14
1996.1667,0.01,-0.07,0.1,-0.14
1996.25,0.01,-0.07,0.1,-0.14
1996.3333,0.01,-0.07,0.1,-0.14
1996.4167,0.01,-0.07,0.1,-0.14
1996.5,0,-0.07,0.1,-0.15
1996.5833,0,-0.07,0.1,-0.15
1996.6667,0,-0.07,0.1,-0.15
1996.75,0,-0.07,0.1,-0.15
1996.8333,0,-0.07,0.1,-0.15
1996.9167,0,-0.07,0.1,-0.15
1997,-0.01,-0.07,0.1,-0.15
1997.0833,-0.01,-0.07,0.1,-0.15
1997.1667,-0.01,-0.07,0.1,-0.15
1997.25,-0.01,-0.07,0.1,-0.16
1997.3333,-0.01,-0.07,0.09,-0.16
1997.4167,-0.01,-0.07,0.09,-0.16
1997.5,-0.01,-0.07,0.09,-0.16
1997.5833,-0.01,-0.07,0.09,-0.16
1997.6667,-0.01,-0.07,0.09,-0.16
1997.75,-0.01,-0.07,0.09,-0.16
1997.8333,-0.01,-0.07,0.09,-0.16
1997.9167,-0.01,-0.07,0.09,-0.17
1998,-0.01,-0.07,0.09,-0.17
1998.0833,-0.01,-0.07,0.09,-0.17
1998.1667,-0.01,-0.07,0.09,-0.17
1998.25,-0.01,-0.07,0.08,-0.17
1998.3333,-0.01,-0.07,0.08,-0.17
1998.4167,-0.01,-0.07,0.08,-0.17
1998.5,-0.01,-0.07,0.08,-0.17
1998.5833,-0.01,-0.07,0.08,-0.17
1998.6667,-0.01,-0.07,0.08,-0.17
1998.75,-0.01,-0.07,0.08,-0.18
1998.8333,-0.01,-0.07,0.08,-0.18
1998.9167,-0.01,-0.07,0.07,-0.18
1999,-0.01,-0.07,0.07,-0.18
1999.0833,-0.01,-0.07,0.07,-0.18
1999.1667,-0.01,-0.07,0.07,-0.18
1999.25,-0.01,-0.07,0.07,-0.18
1999.3333,-0.01,-0.07,0.07,-0.18
1999.4167,-0.01,-0.07,0.07,-0.18
1999.5,-0.01,-0.07,0.07,-0.19
1999.5833,-0.01,-0.07,0.07,-0.19
1999.6667,-0.01,-0.07,0.06,-0.19
1999.75,-0.01,-0.07,0.06,-0.19
1999.8333,-0.01,-0.07,0.06,-0.19
1999.9167,-0.01,-0.07,0.06,-0.19
2000,0,-0.07,0.06,-0.19
2000.0833,0,-0.07,0.06,-0.19
2000.1667,0,-0.07,0.06,-0.19
2000.25,0,-0.07,0.06,-0.19
2000.3333,0,-0.07,0.06,-0.19
2000.4167,0,-0.07,0.06,-0.2
2000.5,0,-0.07,0.06,-0.2
2000.5833,0,-0.07,0.06,-0.2
2000.6667,0,-0.07,0.06,-0.2
2000.75,0,-0.07,0.06,-0.2
2000.8333,0,-0.07,0.06,-0.2
2000.9167,0,-0.07,0.06,-0.2
2001,0.01,-0.07,0.06,-0.2
2001.0833,0.01,-0.07,0.06,-0.2
2001.1667,0.01,-0.07,0.06,-0.2
2001.25,0.01,-0.07,0.06,-0.2
2001.3333,0.01,-0.07,0.07,-0.21
2001.4167,0.01,-0.07,0.07,-0.21
2001.5,0.01,-0.07,0.07,-0.21
2001.5833,0.01,-0.07,0.07,-0.21
2001.6667,0.01,-0.07,0.07,-0.21
2001.75,0.01,-0.07,0.07,-0.21
2001.8333,0.01,-0.07,0.07,-0.21
2001.9167,0.01,-0.07,0.07,-0.21
2002,0.03,-0.06,0.07,-0.21
2002.0833,0.03,-0.06,0.08,-0.21
2002.1667,0.03,-0.06,0.08,-0.21
2002.25,0.03,-0.06,0.08,-0.21
2002.3333,0.03,-0.06,0.08,-0.22
2002.4167,0.03,-0.06,0.09,-0.22
2002.5,0.03,-0.06,0.09,-0.22
2002.5833,0.06,-0.06,0.09,-0.22
2002.6667,0.06,-0.06,0.1,-0.22
2002.75,0.06,-0.06,0.1,-0.22
2002.8333,0.06,-0.06,0.11,-0.22
2002.9167,0.06,-0.06,0.11,-0.22
2003,0.06,-0.06,0.12,-0.22
2003.0833,0.06,-0.06,0.12,-0.22
2003.1667,0.06,-0.06,0.13,-0.22
2003.25,0.06,-0.06,0.13,-0.22
2003.3333,0.06,-0.07,0.14,-0.22
2003.4167,0.06,-0.07,0.14,-0.23
2003.5,0.06,-0.07,0.15,-0.23
2003.5833,0.06,-0.07,0.15,-0.23
2003.6667,0.06,-0.07,0.16,-0.23
2003.75,0.06,-0.07,0.16,-0.23
2003.8333,0.06,-0.07,0.17,-0.23
2003.9167,0.06,-0.07,0.17,-0.23
2004,0.05,-0.07,0.18,-0.23
2004.0833,0.05,-0.07,0.18,-0.23
2004.1667,0.05,-0.07,0.19,-0.23
2004.25,0.05,-0.07,0.19,-0.23
2004.3333,0.05,-0.07,0.19,-0.23
2004.4167,0.05,-0.07,0.2,-0.23
2004.5,0.05,-0.07,0.2,-0.24
2004.5833,0.06,-0.07,0.21,-0.24
2004.6667,0.05,-0.07,0.21,-0.24
2004.75,0.05,-0.07,0.22,-0.24
2004.8333,0.05,-0.07,0.22,-0.24
2004.9167,0.05,-0.07,0.23,-0.24
2005,0.05,-0.07,0.23,-0.24
2005.0833,0.05,-0.07,0.24,-0.24
2005.1667,0.05,-0.07,0.24,-0.24
2005.25,0.05,-0.07,0.24,-0.24
2005.3333,0.05,-0.07,0.25,-0.24
2005.4167,0.05,-0.07,0.25,-0.24
2005.5,0.05,-0.07,0.26,-0.25
2005.5833,0.05,-0.07,0.26,-0.25
2005.6667,0.05,-0.07,0.27,-0.25
2005.75,0.05,-0.07,0.27,-0.25
2005.8333,0.05,-0.07,0.27,-0.25
2005.9167,0.06,-0.07,0.28,-0.25
2006,0.06,-0.07,0.28,-0.25
2006.0833,0.06,-0.07,0.29,-0.25
2006.1667,0.06,-0.07,0.29,-0.25
2006.25,0.06,-0.07,0.3,-0.25
2006.3333,0.06,-0.07,0.3,-0.25
2006.4167,0.07,-0.07,0.31,-0.26
2006.5,0.07,-0.07,0.32,-0.26
2006.5833,0.07,-0.07,0.32,-0.26
2006.6667,0.07,-0.08,0.33,-0.26
2006.75,0.07,-0.08,0.33,-0.26
2006.8333,0.07,-0.08,0.34,-0.26
2006.9167,0.07,-0.08,0.34,-0.26
2007,0.08,-0.08,0.35,-0.26
2007.0833,0.08,-0.07,0.36,-0.26
2007.1667,0.08,-0.07,0.37,-0.26
2007.25,0.08,-0.07,0.37,-0.26
2007.3333,0.08,-0.07,0.38,-0.26
2007.4167,0.08,-0.07,0.39,-0.27
2007.5,0.08,-0.07,0.39,-0.27
2007.5833,0.08,-0.07,0.4,-0.27
2007.6667,0.08,-0.07,0.41,-0.27
2007.75,0.08,-0.07,0.41,-0.27
2007.8333,0.08,-0.07,0.42,-0.27
2007.9167,0.08,-0.07,0.43,-0.27
2008,0.08,-0.07,0.43,-0.27
2008.0833,0.08,-0.07,0.44,-0.27
2008.1667,0.08,-0.07,0.45,-0.27
2008.25,0.08,-0.07,0.45,-0.27
2008.3333,0.08,-0.07,0.46,-0.27
2008.4167,0.08,-0.07,0.47,-0.27
2008.5,0.08,-0.07,0.47,-0.28
2008.5833,0.08,-0.07,0.48,-0.28
2008.6667,0.08,-0.07,0.49,-0.28
2008.75,0.08,-0.07,0.49,-0.28
2008.8333,0.06,-0.07,0.5,-0.28
2008.9167,0.06,-0.07,0.5,-0.28
2009,0.06,-0.07,0.51,-0.28
2009.0833,0.06,-0.07,0.51,-0.28
2009.1667,0.06,-0.07,0.52,-0.28
2009.25,0.06,-0.07,0.52,-0.28
2009.3333,0.06,-0.07,0.53,-0.28
2009.4167,0.06,-0.07,0.53,-0.28
2009.5,0.06,-0.07,0.54,-0.28
2009.5833,0.06,-0.07,0.54,-0.28
2009.6667,0.06,-0.07,0.55,-0.28
2009.75,0.06,-0.07,0.55,-0.29
2009.8333,0.04,-0.07,0.56,-0.29
2009.9167,0.04,-0.07,0.56,-0.29
2010,0.03,-0.07,0.56,-0.29
2010.0833,0.03,-0.07,0.57,-0.29
2010.1667,0.03,-0.07,0.57,-0.29
2010.25,0.03,-0.07,0.57,-0.29
2010.3333,0.03,-0.07,0.57,-0.29
2010.4167,0.03,-0.07,0.58,-0.29
2010.5,0.03,-0.07,0.58,-0.29
2010.5833,0.03,-0.07,0.58,-0.29
2010.6667,0.03,-0.07,0.58,-0.29
2010.75,0.03,-0.07,0.59,-0.29
2010.8333,0.03,-0.07,0.59,-0.29
2010.9167,0.03,-0.07,0.59,-0.29
2011,0.04,-0.08,0.59,-0.3
2011.0833,0.04,-0.08,0.6,-0.3
2011.1667,0.04,-0.09,0.6,-0.3
2011.25,0.04,-0.09,0.6,-0.3
2011.3333,0.04,-0.09,0.61,-0.3
2011.4167,0.04,-0.09,0.61,-0.3
2011.5,0.04,-0.09,0.61,-0.3
2011.5833,0.04,-0.09,0.62,-0.3
2011.6667,0.04,-0.09,0.62,-0.3
2011.75,0.04,-0.09,0.62,-0.3
2011.8333,0.04,-0.09,0.63,-0.31
2011.9167,0.04,-0.09,0.63,-0.31
2012,0.04,-0.09,0.63,-0.31
2012.0833,0.04,-0.09,0.64,-0.31
2012.1667,0.04,-0.09,0.64,-0.31
2012.25,0.04,-0.1,0.64,-0.31
2012.3333,0.05,-0.09,0.65,-0.31
2012.4167,0.05,-0.09,0.65,-0.31
2012.5,0.05,-0.09,0.66,-0.31
2012.5833,0.05,-0.09,0.66,-0.32
2012.6667,0.05,-0.09,0.66,-0.32
2012.75,0.05,-0.09,0.67,-0.32
2012.8333,0.05,-0.09,0.67,-0.32
2012.9167,0.05,-0.09,0.68,-0.32
2013,0.04,-0.09,0.68,-0.32
2013.0833,0.04,-0.09,0.68,-0.32
2013.1667,0.04,-0.08,0.69,-0.32
2013.25,0.04,-0.08,0.69,-0.32
2013.3333,0.04,-0.08,0.7,-0.32
2013.4167,0.04,-0.08,0.7,-0.33
2013.5,0.04,-0.08,0.7,-0.33
2013.5833,0.04,-0.08,0.7,-0.33
2013.6667,0.04,-0.08,0.71,-0.33
2013.75,0.04,-0.08,0.71,-0.33
2013.8333,0.04,-0.08,0.71,-0.33
2013.9167,0.04,-0.08,0.72,-0.33
2014,0.03,-0.07,0.72,-0.33
2014.0833,0.03,-0.07,0.72,-0.33
2014.1667,0.03,-0.07,0.72,-0.33
2014.25,0.03,-0.07,0.73,-0.33
2014.3333,0.03,-0.07,0.73,-0.33
2014.4167,0.03,-0.07,0.73,-0.33
2014.5,0.03,-0.07,0.73,-0.33
2014.5833,0.03,-0.07,0.74,-0.34
2014.6667,0.03,-0.07,0.74,-0.34
2014.75,0.03,-0.07,0.74,-0.34
2014.8333,0.03,-0.07,0.74,-0.34
2014.9167,0.02,-0.07,0.75,-0.34
2015,0,-0.07,0.75,-0.34
2015.0833,0,-0.07,0.74,-0.34
2015.1667,0,-0.07,0.74,-0.34
2015.25,0,-0.07,0.74,-0.34
2015.3333,-0.01,-0.07,0.74,-0.34
2015.4167,-0.01,-0.07,0.74,-0.34
2015.5,-0.01,-0.08,0.74,-0.34
2015.5833,-0.01,-0.08,0.74,-0.34
2015.6667,-0.01,-0.08,0.74,-0.34
2015.75,-0.01,-0.08,0.74,-0.34
2015.8333,-0.01,-0.08,0.74,-0.35
2015.9167,-0.01,-0.08,0.74,-0.35
2016,-0.02,-0.08,0.74,-0.35
2016.0833,-0.02,-0.08,0.73,-0.35
2016.1667,-0.02,-0.08,0.73,-0.35
2016.25,-0.02,-0.07,0.73,-0.35
2016.3333,-0.03,-0.07,0.73,-0.35
2016.4167,-0.03,-0.07,0.73,-0.35
2016.5,-0.03,-0.07,0.72,-0.35
2016.5833,-0.03,-0.07,0.72,-0.35
2016.6667,-0.03,-0.07,0.72,-0.35
2016.75,-0.03,-0.07,0.72,-0.35
2016.8333,-0.03,-0.08,0.71,-0.35
2016.9167,-0.03,-0.08,0.71,-0.35
2017,0,-0.08,0.71,-0.35
2017.0833,0,-0.08,0.71,-0.36
2017.1667,0,-0.08,0.71,-0.36
2017.25,0,-0.08,0.71,-0.36
2017.3333,0,-0.08,0.71,-0.36
2017.4167,0,-0.08,0.71,-0.36
2017.5,0,-0.08,0.71,-0.36
2017.5833,0.01,-0.08,0.71,-0.36
2017.6667,0.01,-0.08,0.71,-0.36
2017.75,0.01,-0.07,0.71,-0.36
2017.8333,0.01,-0.07,0.72,-0.36
2017.9167,0.01,-0.07,0.72,-0.36
2018,0.03,-0.07,0.72,-0.36
2018.0833,0.03,-0.07,0.72,-0.36
2018.1667,0.03,-0.07,0.72,-0.36
2018.25,0.03,-0.07,0.73,-0.36
2018.3333,0.04,-0.07,0.73,-0.36
2018.4167,0.04,-0.06,0.73,-0.37
2018.5,0.04,-0.06,0.74,-0.37
2018.5833,0.11,-0.08,0.75,-0.37
2018.6667,0.11,-0.08,0.75,-0.37
2018.75,0.11,-0.08,0.76,-0.37
2018.8333,0.11,-0.08,0.77,-0.37
2018.9167,0.12,-0.08,0.78,-0.37
2019,0.15,-0.08,0.8,-0.37
2019.0833,0.15,-0.08,0.81,-0.37
2019.1667,0.15,-0.08,0.82,-0.37
2019.25,0.15,-0.08,0.83,-0.37
2019.3333,0.15,-0.08,0.85,-0.37
2019.4167,0.15,-0.08,0.86,-0.37
2019.5,0.15,-0.08,0.87,-0.37
2019.5833,0.15,-0.08,0.88,-0.37
2019.6667,0.15,-0.08,0.9,-0.38
2019.75,0.15,-0.08,0.91,-0.38
2019.8333,0.15,-0.08,0.92,-0.38
2019.9167,0.15,-0.08,0.93,-0.38
2020,0.15,-0.08,0.95,-0.38
2020.0833,0.1,-0.07,0.96,-0.38
2020.1667,0.1,-0.07,0.96,-0.38
2020.25,0.1,-0.07,0.97,-0.38
2020.3333,0.1,-0.07,0.98,-0.38
2020.4167,0.1,-0.07,0.99,-0.38
2020.5,0.1,-0.07,1,-0.38
2020.5833,0.1,-0.07,1,-0.38
2020.6667,0.1,-0.07,1.01,-0.38
2020.75,0.1,-0.07,1.02,-0.38
2020.8333,0.1,-0.07,1.03,-0.38
2020.9167,0.1,-0.07,1.04,-0.38
