Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1996.8333,-50.6681,41.9025,-173.9284,95.3499
1996.9167,-50.6681,41.9025,-178.1507,96.1141
1997,-38.8662,41.9516,-181.3895,96.874
1997.0833,-38.8662,41.9516,-184.6284,97.6281
1997.1667,-38.8662,41.9516,-187.8673,98.3763
1997.25,-38.8662,41.9516,-191.1061,99.1189
1997.3333,-38.8662,41.9516,-194.345,99.856
1997.4167,-38.8662,41.9516,-197.5838,100.5877
1997.5,-38.8662,41.9516,-200.8227,101.3141
1997.5833,-38.8662,41.9516,-204.0615,102.0353
1997.6667,-38.8662,41.9516,-207.3004,102.7515
1997.75,-38.8662,41.9516,-210.5392,103.4627
1997.8333,-38.8662,41.9516,-213.7781,104.169
1997.9167,-38.8662,41.9516,-217.0169,104.8706
1998,-38.9633,42.4522,-220.2639,105.5842
1998.0833,-38.9633,42.4522,-223.5108,106.2931
1998.1667,-38.9633,42.4522,-226.7577,106.9972
1998.25,-38.9633,42.4522,-230.0047,107.6967
1998.3333,-38.9633,42.4522,-233.2516,108.3917
1998.4167,-38.9633,42.4522,-236.4986,109.0823
1998.5,-38.9633,42.4522,-239.7455,109.7685
1998.5833,-38.9633,42.4522,-242.9924,110.4505
1998.6667,-38.9633,42.4522,-246.2394,111.1283
1998.75,-38.9633,42.4522,-249.4863,111.8019
1998.8333,-38.9633,42.4522,-252.7332,112.4716
1998.9167,-38.9633,42.4522,-255.9802,113.1373
1999,-42.0876,43.0264,-259.4875,113.817
1999.0833,-42.0876,43.0264,-262.9948,114.4927
1999.1667,-42.0876,43.0264,-266.5021,115.1645
1999.25,-42.0876,43.0264,-270.0094,115.8323
1999.3333,-42.0876,43.0264,-273.5167,116.4964
1999.4167,-42.0876,43.0264,-277.024,117.1566
1999.5,-42.0876,43.0264,-280.5313,117.8132
1999.5833,-42.0876,43.0264,-284.0386,118.4661
1999.6667,-42.0876,43.0264,-287.5459,119.1154
1999.75,-42.0876,43.0264,-291.0532,119.7613
1999.8333,-42.0876,43.0264,-294.5605,120.4036
1999.9167,-42.0876,43.0264,-298.0677,121.0426
2000,-38.9752,42.0512,-301.3157,121.6498
2000.0833,-38.9752,42.0512,-304.5636,122.2539
2000.1667,-38.9752,42.0512,-307.8115,122.8551
2000.25,-38.9752,42.0512,-311.0595,123.4534
2000.3333,-38.9752,42.0512,-314.3074,124.0488
2000.4167,-38.9752,42.0512,-317.5553,124.6413
2000.5,-38.9752,42.0512,-320.8033,125.231
2000.5833,-38.9752,42.0512,-324.0512,125.818
2000.6667,-38.9752,42.0512,-327.2991,126.4023
2000.75,-38.9752,42.0512,-330.5471,126.9838
2000.8333,-38.9752,42.0512,-333.795,127.5627
2000.9167,-38.9752,42.0512,-337.0429,128.139
2001,-50.892,42.043,-341.2839,128.7125
2001.0833,-50.892,42.043,-345.5249,129.2834
2001.1667,-50.892,42.043,-349.7659,129.8519
2001.25,-50.892,42.043,-354.0069,130.4178
2001.3333,-50.892,42.043,-358.2479,130.9813
2001.4167,-50.892,42.043,-362.4889,131.5424
2001.5,-50.892,42.043,-366.7299,132.1012
2001.5833,-50.892,42.043,-370.9709,132.6575
2001.6667,-50.892,42.043,-375.2119,133.2116
2001.75,-50.892,42.043,-379.4529,133.7633
2001.8333,-50.892,42.043,-383.6939,134.3128
2001.9167,-50.892,42.043,-387.9349,134.86
2002,-42.0352,41.2924,-391.4378,135.3858
2002.0833,-42.0352,41.2924,-394.9408,135.9095
2002.1667,-42.0352,41.2924,-398.4437,136.4312
2002.25,-42.0352,41.2924,-401.9466,136.951
2002.3333,-42.0352,41.2924,-405.4496,137.4688
2002.4167,-47.3814,41.2989,-409.398,137.9848
2002.5,-47.3814,41.2989,-413.3465,138.4988
2002.5833,-47.5489,41.0548,-417.3089,139.005
2002.6667,-47.5489,41.0548,-421.2713,139.5093
2002.75,-47.5489,41.0548,-425.2337,140.0118
2002.8333,-47.5489,41.0548,-429.1961,140.5125
2002.9167,-47.5489,41.0548,-433.1585,141.0114
2003,-57.1444,45.2818,-437.9205,141.616
2003.0833,-58.1836,45.2647,-442.7692,142.2175
2003.1667,-57.1853,45.3964,-447.5346,142.8201
2003.25,-56.9672,45.101,-452.2819,143.4123
2003.3333,-56.0111,44.9562,-456.9495,143.9983
2003.4167,-55.4893,44.7266,-461.5736,144.5759
2003.5,-55.2877,44.4509,-466.1809,145.1443
2003.5833,-58.0476,44.2183,-471.0182,145.7045
2003.6667,-58.5861,44.0762,-475.9004,146.259
2003.75,-75.1564,43.5942,-482.1634,146.7994
2003.8333,-75.9377,43.1479,-488.4915,147.3269
2003.9167,-75.9569,42.6647,-494.8213,147.8408
2004,-74.7179,42.6345,-501.0478,148.3522
2004.0833,-74.1003,42.665,-507.2228,148.8626
2004.1667,-73.9859,42.5482,-513.3883,149.3684
2004.25,-72.8235,43.1718,-519.4569,149.8874
2004.3333,-71.1844,44.0111,-525.3889,150.4249
2004.4167,-69.9498,45.2135,-531.2181,150.9901
2004.5,-69.0768,45.5737,-536.9745,151.5622
2004.5833,-68.8309,45.6013,-542.7104,152.1328
2004.6667,-68.4734,45.578,-548.4165,152.7007
2004.75,-68.5189,45.484,-554.1264,153.2641
2004.8333,-67.6797,44.8652,-559.7664,153.8104
2004.9167,-66.7691,44.1388,-565.3305,154.3373
2005,-64.8178,43.891,-570.732,154.8565
2005.0833,-64.3122,43.5913,-576.0913,155.3669
2005.1667,-63.7447,43.4291,-581.4034,155.8719
2005.25,-63.4538,43.2883,-586.6912,156.372
2005.3333,-62.7297,42.6231,-591.9187,156.8553
2005.4167,-62.5083,42.2957,-597.1277,157.3298
2005.5,-62.5582,42.2648,-602.3409,157.8022
2005.5833,-64.0972,43.2993,-607.6823,158.2965
2005.6667,-66.176,44.2234,-613.197,158.8104
2005.75,-67.6323,45.0402,-618.833,159.3418
2005.8333,-68.8088,45.3703,-624.5671,159.8791
2005.9167,-68.5952,45.2823,-630.2833,160.4126
2006,-73.397,45.4733,-636.3997,160.9488
2006.0833,-73.451,45.2421,-642.5207,161.4779
2006.1667,-73.2789,45.0029,-648.6272,161.9996
2006.25,-72.9894,44.8131,-654.7097,162.5153
2006.3333,-72.9362,44.8155,-660.7877,163.0294
2006.4167,-73.4122,44.9823,-666.9054,163.5457
2006.5,-74.549,45.6934,-673.1178,164.0768
2006.5833,-76.4405,46.538,-679.4879,164.6259
2006.6667,-77.779,46.4145,-685.9694,165.1702
2006.75,-79.2553,45.7887,-692.5741,165.6983
2006.8333,-80.5976,44.8792,-699.2905,166.204
2006.9167,-81.9708,43.764,-706.1214,166.6835
2007,-88.9,42.6443,-713.5297,167.1374
2007.0833,-90.0219,42.3347,-721.0316,167.5836
2007.1667,-91.2261,41.4855,-728.6337,168.011
2007.25,-90.355,42.025,-736.1633,168.4484
2007.3333,-89.1716,42.5564,-743.5943,168.8958
2007.4167,-88.3001,42.5678,-750.9526,169.3422
2007.5,-88.2451,42.5316,-758.3064,169.7867
2007.5833,-88.6993,42.6306,-765.698,170.2321
2007.6667,-89.3138,43.0313,-773.1408,170.6848
2007.75,-89.8129,43.3154,-780.6252,171.1422
2007.8333,-90.5549,43.3854,-788.1715,171.5998
2007.9167,-91.2303,43.5318,-795.774,172.0594
2008,-101.5101,44.4131,-804.2332,172.5364
2008.0833,-102.2339,44.7968,-812.7527,173.0203
2008.1667,-102.4903,45.1812,-821.2935,173.5112
2008.25,-102.783,45.3974,-829.8588,174.0054
2008.3333,-103.4141,45.8677,-838.4766,174.5085
2008.4167,-104.217,46.2663,-847.1614,175.0188
2008.5,-104.9054,46.5208,-855.9035,175.5333
2008.5833,-106.5941,46.9961,-864.7863,176.0568
2008.6667,-108.4761,46.9909,-873.826,176.5786
2008.75,-110.3209,49.0018,-883.0194,177.1443
2008.8333,-116.9219,47.0269,-892.7629,177.6637
2008.9167,-117.8193,48.7668,-902.5812,178.2206
2009,-122.6727,59.0547,-912.8039,179.0341
2009.0833,-123.0883,60.5458,-923.0612,179.8852
2009.1667,-123.3765,61.1528,-933.3426,180.7493
2009.25,-123.1893,60.8477,-943.6084,181.6008
2009.3333,-123.2384,60.9115,-953.8783,182.4501
2009.4167,-123.7334,61.4436,-964.1894,183.3102
2009.5,-124.6704,62.1485,-974.5786,184.1861
2009.5833,-126.9487,63.7226,-985.1576,185.1024
2009.6667,-129.1464,65.8899,-995.9198,186.0771
2009.75,-131.3428,68.5618,-1006.8651,187.1267
2009.8333,-138.4723,67.1925,-1018.4044,188.1293
2009.9167,-140.0852,68.681,-1030.0782,189.1712
2010,-155.1727,65.8563,-1043.0092,190.1241
2010.0833,-157.9605,66.8046,-1056.1726,191.0996
2010.1667,-158.4265,66.9704,-1069.3748,192.075
2010.25,-155.5072,65.3645,-1082.3338,192.9996
2010.3333,-151.9676,62.8615,-1094.9977,193.8509
2010.4167,-150.7788,61.3908,-1107.5626,194.6593
2010.5,-149.9817,60.7613,-1120.0611,195.4479
2010.5833,-162.9999,48.8514,-1133.6444,195.956
2010.6667,-163.0536,48.8635,-1147.2322,196.4631
2010.75,-162.8914,48.7455,-1160.8065,196.9663
2010.8333,-161.683,47.5613,-1174.2801,197.4443
2010.9167,-160.9333,46.9089,-1187.6912,197.9081
2011,-165.3772,42.3403,-1201.4727,198.2852
2011.0833,-164.5618,42.4208,-1215.1861,198.663
2011.1667,-163.3619,42.7747,-1228.7996,199.0463
2011.25,-161.6616,43.0788,-1242.2714,199.4344
2011.3333,-161.0127,43.2426,-1255.6891,199.8247
2011.4167,-160.1125,43.2292,-1269.0319,200.214
2011.5,-159.3382,42.9699,-1282.31,200.5979
2011.5833,-159.7005,43.0846,-1295.6184,200.9831
2011.6667,-160.3196,43.2145,-1308.9784,201.3699
2011.75,-159.8388,43.1233,-1322.2983,201.7543
2011.8333,-158.4597,43.0189,-1335.5033,202.1361
2011.9167,-157.7438,43.036,-1348.6486,202.5176
2012,-148.7403,42.8182,-1361.0436,202.8944
2012.0833,-148.9058,42.8599,-1373.4524,203.2713
2012.1667,-148.5349,42.9816,-1385.8303,203.6496
2012.25,-147.7634,42.7829,-1398.1439,204.0238
2012.3333,-158.0516,42.4992,-1411.3149,204.3923
2012.4167,-157.8207,42.4259,-1424.4666,204.7589
2012.5,-149.928,41.7334,-1436.9606,205.113
2012.5833,-150.7725,42.5342,-1449.525,205.4802
2012.6667,-151.0825,42.6824,-1462.1152,205.8493
2012.75,-153.0252,43.7937,-1474.8673,206.2371
2012.8333,-154.6065,43.2451,-1487.7512,206.6146
2012.9167,-155.3384,42.7581,-1500.6961,206.983
2013,-156.3706,42.8715,-1513.7269,207.3527
2013.0833,-157.263,42.714,-1526.8322,207.719
2013.1667,-157.0324,42.9019,-1539.9182,208.0878
2013.25,-154.9267,44.0328,-1552.8288,208.4757
2013.3333,-152.6482,45.0631,-1565.5495,208.8812
2013.4167,-150.9631,45.8596,-1578.1297,209.3003
2013.5,-150.8668,46.0113,-1590.702,209.7213
2013.5833,-151.2715,46.2893,-1603.3079,210.1466
2013.6667,-151.9623,46.3958,-1615.9714,210.5729
2013.75,-152.5379,46.2546,-1628.6829,210.9959
2013.8333,-152.8532,46.1855,-1641.4207,211.4167
2013.9167,-152.8366,46.1775,-1654.1571,211.8365
2014,-144.9975,46.6001,-1666.2402,212.2632
2014.0833,-145.7814,46.1825,-1678.3886,212.6815
2014.1667,-145.1933,45.9217,-1690.4881,213.0942
2014.25,-144.4323,45.6216,-1702.5241,213.5008
2014.3333,-144.374,45.6324,-1714.5553,213.9068
2014.4167,-143.9235,45.8252,-1726.5489,214.3154
2014.5,-143.4237,45.9695,-1738.5009,214.7259
2014.5833,-143.281,46.1791,-1750.441,215.1393
2014.6667,-143.3772,46.2872,-1762.3891,215.5538
2014.75,-142.9124,46.2744,-1774.2984,215.9674
2014.8333,-142.0292,46.3253,-1786.1342,216.381
2014.9167,-140.8719,46.0761,-1797.8735,216.7894
2015,-115.6224,46.1245,-1807.5087,217.1979
2015.0833,-112.7382,46.5491,-1816.9036,217.6132
2015.1667,-111.8681,47.0356,-1826.2259,218.0364
2015.25,-111.73,47.0832,-1835.5368,218.4596
2015.3333,-111.109,47.117,-1844.7958,218.8826
2015.4167,-110.1022,47.5865,-1853.971,219.3133
2015.5,-108.8126,48.6958,-1863.0387,219.7633
2015.5833,-108.9059,48.9737,-1872.1142,220.2176
2015.6667,-108.8909,48.9822,-1881.1885,220.6711
2015.75,-109.8378,48.7448,-1890.3416,221.1193
2015.8333,-109.3058,50.0492,-1899.4504,221.5908
2015.9167,-108.5425,50.0367,-1908.4957,222.0611
2016,-99.2229,52.2616,-1916.7642,222.573
2016.0833,-98.9768,52.396,-1925.0123,223.0863
2016.1667,-98.5892,52.7434,-1933.2281,223.6053
2016.25,-97.1837,51.2899,-1941.3267,224.0949
2016.3333,-95.1829,48.7509,-1949.2586,224.5364
2016.4167,-91.7226,44.3631,-1956.9022,224.9013
2016.5,-91.4114,44.1756,-1964.5198,225.2626
2016.5833,-90.1957,43.9599,-1972.0361,225.6197
2016.6667,-89.7062,44.2155,-1979.5116,225.9805
2016.75,-88.5424,44.1736,-1986.8901,226.34
2016.8333,-86.3016,43.9258,-1994.0819,226.6949
2016.9167,-86.141,43.9085,-2001.2604,227.049
2017,-116.4439,49.6431,-2010.964,227.5008
2017.0833,-120.8927,53.1628,-2021.0384,228.0178
2017.1667,-121.6628,54.3737,-2031.177,228.5575
2017.25,-122.8257,54.7603,-2041.4124,229.1035
2017.3333,-121.3493,56.3152,-2051.5249,229.6795
2017.4167,-122.8042,56.6346,-2061.7586,230.2607
2017.5,-124.8828,55.6987,-2072.1655,230.8214
2017.5833,-126.8438,54.3321,-2082.7358,231.3536
2017.6667,-128.9212,52.9605,-2093.4792,231.8582
2017.75,-131.5062,49.9607,-2104.4381,232.3064
2017.8333,-131.3323,49.5176,-2115.3824,232.7457
2017.9167,-134.0268,46.2469,-2126.5513,233.1283
2018,-144.3464,45.8108,-2138.5802,233.5031
2018.0833,-142.9517,47.7881,-2150.4928,233.9102
2018.1667,-141.8226,49.6896,-2162.3114,234.3496
2018.25,-139.5454,53.3364,-2173.9402,234.8549
2018.3333,-138.6561,53.9607,-2185.4948,235.3709
2018.4167,-138.2047,54.5338,-2197.0119,235.8968
2018.5,-137.3135,54.9862,-2208.4547,236.4302
2018.5833,-183.4647,55.6617,-2223.7434,236.9756
2018.6667,-183.5797,55.4703,-2239.0417,237.516
2018.75,-183.8253,55.4645,-2254.3605,238.0551
2018.8333,-181.5441,55.5303,-2269.4892,238.5942
2018.9167,-177.7375,55.722,-2284.3006,239.1358
2019,-155.8767,77.6276,-2297.2904,240.1835
2019.0833,-60.522,57.9454,-2302.3339,240.7652
2019.1667,-55.3902,60.3819,-2306.9497,241.3954
2019.25,-55.2659,60.212,-2311.5552,242.0204
2019.3333,-55.697,60.1969,-2316.1966,242.6434
2019.4167,-55.8319,60.1244,-2320.8493,243.2634
2019.5,-55.8319,60.1244,-2325.502,243.8818
2019.5833,-55.8319,60.1244,-2330.1546,244.4986
2019.6667,-55.8319,60.1244,-2334.8073,245.1139
2019.75,-55.3224,60.2332,-2339.4175,245.7298
2019.8333,-55.3224,60.2332,-2344.0277,246.3442
2019.9167,-55.154,60.4227,-2348.6238,246.961
2020,-55.154,60.4227,-2353.22,247.5762
2020.0833,-28.6447,59.7058,-2355.607,248.1754
2020.1667,-28.6447,59.7058,-2357.9941,248.7732
2020.25,-28.6447,59.7058,-2360.3812,249.3695
2020.3333,-28.6447,59.7058,-2362.7682,249.9644
2020.4167,-28.6447,59.7058,-2365.1553,250.558
2020.5,-28.6447,59.7058,-2367.5423,251.1501
2020.5833,-28.6447,59.7058,-2369.9294,251.7408
2020.6667,-28.6447,59.7058,-2372.3165,252.3301
2020.75,-28.6447,59.7058,-2374.7035,252.9181
2020.8333,-28.6447,59.7058,-2377.0906,253.5047
2020.9167,-28.6447,59.7058,-2379.4776,254.0899
