year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2048,te,0.015185294449413078,0.015568785769824676,8.75245499365134e-5,0.009876994666955352,0.022437764114186718
2049,te,0.01564066102429207,0.016058376871258478,9.07192347637687e-5,0.01017571884849251,0.023155637578082987
2050,te,0.016084332550017066,0.016535721603125168,9.384794369531337e-5,0.010473381717430019,0.023868655540398274
2051,te,0.01652482481283446,0.01700192810064945,9.691610954247946e-5,0.01077404192243132,0.024589747946252415
2052,te,0.016965077228910275,0.017457935999709143,9.992846382655612e-5,0.011048241954921023,0.02526893370647301
2053,te,0.017377040550052847,0.01790459128499284,0.000102889140219722,0.011321505218577287,0.025926015441466
2054,te,0.01778938363935456,0.018342648816295465,0.00010580209906466851,0.011596331140343974,0.026576304874587463
2055,te,0.018209788643861025,0.018772780211973532,0.00010867089318743211,0.01183710432235272,0.02720774120615692
2056,te,0.018615158763609863,0.01919559042134442,0.0001114984907513309,0.012066521320112454,0.027847853921795097
2057,te,0.018992505682352778,0.019611571253440298,0.00011428773938939083,0.012298372988471983,0.02850380548523592
2058,te,0.0193690863984175,0.020021199590600943,0.00011704115731560577,0.01250008783164329,0.02913919322730578
2059,te,0.01974668153005954,0.020424898726529264,0.00011976098600047878,0.012761820080673569,0.0297341993067862
2060,te,0.0201222200392408,0.020823057860460785,0.00012244954485450107,0.012996005681864764,0.030317290732840174
2061,te,0.020509073099610475,0.021216021553341093,0.0001251086272145662,0.013202454461208423,0.030887945057509112
2062,te,0.020901050621293216,0.021604062838163435,0.00012773984715704585,0.013435149244988186,0.03146177138246636
2063,te,0.0213016508017958,0.021987444223909414,0.0001303446466985241,0.01365076634153244,0.03206511266197278
2064,te,0.021649219569154887,0.022366397395879492,0.00013292448353627526,0.013881843605094613,0.032659243120312806
2065,te,0.022015122123619335,0.022741160548183665,0.00013548069168914105,0.014106382113491911,0.03324432862106654
2066,te,0.02238137339218138,0.023111924756413233,0.00013801432274051362,0.014314741059772772,0.033822765406677655
2067,te,0.022735504286101715,0.023478881098032495,0.00014052649327246162,0.014522658211721584,0.03437904650321766
2068,te,0.02309222270636546,0.023842204139364533,0.00014301828175562972,0.014676112825899824,0.034890112037474365
2069,te,0.023436911466440336,0.024202054281905406,0.00014549054409408298,0.014781260178706691,0.035444180911666213
2070,te,0.023746144649519962,0.02455858470211087,0.00014794415719837574,0.014928667638682702,0.03599992368330227
2071,te,0.02406836386165878,0.024911939744444684,0.00015038001635557752,0.015078787931925675,0.03647417296102162
2072,te,0.024415463739254406,0.02526218466608759,0.0001527984938316427,0.015275791353620071,0.03700524568548813
2073,te,0.024748996803720225,0.02560940194899962,0.00015520019052672382,0.01542349182932221,0.03753392623075821
2074,te,0.025077285309708763,0.02595368576589473,0.00015758563085118462,0.015642913065045817,0.03809573171363975
2075,te,0.025387442330297993,0.026295113376148326,0.00015995533643572168,0.01585618482840827,0.038533003309053265
2076,te,0.025718194676753292,0.026633763524764036,0.00016230988310314413,0.016046933479525505,0.039027477720050996
2077,te,0.0260366368422158,0.026969711564582076,0.00016464952058072022,0.01623752904612368,0.03951647214126215
2078,te,0.02635099067867852,0.027303025441552477,0.00016697481593717285,0.016431501641899528,0.039999817278685866
2079,te,0.026665315187221594,0.027633770285420876,0.00016928605589323648,0.016616106983746316,0.04048017518333839
2080,te,0.02698402915122511,0.027962011057841726,0.00017158360803538243,0.016807877949751315,0.04095734577375474
2081,te,0.027287054355413787,0.028287813088584607,0.00017386793564568373,0.016996623620400178,0.0414671127337936
2082,te,0.027580081613506557,0.02861118704356005,0.00017613911078327564,0.017181005962714303,0.04198678973710042
2083,te,0.02791506583128278,0.028932165801640704,0.00017839737918950302,0.017367461082797495,0.04255426242678784
2084,te,0.028196243888847228,0.029250791560699402,0.00018064305380617628,0.01755372614820745,0.04309360842657241
2085,te,0.02852895436255931,0.029567089178823277,0.00018287630931582624,0.01774055103186507,0.04362791573377329
2086,te,0.028810029470335508,0.029881085615209847,0.0001850973148579987,0.017883493172578736,0.04415791595054071
2087,te,0.029123522069030017,0.030192826920470678,0.00018730620821561184,0.018067122675780343,0.04468397254064928
2088,te,0.029433131452869077,0.030502331169271577,0.00018950327732714426,0.01827464951837867,0.04520618159760552
2089,te,0.029723367812482415,0.030809634416495514,0.00019168860571811892,0.018480761313211417,0.04568291173198506
2090,te,0.030010914348522988,0.031114766892533896,0.00019386245923990608,0.01865190471187317,0.04613169585392693
2091,te,0.030291819579378654,0.031417762355037286,0.0001960250235247955,0.018798892080297412,0.046678100255101995
2092,te,0.030586040591011887,0.03171866245038898,0.00019817650718925972,0.018944675254926845,0.04714611685702596
2093,te,0.03086460561595583,0.03201750130185374,0.000200317078646549,0.01910404252537736,0.047619001725687934
2094,te,0.0311645201865991,0.03231432357272817,0.0002024469538230357,0.01928895768843368,0.04809123428592912
2095,te,0.031448368945244276,0.03260915073643742,0.00020456641824849627,0.019437520554130484,0.04854585594294836
2096,te,0.03170972563114027,0.03290202668605749,0.00020667553822719726,0.019590652854819444,0.04905469704928258
2097,te,0.03198056501829427,0.03319297260427409,0.0002087745230037814,0.019782578295902107,0.04952091507846372
2098,te,0.03223556136775407,0.03348201128149665,0.00021086345269116032,0.019975747337886943,0.049973219123240924
2099,te,0.03249495849618711,0.03376916794044575,0.0002129426097249324,0.02016837432351437,0.05042467768580518
2100,te,0.03278828114212917,0.03405447300190732,0.00021501194512325435,0.020302275284640726,0.050884242525685325
2101,te,0.0330520439458315,0.03433794906228595,0.00021707165015419138,0.020428987137486577,0.05133886527108354
2102,te,0.03335909978545448,0.03461961759232983,0.00021912190824714665,0.020569899141740143,0.051784823771296645
2103,te,0.033613657137221864,0.03489949780041914,0.0002211628902915029,0.020724791603127367,0.052224719123487695
2104,te,0.033857965994935846,0.03517762041051567,0.00022319465389194693,0.02087327880840295,0.05259768476540465
2105,te,0.03410617501459878,0.03545399626442829,0.00022521741362667913,0.021034834116091264,0.05293366243148369
2106,te,0.03438584214262885,0.03572864709120164,0.00022723135460169362,0.021194280365747352,0.053309103365207194
2107,te,0.034662449135632656,0.03600159441504751,0.00022923640142576607,0.02130644568117086,0.05375679485517625
2108,te,0.03491571019910822,0.036272846903810614,0.00023123272821609344,0.021452569618174877,0.05420741683327481
2109,te,0.035184796029223975,0.036542421695823266,0.00023322052295865353,0.021616713528502716,0.05465352326430963
2110,te,0.0354632524048446,0.03681033269823676,0.0002351997251154445,0.021789281909352632,0.05507798065981344
2111,te,0.03569933100595346,0.037076589239035826,0.000237170485284382,0.021960822103559697,0.05553051183813853
2112,te,0.035951894574669296,0.037341215847896334,0.00023913297670660448,0.022131397932555252,0.055965148747013235
2113,te,0.03620463269187901,0.03760422672066957,0.0002410871813939625,0.02224606061459671,0.05637598151814966
2114,te,0.03645110169965626,0.03786562709751556,0.00024303315530342821,0.02239895459024508,0.056791809034716326
2115,te,0.03670137583196986,0.038125436304231354,0.0002449712202389704,0.0225538259508177,0.05724487721107696
2116,te,0.03693865858404344,0.038383672321369515,0.00024690134116734416,0.022701627031876195,0.05769468345052946
2117,te,0.037185893729380304,0.03864034180247721,0.00024882361439180936,0.02282448132695212,0.05809700233916306
2118,te,0.0374527390661239,0.0388954609218498,0.0002507380935200311,0.022984655481312274,0.05849033094752709
2119,te,0.03770726217613962,0.03914903274815657,0.0002526448549791196,0.023140620319147855,0.05888130940002529
2120,te,0.03794908573054201,0.03940106409038632,0.00025454396828898,0.023295570011868973,0.0592734414281157
2121,te,0.038202297647611516,0.03965155854275707,0.0002564354053917276,0.02345302035313219,0.05965749487857525
2122,te,0.038433246179215175,0.0399005246899521,0.0002583193127533291,0.023557736826986187,0.06010739802827416
2123,te,0.038670540252352836,0.04014796730576606,0.0002601956612528398,0.02364434818833363,0.06052420109768039
2124,te,0.03892758860129941,0.04039390246238938,0.0002620646127025918,0.023761378936206334,0.06089501171319878
2125,te,0.03916267619162994,0.04063833314063072,0.00026392622230339666,0.02391434466205906,0.06126364878803371
2126,te,0.03939224101626149,0.04088128175189697,0.0002657805679563124,0.024069971759739597,0.06169665116764982
2127,te,0.039629204158041276,0.04112274438743385,0.0002676277229299489,0.0241372306621674,0.062096814548087124
2128,te,0.039825845609483324,0.04136273752929482,0.0002694676927592127,0.024251203948695555,0.062460649295469566
2129,te,0.040032508581847814,0.04160127107871929,0.0002713007021596604,0.024398080800733444,0.06282272224979994
2130,te,0.04028656540311104,0.04183834725085814,0.0002731266372956604,0.024518563714594332,0.06318287045340262
2131,te,0.04047945454609447,0.04207397369536973,0.0002749455374590843,0.024672018717600074,0.0635412150868909
2132,te,0.04073277631717076,0.042308158112367225,0.000276757587238943,0.024825487216451416,0.06389554454639156
2133,te,0.04096765486863774,0.04254091358284573,0.0002785627029267214,0.024940522328096557,0.06427384554918411
2134,te,0.04117976505555632,0.04277223805276986,0.00028036102097375276,0.02505027739569874,0.06466519166562268
2135,te,0.04141902072862713,0.04300216237586889,0.0002821526758819819,0.0251596079065342,0.06499439977869076
2136,te,0.04164180251166272,0.043230685460618055,0.00028393768497234317,0.02526870038513733,0.06531843908860537
2137,te,0.041851182431046574,0.04345782237282263,0.0002857160418101357,0.02540958469272523,0.0656543318243063
2138,te,0.04208081736278402,0.043683579999559644,0.000287487946536916,0.025538650465301592,0.06600045179161088
2139,te,0.042302725168889665,0.04390797079595264,0.00028925338571521,0.025656030770083584,0.06634467680807708
2140,te,0.04252813364271546,0.04413099392878544,0.000291012587618919,0.02579500597909332,0.06668576680714454
2141,te,0.04274165796197238,0.044352667736313925,0.0002927652500195031,0.025933211462749562,0.06705368084856324
2142,te,0.04296090277648901,0.04457298666102785,0.00029451158808371433,0.02606966720978665,0.06744801060827488
2143,te,0.043143225485563264,0.04479196570888017,0.00029625162701439687,0.026204528701483553,0.06784043333356936
2144,te,0.04333645033803091,0.045009615612677675,0.0002979855546478339,0.02630273170739761,0.0682313105577757
2145,te,0.04354571311445099,0.045225936643527205,0.0002997132607653508,0.026384483495099077,0.06856956440227754
2146,te,0.04373767460925393,0.04544094949980769,0.00030143483807737285,0.026514986684206664,0.06888169385280563
2147,te,0.04391692542838932,0.045654652296628254,0.00030315041694379906,0.02661288990387396,0.0691535865299297
2148,te,0.04410154633563046,0.045867061207301725,0.00030485994746773837,0.026726923394150417,0.06950677032588892
2149,te,0.04427934221200758,0.04607818132081859,0.0003065635239557197,0.026842111655938704,0.06981832605761723
2150,te,0.04445563512594042,0.04628801551163788,0.00030826116665174166,0.026910412324893773,0.07012789920101951
2151,te,0.04464895524506751,0.04649658007850418,0.00030995300570951843,0.026949013679191045,0.07047686276967405
2152,te,0.04483522292868969,0.046703873157705876,0.00031163898438867007,0.027032523395302197,0.07087358901553031
2153,te,0.04504475333714275,0.046909908126522126,0.00031331908213672597,0.02715570683018296,0.07126409948645662
2154,te,0.04524685199091749,0.04711469164009198,0.00031499356277404504,0.02725729778406194,0.07161284974111926
2155,te,0.04546407101033445,0.04731822522766132,0.00031666233548633907,0.027369322719820486,0.07195986843731567
2156,te,0.04563998593606833,0.04752051945238196,0.0003183253580599794,0.027480774358739878,0.07230633803297638
2157,te,0.04583203551567294,0.047721580217141,0.0003199828197527478,0.027555590656597937,0.07266897097653792
2158,te,0.04599096885995735,0.04792142686536428,0.00032163467325359253,0.027612104712258036,0.07302925121720154
2159,te,0.046216532092730134,0.04812005134452427,0.000323281016633053,0.02768072003868367,0.0733858682430334
2160,te,0.046412173057125194,0.04831747237562264,0.00032492189903094305,0.027781188452748306,0.07374087659374222
2161,te,0.04658038035361223,0.04851369222307365,0.0003265573187379322,0.02788227248202384,0.07409445966004426
2162,te,0.04671382818095715,0.04870872153693193,0.000328187274037216,0.02791928942473518,0.07444654437151374
2163,te,0.04686405239706026,0.04890255549619746,0.00032981188615872903,0.02801788935169789,0.07479701295790145
2164,te,0.04705706528956988,0.04909518939885973,0.0003314309900479068,0.028071789567105654,0.07514529886270171
2165,te,0.04723110640779815,0.04928662270775106,0.00033304469089081456,0.028151867990689493,0.07543972321581709
2166,te,0.04740918739143396,0.049476860158649556,0.0003346529251450047,0.02823154050616834,0.07570988602973668
