year,slr_p05_unw,slr_p17_unw,slr_p50_unw,slr_p83_unw,slr_p95_unw,slr_p05,slr_p17,slr_p50,slr_p83,slr_p95,te_p05_unw,te_p17_unw,te_p50_unw,te_p83_unw,te_p95_unw,te_p05,te_p17,te_p50,te_p83,te_p95,ais_p05_unw,ais_p17_unw,ais_p50_unw,ais_p83_unw,ais_p95_unw,ais_p05,ais_p17,ais_p50,ais_p83,ais_p95,gis_p05_unw,gis_p17_unw,gis_p50_unw,gis_p83_unw,gis_p95_unw,gis_p05,gis_p17,gis_p50,gis_p83,gis_p95,gsic_p05_unw,gsic_p17_unw,gsic_p50_unw,gsic_p83_unw,gsic_p95_unw,gsic_p05,gsic_p17,gsic_p50,gsic_p83,gsic_p95,lws_p05_unw,lws_p17_unw,lws_p50_unw,lws_p83_unw,lws_p95_unw,lws_p05,lws_p17,lws_p50,lws_p83,lws_p95
2114,42.05362118102874,50.943601779583965,106.87867519140303,126.26058951383645,137.6356194055697,46.8138499475234,89.91002765377931,114.89185560223613,130.5163341539836,141.22228488889874,11.20090435599769,14.429139857512661,21.11283791107664,29.002188825173164,35.028409761783294,14.23950887334886,18.67773124494111,25.179581083006763,32.273017032233994,38.850100244054566,2.2092908601697356,7.9306151818614,57.03359371267645,70.74164338783025,78.62968823805328,5.5702039625119975,44.22655490944403,62.453370900983636,71.43377242442985,79.00599800183016,5.246885564581389,5.421278845039015,8.50613477425144,13.53681751797855,16.836636992972768,5.323593113716727,5.5904422969531975,8.440007887864883,9.586745922889047,12.119852850442175,12.099135589429025,13.40702844360453,15.489222439286511,17.996714208122818,20.073015711199705,12.205103128645153,13.414892677323312,15.231152756679522,17.247551583160977,18.913473605287685,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148,2.831114466960148
2115,42.38051761316704,51.63025749901655,108.3428922669256,127.85210203790454,139.3892469449939,47.158935918309965,91.05121256306319,116.34094152834119,132.10794940576497,143.06341779490674,11.271384241647024,14.540706946591035,21.295576322973055,29.281134374861498,35.40347942951491,14.331584157583325,18.805032272780043,25.422535209522092,32.611085097337956,39.31537475589722,2.2261552824479547,8.265954093828745,57.95730624371653,71.75935155128377,79.73542909483484,6.057488050028938,45.35333573275327,63.3718013250992,72.41858589601212,80.06258919035841,5.2923670283308555,5.470511165694826,8.59365225598836,13.699697670199608,17.07040097313167,5.372204154802234,5.64207007818644,8.528157174859723,9.698958180261723,12.275487890584417,12.208052176191604,13.524114665521449,15.627984339656571,18.16353474145882,20.256295470283682,12.314830658013678,13.53341856518598,15.374290667611879,17.410805177656936,19.104328603414743,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486,2.8611502014843486
2116,42.70031976343013,52.27408379005561,109.79002115845589,129.41599756377974,141.0748271398921,47.44518184157918,92.24020222509449,117.73868244658398,133.6040790450714,144.73379471066713,11.355569151421756,14.661616031012787,21.46807100746628,29.56662065309138,35.809404193504164,14.401987121506373,18.93771953245832,25.637328087579718,32.89914287289148,39.79884656739537,2.2365168268704987,8.601270723765198,58.94680616251809,72.78233855403028,80.80739581597831,6.3547412430353765,45.86355077030393,64.2966715343602,73.37927082377861,81.13355636415324,5.336941240661863,5.519964464976982,8.68485227638578,13.85424127868837,17.303641464950754,5.418743003319012,5.69447780911347,8.613524019598952,9.806963935768158,12.40294669246049,12.314733109881583,13.639803478337114,15.767465840607176,18.331983580525105,20.443633551394964,12.415332116636588,13.657647267959154,15.51854039024382,17.573394054288876,19.279172926827414,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675,2.8500367470060675
2117,43.068093226772234,52.83050780535744,111.25663119214394,131.00761898805985,142.76869849276207,47.87040259681241,93.53854128000744,119.19790137615826,135.22927224218336,146.46534994786106,11.43029741955326,14.778670610071025,21.654819263442363,29.86044138053452,36.2127070237595,14.471260940756244,19.07534511018686,25.8547351332136,33.218802366990964,40.26481422650149,2.2582366043876565,8.871179367793017,59.919352043560096,73.79700125098907,81.844967686045,6.419770741696432,46.77867949684989,65.23789186115867,74.34211412889393,82.22479125627378,5.381989865766941,5.56956270004842,8.774086315837515,14.020729399710268,17.547413922911645,5.465690600731076,5.7466016074430675,8.70075372598628,9.916943607116233,12.528467439208567,12.417839342101226,13.757523845291123,15.907072891069797,18.496590859267258,20.62674433034762,12.50766921618537,13.7704251518448,15.660317751995871,17.740900169846686,19.466705277383213,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164,2.880680957838164
2118,43.38861693296781,53.617970400940905,112.73517483367289,132.5904655975479,144.45712361467676,48.23963872919022,94.90382678540084,120.65697263521967,136.80136234998284,148.17548633731116,11.49862560801468,14.87743813552355,21.8342351458073,30.139954510097706,36.55211875560569,14.582260579725535,19.218819318001845,26.065740912094913,33.515477231749976,40.72685609165731,2.274567208355817,9.190765361547578,60.907930345275034,74.81664325353425,82.90408474484649,6.463126953121498,47.71578006978348,66.16666872072801,75.31125956998201,83.30021018256528,5.427534580343281,5.619093804879656,8.864750456494663,14.183749210764509,17.79338137741622,5.513025390118402,5.799467766541554,8.790078806440341,10.027519858222664,12.645598351564344,12.522618219101352,13.871002416032525,16.042897407137627,18.65709860896365,20.809534641600575,12.60914306902388,13.895312832326335,15.796628711960324,17.904685783407057,19.63350259628379,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464,2.9013391872142464
2119,43.70368930009837,54.379099669242656,114.15470265244036,134.19262331764838,146.17683427927477,48.57550766371147,96.03316966163729,122.10748837104381,138.38854299338436,149.90366817362533,11.556232184338302,14.9835579638179,22.009597250361487,30.436348005474958,36.93907383669867,14.65410112269094,19.357839771127644,26.289796135896733,33.870644506199916,41.16036384665494,2.2858382199499983,9.818921870108525,61.91349064330278,75.83310669506255,83.97664891517637,6.506340290882085,48.68248589469486,67.08757118073179,76.31156485283883,84.37028544519087,5.471986122596869,5.668131532478398,8.952878072492698,14.35063214857256,18.044118415857813,5.559401884064521,5.851681331726455,8.875346377413006,10.138161855748638,12.77150813554162,12.620717753875661,13.983901966060765,16.179707710710236,18.820392806076157,20.99921468791873,12.7092843849882,14.007943385214373,15.935863005167542,18.06508619553277,19.79668025907847,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923,2.937927782788923
2120,44.03751904040316,54.91831231098441,115.6532781555185,135.794691262331,147.92527438047156,49.075353293557676,97.41251439005195,123.48499671384593,139.93955839509024,151.60146107132124,11.627702120004765,15.08618417689151,22.19540925926695,30.72406216372427,37.31450455034869,14.747879918105248,19.494862505972513,26.51240097344497,34.181697516493806,41.633725264675434,2.3000694357193128,10.074992297766117,62.90259627538673,76.85779572617449,85.06855004867117,6.544698540723443,49.777004025444754,68.03004158502354,77.30038678796629,85.44913969475698,5.517109104097808,5.717673632844387,9.041129458761343,14.517382800432987,18.288964747736678,5.606391632928402,5.903496316717348,8.962223817988194,10.256573083376967,12.900601154633149,12.717590907663414,14.102382675866902,16.31635715919595,18.978024714566047,21.18072208822003,12.800354255086079,14.124905088534826,16.07556965443882,18.224547459065565,19.971782022610324,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327,2.966354761626327
2121,44.35381951711659,55.46722319808764,117.07786426450522,137.36369309027432,149.5955833250912,49.48260929778239,98.75959704056757,124.85210849188967,141.4594801471727,153.28182929469406,11.692289706678926,15.201748736461884,22.376916997999178,31.02540217415178,37.67371667603037,14.840996372013784,19.614962984648177,26.715205264598794,34.488704432067635,42.06739322442732,2.3155639756167608,10.161909342233272,63.863483276950305,77.87966220574309,86.16605457745928,6.5859507683408065,50.84193586466299,68.98951245476677,78.291150117698,86.49556016923013,5.562413546171032,5.76681566451422,9.12749771559751,14.674574632958958,18.52823279793856,5.653157542155294,5.9559465432858865,9.049389772396841,10.363264632277168,13.026050297115793,12.819934585573854,14.216884815783082,16.45545142202174,19.136326690425832,21.35672006787287,12.898684238688167,14.233709567984407,16.21276444910038,18.38412982635816,20.14261600889431,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817,2.9822122036807817
2122,44.701009490087614,56.202381092236195,118.53463719351649,139.01283410974366,151.305139857485,49.89331486431106,100.0060952672422,126.31440479740563,143.06326630950963,154.96113130123004,11.782677662813786,15.31517394990371,22.56410299727407,31.29178421984709,38.049380598985756,14.906680963469192,19.7528805580556,26.943251418156542,34.82272615188253,42.50585062525128,2.3299780200767737,10.482442499964376,64.86823659671644,78.9042706082651,87.23086957881304,6.6276042035112415,51.47422394129828,69.91938525208006,79.26254339510885,87.59117062640742,5.607918453948968,5.8167129462442375,9.215954053690867,14.84101674362176,18.75201687725412,5.700457576093038,6.008422110542746,9.136173740523482,10.473323935490916,13.180641534287373,12.918967683362563,14.334037502547918,16.5921310575805,19.292323095801684,21.52824925525235,12.999923258746199,14.346647898904711,16.343519746207978,18.541572596930255,20.31384356096647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647,3.0251437205396647
2123,45.07961565517851,56.848778467383895,119.9860448669848,140.69733778913684,153.0330990545827,50.29067877970914,101.27877876041428,127.77197803052725,144.74524121149926,156.75947069957385,11.848927302586283,15.444251080592323,22.757618726392327,31.58797696869865,38.403130807994046,14.991717728773288,19.915381022080343,27.1525180240216,35.19458215020277,42.94730362468054,2.3422460296351932,11.072503864492392,65.88888531445137,79.9012825012394,88.28498256561919,6.674776140293066,52.328143892362306,70.85706276498443,80.19815858339912,88.65679610556099,5.653187328975364,5.866448117839918,9.302651580953157,15.005902639883514,19.00807744330428,5.74751929904757,6.060652741825602,9.220667346258649,10.585500732836417,13.345845044089247,13.015806130506355,14.451379161976508,16.72419747188771,19.450514789857305,21.701284148099774,13.106521230278114,14.460610944434894,16.47624923588282,18.694827243542818,20.491504339462942,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264,3.098689179364264
2124,45.41850351637198,57.809318090584505,121.455671889862,142.3207493486162,154.84985581807172,50.63519974577391,102.69532688917585,129.16755095442224,146.30337658510842,158.48943454754453,11.918255912223014,15.553506822926456,22.93788226489718,31.883775006167863,38.77091933064772,15.058158491042144,20.06194912963073,27.371339034110964,35.55486741633406,43.366873236671026,2.359087949522022,11.22152103248858,66.9065101973695,80.9101463133735,89.37243356407953,6.750244593714538,53.44332465008685,71.79366205533998,81.18002925398783,89.70264636543187,5.69881907923703,5.915644494002457,9.390173093962996,15.161165950452807,19.259792321179063,5.794061190194024,6.113574545724191,9.304893290064019,10.700000034018,13.512276506267074,13.106895362008066,14.563578878228112,16.85904805423761,19.600283051897275,21.878497346594905,13.201063098098187,14.574769122802511,16.613061980264106,18.851342519779184,20.668901738183465,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296,3.1419760781929296
2125,45.7508769457675,58.57872361071837,122.89421450028587,143.9557320606906,156.6424229850331,50.97764800797158,104.05857661130442,130.6465011469668,147.87155433011327,160.18272782776398,11.981362067086183,15.666572391635041,23.119932293848663,32.16519697094512,39.157583623351194,15.142281903370902,20.188795668910906,27.623938411942135,35.87755909726316,43.77236348007826,2.3783566164728835,11.425308114763451,67.93228806683938,81.94770764662533,90.46181493341732,6.822067829114634,54.359672957395944,72.73489165160022,82.16917757717044,90.74093179838714,5.743709802699648,5.964686503741656,9.482240738579018,15.319249896057777,19.503128064681956,5.8413064449363326,6.166303909059666,9.388550648041523,10.809401577734292,13.677425456879504,13.198530209860229,14.676888295197953,16.99682768106829,19.760797190664373,22.053253883489877,13.290012176315743,14.689372599528461,16.745570082581377,19.003917814023346,20.83518808743786,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546,3.1859253842005546
