year,slr_p05_unw,slr_p17_unw,slr_p50_unw,slr_p83_unw,slr_p95_unw,slr_p05,slr_p17,slr_p50,slr_p83,slr_p95,te_p05_unw,te_p17_unw,te_p50_unw,te_p83_unw,te_p95_unw,te_p05,te_p17,te_p50,te_p83,te_p95,ais_p05_unw,ais_p17_unw,ais_p50_unw,ais_p83_unw,ais_p95_unw,ais_p05,ais_p17,ais_p50,ais_p83,ais_p95,gis_p05_unw,gis_p17_unw,gis_p50_unw,gis_p83_unw,gis_p95_unw,gis_p05,gis_p17,gis_p50,gis_p83,gis_p95,gsic_p05_unw,gsic_p17_unw,gsic_p50_unw,gsic_p83_unw,gsic_p95_unw,gsic_p05,gsic_p17,gsic_p50,gsic_p83,gsic_p95,lws_p05_unw,lws_p17_unw,lws_p50_unw,lws_p83_unw,lws_p95_unw,lws_p05,lws_p17,lws_p50,lws_p83,lws_p95
2255,80.26320487131873,213.3590091071963,305.9109445732572,353.3773421702131,391.49915215740447,139.37512344304233,275.0050989663816,316.6323044763317,363.62076669932577,400.2487197694455,17.999366781992297,27.35884415360607,45.24412574965129,70.09146747885507,92.03280910609573,22.68061534022478,34.688901234886444,56.44772662954754,84.15548296787668,104.5409935322146,5.971095287984873,128.88424094713068,197.93370874605552,218.38003369684074,243.93099393314228,69.043405894687,181.93031088982417,197.89419175996633,218.49778537987476,245.92900921096185,11.299135722080763,12.266361285530136,20.986368774139173,38.667949327236286,59.12409592805886,11.8826273609453,13.733611236012287,21.75440838512661,27.96310886297815,43.30071368937259,21.64080875005557,23.468781802737205,26.530113721163804,31.481074600703984,33.52914463551261,22.704976849811995,24.380847349358323,27.886033020921317,30.897541207036404,32.613583941997696,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006,7.436373885665006
2256,80.44554194848325,214.0442757466658,307.20435008128885,354.8671347302996,393.16999976177124,139.7521752968432,275.9941906729725,317.9086880498661,365.15092137913956,402.14562262289695,18.002513206993505,27.41949913079059,45.392313611775805,70.34191629913458,92.36675737806732,22.695085109716757,34.73524656309071,56.626008785289144,84.4802900252491,104.97845868401403,6.005682054355648,129.63603457124586,198.88062259182263,219.40378163964832,245.23313717591148,69.41504968869744,182.80812125727476,198.81116437737887,219.5246164370967,247.13405746695466,11.338984766665284,12.312214841401998,21.06726911821255,38.83838966195117,59.44564270023263,11.926057038545396,13.78804528833078,21.841002448754516,28.08993216559318,43.48437842449287,21.676364610607017,23.494412706296274,26.576523632042083,31.51364117217586,33.546884801479415,22.746750568730047,24.409282114436287,27.932004053873907,30.92759254679487,32.6380900387562,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852,7.452246674598852
2257,80.59022792583269,214.76884277695245,308.4507917192037,356.3818512879114,394.9287081309995,140.2963874273193,277.07153956527645,319.16633835921107,366.68297650177385,403.96042927736664,18.011018095662997,27.46445875669478,45.515523820011595,70.61088205269685,92.69715172872371,22.671126501998987,34.78926626529453,56.784919528675495,84.81610016627685,105.41026606666844,6.04783033192174,130.216267823237,199.84334545290284,220.44485259934262,246.51222161363694,69.4527292743008,183.68286116435144,199.71629455613595,220.56392191593793,248.382998728358,11.377997913782202,12.35791948795197,21.1483614740418,38.998092944471935,59.75950932815153,11.968674833839417,13.842242537905928,21.9267111310617,28.212377159197423,43.68754915932415,21.708734971861418,23.511770290478303,26.62483930685036,31.545948722861173,33.56560484928748,22.786432403537393,24.4337107847885,27.974462831691095,30.957558495447522,32.662675056438886,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126,7.447838890284126
2258,80.75354938206564,215.58850552744866,309.70070341846093,357.8989166436209,396.6909804407251,140.79140596141002,278.1176751706101,320.3990087643006,368.22007803027174,405.6623982861404,18.023312332167297,27.51928802102846,45.64966074582388,70.84359781469334,93.06847885206689,22.67100153714665,34.86476654025447,56.951060563641,85.1036883892248,105.85536650387995,6.083254684349416,130.8516060537358,200.80434408461167,221.48354452283257,247.77412007149186,69.51722578439094,184.53745080767447,200.62811069473742,221.62646743650095,249.6529061597029,11.416840276388122,12.40402319446941,21.230019982758463,39.160804229250616,60.05999691358108,12.011052837751143,13.898044008190066,22.01391469367659,28.335682440599705,43.86671426511415,21.74141128305596,23.511770290478303,26.67049342292161,31.576526187910034,33.583679779815235,22.81528048156392,24.450033299762037,28.021579652069942,30.98563793769698,32.685467755574216,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262,7.456075058037262
2259,80.97781528966595,216.4858496557814,311.01759949736754,359.42697664484024,398.46433306283825,140.98927120306897,279.24241953618707,321.6802177812986,369.7860568367135,407.47212149737584,18.044240045775343,27.566607431592445,45.77791183820726,71.0848316670603,93.43823356841209,22.70491172403524,34.905845089852406,57.112971366924434,85.41482570005105,106.2880720377859,6.124166988872853,131.43105143139792,201.7725682474068,222.51731346758643,249.1074310841691,69.61922632461484,185.41137950306504,201.54578855241002,222.6614903539879,250.97618978495353,11.455591133446644,12.450320628105906,21.312046137943064,39.329975532720525,60.35798707772589,12.05302646287147,13.955590451821408,22.100657701366803,28.46690752867214,44.039162963568316,21.776571611830974,23.52022846241206,26.71755190660085,31.6065345214394,33.59884922802919,22.847827090608014,24.455380637992363,28.0675250697246,31.012449661688773,32.70628654462022,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793,7.511413607200793
2260,81.19155069129883,217.12998926271118,312.3074174400565,360.93453079473966,400.1650367206697,141.25306993771648,280.3755870224738,322.9262262611613,371.321496100799,409.33429030989987,18.062779411121085,27.625528043473633,45.90987454658174,71.33631941564855,93.8048221656203,22.694319058113575,34.98089821444234,57.2526063618466,85.72271911379765,106.69467757448831,6.1632411233849735,132.02942672794217,202.72555261801023,223.53761004365862,250.36779035304562,69.61425035837644,186.28802805288856,202.46681958247717,223.73370375917642,252.2746757197256,11.494550998328986,12.496400385098758,21.392858157974402,39.49703332890412,60.662785095562846,12.095015596293546,14.013100714750626,22.18916981018939,28.596265398721258,44.24389121410358,21.81160915618265,23.547285394969443,26.76263112982921,31.635886505842095,33.61523768502848,22.878856642200773,24.455380637992363,28.10894615397325,31.03978187783641,32.727169155065184,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482,7.555706851517482
2261,81.41598438209792,217.98374979478646,313.6006639300898,362.48611163409157,401.95860100856527,141.4531194870617,281.49913186882173,324.21300408200506,372.9012924999277,411.2498334164706,18.07133873726436,27.665533288766497,46.036656297006644,71.57887020120295,94.13330477608807,22.716378822039086,35.02980869712594,57.40600851916988,86.00291565371094,107.09909676741441,6.1990594852499035,132.73700399296303,203.70878375753227,224.57711881324457,251.6183819005066,69.66437787927451,187.1642550492612,203.39507107656266,224.78918736868584,253.51459569519116,11.53371096566299,12.54228509529936,21.473171531041757,39.65897732107886,60.971052597627065,12.137756850862779,14.070944489968182,22.27439917090793,28.719874872559185,44.43750124285831,21.845039755677366,23.57103767329261,26.80749496971179,31.66646175170323,33.630326313967586,22.907292682239238,24.455380637992363,28.15081425379821,31.06710135029654,32.74614806487761,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029,7.623861445794029
2262,81.60624603614067,218.80049953399958,314.88813560744836,363.9938046875711,403.6573679455006,141.6490438741141,282.5518588871481,325.4947794124943,374.44469429121835,413.1284440019993,18.06631425277041,27.71193901683436,46.16677971584194,71.82154509996344,94.4893209630203,22.71415816699573,35.09999206213071,57.56945928459862,86.32106985986839,107.49258013186801,6.228275860087468,133.33411182294665,204.68072494771752,225.60911654610433,252.92081575964016,69.71074045709622,187.98416100326625,204.33340815891887,225.85819818171376,254.7486700938036,11.572280522989002,12.588095370507759,21.554780268836147,39.82777946951671,61.307479961285715,12.17930803329002,14.126779744086491,22.35825248308619,28.84325363006586,44.627278048596274,21.87650176840752,23.59523882838375,26.853401798458044,31.69594610813874,33.64369612146037,22.932175750337986,24.455380637992363,28.19259234492283,31.091974208134623,32.76675897352311,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765,7.661947618755765
2263,81.77818796042297,219.6914358364293,316.14222509342846,365.45460251024014,405.38758085189244,141.83851091010726,283.5754207291883,326.7324644728024,375.9704424003581,414.9953018210976,18.07681353184497,27.75634490281286,46.301517949566,72.06785961561744,94.86368743602031,22.746129122587245,35.158778159111016,57.70787240605159,86.59157900124062,107.90240685134155,6.26433476431664,134.18127441905574,205.65802388442893,226.6479432628197,254.1804617734351,69.72325635691203,188.85343377286466,205.25890012726487,226.9019818656741,256.0247349333905,11.611348577487234,12.63339767959959,21.635557080371548,39.99227286516791,61.599549931316965,12.221999059814578,14.184144380984314,22.44571193137696,28.96175281847998,44.83130346180789,21.907112173699193,23.616824452505263,26.89720948011128,31.72269484316999,33.65331178843389,22.968121387133255,24.455380637992363,28.233615890761925,31.116849916744084,32.78797841993872,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016,7.681757568113016
2264,81.99086083557279,220.46700727416288,317.4428839579442,366.9370752373814,407.14410447151585,142.14010187103545,284.65837764704156,328.01001408080174,377.4849660571255,416.79833344003083,18.081455887156014,27.808400644399207,46.42391994554218,72.32141311341296,95.22229942922053,22.73363574645789,35.22247122144988,57.85439171963802,86.91751274829176,108.3129201181912,6.301680855457729,134.84957992300966,206.625033113389,227.68290520659124,255.49506636522824,69.78033432287651,189.72931295593318,206.16445677855074,227.97152855379233,257.2691067973818,11.65024451107533,12.678784295879256,21.715965391733903,40.16192287745111,61.911486788989286,12.26448058893349,14.239747486830787,22.53141894360422,29.088971753067362,45.03119525639912,21.938829497645152,23.630205735234984,26.94142506240876,31.749838825295512,33.665013071646776,22.998500164279545,24.455380637992363,28.27290971873747,31.142855256360587,32.807332873474714,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975,7.731458684318975
2265,82.18151609323269,221.16961617167942,318.7344304929753,368.4160066702113,408.8996046002698,142.2596520820615,285.77627566565707,329.2420239355912,379.01680441105935,418.62315355269544,18.092084623677664,27.851583385269,46.55718675696663,72.55362086361451,95.57064657562988,22.759653251319133,35.29740869873464,58.0173777962551,87.23698384115715,108.7393276800892,6.339672132316846,135.33857139049334,207.60095514359793,228.72496037254672,256.7592723459892,69.8068715365665,190.6184227117405,207.0982866059805,228.99636930419263,258.5170532529011,11.689711089536047,12.724625721521583,21.797088962508226,40.317189267651614,62.23253082269557,12.306843398546235,14.295099684791415,22.616710945016685,29.210911071551255,45.21524365040889,21.96873857729432,23.630205735234984,26.983871211088875,31.778330971140484,33.675280048094194,23.02658582046549,24.455380637992363,28.312597803319008,31.1685168930033,32.82553140630203,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935,7.766448428063935
2266,82.34040515958996,221.74625784761108,319.97981200451454,369.8929334877663,410.6614490530016,142.35887473393635,286.84903158668726,330.4953708825007,380.511316506366,420.38516853922,18.101371954940785,27.905110177631784,46.67928185885979,72.80298138992522,95.90613700572713,22.776948337198043,35.355774606366005,58.15206044302995,87.53827715351979,109.15732058873164,6.371663884355067,136.0164546119539,208.5763250879684,229.75616087731265,258.04630371324845,69.8398446722366,191.5102183397041,208.0155332597726,230.0591085780241,259.8388794322321,11.72860500671782,12.77020323222775,21.87760107100982,40.47910879215346,62.54688995562091,12.348792725645774,14.351561235223773,22.705405575250623,29.33242267876474,45.404730969286604,22.003539745221524,23.630205735234984,27.026354964442486,31.806185329589606,33.68498787294112,23.056889322801705,24.455380637992363,28.353032392607584,31.196619063260567,32.84441478502682,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616,7.794094688202616
2267,82.54667335916805,222.49580738680024,321.2357173103193,371.3761042329007,412.33578016757536,142.55868268518182,287.91862009767493,331.7686117729149,382.05583270383727,422.1890654960838,18.10930417504467,27.95807494376569,46.80338135225891,73.04784638010815,96.25042210556829,22.78522447300889,35.42811692935808,58.331585547058374,87.8419196528478,109.5674538671162,6.4218758952538115,136.73463327288988,209.53626232388865,230.8099287710252,259.36914736606656,69.8740780985319,192.41750824966272,208.9412384796074,231.1386943185419,261.15309808871353,11.76735596217652,12.81605790451371,21.95907397937944,40.63762221130269,62.83101763452646,12.390673217019822,14.406881844573933,22.793762165623292,29.45664910286078,45.605652243381115,22.035626532749994,23.639434651710094,27.070448741247148,31.8328976000659,33.69629017655934,23.081592995918086,24.46570509488252,28.393953498306026,31.22157915948241,32.8621666397976,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058,7.83083838605058
2268,82.7090910272393,223.31711789425714,322.534612160037,372.8783330142714,414.0873161864811,142.92315833935095,288.99093732761776,333.04468842541576,383.6202716428394,424.03051517715187,18.112140567733054,28.014035373219965,46.9442947044019,73.30672956766873,96.6179540294108,22.82540534062542,35.49815157823991,58.48623992093911,88.13166530838598,110.01192755022038,6.453910339093224,137.18823903228795,210.50111940872824,231.85622997576493,260.6272099301224,70.02926219468829,193.26832277263742,209.8777177564643,232.2198382016781,262.45963399118324,11.805684872802052,12.861471869635478,22.038451900264548,40.79589474144604,63.14505510438826,12.432509785522198,14.463471720199497,22.87861830771967,29.57911623059794,45.79338307616319,22.0653784074933,23.66130815022463,27.112091115985244,31.859244279424512,33.706639988427185,23.109550372191325,24.46570509488252,28.432467345302697,31.248844489357722,32.883625056368466,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168,7.869658881974168
2269,82.90574046911374,224.31747560975896,323.8023843694766,374.3950180815893,415.82862053935673,143.13667335691716,290.09921689275257,334.3077459096393,385.1905794867457,425.8717256035284,18.113340909792115,28.068482444562743,47.071820283353034,73.5481116380264,96.96718396644987,22.82430357283359,35.5893172122652,58.64559775613473,88.4265239288419,110.43292133464904,6.486881579794659,137.85131760890158,211.4529219677965,232.9061773240909,261.9714535868718,70.49431708464004,194.17180792198005,210.79778918695658,233.25911109198725,263.71306247970153,11.844010720084594,12.906714353542062,22.116269745273478,40.964643818473654,63.43750915473243,12.47605891502093,14.514998221056702,22.96500145630257,29.704048275915323,45.989112192559276,22.100419683917238,23.683559356421362,27.154003373742597,31.882386755532345,33.72180876955823,23.12417660044261,24.46570509488252,28.471431360937228,31.274475959961773,32.89760796693007,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257,7.916112135687257
2270,83.07748614681992,225.3062912155737,325.04319836811294,375.8734441832094,417.53628633534214,143.29587133066622,291.17581264580554,335.5353053160895,386.7232183302445,427.6201809539859,18.11662979022252,28.116869530877892,47.21063043941499,73.79950493132475,97.31916082649295,22.80824999508953,35.6508232368485,58.801580062877086,88.74103903419845,110.83258668726349,6.519325774018651,138.46090843283218,212.43515596135978,233.93882015166398,263.2916237618303,70.59112521712713,194.9656990954486,211.72106285944133,234.33710057535,264.9461228039494,11.882683752881379,12.952366197410148,22.19543017723953,41.131562348525755,63.748335305057736,12.517361738213483,14.570360644185337,23.047450558989084,29.820657737223826,46.168464831788185,22.130140371333663,23.69893702680011,27.19519938086409,31.906498328345137,33.73587900182768,23.133751045899952,24.46570509488252,28.510802362356596,31.299313418979082,32.91826537467161,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388,7.932031571468388
