year,delta_slr_p05_unw_cm,delta_slr_p17_unw_cm,delta_slr_p50_unw_cm,delta_slr_p83_unw_cm,delta_slr_p95_unw_cm,delta_slr_p05_cm,delta_slr_p17_cm,delta_slr_p50_cm,delta_slr_p83_cm,delta_slr_p95_cm,delta_slr_mean_cm,delta_slr_mean_unw_cm,n_tuples
2134,-0.00939927408176402,-0.007824073405006118,-0.006111077554791677,-0.0047178294598196405,-0.0038702977216882317,-0.00996733237332316,-0.008537874581373171,-0.0068651181132916295,-0.00547205023453589,-0.004455577681758978,-0.019707797364418495,-0.021761676997077286,10000
2135,-0.00945606210905794,-0.007865009976310091,-0.006139040085422209,-0.004735226157465888,-0.0038822673843103674,-0.010034414797758576,-0.008584717261313275,-0.006900129430265229,-0.005493871238764374,-0.004466892075763887,-0.019739479938153327,-0.02178725803706722,10000
2136,-0.009516387830867501,-0.007912362831077928,-0.006169522419881446,-0.004754101305286369,-0.003895577445565835,-0.010093470963369837,-0.008632172803086929,-0.006931806210347126,-0.005514329719171166,-0.004483059370855119,-0.019771772435146554,-0.02193134422674522,10000
2137,-0.00957089509734601,-0.007953571382717826,-0.006198673989587178,-0.004772635598376099,-0.0039102087100531,-0.010163147550422313,-0.00867840887704514,-0.006966992916355998,-0.005534034939583603,-0.004498921107412823,-0.019802848228964078,-0.021956300572287698,10000
2138,-0.0096297135497025,-0.007996840639616209,-0.006227638718563355,-0.004789885915586893,-0.003924174006855811,-0.010218334603193458,-0.0087187015277108,-0.00700148304873933,-0.005558572890097943,-0.004513132821775368,-0.019836235510295612,-0.02209979689394498,10000
2139,-0.009689071899087765,-0.008039883808791615,-0.006254841368033226,-0.0048086634164222625,-0.0039372505702903755,-0.0102856137832859,-0.00877476276729604,-0.007034274546047246,-0.005578653849025131,-0.004523608483115256,-0.01988651711064611,-0.022330522150030497,10000
2140,-0.009742242057532735,-0.008081003205259379,-0.006284094190363021,-0.004825168564288944,-0.003949556532076315,-0.010347724853826477,-0.008814810219107598,-0.007069301837469271,-0.00560301600986145,-0.004530473424663479,-0.0199168989347964,-0.02235518824812551,10000
2141,-0.009806504478943623,-0.008124166501454795,-0.006312528962027386,-0.004841069902224149,-0.0039620730766522175,-0.010408974517330217,-0.008866004052863002,-0.0071034644258037806,-0.0056215150769652195,-0.004538923321746252,-0.019997470237786197,-0.02261761482265335,10000
2142,-0.009864079611659804,-0.008165283970012779,-0.006339854844682691,-0.004856066135864551,-0.003970737467070507,-0.010475325537950636,-0.008910139903395434,-0.007135426942309356,-0.005641987097612079,-0.004553868942668772,-0.02039440148330962,-0.022848332383233815,10000
2143,-0.009918621215371104,-0.008207849841467692,-0.0063672147693196735,-0.004872401169047294,-0.00397963092902387,-0.010536428054931605,-0.008953268217440094,-0.0071671158570835595,-0.005664924981578038,-0.004565660933367933,-0.02043027960275469,-0.022876492424116535,10000
2144,-0.009981059311560615,-0.008246571061569626,-0.006394569999685018,-0.004889009658515917,-0.003987462345107673,-0.010595584273689269,-0.008998071199078797,-0.007199851483671405,-0.005687880707083416,-0.004577977117025111,-0.020459478496055124,-0.022898322123077235,10000
2145,-0.010035221293834695,-0.008286628563769084,-0.006422128034955676,-0.004905701899228987,-0.003997184147248589,-0.010659141259887619,-0.00905382028327145,-0.007232469772026865,-0.005705754821612318,-0.0045878762175523445,-0.020488372719399864,-0.022920094333275416,10000
