version,species,unit,component,year,n,ess_fraction,q05,q50,q95,mean,q05u,q50u,q95u,meanu
pre93,ch4,cm/Tg,gsic,2100,10000,0.4999,6.864949766096428e-05,9.753427099546433e-05,0.00014067068250830003,0.00010048181826568931,6.958854020666644e-05,9.979420220141047e-05,0.00014298467143451,0.00010237621359719356
pre93,ch4,cm/Tg,gsic,2150,10000,0.4999,4.701009573091546e-05,8.0559995893383e-05,0.00012427910320317182,8.2342176135144e-05,4.741120577733673e-05,8.220865428399987e-05,0.00012518362010289285,8.364792022686363e-05
pre93,ch4,cm/Tg,gsic,2300,10000,0.4999,0.0,2.253059977779696e-05,7.662289419006313e-05,2.777743557619238e-05,0.0,2.2376316138662815e-05,7.715108349160194e-05,2.7839135745261246e-05
pre93,ch4,cm/Tg,gis,2100,10000,0.4999,0.0002665813453872616,0.0005725786368479548,0.001172450311824214,0.0006276934791222989,0.00026751770692001736,0.0005778780799659362,0.0011868436473607077,0.0006337273156481964
pre93,ch4,cm/Tg,gis,2150,10000,0.4999,0.0002873739170466835,0.0006193632754997564,0.0012746815711109495,0.0006776286622396116,0.00028863383674426686,0.0006246815202786312,0.001288773389689094,0.0006859662133714224
pre93,ch4,cm/Tg,gis,2300,10000,0.4999,0.0002600932057377872,0.0005366684327055427,0.0010371873409027428,0.0005754685476443376,0.0002605227478156276,0.00054042450656771,0.0010520317600397244,0.0005819212191082609
pre93,ch4,cm/Tg,te,2100,10000,0.4999,3.6960452391284846e-05,5.80982868227604e-05,9.118533728054871e-05,6.014950525397796e-05,3.622370994005306e-05,5.6025768065737686e-05,8.45878736317811e-05,5.7759882569155786e-05
pre93,ch4,cm/Tg,te,2150,10000,0.4999,2.6553237437793678e-05,4.767406238913362e-05,7.834307768875624e-05,4.965154114943619e-05,2.5891497642760353e-05,4.620008869693982e-05,7.294991831585837e-05,4.758964132779759e-05
pre93,ch4,cm/Tg,te,2300,10000,0.4999,9.023334335305441e-06,2.826990328251965e-05,5.5447419772384156e-05,2.9519581700039574e-05,8.436206314854605e-06,2.7078464091446632e-05,5.14221898697554e-05,2.815959923191966e-05
pre93,ch4,cm/Tg,lws,2100,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre93,ch4,cm/Tg,lws,2150,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre93,ch4,cm/Tg,lws,2300,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,co2,cm/GtCO2,total,2100,10000,0.5,0.0032949769495088377,0.005357567309454167,0.008685042653428642,0.012679852657160692,0.0031512452295601157,0.005074160264939604,0.00824416216289667,0.01088457698898882
brick2,co2,cm/GtCO2,total,2150,10000,0.5,0.004019806678535369,0.007352016964672599,0.013228014497363027,0.014697425979181928,0.0038574401656887853,0.006944961138089026,0.012629975998380442,0.012844305934962321
brick2,co2,cm/GtCO2,total,2300,10000,0.5,0.0042079245304173386,0.010674722495198035,0.027325547063979105,0.02281249268678239,0.004051179985253835,0.010029581591198041,0.02635071397208632,0.021615302960084862
brick2,co2,cm/GtCO2,ais,2100,10000,0.5,-0.0007005232981908547,0.0001437868085132791,0.0018823416737697779,0.007425719342909449,-0.0006727167489728479,0.00013137446686074187,0.0018584035444751087,0.0058815535222884316
brick2,co2,cm/GtCO2,ais,2150,10000,0.5,-0.0010776166927686458,0.0004401652160217542,0.004531498121672813,0.007818088386312443,-0.0010346083691104044,0.00040853528204820973,0.00431724036218652,0.006275257013512656
brick2,co2,cm/GtCO2,ais,2300,10000,0.5,-0.0022588479214476482,0.0015842591303121107,0.016723739146411985,0.013984504648531043,-0.002164762682355137,0.001420154242737475,0.01603653252006291,0.013182720185627425
brick2,co2,cm/GtCO2,gsic,2100,10000,0.5,0.0010215327245502472,0.001452402031750178,0.002001945680728237,0.0014763771341950514,0.0010029143361123256,0.0014260407189326104,0.001973685737155837,0.0014496500849312266
brick2,co2,cm/GtCO2,gsic,2150,10000,0.5,0.0008755689128272183,0.001683886004872113,0.0026041401291243167,0.0017081577690366567,0.0009035145236424522,0.0016620301799719157,0.002570840415928972,0.0016931787273919063
brick2,co2,cm/GtCO2,gsic,2300,10000,0.5,0.0,0.0006786728619095254,0.0030345954611343787,0.0009842522390617339,0.0,0.0007157276755265646,0.003047925755340296,0.0010117089232689303
brick2,co2,cm/GtCO2,gis,2100,10000,0.5,0.00011422563049783891,0.0005009962705394736,0.001448230654246795,0.000602058711250634,0.00011423109569363945,0.0004949232579321195,0.00142829199134605,0.0005948078073600893
brick2,co2,cm/GtCO2,gis,2150,10000,0.5,0.00018223094447871306,0.0008276049795658495,0.0025020416068774645,0.0010126295191909605,0.0001805093230444753,0.000814067586674201,0.0024726266108396123,0.000998182874053768
