,rgi_reg,model_author,temp_ch_ipcc,gcm_period_scenario,min_perc_change,resp_time_-50%,resp_time_-80%,resp_time_-90%,diff_resp_time_-50%,diff_resp_time_-80%,diff_resp_time_-90%
16,All,GLIMB,1.664909941388102,ipsl-cm6a-lr_2021-2040_ssp585,25,239.0,737.0,1215.0,121.0,392.5,662.5
17,All,GLIMB,1.6781632715811343,ipsl-cm6a-lr_2021-2040_ssp370,25,244.0,760.0,1251.0,123.0,409.0,662.5
18,All,GLIMB,1.6787497715238051,gfdl-esm4_2041-2060_ssp126,25,257.0,834.0,1407.0,108.0,370.0,630.0
19,All,GLIMB,1.6844760802167618,gfdl-esm4_2081-2100_ssp126,25,232.0,743.0,1271.0,115.0,407.0,710.5
20,All,GLIMB,1.695689895147091,mpi-esm1-2-hr_2061-2080_ssp126,25,249.0,810.0,1380.0,99.0,338.0,553.0
21,All,GLIMB,1.7054887108734946,mri-esm2-0_2021-2040_ssp370,25,246.0,783.0,1321.0,129.0,445.5,755.5
22,All,GLIMB,1.7263241376269964,mri-esm2-0_2021-2040_ssp126,25,229.0,728.0,1236.0,117.5,402.0,684.5
23,All,GLIMB,1.7300556075408982,gfdl-esm4_2061-2080_ssp126,25,236.0,766.0,1297.0,89.0,291.0,469.0
24,All,GLIMB,1.9117346788457827,mri-esm2-0_2021-2040_ssp585,25,212.0,681.0,1166.0,101.5,360.0,630.0
25,All,GLIMB,1.9477879408841847,mri-esm2-0_2081-2100_ssp126,25,225.0,685.0,1136.0,112.5,349.5,564.0
26,All,GLIMB,1.996245046811256,mri-esm2-0_2041-2060_ssp126,25,198.0,639.0,1098.0,97.0,331.5,462.5
27,All,GLIMB,2.049075466844948,ipsl-cm6a-lr_2041-2060_ssp126,25,184.0,576.0,971.0,88.5,308.0,527.5
28,All,GLIMB,2.0496075314919837,gfdl-esm4_2041-2060_ssp370,25,213.0,686.0,1154.0,101.5,339.5,377.5
29,All,GLIMB,2.0912659163195166,mri-esm2-0_2061-2080_ssp126,25,187.0,601.0,1029.0,84.5,265.5,284.5
30,All,GLIMB,2.092677030991532,mpi-esm1-2-hr_2041-2060_ssp370,25,203.0,648.0,1090.0,97.0,327.0,538.0
31,All,GLIMB,2.1396524250416253,mpi-esm1-2-hr_2041-2060_ssp585,25,219.0,708.0,1184.0,111.0,348.0,544.5
32,All,GLIMB,2.1712205231308155,ipsl-cm6a-lr_2081-2100_ssp126,25,167.0,540.0,926.0,78.5,271.0,438.0
33,All,GLIMB,2.1761438977250376,ukesm1-0-ll_2021-2040_ssp126,25,167.0,558.0,985.0,76.5,275.0,461.0
34,All,GLIMB,2.189115489502097,gfdl-esm4_2041-2060_ssp585,25,207.0,666.0,1132.0,104.0,368.0,635.5
35,All,GLIMB,2.191208340613269,ipsl-cm6a-lr_2061-2080_ssp126,25,166.0,542.0,933.0,78.0,284.0,499.5
36,All,GLIMB,2.3197325111266047,ukesm1-0-ll_2021-2040_ssp585,25,155.0,531.0,953.0,73.5,279.0,503.5
37,All,GLIMB,2.3233173057330725,ukesm1-0-ll_2021-2040_ssp370,25,149.0,520.0,957.0,64.5,262.0,515.0
38,All,GLIMB,2.404955505633247,mri-esm2-0_2041-2060_ssp370,25,174.0,555.0,950.0,83.0,285.5,478.5
39,All,GLIMB,2.5948271367994478,ipsl-cm6a-lr_2041-2060_ssp370,25,157.0,503.0,867.0,73.0,253.0,433.0
40,All,GLIMB,2.687006726396547,mri-esm2-0_2041-2060_ssp585,25,143.0,484.0,876.0,68.5,261.0,490.5
41,All,GLIMB,2.718961154542893,mpi-esm1-2-hr_2061-2080_ssp370,25,177.0,578.0,986.0,83.5,299.5,524.5
42,All,GLIMB,2.7398348752990143,ukesm1-0-ll_2041-2060_ssp126,25,125.0,472.0,912.0,58.0,252.5,492.0
43,All,GLIMB,2.8141615409733487,gfdl-esm4_2061-2080_ssp370,25,160.0,521.0,926.0,74.5,259.5,461.0
44,All,GLIMB,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,136.0,439.0,755.0,61.5,209.5,335.5
45,All,GLIMB,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,166.0,531.0,898.0,77.5,266.5,455.5
46,All,GLIMB,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,106.0,415.0,817.0,46.5,215.0,439.0
47,All,GLIMB,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,103.0,399.0,757.0,47.0,215.5,406.0
48,All,GLIMB,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,157.0,503.0,864.0,72.0,252.5,436.0
49,All,GLIMB,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,135.0,425.0,733.0,66.0,217.0,371.5
50,All,GLIMB,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,109.0,385.0,717.0,53.0,200.0,378.0
51,All,GLIMB,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,144.0,462.0,777.0,63.5,189.0,311.0
52,All,GLIMB,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,117.0,391.0,695.0,56.5,205.0,371.5
53,All,GLIMB,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,134.0,443.0,798.0,63.0,228.5,429.0
54,All,GLIMB,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,121.0,384.0,662.0,61.5,216.0,382.0
55,All,GLIMB,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,97.0,373.0,719.0,46.5,194.0,375.5
56,All,GLIMB,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,113.0,348.0,583.0,56.0,184.0,299.5
57,All,GLIMB,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,124.0,404.0,697.0,56.5,177.0,315.0
58,All,GLIMB,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,118.0,379.0,665.0,57.0,192.0,354.0
59,All,GLIMB,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,96.0,322.0,575.0,47.5,167.0,301.0
60,All,GLIMB,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,75.0,268.0,484.0,37.0,144.0,250.5
61,All,GLIMB,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,92.0,278.0,461.0,48.5,168.5,289.5
62,All,GLIMB,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,85.0,288.0,515.0,43.0,162.0,298.0
63,All,GLIMB,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,60.0,221.0,403.0,29.0,120.5,219.5
64,All,GLIMB,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,52.0,180.0,322.0,26.5,108.5,199.5
65,All,GLIMB,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,63.0,208.0,360.0,32.5,119.5,207.5
66,All,GLIMB,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,41.0,139.0,251.0,20.5,86.0,160.5
67,All,GloGEMflow,1.636714986028974,ipsl-cm6a-lr_2021-2040_ssp126,25,87.0,257.0,481.0,-30.5,-95.0,-137.0
68,All,GloGEMflow,1.6599956464695365,mpi-esm1-2-hr_2081-2100_ssp126,25,82.0,245.0,514.0,-36.0,-109.5,-151.0
69,All,GloGEMflow,1.664909941388102,ipsl-cm6a-lr_2021-2040_ssp585,25,91.0,259.0,388.0,-27.0,-85.5,-164.5
70,All,GloGEMflow,1.6781632715811343,ipsl-cm6a-lr_2021-2040_ssp370,25,81.0,237.0,393.0,-40.0,-114.0,-195.5
71,All,GloGEMflow,1.6844760802167618,gfdl-esm4_2081-2100_ssp126,25,52.0,117.0,155.0,-65.0,-219.0,-405.5
72,All,GloGEMflow,1.7054887108734946,mri-esm2-0_2021-2040_ssp370,25,45.0,91.0,118.0,-72.0,-246.5,-447.5
73,All,GloGEMflow,1.7263241376269964,mri-esm2-0_2021-2040_ssp126,25,62.0,153.0,280.0,-49.5,-173.0,-271.5
74,All,GloGEMflow,1.9117346788457827,mri-esm2-0_2021-2040_ssp585,25,53.0,126.0,210.0,-57.5,-195.0,-326.0
75,All,GloGEMflow,1.9477879408841847,mri-esm2-0_2081-2100_ssp126,25,72.0,231.0,414.0,-40.5,-104.5,-158.0
76,All,GloGEMflow,1.996245046811256,mri-esm2-0_2041-2060_ssp126,25,62.0,206.0,556.0,-39.0,-101.5,-79.5
77,All,GloGEMflow,2.049075466844948,ipsl-cm6a-lr_2041-2060_ssp126,25,55.0,132.0,195.0,-40.5,-136.0,-248.5
78,All,GloGEMflow,2.0496075314919837,gfdl-esm4_2041-2060_ssp370,25,76.0,229.0,727.0,-35.5,-117.5,-49.5
79,All,GloGEMflow,2.0912659163195166,mri-esm2-0_2061-2080_ssp126,25,66.0,256.0,775.0,-36.5,-79.5,30.5
80,All,GloGEMflow,2.092677030991532,mpi-esm1-2-hr_2041-2060_ssp370,25,73.0,222.0,387.0,-33.0,-99.0,-165.0
81,All,GloGEMflow,2.1396524250416253,mpi-esm1-2-hr_2041-2060_ssp585,25,75.0,288.0,535.0,-33.0,-72.0,-104.5
82,All,GloGEMflow,2.1712205231308155,ipsl-cm6a-lr_2081-2100_ssp126,25,58.0,161.0,321.0,-30.5,-108.0,-167.0
83,All,GloGEMflow,2.1761438977250376,ukesm1-0-ll_2021-2040_ssp126,25,56.0,171.0,317.0,-34.5,-112.0,-207.0
84,All,GloGEMflow,2.189115489502097,gfdl-esm4_2041-2060_ssp585,25,64.0,174.0,262.0,-39.0,-124.0,-234.5
85,All,GloGEMflow,2.191208340613269,ipsl-cm6a-lr_2061-2080_ssp126,25,52.0,131.0,212.0,-36.0,-127.0,-221.5
86,All,GloGEMflow,2.3197325111266047,ukesm1-0-ll_2021-2040_ssp585,25,49.0,138.0,231.0,-32.5,-114.0,-218.5
87,All,GloGEMflow,2.3233173057330725,ukesm1-0-ll_2021-2040_ssp370,25,38.0,88.0,125.0,-46.5,-170.0,-317.0
88,All,GloGEMflow,2.404955505633247,mri-esm2-0_2041-2060_ssp370,25,48.0,118.0,179.0,-43.0,-151.5,-292.5
89,All,GloGEMflow,2.5948271367994478,ipsl-cm6a-lr_2041-2060_ssp370,25,58.0,167.0,280.0,-26.0,-83.0,-154.0
90,All,GloGEMflow,2.687006726396547,mri-esm2-0_2041-2060_ssp585,25,37.0,80.0,113.0,-37.5,-143.0,-272.5
91,All,GloGEMflow,2.718961154542893,mpi-esm1-2-hr_2061-2080_ssp370,25,62.0,186.0,283.0,-31.5,-92.5,-178.5
92,All,GloGEMflow,2.7398348752990143,ukesm1-0-ll_2041-2060_ssp126,25,42.0,130.0,239.0,-25.0,-89.5,-181.0
93,All,GloGEMflow,2.8141615409733487,gfdl-esm4_2061-2080_ssp370,25,57.0,164.0,288.0,-28.5,-97.5,-177.0
94,All,GloGEMflow,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,53.0,150.0,281.0,-21.5,-79.5,-138.5
95,All,GloGEMflow,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,59.0,179.0,280.0,-29.5,-85.5,-162.5
96,All,GloGEMflow,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,37.0,109.0,213.0,-22.5,-91.0,-165.0
97,All,GloGEMflow,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,35.0,107.0,211.0,-21.0,-76.5,-140.0
98,All,GloGEMflow,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,57.0,167.0,274.0,-28.0,-83.5,-154.0
99,All,GloGEMflow,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,48.0,136.0,244.0,-21.0,-72.0,-117.5
100,All,GloGEMflow,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,37.0,112.0,209.0,-19.0,-73.0,-130.0
101,All,GloGEMflow,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,63.0,229.0,398.0,-17.5,-44.0,-68.0
102,All,GloGEMflow,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,44.0,132.0,222.0,-16.5,-54.0,-101.5
103,All,GloGEMflow,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,45.0,136.0,222.0,-26.0,-78.5,-147.0
104,All,GloGEMflow,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,42.0,113.0,195.0,-17.5,-55.0,-85.0
105,All,GloGEMflow,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,36.0,119.0,230.0,-14.5,-60.0,-113.5
106,All,GloGEMflow,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,39.0,102.0,183.0,-18.0,-62.0,-100.5
107,All,GloGEMflow,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,52.0,187.0,317.0,-15.5,-40.0,-65.0
108,All,GloGEMflow,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,46.0,139.0,231.0,-15.0,-48.0,-80.0
109,All,GloGEMflow,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,39.0,123.0,233.0,-9.5,-32.0,-41.0
110,All,GloGEMflow,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,29.0,96.0,209.0,-9.0,-28.0,-24.5
111,All,GloGEMflow,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,31.0,73.0,112.0,-12.5,-36.5,-59.5
112,All,GloGEMflow,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,32.0,96.0,171.0,-10.0,-30.0,-46.0
113,All,GloGEMflow,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,23.0,72.0,138.0,-8.0,-28.5,-45.5
114,All,GloGEMflow,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,19.0,53.0,93.0,-6.5,-18.5,-29.5
115,All,GloGEMflow,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,24.0,67.0,122.0,-6.5,-21.5,-30.5
116,All,GloGEMflow,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,15.0,38.0,64.0,-5.5,-15.0,-26.5
117,All,OGGM_v16,0.9014667339962784,gfdl-esm4_1995-2014_hist,25,112.0,260.0,398.0,-78.0,-301.0,-542.0
118,All,OGGM_v16,0.9049395549636868,mpi-esm1-2-hr_1995-2014_hist,25,127.0,328.0,591.0,-54.0,-193.0,-284.0
119,All,OGGM_v16,0.913313145803356,ipsl-cm6a-lr_1995-2014_hist,25,112.0,250.0,353.0,-60.0,-233.0,-463.0
120,All,OGGM_v16,0.9222489478058092,mri-esm2-0_1995-2014_hist,25,107.0,242.0,415.0,-95.0,-356.0,-590.0
121,All,OGGM_v16,1.0587674077643272,ukesm1-0-ll_1995-2014_hist,25,96.0,218.0,302.0,-104.0,-372.0,-680.0
122,All,OGGM_v16,1.4691135287002737,mpi-esm1-2-hr_2021-2040_ssp126,25,100.0,237.0,358.0,-65.0,-278.0,-524.0
123,All,OGGM_v16,1.4885639337566965,gfdl-esm4_2021-2040_ssp370,25,86.0,198.0,290.0,-68.0,-287.0,-545.0
124,All,OGGM_v16,1.4937790687750323,mpi-esm1-2-hr_2021-2040_ssp370,25,97.0,237.0,364.0,-53.0,-214.0,-391.0
125,All,OGGM_v16,1.493791625332881,gfdl-esm4_2021-2040_ssp126,25,90.0,214.0,321.0,-66.0,-282.0,-536.0
126,All,OGGM_v16,1.5283027574212975,mpi-esm1-2-hr_2021-2040_ssp585,25,95.0,220.0,314.0,-63.0,-277.0,-542.0
127,All,OGGM_v16,1.5298023875255358,gfdl-esm4_2021-2040_ssp585,25,86.0,203.0,305.0,-59.0,-260.0,-499.0
128,All,OGGM_v16,1.636714986028974,ipsl-cm6a-lr_2021-2040_ssp126,25,91.0,216.0,335.0,-26.5,-136.0,-283.0
129,All,OGGM_v16,1.656830649489223,mpi-esm1-2-hr_2041-2060_ssp126,25,89.0,198.0,275.0,-59.0,-266.0,-534.0
130,All,OGGM_v16,1.6599956464695365,mpi-esm1-2-hr_2081-2100_ssp126,25,88.0,207.0,310.0,-30.0,-147.5,-355.0
131,All,OGGM_v16,1.664909941388102,ipsl-cm6a-lr_2021-2040_ssp585,25,92.0,234.0,388.0,-26.0,-110.5,-164.5
132,All,OGGM_v16,1.6781632715811343,ipsl-cm6a-lr_2021-2040_ssp370,25,90.0,217.0,329.0,-31.0,-134.0,-259.5
133,All,OGGM_v16,1.6787497715238051,gfdl-esm4_2041-2060_ssp126,25,95.0,227.0,357.0,-54.0,-237.0,-420.0
134,All,OGGM_v16,1.6844760802167618,gfdl-esm4_2081-2100_ssp126,25,91.0,217.0,345.0,-26.0,-119.0,-215.5
135,All,OGGM_v16,1.695689895147091,mpi-esm1-2-hr_2061-2080_ssp126,25,90.0,208.0,299.0,-60.0,-264.0,-528.0
136,All,OGGM_v16,1.7054887108734946,mri-esm2-0_2021-2040_ssp370,25,88.0,206.0,309.0,-29.0,-131.5,-256.5
137,All,OGGM_v16,1.7263241376269964,mri-esm2-0_2021-2040_ssp126,25,83.0,194.0,291.0,-28.5,-132.0,-260.5
138,All,OGGM_v16,1.7300556075408982,gfdl-esm4_2061-2080_ssp126,25,83.0,191.0,273.0,-64.0,-284.0,-555.0
139,All,OGGM_v16,1.9117346788457827,mri-esm2-0_2021-2040_ssp585,25,81.0,189.0,286.0,-29.5,-132.0,-250.0
140,All,OGGM_v16,1.9477879408841847,mri-esm2-0_2081-2100_ssp126,25,80.0,183.0,287.0,-32.5,-152.5,-285.0
141,All,OGGM_v16,1.996245046811256,mri-esm2-0_2041-2060_ssp126,25,76.0,181.0,281.0,-25.0,-126.5,-354.5
142,All,OGGM_v16,2.049075466844948,ipsl-cm6a-lr_2041-2060_ssp126,25,75.0,176.0,266.0,-20.5,-92.0,-177.5
143,All,OGGM_v16,2.0496075314919837,gfdl-esm4_2041-2060_ssp370,25,85.0,197.0,292.0,-26.5,-149.5,-484.5
144,All,OGGM_v16,2.0912659163195166,mri-esm2-0_2061-2080_ssp126,25,75.0,177.0,276.0,-27.5,-158.5,-468.5
145,All,OGGM_v16,2.092677030991532,mpi-esm1-2-hr_2041-2060_ssp370,25,82.0,204.0,327.0,-24.0,-117.0,-225.0
146,All,OGGM_v16,2.1396524250416253,mpi-esm1-2-hr_2041-2060_ssp585,25,82.0,199.0,302.0,-26.0,-161.0,-337.5
147,All,OGGM_v16,2.1712205231308155,ipsl-cm6a-lr_2081-2100_ssp126,25,70.0,172.0,273.0,-18.5,-97.0,-215.0
148,All,OGGM_v16,2.1761438977250376,ukesm1-0-ll_2021-2040_ssp126,25,66.0,157.0,233.0,-24.5,-126.0,-291.0
149,All,OGGM_v16,2.189115489502097,gfdl-esm4_2041-2060_ssp585,25,80.0,191.0,286.0,-23.0,-107.0,-210.5
150,All,OGGM_v16,2.191208340613269,ipsl-cm6a-lr_2061-2080_ssp126,25,70.0,165.0,247.0,-18.0,-93.0,-186.5
151,All,OGGM_v16,2.3197325111266047,ukesm1-0-ll_2021-2040_ssp585,25,60.0,143.0,214.0,-21.5,-109.0,-235.5
152,All,OGGM_v16,2.3233173057330725,ukesm1-0-ll_2021-2040_ssp370,25,63.0,153.0,232.0,-21.5,-105.0,-210.0
153,All,OGGM_v16,2.404955505633247,mri-esm2-0_2041-2060_ssp370,25,71.0,170.0,281.0,-20.0,-99.5,-190.5
154,All,OGGM_v16,2.5948271367994478,ipsl-cm6a-lr_2041-2060_ssp370,25,64.0,154.0,243.0,-20.0,-96.0,-191.0
155,All,OGGM_v16,2.687006726396547,mri-esm2-0_2041-2060_ssp585,25,57.0,130.0,190.0,-17.5,-93.0,-195.5
156,All,OGGM_v16,2.718961154542893,mpi-esm1-2-hr_2061-2080_ssp370,25,72.0,183.0,291.0,-21.5,-95.5,-170.5
157,All,OGGM_v16,2.7398348752990143,ukesm1-0-ll_2041-2060_ssp126,25,50.0,123.0,191.0,-17.0,-96.5,-229.0
158,All,OGGM_v16,2.8141615409733487,gfdl-esm4_2061-2080_ssp370,25,65.0,155.0,238.0,-20.5,-106.5,-227.0
159,All,OGGM_v16,2.843937216517189,ipsl-cm6a-lr_2041-2060_ssp585,25,56.0,136.0,215.0,-18.5,-93.5,-204.5
160,All,OGGM_v16,2.950346953824412,mpi-esm1-2-hr_2061-2080_ssp585,25,70.0,177.0,280.0,-18.5,-87.5,-162.5
161,All,OGGM_v16,2.951472321285355,ukesm1-0-ll_2061-2080_ssp126,25,46.0,119.0,185.0,-13.5,-81.0,-193.0
162,All,OGGM_v16,3.038482494458876,ukesm1-0-ll_2081-2100_ssp126,25,43.0,107.0,164.0,-13.0,-76.5,-187.0
163,All,OGGM_v16,3.048039247761285,gfdl-esm4_2061-2080_ssp585,25,67.0,164.0,272.0,-18.0,-86.5,-156.0
164,All,OGGM_v16,3.105613246951532,mri-esm2-0_2061-2080_ssp370,25,51.0,116.0,185.0,-18.0,-92.0,-176.5
165,All,OGGM_v16,3.414119753355767,ukesm1-0-ll_2041-2060_ssp370,25,40.0,97.0,147.0,-16.0,-88.0,-192.0
166,All,OGGM_v16,3.4545105505178424,mpi-esm1-2-hr_2081-2100_ssp370,25,58.0,147.0,240.0,-22.5,-126.0,-226.0
167,All,OGGM_v16,3.5131147480935234,ipsl-cm6a-lr_2061-2080_ssp370,25,48.0,117.0,189.0,-12.5,-69.0,-134.5
168,All,OGGM_v16,3.5323191142029637,gfdl-esm4_2081-2100_ssp370,25,54.0,127.0,192.0,-17.0,-87.5,-177.0
169,All,OGGM_v16,3.541685753482952,mri-esm2-0_2061-2080_ssp585,25,45.0,100.0,157.0,-14.5,-68.0,-123.0
170,All,OGGM_v16,3.646967337572662,ukesm1-0-ll_2041-2060_ssp585,25,38.0,94.0,146.0,-12.5,-85.0,-197.5
171,All,OGGM_v16,3.811452139882864,mri-esm2-0_2081-2100_ssp370,25,43.0,96.0,145.0,-14.0,-68.0,-138.5
172,All,OGGM_v16,3.9907986846486527,mpi-esm1-2-hr_2081-2100_ssp585,25,50.0,125.0,207.0,-17.5,-102.0,-175.0
173,All,OGGM_v16,4.001455331400752,gfdl-esm4_2081-2100_ssp585,25,48.0,112.0,176.0,-13.0,-75.0,-135.0
174,All,OGGM_v16,4.16009837781178,ipsl-cm6a-lr_2061-2080_ssp585,25,37.0,89.0,138.0,-11.5,-66.0,-136.0
175,All,OGGM_v16,4.439976778002009,ukesm1-0-ll_2061-2080_ssp370,25,29.0,71.0,110.0,-9.0,-53.0,-123.5
176,All,OGGM_v16,4.5943250252311145,mri-esm2-0_2081-2100_ssp585,25,34.0,76.0,114.0,-9.5,-33.5,-57.5
177,All,OGGM_v16,4.677751174879019,ipsl-cm6a-lr_2081-2100_ssp370,25,34.0,79.0,120.0,-8.0,-47.0,-97.0
178,All,OGGM_v16,5.23054329301376,ukesm1-0-ll_2061-2080_ssp585,25,24.0,59.0,88.0,-7.0,-41.5,-95.5
179,All,OGGM_v16,5.840495049230714,ukesm1-0-ll_2081-2100_ssp370,25,20.0,48.0,71.0,-5.5,-23.5,-51.5
180,All,OGGM_v16,5.849304978170279,ipsl-cm6a-lr_2081-2100_ssp585,25,25.0,57.0,82.0,-5.5,-31.5,-70.5
181,All,OGGM_v16,6.884360785697311,ukesm1-0-ll_2081-2100_ssp585,25,17.0,37.0,54.0,-3.5,-16.0,-36.5
182,All,PyGEM-OGGM_v13,0.0833736138284337,mpi-esm1-2-hr_1851-1870_hist,25,259.0,746.0,1197.0,0.0,0.0,0.0
183,All,PyGEM-OGGM_v13,0.1016562514146834,mpi-esm1-2-hr_1901-1920_hist,25,240.0,698.0,1133.0,0.0,0.0,0.0
184,All,PyGEM-OGGM_v13,0.2314087884401598,gfdl-esm4_1851-1870_hist,25,193.0,516.0,859.0,0.0,0.0,0.0
185,All,PyGEM-OGGM_v13,0.3028923844731737,ipsl-cm6a-lr_1951-1970_hist,25,244.0,722.0,1220.0,-88.0,-208.0,-282.5
186,All,PyGEM-OGGM_v13,0.3530089022449858,mpi-esm1-2-hr_1951-1970_hist,25,241.0,720.0,1189.0,0.0,0.0,0.0
187,All,PyGEM-OGGM_v13,0.3535286605061203,ukesm1-0-ll_1901-1920_hist,25,316.0,837.0,1298.0,0.0,0.0,0.0
188,All,PyGEM-OGGM_v13,0.373094646035073,ukesm1-0-ll_1851-1870_hist,25,317.0,874.0,1405.0,0.0,0.0,0.0
189,All,PyGEM-OGGM_v13,0.3826520320932922,mri-esm2-0_1951-1970_hist,25,271.0,748.0,1201.0,0.0,0.0,0.0
190,All,PyGEM-OGGM_v13,0.3922811293371855,gfdl-esm4_1951-1970_hist,25,210.0,624.0,1063.0,0.0,0.0,0.0
191,All,PyGEM-OGGM_v13,0.478288564324949,gfdl-esm4_1901-1920_hist,25,208.0,631.0,1082.0,-87.0,-260.5,-397.5
192,All,PyGEM-OGGM_v13,0.9014667339962784,gfdl-esm4_1995-2014_hist,25,190.0,561.0,940.0,0.0,0.0,0.0
193,All,PyGEM-OGGM_v13,0.9049395549636868,mpi-esm1-2-hr_1995-2014_hist,25,181.0,521.0,875.0,0.0,0.0,0.0
194,All,PyGEM-OGGM_v13,0.913313145803356,ipsl-cm6a-lr_1995-2014_hist,25,172.0,483.0,816.0,0.0,0.0,0.0
195,All,PyGEM-OGGM_v13,0.9222489478058092,mri-esm2-0_1995-2014_hist,25,202.0,598.0,1005.0,0.0,0.0,0.0
