year,mean,p5,p50,p95,mean_AIS_tipping,mean_AIS_quiescent,frac_AIS_tipping
2074,0.06255650056473282,0.013117341910888314,0.024859494525856007,0.04627979471185739,0.11053996813128478,0.022572468259227523,0.45453187101667497
2075,0.06313792586820008,0.013363498762522852,0.025389694986586164,0.04736909054288674,0.11121445791585559,0.02307634407726465,0.45453187101667497
2076,0.06374170552963872,0.013615793708172674,0.025958724574465464,0.04842122601963439,0.11194004237898417,0.023578625298246024,0.45453187101667497
2077,0.06432280703007706,0.01386415063353752,0.026525700899362903,0.049452400935813046,0.11261563156449121,0.024080991374925767,0.45453187101667497
2078,0.06490342366208644,0.014125393714568446,0.027094489465937954,0.05052669636927476,0.11329141322669156,0.024582308159831926,0.45453187101667497
2079,0.06548666552259276,0.014377402087426105,0.02768075664347691,0.051611885507170996,0.11397237226564505,0.025084123499538886,0.45453187101667497
2080,0.06606942602549996,0.014635030881951394,0.028244049858876963,0.052690964836941134,0.11465399638833029,0.025584502166211314,0.45453187101667497
2081,0.0666536076193245,0.014875639395636853,0.028817691314330318,0.05378605311587137,0.11533844188550393,0.02608513508475456,0.45453187101667497
2082,0.06723831871322379,0.01511879295602725,0.02939056880162383,0.05474487279649054,0.11602298580476263,0.02658665671534998,0.45453187101667497
2083,0.06782370591630206,0.015353936615412067,0.029914916112119272,0.055674853018189197,0.11670782134930734,0.027089174840815057,0.45453187101667497
2084,0.0699609423894041,0.015601094154227724,0.03046640467204753,0.05792153715683668,0.12080943698534549,0.02758951836110662,0.45453187101667497
2085,0.07056253919414102,0.015840038072820306,0.031026550110155426,0.05930236426653579,0.1215348687813629,0.028087924993415034,0.45453187101667497
2086,0.072116087416115,0.016079995685512216,0.03162224610365172,0.06093501853280259,0.12221927132951503,0.030365721596398176,0.45453187101667497
2087,0.07380112429540857,0.01631659128879903,0.03219048101783528,0.06415980329612125,0.12290448243166086,0.03288390097665641,0.45453187101667497
2088,0.07622053793632752,0.016551196054095385,0.03275158298446712,0.06559112918154142,0.12358944136013411,0.03674861435875551,0.45453187101667497
2089,0.07680916703420572,0.01680697880652815,0.03330601897094709,0.06696420154395355,0.12427082895735425,0.03725994894203548,0.45453187101667497
2090,0.07738443512638236,0.017065832691706362,0.03386067545312699,0.06837259367611637,0.12495145061263972,0.03774742720816422,0.45453187101667497
2091,0.07796107384363572,0.017327968459170506,0.03440940402886383,0.06978474857356787,0.12563137684896122,0.03823799770841242,0.45453187101667497
2092,0.08117709157743357,0.017594336500536656,0.03494477309470767,0.07600019192520335,0.130365441867377,0.040189045344222595,0.45453187101667497
