year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual
2140,2650.2326007794886,0.0,0.0,0.0,0.0,0.0
2141,2707.6482291420207,0.0,0.0,0.0,0.0,0.0
2142,2765.8615038448606,0.0,0.0,0.0,0.0,0.0
2143,2824.7235466705984,0.0,0.0,0.0,0.0,0.0
2144,2884.256244678628,0.0,0.0,0.0,0.0,0.0
2145,2944.6458482486883,0.0,0.0,0.0,0.0,0.0
2146,3005.75874602299,0.0,0.0,0.0,0.0,0.0
2147,3067.5672181753635,0.0,0.0,0.0,0.0,0.0
2148,3130.2380843727215,0.0,0.0,0.0,0.0,0.0
2149,3193.6702017793114,0.0,0.0,0.0,0.0,0.0
2150,3257.6890684614173,0.0,0.0,0.0,0.0,0.0
