year,axis,V_shap
2101,brick,1.6210357622881965e-08
2101,climate,3.730555863060199e-07
2101,emissions,6.482548364071666e-11
2102,brick,1.6419047997028627e-08
2102,climate,3.777162851412047e-07
2102,emissions,6.482548364071666e-11
2103,brick,1.6737188421500545e-08
2103,climate,3.839001009197046e-07
2103,emissions,6.482548364071666e-11
2104,brick,1.692797171363966e-08
2104,climate,3.909083985943375e-07
2104,emissions,6.482548364071666e-11
2105,brick,1.686617004347798e-08
2105,climate,3.9105080870608403e-07
2105,emissions,9.457190089504507e-11
2106,brick,1.6347962639488848e-08
2106,climate,3.970822536521878e-07
2106,emissions,9.457190089504507e-11
2107,brick,1.691852942490263e-08
2107,climate,4.0339365902472844e-07
2107,emissions,9.457190089504507e-11
2108,brick,1.675344158436282e-08
2108,climate,4.122942096709378e-07
2108,emissions,9.457190089504507e-11
2109,brick,1.723311496904359e-08
2109,climate,4.1500459017334833e-07
2109,emissions,1.022989380304941e-10
2110,brick,1.7324769606896894e-08
2110,climate,4.206542462003951e-07
2110,emissions,1.022989380304941e-10
2111,brick,1.7684986968108897e-08
2111,climate,4.2764417172520947e-07
2111,emissions,1.022989380304941e-10
2112,brick,1.8013937074138026e-08
2112,climate,4.277489947499727e-07
2112,emissions,1.0939199963049094e-10
2113,brick,1.8159129446456345e-08
2113,climate,4.3457670768006246e-07
2113,emissions,1.0939199963049094e-10
2114,brick,1.8227449513361767e-08
2114,climate,4.404292797628681e-07
2114,emissions,1.0939199963049094e-10
2115,brick,1.8195715460000192e-08
2115,climate,4.4699536534699794e-07
2115,emissions,1.0939199963049094e-10
2116,brick,1.8195715460000192e-08
2116,climate,4.4699536534699794e-07
2116,emissions,1.0939199963049094e-10
2117,brick,1.835109068632202e-08
2117,climate,4.531388769314407e-07
2117,emissions,1.0939199963049094e-10
2118,brick,1.8313753067224682e-08
2118,climate,4.589066798547195e-07
2118,emissions,1.0939199963049094e-10
2119,brick,1.8533048403041146e-08
2119,climate,4.6000109045833755e-07
2119,emissions,1.0939199963049094e-10
2120,brick,1.889539167635411e-08
2120,climate,4.653085808925495e-07
2120,emissions,2.1422876318426157e-10
2121,brick,1.9749158537337288e-08
2121,climate,4.7662629009799625e-07
2121,emissions,2.341438496713997e-10
2122,brick,2.03011412119746e-08
2122,climate,4.834640732629841e-07
2122,emissions,2.341438496713997e-10
2123,brick,2.0716887329853986e-08
2123,climate,4.881028490025458e-07
2123,emissions,2.341438496713997e-10
2124,brick,2.0517907641431236e-08
2124,climate,4.87602633079439e-07
2124,emissions,2.5746266580541267e-10
2125,brick,2.0771955901520824e-08
2125,climate,4.913109817175048e-07
2125,emissions,2.5746266580541267e-10
2126,brick,2.1247055632920117e-08
2126,climate,4.908780997166188e-07
2126,emissions,2.5746266580541267e-10
2127,brick,2.206019021273646e-08
2127,climate,5.037276126646393e-07
2127,emissions,2.5746266580541267e-10
2128,brick,2.1975993966205128e-08
2128,climate,5.070606128753056e-07
2128,emissions,2.5746266580541267e-10
2129,brick,2.2131249349684607e-08
2129,climate,5.104563378744719e-07
2129,emissions,2.6394040009341924e-10
2130,brick,2.2253184909380468e-08
2130,climate,5.058076492978437e-07
2130,emissions,2.8474903265472285e-10
2131,brick,2.3055085936842783e-08
2131,climate,5.126468398957902e-07
2131,emissions,2.8474903265472285e-10
2132,brick,2.3009789796249508e-08
2132,climate,5.145612425916337e-07
2132,emissions,4.2368479352722197e-10
2133,brick,2.3194557454860856e-08
2133,climate,5.135227819851626e-07
2133,emissions,4.2368479352722197e-10
2134,brick,2.3203605410373325e-08
2134,climate,5.174585550085094e-07
2134,emissions,4.734462225275369e-10
2135,brick,2.3471707418804885e-08
2135,climate,5.144218178291342e-07
2135,emissions,5.555991523241066e-10
