year,mean,p5,p50,p95
2068,0.017961250636914998,0.0027035824778920414,0.003721465012773706,0.004938024527234575
2069,0.018020471875060746,0.002735855695590317,0.003794097312947997,0.005037061582413571
2070,0.018081279835279615,0.0027739480948696382,0.0038510302204031177,0.005117482338334867
2071,0.01813835152906801,0.002812709778510225,0.003912841466302552,0.005219519641741499
2072,0.018196483345395854,0.002855403934631795,0.003981338563363579,0.00527069244355971
2073,0.01825254743974347,0.0029003492173274026,0.0040324629942745105,0.005401796080661825
2074,0.01830914858749334,0.0029445914876191637,0.004098048930245568,0.00546816136477446
2075,0.018367061062558483,0.0029920466658950318,0.004157396993775819,0.005543022088261296
2076,0.018421658846095677,0.003026558189134221,0.004208847995812448,0.0056410445267829346
2077,0.018473803059747815,0.003058289136959047,0.00427555583186745,0.005731337799375069
2078,0.018529589597104896,0.0030941089740110783,0.004337054575387356,0.005814120571301373
2079,0.018580450358740383,0.003140714586180593,0.004388910070218799,0.005863748894796572
2080,0.018633555154275276,0.00316071745771751,0.004452649655917185,0.005985131681995881
2081,0.018684860759881843,0.003191008346448143,0.004500701893306314,0.006047602541059405
2082,0.01873503543389657,0.0032148966297995685,0.004546656679593752,0.006136033209713787
2083,0.018789266676306454,0.0032793200404057643,0.004614237995781423,0.006211838261549474
2084,0.01883900419800593,0.0033001107965446863,0.0046729053792660125,0.006288339706372881
2085,0.018888506258998742,0.0033596387282841533,0.004726167807689308,0.00637524723288152
2086,0.018940188723832945,0.0033807458478918306,0.00478332916884483,0.006453432179398533
2087,0.018986146589297766,0.0034129277644012745,0.004823690002808689,0.006539207124944824
2088,0.019036410915708228,0.003459880936418358,0.0048822005325632745,0.006651559401404938
2089,0.019081000423308785,0.003487038506477802,0.004921321017548053,0.006690195100134133
2090,0.019130510813979165,0.003494355171085317,0.004988617084222824,0.006781845166869971
2091,0.019173832838918433,0.0035320743144495736,0.005036956819992611,0.0068507540660789346
2092,0.01922424740930582,0.0035747085973980575,0.00509676608544396,0.0069268438991798575
2093,0.01926628332539368,0.0035968706470157485,0.005138775769353288,0.00697449789726079
2094,0.019315114937048863,0.0036376114707081797,0.005189936083382918,0.00706622501951415
