year,internal,brick,climate,emissions,interactions
2044,0.08565999764897332,0.35782955056645804,0.30498091767152935,0.005346901166580774,0.24618263294645865
2045,0.07772695138222271,0.37415929786146057,0.30882464001975063,0.006453967610371192,0.23283514312619505
2046,0.07066269660910363,0.3930892432613295,0.3106380844032308,0.007587066798253488,0.21802290892808276
2047,0.06606923603569476,0.4095371169270814,0.3122033324515225,0.008843897628958024,0.20334641695674335
2048,0.06142367028288952,0.42268745357865994,0.31378104652708316,0.010209313659425165,0.19189851595194202
2049,0.0572207199230744,0.43572937391958505,0.31472860002348435,0.011792649723121796,0.1805286564107345
2050,0.05326539781485187,0.4472328976516847,0.3158035556885177,0.013492934166172846,0.1702052146787729
2051,0.0500469871972712,0.4574754271657124,0.31707212573546006,0.015283049459119987,0.16012241044243644
2052,0.04679638460110077,0.4681149557036807,0.31836687889539783,0.017317614222501304,0.1494041665773194
2053,0.04414332805641728,0.4767498539077067,0.319305679785598,0.019486723814203955,0.14031441443607398
2054,0.04159465350612001,0.4849419594823998,0.3201898513715792,0.02178109606756963,0.13149243957233125
2055,0.03932820192328179,0.49155459108779254,0.32094981744722995,0.02422268090084875,0.12394470864084704
2056,0.03742729586333917,0.49648781597670427,0.3217750855840257,0.02675810139572316,0.11755170118020772
2057,0.035428136352196875,0.5007468751241573,0.3230970208826407,0.029381912345217507,0.11134605529578762
2058,0.0337295872291947,0.5052056890060865,0.3233111200009067,0.0321773480834307,0.10557625568038125
2059,0.03259576614195906,0.5082252257440215,0.32349834072715294,0.035044438686632026,0.10063622870023446
2060,0.031213918244764906,0.5106620766357164,0.3237544350643845,0.038039858869864725,0.09632971118526958
2061,0.029983270791987062,0.5118723114464289,0.32503920891960625,0.04104143358173429,0.09206377526024356
2062,0.028955033908271713,0.5128548319139486,0.3259229362095965,0.044116989167007,0.08815020880117623
2063,0.028150854435657256,0.5134001239388076,0.3265245283971165,0.047284990965659746,0.08463950226275888
2064,0.027094035422753866,0.5140665050778873,0.3270001902876687,0.0505623692508769,0.08127689996081326
2065,0.026061902172035533,0.5139934155463975,0.32755648951270727,0.05389282179667244,0.07849537097218727
2066,0.024985185442878078,0.5130216415069114,0.3286580852937677,0.05720510530380851,0.07612998245263419
2067,0.024252451619897725,0.5120255105806402,0.3291865950110555,0.060606435458232744,0.07392900733017385
2068,0.023379849802485638,0.510943987948835,0.3296531988770511,0.0640451259607284,0.07197783741089972
2069,0.022542553967072963,0.51006512875587,0.32957770929149904,0.06758350877164437,0.07023109921391357
2070,0.021602324317089652,0.5091229842989384,0.32953939729370063,0.07113305255167399,0.06860224153859734
2071,0.020911655806524612,0.5077856644575955,0.32940958477905863,0.07466302649460922,0.06723006846221198
2072,0.0203377738076693,0.5063527848422079,0.3290905505274116,0.07822574950497997,0.06599314131773133
2073,0.019648406420029643,0.5045318511073918,0.3291671049612074,0.08169879624865388,0.06495384126271735
2074,0.01900661384985765,0.5025118659519602,0.32916194156567835,0.08520919342795155,0.06411038520455227
2075,0.018545224351104644,0.5004860005707665,0.3289367117325248,0.0887172791256378,0.06331478421996634
2076,0.01797412352395154,0.4982264168445606,0.3287578253187293,0.09221447516020956,0.06282715915254901
2077,0.01741364476207287,0.49592829041088166,0.3284948671798507,0.09570559518442462,0.0624576024627701
2078,0.016933119036253306,0.49379518046341914,0.327950115395643,0.09924204244463775,0.06207954266004679
2079,0.016483777102523207,0.49159838405485645,0.32742603766255085,0.1027368942039903,0.061754906976079084
2080,0.0160217231718001,0.48946603825112595,0.3269192938563523,0.10616871239602658,0.061424232324694995
2081,0.0157800639100207,0.48698238356127416,0.3263623050574644,0.1095609974488855,0.061314250022355354
2082,0.015440822120134996,0.4846361578064791,0.3256260163566897,0.11301020004231208,0.061286803674384126
2083,0.01512074575910147,0.48214405168641616,0.3249370393614044,0.11638812531273166,0.06141003788034627
2084,0.014732042483431174,0.479632080750852,0.32430675929209357,0.11972581099864917,0.06160330647497417
2085,0.014240278563365709,0.47710023752280334,0.3237345423682605,0.1230263700164922,0.06189857152907809
2086,0.013877984871929582,0.4745860327034685,0.322978522604777,0.12632681408069354,0.062230645739131334
2087,0.013501979740950245,0.47210633379940015,0.3222083327645142,0.12958171210316283,0.06260164159197237
2088,0.01312220437642339,0.4696023816401496,0.32147855531726566,0.1327810100101112,0.06301584865605017
2089,0.012854029411243837,0.46728677471697955,0.32051181347010504,0.13598683541408518,0.06336054698758635
2090,0.012588612132306784,0.4647870120275959,0.3196648780858336,0.1391274386300262,0.06383205912423735
2091,0.0122784866862891,0.4623288774381573,0.31885715441321255,0.14221563277651386,0.06431984868582719
2092,0.011951317276076918,0.4598487592981399,0.3180461235025204,0.14527457636383717,0.06487922355942567
2093,0.011695430123773396,0.4573291632120482,0.3172298421863992,0.1482734240197747,0.06547214045800445
2094,0.011440065200605013,0.45493207400453517,0.3162861072364738,0.15126953070322316,0.06607222285516286
2095,0.011200218612755835,0.4525924063077819,0.3154324966584826,0.15414462417872313,0.0666302542422565
2096,0.010998236162477295,0.45014167761331014,0.31459200479326394,0.15700684203786455,0.067261239393084
2097,0.010841636115197398,0.4477657432508195,0.313681682031351,0.15982789262980973,0.06788304597282228
2098,0.010605765380795764,0.4455310368971129,0.3127260031755994,0.16265004589983306,0.06848714864665895
2099,0.010377004965955472,0.4432203017650873,0.31182266388950214,0.16541647201493245,0.0691635573645226
2100,0.010217674748189689,0.44093339450885355,0.3109215777059909,0.16812379166027402,0.06980356137669191
2101,0.010002883909250394,0.43871179643919744,0.3100472752234959,0.17079600030433167,0.07044204412372455
2102,0.009825633793468326,0.43655146154242414,0.3090381687476515,0.17348976423850743,0.07109497167794859
2103,0.009628305033935273,0.43438092729256306,0.30812757556886766,0.17611837123342802,0.07174482087120605
2104,0.00942940373452013,0.4322761440856129,0.3071271514981996,0.17874471392011562,0.07242258676155196
2105,0.009258348441163135,0.4301906296803049,0.3061841458646561,0.18128550987019876,0.07308136614367705
2106,0.009081259175103738,0.4280982701266758,0.30531959240915557,0.18375447212993481,0.07374640615913003
2107,0.00886763294359804,0.4260011440221936,0.3044832597859849,0.1862257378742549,0.07442222537396871
2108,0.008723697246966857,0.42407073862206257,0.3035128812263045,0.18869029313788963,0.07500238976677648
2109,0.008557036311143355,0.422202777174857,0.30242898473926005,0.19117232882827517,0.07563887294646439
2110,0.008394460394382481,0.42012182332673603,0.3016093557158602,0.19352843289340935,0.07634592766961205
2111,0.008278247875642481,0.4181808882805398,0.3007095949940588,0.19585164419227066,0.07697962465748813
2112,0.008136552243697522,0.4162126953186108,0.29978622775080394,0.19820369603084195,0.07766082865604576
2113,0.008016267908703635,0.41434572350224846,0.2988869185589092,0.2004876200943783,0.0782634699357604
2114,0.00789590399155211,0.41247729595050114,0.2979726279386499,0.20275443440276963,0.07889973771652715
2115,0.007771970837189897,0.4105875246782858,0.2970851693438876,0.20500515040802314,0.07955018473261358
2116,0.007647382480604947,0.4087792188060137,0.2962414475035791,0.20717049169654797,0.08016145951325428
2117,0.0075633451845570935,0.40699968029512207,0.29536142361068135,0.20933936232113393,0.08073618858850556
2118,0.007452058974179428,0.40524347132263305,0.2944859283652861,0.21149243285849198,0.08132610847940953
2119,0.007342683714431962,0.403515365560523,0.293649469726826,0.21360676756933483,0.08188571342888419
2120,0.007267919846506259,0.4018496482008067,0.29280881650243534,0.21565163294162376,0.0824219825086279
2121,0.007163637356042709,0.40016271147565696,0.2920082762534166,0.2177084997682509,0.08295687514663297
2122,0.007082679846464515,0.39856992713710626,0.29108105625564773,0.2197917132409857,0.08347462351979583
2123,0.006987975707639531,0.3969479638979537,0.29023021039701774,0.22181075985852272,0.08402309013886641
2124,0.006914579682511944,0.3953464304705554,0.28937797933506887,0.22381221553894212,0.08454879497292155
2125,0.006872727610542938,0.39376285120784416,0.28849435886400093,0.22579311529486318,0.0850769470227488
2126,0.006813836912696955,0.3920933867430615,0.2876879483234601,0.2277532536137504,0.085651574407031
2127,0.00670813518061923,0.39052240930965926,0.2868324526403817,0.22971284590458954,0.08622415696475025
2128,0.006645668264737985,0.38892534937024825,0.286042724008949,0.23161812481831565,0.08676813353774913
2129,0.006570274991490473,0.3873791485514119,0.28524036068935565,0.23351675587081505,0.08729345989692688
2130,0.00648644794474817,0.3858774829152478,0.28444523096692825,0.23539502556143632,0.08779581261163942
2131,0.006415834322723153,0.3844045159317187,0.2836137142347273,0.23727087778438027,0.08829505772645052
2132,0.006332282240455826,0.3828867028274794,0.28282366869790365,0.2391398270014588,0.0888175192327024
2133,0.006282275293401736,0.3814310348676612,0.28198889647676534,0.24100533287833234,0.08929246048383928
2134,0.006190605777998965,0.3799713877580961,0.281197885739447,0.24283362675434117,0.08980649397011675
2135,0.006143853578918806,0.3785900499793638,0.2803767972312056,0.24461671815136166,0.09027258105915012
2136,0.006073063083647112,0.3771844916125088,0.2795977195163308,0.24639402582609707,0.09075069996141627
2137,0.006021784336648066,0.37578086332490507,0.27882641396101465,0.24814685723829075,0.09122408113914143
2138,0.005965276319265591,0.3743833954250006,0.2780301186843232,0.2499268714397191,0.09169433813169144
2139,0.005942056945319275,0.37297939740405717,0.2772860743898688,0.25165942843675304,0.09213304282400167
2140,0.005885833654998202,0.3716668141708884,0.27650985705350606,0.25338014230415085,0.09255735281645647
2141,0.005844324242959964,0.37032591853863406,0.27576065061199645,0.2550874736973754,0.09298163290903418
2142,0.005782215329715195,0.3689890337405031,0.2750609084949169,0.25675457483781694,0.09341326759704795
2143,0.005739804580114962,0.3677061234956325,0.2742726641004132,0.25845952521902205,0.09382188260481725
2144,0.005680211682304627,0.36642888905036936,0.2735387833238155,0.2601148807931367,0.09423723515037385
2145,0.005619473338755525,0.36518786737771347,0.2727833696167616,0.2617600782316223,0.09464921143514712
2146,0.005556126776101754,0.36387871735268557,0.27205897058091116,0.2634391060548681,0.09506707923543348
2147,0.005494109677332102,0.3626046273689732,0.27134866827707627,0.26506755853447783,0.09548503614214057
2148,0.00543033977133891,0.36134047838993194,0.2706656910418852,0.2666851012420689,0.09587838955477501
2149,0.005366980692107324,0.3601634536215222,0.2699236697994632,0.26828788513897606,0.09625801074793112
2150,0.005291594898618099,0.35896413414131373,0.26922488152315416,0.269870208185878,0.09664918125103597
