year,climate,emissions,interactions
2086,0.9331404060977363,0.025854474266716488,0.04100511963554719
2087,0.9349007502833175,0.02764663103179573,0.037452618684886745
2088,0.9349641746723355,0.027942227351442264,0.0370935979762223
2089,0.9324997590553982,0.02832140867055152,0.03917883227405031
2090,0.9258602670250372,0.029048658235789622,0.045091074739173245
2091,0.9240071943969347,0.03046557308704408,0.045527232516021275
2092,0.9282844225215894,0.03214598567392636,0.03956959180448423
2093,0.9106360879936246,0.034830215995658755,0.05453369601071669
2094,0.9249342613350531,0.03609871170650875,0.03896702695843813
2095,0.9237569847189776,0.03727598832258429,0.038967026958438136
2096,0.9110671359393764,0.03857321501988608,0.050359649040737565
2097,0.9109432593312159,0.03784949960711742,0.051207241061666665
2098,0.9136377433073969,0.03589297904385856,0.05046927764874457
2099,0.9235690381904768,0.03608230380790236,0.0403486580016209
2100,0.9255508302416167,0.03529992375911829,0.039149245999265135
2101,0.9360357561169697,0.03327750305799874,0.030686740825031696
2102,0.9337580587753742,0.03396690964390046,0.032275031580725255
2103,0.9321786711337257,0.03554629728554898,0.032275031580725255
2104,0.9469958211526045,0.035693251472902775,0.017310927374492798
2105,0.9462458205516798,0.03644325207382744,0.017310927374492798
2106,0.9446951316146128,0.037993941010894414,0.017310927374492798
2107,0.9564678790555605,0.0367872770563236,0.006744843888115936
2108,0.9533533611719849,0.037377608033313046,0.009269030794702055
2109,0.9499487159673472,0.038332252873540584,0.011719031159112174
2110,0.9435438700228018,0.04009220862747072,0.01636392134972745
2111,0.9390906522377026,0.04270758886326538,0.018201758899032063
2112,0.9251051885457454,0.04528806251660566,0.029606748937648898
2113,0.9249835129419958,0.0467282822750236,0.02828820478298072
2114,0.9205781507191989,0.04591267294619656,0.033509176334604505
2115,0.9210043296796487,0.04548649398574672,0.033509176334604505
2116,0.9191619288219459,0.04732889484344967,0.03350917633460451
2117,0.9188678651451849,0.04762295852021064,0.03350917633460451
2118,0.9177226968895322,0.04959466537178577,0.03268263773868195
2119,0.9147305044312053,0.04918340168566229,0.03608609388313247
2120,0.9135090502520927,0.05239992116877615,0.034091028579131114
2121,0.9107988910566686,0.05140107364739373,0.037800035295937645
2122,0.9085109812778837,0.04832554644580708,0.04316347227630925
2123,0.9093323785007581,0.050737583328309487,0.03993003817093249
2124,0.9079991778142832,0.04891442097984569,0.04308640120587116
2125,0.9090139812141469,0.04890843595707725,0.04207758282877589
2126,0.9012839368590061,0.05057618650002837,0.04813987664096555
2127,0.9006070009897946,0.05109899956456077,0.04829399944564468
2128,0.8982743512524355,0.05217171251862359,0.04955393622894089
2129,0.8844800469730412,0.051097407999529686,0.06442254502742917
2130,0.873079267159707,0.05477928062410759,0.07214145221618541
2131,0.8739009221782067,0.05554562871464028,0.070553449107153
2132,0.8773036721397179,0.05543294575928717,0.06726338210099493
2133,0.8839355362165651,0.05688817850758839,0.05917628527584647
2134,0.894366793870795,0.05462847678659867,0.0510047293426064
2135,0.895914178550651,0.05629744850543328,0.047788372943915705
2136,0.900827837756165,0.05559594247444778,0.043576219769387185
2137,0.9034473776109371,0.05903869643186548,0.037513925957197526
2138,0.9021570591722332,0.057724366099863006,0.04011857472790382
2139,0.9053944090619325,0.05545435997200662,0.039151230966060976
2140,0.9102058899938474,0.0542265414382725,0.03556756856788
2141,0.9250539334840874,0.053872640208754596,0.021073426307157996
2142,0.9298998692469923,0.05003426681980015,0.020065863933207525
2143,0.9273901138857952,0.04929005922954195,0.023319826884662862
2144,0.9270496493577505,0.049630523757586725,0.023319826884662862
2145,0.9213778841602219,0.04863814481324715,0.02998397102653089
2146,0.9168891536207506,0.047108642224971846,0.036002204154277524
2147,0.9107434743465233,0.046590177357331126,0.04266634829614555
2148,0.9097292879870912,0.040940219574895235,0.04933049243801359
2149,0.9078507941976328,0.038913340797871,0.0532358650044962
2150,0.9017933018360786,0.03859928203901059,0.059607416124910856
