year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual
2080,1.5313782603716128e-06,0.0,0.0,0.0,0.0,0.0
2081,1.5925102779202385e-06,0.0,0.0,0.0,0.0,0.0
2082,1.6548846109182526e-06,0.0,0.0,0.0,0.0,0.0
2083,1.718767153379537e-06,0.0,0.0,0.0,0.0,0.0
2084,1.7781308369517516e-06,0.0,0.0,0.0,0.0,0.0
2085,1.844750741424697e-06,0.0,0.0,0.0,0.0,0.0
2086,1.9152737988547326e-06,0.0,0.0,0.0,0.0,0.0
2087,1.9817743471341014e-06,0.0,0.0,0.0,0.0,0.0
2088,2.0498367883497012e-06,0.0,0.0,0.0,0.0,0.0
2089,2.122132848363091e-06,0.0,0.0,0.0,0.0,0.0
2090,2.1975018586109067e-06,0.0,0.0,0.0,0.0,0.0
2091,2.2723482731207335e-06,0.0,0.0,0.0,0.0,0.0
2092,2.3418149358365876e-06,0.0,0.0,0.0,0.0,0.0
2093,2.4289768786867927e-06,0.0,0.0,0.0,0.0,0.0
2094,2.5050847948154654e-06,0.0,0.0,0.0,0.0,0.0
2095,2.583869441778171e-06,0.0,0.0,0.0,0.0,0.0
2096,2.6710119076838804e-06,0.0,0.0,0.0,0.0,0.0
2097,2.7436994687564007e-06,0.0,0.0,0.0,0.0,0.0
2098,2.8304288507577395e-06,0.0,0.0,0.0,0.0,0.0
2099,2.9226215018403394e-06,0.0,0.0,0.0,0.0,0.0
2100,3.0045339379329864e-06,0.0,0.0,0.0,0.0,0.0
2101,3.098288442208263e-06,0.0,0.0,0.0,0.0,0.0
2102,3.1970746859239192e-06,0.0,0.0,0.0,0.0,0.0
2103,3.289202192701153e-06,0.0,0.0,0.0,0.0,0.0
2104,3.385291357074948e-06,0.0,0.0,0.0,0.0,0.0
2105,3.474296772070872e-06,0.0,0.0,0.0,0.0,0.0
2106,3.5701867871941605e-06,0.0,0.0,0.0,0.0,0.0
2107,3.679102640204739e-06,0.0,0.0,0.0,0.0,0.0
2108,3.787532415488294e-06,0.0,0.0,0.0,0.0,0.0
2109,3.892557006529553e-06,0.0,0.0,0.0,0.0,0.0
2110,3.99833648245049e-06,0.0,0.0,0.0,0.0,0.0
2111,4.1181813169622635e-06,0.0,0.0,0.0,0.0,0.0
2112,4.209735715992129e-06,0.0,0.0,0.0,0.0,0.0
2113,4.3360535314213125e-06,0.0,0.0,0.0,0.0,0.0
2114,4.433092949720537e-06,0.0,0.0,0.0,0.0,0.0
2115,4.572013762279406e-06,0.0,0.0,0.0,0.0,0.0
2116,4.675302101341764e-06,0.0,0.0,0.0,0.0,0.0
2117,4.79751750940539e-06,0.0,0.0,0.0,0.0,0.0
2118,4.906381741601719e-06,0.0,0.0,0.0,0.0,0.0
2119,5.037273640323839e-06,0.0,0.0,0.0,0.0,0.0
2120,5.163433087961625e-06,0.0,0.0,0.0,0.0,0.0
2121,5.29692959505689e-06,0.0,0.0,0.0,0.0,0.0
2122,5.423490730065031e-06,0.0,0.0,0.0,0.0,0.0
2123,5.5517056709169845e-06,0.0,0.0,0.0,0.0,0.0
2124,5.6950401129229215e-06,0.0,0.0,0.0,0.0,0.0
2125,5.8357461453140085e-06,0.0,0.0,0.0,0.0,0.0
2126,5.968449350794325e-06,0.0,0.0,0.0,0.0,0.0
2127,6.119552167994689e-06,0.0,0.0,0.0,0.0,0.0
2128,6.243487264396552e-06,0.0,0.0,0.0,0.0,0.0
2129,6.4089992067785154e-06,0.0,0.0,0.0,0.0,0.0
2130,6.5464032119846695e-06,0.0,0.0,0.0,0.0,0.0
2131,6.703151284881835e-06,0.0,0.0,0.0,0.0,0.0
2132,6.844706398911534e-06,0.0,0.0,0.0,0.0,0.0
2133,7.019728509315964e-06,0.0,0.0,0.0,0.0,0.0
2134,7.1829565722902885e-06,0.0,0.0,0.0,0.0,0.0
2135,7.338564350707309e-06,0.0,0.0,0.0,0.0,0.0
2136,7.47290467182093e-06,0.0,0.0,0.0,0.0,0.0
2137,7.65573410217083e-06,0.0,0.0,0.0,0.0,0.0
2138,7.836451174222315e-06,0.0,0.0,0.0,0.0,0.0
2139,7.995700405441863e-06,0.0,0.0,0.0,0.0,0.0
2140,8.15717888661598e-06,0.0,0.0,0.0,0.0,0.0
2141,8.362137480102391e-06,0.0,0.0,0.0,0.0,0.0
2142,8.513530581988179e-06,0.0,0.0,0.0,0.0,0.0
2143,8.70919827020166e-06,0.0,0.0,0.0,0.0,0.0
2144,8.878407235512307e-06,0.0,0.0,0.0,0.0,0.0
2145,9.04470711011889e-06,0.0,0.0,0.0,0.0,0.0
2146,9.250959065337836e-06,0.0,0.0,0.0,0.0,0.0
2147,9.461879687401715e-06,0.0,0.0,0.0,0.0,0.0
2148,9.652392387563519e-06,0.0,0.0,0.0,0.0,0.0
2149,9.839778303844259e-06,0.0,0.0,0.0,0.0,0.0
2150,1.0057164712683212e-05,0.0,0.0,0.0,0.0,0.0
