year,model_p05,model_p50,model_p95,CSIRO_Recons
1886,-11.820241511306907,-8.502845607978053,-5.5696729776685165,-15.968
1887,-11.715590113527007,-8.443145964883133,-5.544638880629126,-16.528
1888,-11.620410482091932,-8.383922954496652,-5.51351712416336,-16.317999999999998
1889,-11.526334795866893,-8.322083728617159,-5.476018784542837,-16.157999999999998
1890,-11.426711391208165,-8.260557970000445,-5.439497655184869,-15.958
1891,-11.34365072958176,-8.208008832680482,-5.410274862120252,-16.127999999999997
1892,-11.251108576417861,-8.151939585269268,-5.376114500797881,-15.808
1893,-11.150264275292063,-8.087633213271324,-5.336271808051114,-15.338000000000001
1894,-11.04074505564153,-8.019587229198352,-5.2910821608041605,-16.308
1895,-10.936861535084594,-7.953252027305619,-5.248807648963012,-15.127999999999998
1896,-10.827798510036834,-7.884657017724863,-5.206188638664466,-15.888000000000002
1897,-10.731183278860382,-7.81764361212482,-5.165908498271306,-15.368
1898,-10.633063036161762,-7.752998099858044,-5.122812692256076,-14.427999999999999
1899,-10.537743456124083,-7.687218353968214,-5.082508231903575,-13.678
1900,-10.44114583297989,-7.62232948712665,-5.039378715539429,-14.218
1901,-10.350191420245553,-7.558259306851623,-5.005963599497935,-14.258000000000001
1902,-10.260540532234339,-7.495648012379708,-4.969575863879278,-13.798
1903,-10.192644139328042,-7.4592202639799705,-4.95445740889262,-12.998000000000001
1904,-10.128973647574487,-7.430167505047761,-4.9509327757981785,-14.027999999999999
1905,-10.042616607369158,-7.37889304346082,-4.917589989616036,-14.578
1906,-9.945970263993637,-7.315829734215668,-4.881949796103594,-13.898000000000001
1907,-9.855647697024326,-7.254249233335652,-4.843910416898715,-14.038000000000002
1908,-9.763096151050632,-7.196769807866583,-4.809249973225929,-14.288000000000002
1909,-9.672822834395681,-7.1315770841548325,-4.771810135249767,-13.838
1910,-9.574310273283496,-7.065983737735042,-4.736136035776264,-13.848
1911,-9.47577783072223,-7.0029559014905916,-4.699820221998384,-13.017999999999999
1912,-9.390362076419187,-6.950412139143982,-4.673818988393604,-13.328000000000001
1913,-9.31699111129509,-6.9096521052921585,-4.658452274142186,-13.148000000000001
1914,-9.242130302199019,-6.862933927001517,-4.640391990734963,-12.517999999999999
1915,-9.149526525978702,-6.805799026142444,-4.607371252203167,-11.728
1916,-9.047891877185007,-6.739063844846997,-4.568213207250817,-11.918
1917,-8.952818177325321,-6.668647401550167,-4.52672738113182,-12.368
1918,-8.853210312400549,-6.600277722697306,-4.483749074323386,-12.528
1919,-8.753722212539065,-6.52983446597794,-4.4392406632349095,-12.368
1920,-8.65549762798843,-6.45895409724788,-4.394187002786706,-12.238
1921,-8.556985403720837,-6.389025989321169,-4.353229826263321,-12.028
1922,-8.457785392307056,-6.322645836779988,-4.309048029942264,-12.118
1923,-8.365492975918372,-6.259544984187176,-4.265253587380462,-11.998000000000001
1924,-8.26737268951806,-6.194121285181824,-4.224214284530691,-12.728
1925,-8.18987753531734,-6.12667126054381,-4.180737211933029,-12.528
1926,-8.103989324507426,-6.0554507999795115,-4.135118677252104,-11.878
1927,-7.999222093654794,-5.98420434738897,-4.087044645993258,-11.988
1928,-7.897478271081152,-5.912368332025433,-4.039569172163014,-12.378
1929,-7.805302263784708,-5.843925344509329,-3.9994560360071865,-12.238
1930,-7.703688847528848,-5.7777541435375666,-3.95989696887111,-11.838
1931,-7.606918272321806,-5.706171107221558,-3.9087187907537304,-11.878
1932,-7.510018485669738,-5.635718989661902,-3.862093258577622,-11.308
1933,-7.414881577640071,-5.564338956587883,-3.813455073621713,-10.878
1934,-7.318714031519823,-5.491505525762441,-3.7616999041962598,-11.418
1935,-7.214149427035008,-5.417926222852399,-3.712700133226173,-10.858
1936,-7.109536087069383,-5.343181371603377,-3.6584062604621312,-11.248000000000001
1937,-7.01506973945827,-5.267847815351448,-3.604231899151359,-10.678
1938,-6.913756270862652,-5.191903037164715,-3.550127296438929,-10.418
1939,-6.808388825800364,-5.115277595994478,-3.4941655727955085,-9.898000000000001
1940,-6.702205139760292,-5.036581986373531,-3.4412858434773947,-10.428
1941,-6.602983561853738,-4.961782054457111,-3.3918504292747715,-9.208
1942,-6.498123045383211,-4.886719182513219,-3.3406670533087466,-9.208
1943,-6.3910927148064784,-4.813455400778159,-3.290977483109317,-9.208
1944,-6.283998352469713,-4.7411427803262,-3.2412411864825628,-9.848
1945,-6.184328427335829,-4.666466074021646,-3.194410961174375,-9.568
1946,-6.078193643728824,-4.588028740061869,-3.1393277242599895,-8.818
1947,-5.973714835467962,-4.508647925390416,-3.081381684681845,-8.508
1948,-5.868624525256962,-4.425077465473829,-3.0206682286811084,-8.028
1949,-5.760374992127678,-4.341258838081217,-2.961073748139079,-8.158
1950,-5.653947417240339,-4.25758483217742,-2.901685749383661,-7.938
1951,-5.549971769619713,-4.178420813072355,-2.845951773150202,-6.9879999999999995
1952,-5.44837159776075,-4.098722979763123,-2.7835627758443278,-7.248
1953,-5.34757956978479,-4.019307096297995,-2.7276733666760955,-6.808
1954,-5.240598838139064,-3.9391267635763083,-2.6752621118526365,-7.098
1955,-5.134552438286838,-3.860251400778749,-2.620793743512251,-7.008
1956,-5.029188880379089,-3.7802002249455,-2.5633656364153063,-7.518000000000001
1957,-4.914334774227587,-3.6975421701573636,-2.5049515469342203,-6.178000000000001
1958,-4.806789435531796,-3.612820277298539,-2.4465699661924987,-6.038
1959,-4.693032521972086,-3.523070335464964,-2.383484887360954,-6.008
1960,-4.58051309703533,-3.4370202383170723,-2.3211772981583922,-5.638
1961,-4.465640600763403,-3.3513451729590007,-2.261159076371252,-5.018
1962,-4.363659278533346,-3.274317979581765,-2.2128502006466504,-5.538
1963,-4.2801554471625565,-3.2209226016476253,-2.1854808323986723,-5.698
1964,-4.216679035049882,-3.1848182309623585,-2.179800673441918,-6.4879999999999995
1965,-4.147255099434859,-3.1399033236668425,-2.164283836599018,-5.368
1966,-4.050756619000434,-3.0759036422559545,-2.1324630098777,-5.908
1967,-3.9421265452775525,-3.0022176620582584,-2.0900949725747906,-5.768000000000001
1968,-3.835690498644633,-2.925999834695272,-2.0436489053991207,-5.688
1969,-3.7201684061391878,-2.8439454383115104,-1.9912027598278352,-5.008
1970,-3.6018485006113017,-2.7569965516553214,-1.9360084726524867,-5.1979999999999995
1971,-3.4861209037442125,-2.672204040888768,-1.8808062098535592,-4.678
1972,-3.3712306583744143,-2.5872845354323295,-1.8271404169641998,-3.768
1973,-3.2495491916813672,-2.4986759112121697,-1.7685480573148267,-4.368
1974,-3.1262061454873384,-2.406483212536502,-1.7077169775560883,-3.178
1975,-3.0092405138043827,-2.322791469218175,-1.6545464999912711,-3.338
1976,-2.8972937234086995,-2.2365794492012605,-1.5990700922186234,-3.4379999999999997
1977,-2.7726184225136983,-2.143065171093042,-1.5363941932975698,-3.6079999999999997
1978,-2.639402256670546,-2.0431701883900724,-1.466827437166251,-2.968
1979,-2.5000509503318296,-1.9368239714219995,-1.39287806714648,-3.458
1980,-2.3562303247307406,-1.8274218980809396,-1.3135022409825443,-2.8579999999999997
1981,-2.212287312074762,-1.7152757961683698,-1.2331767644930625,-1.6179999999999999
1982,-2.0704843322465334,-1.606041919721641,-1.1551331800979407,-2.198
1983,-1.9453906290330834,-1.51984078922593,-1.0995183971980147,-1.3579999999999999
1984,-1.8253706852384237,-1.431945892275532,-1.0445447009239637,-1.448
1985,-1.693556762733265,-1.3313791155600927,-0.9737946080983504,-2.4779999999999998
1986,-1.5526616079662583,-1.2207477445111048,-0.8968326775172413,-2.418
1987,-1.4032110132192988,-1.1048437255724437,-0.8108081154480069,-2.3579999999999997
1988,-1.2443275689385058,-0.9825873656767032,-0.7197071739253805,-1.888
1989,-1.0806930755014914,-0.8518763647981462,-0.6209454066118,-1.438
1990,-0.9075813628231663,-0.7131808675749295,-0.5110510369931132,-1.208
1991,-0.7443406944887119,-0.5832485736364467,-0.41190920010219195,-0.958
1992,-0.6256552005707424,-0.501418449329516,-0.3697647812946222,-0.8879999999999999
1993,-0.531093825371971,-0.4352862841247533,-0.3332337670930419,-1.068
1994,-0.4081977722386743,-0.3331597193840439,-0.2586062215922592,-0.548
