year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2038,0.855642795329108,0.01613133200093071,0.6871959688291547,0.02097702619372895,0.1313384683052936,8.481077607597964,0.01885288123617762,0.8031341730223261,0.02451610217282377,0.15349684356867233,7.095131757906753,8.675094658577297,9.968390782772879
2039,1.3984279143484737,0.03030453011349046,1.1158973983366667,0.049708759621173534,0.20251722627714278,9.142221059909547,0.02167042705780749,0.7979656204564268,0.03554617232046087,0.14481778016530467,7.5144299221897075,9.244690684591252,11.468480918428266
2040,2.1787670375773205,0.05185047435542873,1.7310794840035006,0.08469384954831824,0.31114322967007274,9.836403569705585,0.023798080961002537,0.7945225231277475,0.03887237510371625,0.1428070208075336,7.99122728679996,9.823524473545564,12.978805873658533
2041,3.3649610666170497,0.0952415453907239,2.6512001242907552,0.13805092108534509,0.4804684758502255,10.564472222975938,0.028303907089919055,0.7878843385715987,0.04102600842990853,0.1427857459085738,8.40516720640132,10.391761478955488,14.445300766489318
2042,4.920323552262195,0.14099104826159709,3.889821281459757,0.17353017436726095,0.7159810481735795,11.415445088917755,0.028654832708465743,0.7905620921354555,0.035268041323721036,0.14551503383235767,8.852764078901487,11.1128793516236,15.964784171515639
2043,6.8203282091396655,0.22541432017598176,5.4161111907573884,0.15757386981301205,1.021228828393283,12.267235334833133,0.033050362572568354,0.7941129846947045,0.023103561145613672,0.14973309158711345,9.286797407804276,11.714609395530914,17.478279826745474
2044,9.12114245780246,0.31469544310498826,7.215531784335813,0.20007740370224328,1.3908378266594141,13.150195750535845,0.034501757270087335,0.7910776328423049,0.021935563952418254,0.15248504593518936,9.710776359980937,12.339743372967561,18.986327429739514
2045,11.691288353072261,0.45508841456104754,9.155778949157616,0.25394315468602,1.8264778346675776,13.990156074338115,0.03892542898759814,0.7831283150886995,0.021720716059431405,0.15622553986427098,10.145175314242781,12.96067493576786,20.48271121720782
2046,14.73097102131213,0.6032417509639583,11.419971091965985,0.35408408232021055,2.353674096061974,14.938299079914618,0.04095057617662911,0.7752354597293055,0.024036710262204514,0.15977725383186084,10.611963386008505,13.637331708299069,22.02244186405986
2047,18.022000408103246,0.7886202802419022,13.843472349560573,0.41045076454900903,2.9794570137517615,15.964995614473477,0.04375875387769464,0.7681429384129923,0.02277498364523717,0.16532332406407593,11.035037070244968,15.052642444512138,23.54338055367271
