year,vary_cfg,vary_post,vary_rff,vary_seed,V_emissions,V_climate,V_internal,V_brick
2062,88.53118453560764,74.4731003833115,14.032445807178101,7.247957605670633,5.285036973407833,58.62396541295511,0.0,40.08438712318372
2063,98.50306340743883,83.63796401133322,15.971471375081514,7.2937822763873985,6.131032234818092,61.587220593650855,0.0,42.019427063479874
2064,109.21079827969679,93.03308753065257,17.81156105172934,7.435508893794686,7.02953314727911,64.92473244527649,0.0,43.88906743593823
2065,120.48087417759415,103.26680348535284,20.718389718772958,7.6173883104121485,7.994830472773775,68.16101402725283,0.0,45.65421417697668
2066,132.2187581305616,113.22009535596197,23.12144398817474,7.73484171200627,9.015855628268723,71.17574559981159,0.0,47.47991527085623
2067,144.3934637686677,122.50250202983842,25.418752655355064,7.952195827823365,10.17742205569953,74.82104853526145,0.0,49.040249279906305
2068,157.57148623847408,132.23212499074214,27.915150906570883,7.834404316042422,11.362174271300436,78.59070973303606,0.0,50.53916598772709
2069,171.2846408980675,144.45126210206,31.650741425404004,7.881708179547603,12.592005317609216,82.079259523541,0.0,51.9656131839628
2070,185.37861838244442,157.28230522010728,36.079194872043026,7.906706746249155,13.860377582335829,85.358806288914,0.0,53.49670887206722
2071,199.8722093122428,169.5585817341007,39.98768121475298,8.268461115731181,15.177335618878935,88.85489271540513,0.0,55.00096423976337
2072,214.52752108388339,183.2032657219509,44.97970633599427,8.473793074962197,16.605839391382244,92.28808144937848,0.0,56.56165612507417
2073,230.05024165765954,195.07047402758337,49.26736326661116,8.567449911885177,18.093189700904038,95.88219368475819,0.0,57.94688165640427
2074,246.57436311842935,203.1157686547006,52.77460554699397,8.671203487178323,19.69630221453026,99.65032446411402,0.0,59.489329187086355
2075,263.66141314682307,213.3481467986561,57.197560629984146,8.868736411631968,21.31164092956485,103.25410483117975,0.0,60.62724376266647
2076,281.90450257288484,226.18271017011656,62.71657370451393,8.995361949197157,22.987401646194478,106.99673858559358,0.0,61.8210623931152
2077,300.9581840187601,234.995688518931,67.06857632608417,9.076056981017745,24.696098977580945,110.63096038780095,0.0,62.87152130370887
2078,320.65446191819626,245.2468036159249,72.24244207160591,9.314549793362126,26.507321003999,114.35387305078706,0.0,63.94263241665396
2079,340.06077313854115,257.435132154359,78.191272773645,9.347439391477645,28.4331489386201,118.13657576151871,0.0,65.00554931163038
2080,359.11262222993315,268.5384209628766,84.29046350517733,9.388407442657604,30.503752089222974,122.05050583350489,0.0,66.3017143191352
2081,380.15000424139214,278.869826105978,90.19314319431336,9.559861287309001,32.59904159507981,125.96628355685758,0.0,67.4369546872125
2082,400.1164122900327,293.47874092414565,98.20625874435338,9.705298897452575,34.849954683085535,129.9385306755934,0.0,68.70651304144143
2083,421.0583092414453,304.7548465306533,105.46404116771214,9.68607269684593,37.152659300864244,134.184626088461,0.0,69.8635626415036
2084,443.1921433032299,320.7410156015439,115.1247998163903,9.857513261069258,39.51653656849534,138.18058318347752,0.0,71.01124982477558
2085,465.9875822278128,335.43390715393934,124.34103934878276,10.006024681182716,42.02873554128096,142.38458817717895,0.0,72.18895777773106
2086,489.0795233186479,351.8903356044136,135.07031575343643,9.98004147993596,44.56294387073909,146.76257435632573,0.0,73.15741730523409
2087,513.5011056693999,365.6978111177905,144.732610729072,9.824757990181267,47.154404447421626,151.10500691833963,0.0,74.02949004371523
2088,538.3176891161867,378.40772850169276,154.3477893793228,9.752411829879467,49.80150401599206,155.5542879405296,0.0,74.91584514458334
2089,564.0358483809927,391.48419202837727,165.0149607062428,9.861477640961319,52.53365144305344,159.7075973390693,0.0,75.87196977076772
2090,588.7855474860504,409.32721917544177,178.08509354103916,9.956770908730915,55.43073992974978,163.92845069906593,0.0,76.97546332407379
2091,616.3045052073506,426.6099568197595,191.6414340605008,10.136073576372494,58.4533439585289,168.26356075372001,0.0,78.12101794009814
2092,642.8480877247656,444.2158746120823,205.80588861989577,10.364868887716982,61.51671026002273,172.83502448138876,0.0,79.23111331865589
2093,669.3808049119721,457.91354048997863,218.46943017248194,10.697347164422725,64.75948514890977,177.29929222541034,0.0,80.52077039066165
2094,696.0057342459921,475.6335177834801,233.5108326864539,11.012332883645385,67.99553105649187,181.67776733369823,0.0,81.66832511899962
2095,723.9912940841564,494.4456074602108,250.1147896328093,11.164856997603867,71.34436929802354,185.93982170127646,0.0,82.75571488213197
2096,752.7033032358814,511.3829151514187,266.55517615901283,11.19206802657647,74.8653406685508,190.61691036051508,0.0,83.93297264263192
2097,782.557762039666,530.69494713547,284.4209065019958,11.545394191769411,78.46296067102669,195.76803805971744,0.0,85.06315455270618
2098,813.5930860595604,546.7964808353418,300.7895650399164,11.840809457604244,82.0400974407951,200.59942241759117,0.0,86.02868431947539
2099,844.9635553840085,563.23763557768,318.12497650782615,12.272541353216628,85.73300835510372,205.50612231035208,0.0,87.08711084229007
2100,875.7891094234043,579.2565365139791,335.5690303977076,12.410747088144578,89.47679782224552,210.25344139370785,0.0,88.0595945807815
