year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2085,0.01624597942452187,0.00015384349445656106,0.0002221386062146685,0.002749465983742149,0.013120531340108491,0.019470020798126906,0.009469634943914056,0.013673451160437266,0.16923978000317255,0.8076171338924761,0.003747480643532697,0.005567648511842549,0.006466262870773676
2086,0.01628717719402496,0.00015341500188432772,0.00022131181241425118,0.0027475824171886865,0.013164867962537694,0.01956503592040319,0.00941937329328061,0.01358810122698491,0.16869604747694722,0.8082964780027873,0.0037884776901861983,0.005631706936199521,0.006546992631385251
2087,0.016305259855055168,0.00015365027691480453,0.00022330374961891924,0.0027525117137267713,0.013175794114794671,0.01964403100848225,0.009423356529161226,0.013695197231075573,0.16881127551447161,0.8080701707252915,0.003829630729697442,0.005694806166388844,0.006626089735277674
2088,0.01639778586723872,0.000154409064884893,0.0002256028533260269,0.002748987468420779,0.01326878648060702,0.019779856547216576,0.009416458181307772,0.013758129003060152,0.16764382037168843,0.8091815924439436,0.0038691323090347396,0.005756458286228394,0.0067075917941537
2089,0.01642553501742615,0.00015797566233285043,0.00022081257046269566,0.0027540734321038233,0.013292673352526778,0.01986608838615319,0.00961768747046907,0.013443249807597231,0.1676702420458132,0.8092688206761204,0.003908863989622091,0.005818945826163713,0.006787314373738695
2090,0.016563364074619405,0.0001562842123010072,0.0002185360785390716,0.002730042315997221,0.013458501467782104,0.02002777977178548,0.009435535655494449,0.013193942821913919,0.16482414464224424,0.8125463768803474,0.003949025611824197,0.005877093062792937,0.006867059593076874
2091,0.016748002234490297,0.00016084253113662678,0.00021188663008463648,0.0027115410321500487,0.013663732041118985,0.02018279503838112,0.009603684599790227,0.012651456998750811,0.16190235672204464,0.8158425016794143,0.003987795214165146,0.0059372801879788994,0.006945373674312805
2092,0.016763402247865246,0.0001600188893327555,0.00021582673497549379,0.002710525019087538,0.013677031604469458,0.020254298128671473,0.009545728663352529,0.012874876578409283,0.16169301308943493,0.8158863816688032,0.004025564923068714,0.005996350393289163,0.0070236206989164884
2093,0.01693977002321981,0.00016430538494815935,0.00022338014282663032,0.0027724234331975997,0.013779661062247421,0.020436431635219174,0.009699386988308661,0.01318672818582761,0.16366358158330144,0.8134503032425623,0.004062991133622518,0.006054900612468828,0.007101788101763873
2094,0.016946962835264864,0.0001639020296612035,0.00022332548810994344,0.002775263259985228,0.013784472057508488,0.020501037744045273,0.009671469233421605,0.013177906288035657,0.16376168915707978,0.813388935321463,0.004102083151380498,0.00611259084644189,0.007181119008606629
2095,0.017062301874727598,0.00016391450152653976,0.0002245509117266601,0.00277996370077592,0.01389387276069848,0.02065325354368708,0.00960682226407723,0.01316064581293461,0.16293016740569785,0.8143023645172904,0.004139991057151349,0.006169264685084386,0.007258197483523077
2096,0.017059838240209724,0.0001639055728001206,0.00022471573476344226,0.0027771756400277728,0.013894041292618389,0.020707607471262025,0.009607686221420211,0.013172207825147568,0.1627902680508436,0.8144298379025886,0.004177414566186144,0.006223467838367469,0.007334969499936506
2097,0.017070609981853203,0.00016421464958401352,0.00022264348552969416,0.0027806028146603688,0.013903149032079128,0.02077307188935684,0.009619729450709776,0.013042503212619455,0.16288831023708408,0.8144494570995867,0.004215272565318173,0.006278173612159321,0.0074097694723604945
