year,model_p05,model_p50,model_p95,berkeley_earth
1957,-0.5234250828623772,-0.30619245767593384,-0.08892816007137294,-0.3752
1958,-0.5127896491438151,-0.2966643787920475,-0.0833262398838997,-0.41819999999999996
1959,-0.49394048452377315,-0.28200482074171307,-0.073633573949337,-0.5272
1960,-0.48216072916984554,-0.27728407457470894,-0.06635834462940693,-0.39519999999999994
1961,-0.49059335291385653,-0.27805247753858564,-0.06324760578572752,-0.45819999999999994
1962,-0.5094303473830223,-0.30026505067944526,-0.0899829782545567,-0.5192
1963,-0.5766288988292217,-0.37295011822134255,-0.1570652237161994,-0.5032
1964,-0.6724405296146869,-0.4632927063852548,-0.25280402703210714,-0.6581999999999999
1965,-0.6994898606091737,-0.4818936601281166,-0.2734149232506752,-0.5431999999999999
1966,-0.657599451392889,-0.4426638498902321,-0.23598454324528573,-0.48719999999999997
1967,-0.6126482218503952,-0.4023337408900261,-0.19850663766264914,-0.5172
1968,-0.584209343791008,-0.3786697916686535,-0.17751324623823167,-0.49119999999999997
1969,-0.5555916959419847,-0.34963349662721155,-0.14802111163735387,-0.40919999999999995
1970,-0.5277496889233589,-0.32195765525102615,-0.11795791350305079,-0.5511999999999999
1971,-0.5189309544861317,-0.3129098378121853,-0.11112020835280417,-0.5411999999999999
1972,-0.5144437976181507,-0.3065066747367382,-0.10572327747941018,-0.3161999999999999
1973,-0.4935098495334387,-0.29020708315074445,-0.0945188134908676,-0.5082
1974,-0.47858245521783827,-0.273701560869813,-0.07585099730640649,-0.42319999999999997
1975,-0.4877033725380897,-0.28502345457673073,-0.08554375618696208,-0.5962
1976,-0.48270867075771096,-0.286554504558444,-0.08826116919517518,-0.34319999999999995
1977,-0.4618015125393867,-0.26465231478214263,-0.06536797017397478,-0.3051999999999999
1978,-0.43249818980693816,-0.2342199794948101,-0.03332943469285965,-0.3812
1979,-0.3946126617491245,-0.20573439095169307,-0.010322584956884373,-0.16019999999999995
1980,-0.3675792247056961,-0.17819695509970188,0.02070292830467224,-0.14919999999999994
1981,-0.35221915915608404,-0.1614507358521223,0.03237291127443315,-0.2592
1982,-0.3469422418624163,-0.15634832307696342,0.030353555083274864,-0.19819999999999993
1983,-0.3942551910877228,-0.20927383452653883,-0.032462417241185926,-0.22519999999999996
1984,-0.4131780356168747,-0.2330274760723114,-0.049746061861515034,-0.34219999999999995
1985,-0.38025545701384544,-0.20293587495107207,-0.02861918359994886,-0.2692
1986,-0.3364655375480652,-0.16700123760383576,0.0015895858407020125,-0.23719999999999997
1987,-0.297240584064275,-0.13575521493330595,0.028933752933517076,-0.05219999999999997
1988,-0.26387255266308784,-0.10580971315503124,0.05625331401824951,-0.20719999999999994
1989,-0.22479642257094384,-0.06997140739113089,0.09064320474863052,-0.04619999999999996
1990,-0.17836186289787292,-0.031785030290484406,0.12742809057235716,-0.026199999999999946
1991,-0.18914278044831007,-0.038404931128025066,0.11920214369893073,-0.06619999999999998
1992,-0.3355358828324825,-0.1675467785447836,-0.010636615753173873,-0.23919999999999994
1993,-0.4333962708711624,-0.2524481602013111,-0.08448301814496517,-0.18919999999999998
1994,-0.36588519336655734,-0.20008779577910898,-0.04476261883974075,-0.02019999999999994
1995,-0.27753029689192776,-0.11596758142113686,0.04064242839813237,-0.03319999999999995
1996,-0.19338387399911883,-0.03859572373330594,0.11204381585121159,-0.036199999999999954
1997,-0.13247091323137283,0.017410546913743052,0.1683903321623802,0.2028000000000001
1998,-0.10632619261741638,0.04524214453995226,0.19450126960873604,0.06380000000000008
1999,-0.08894166201353071,0.07499535426613874,0.23035068549215792,-0.011199999999999932
2000,-0.029748824238777116,0.1271860383450985,0.28119943528436125,0.005800000000000027
2001,0.027017742395401,0.17410805337131022,0.32976332902908323,0.18880000000000008
2002,0.050435200706124284,0.2056566782295704,0.3629693139810115,0.15080000000000005
2003,0.06238754093647003,0.2226242460310459,0.3862991720438004,0.16380000000000006
2004,0.05586700364947317,0.22516010142862797,0.39571285247802734,0.16280000000000006
2005,0.06370570734143255,0.2326897460967302,0.40919393002986904,0.2258
2006,0.054610322043299686,0.23846401944756507,0.4201676227152348,0.26280000000000003
2007,0.055614637583494164,0.2410570018691942,0.42750882878899577,0.0888000000000001
2008,0.06732003688812255,0.2529890528763644,0.4421732470393181,0.16380000000000006
2009,0.08356646969914439,0.2718525864183903,0.4615144103765487,0.3428
2010,0.10097587406635289,0.2909916259348393,0.4873141124844551,0.19580000000000009
2011,0.11492434740066526,0.3106405436992645,0.5107588924467563,0.19080000000000008
2012,0.135417352616787,0.3372414654120803,0.5452970765531063,0.2318
2013,0.15708138309419156,0.36249232292175293,0.5705887228250504,0.27880000000000005
2014,0.1856364525854588,0.38990306556224824,0.6038646809756756,0.3588
2015,0.19617405533790588,0.40929523622617126,0.6306957934051752,0.5948000000000001
2016,0.21583092659711833,0.4372186351567507,0.6688563669100404,0.5248
2017,0.23182864934206004,0.4584992194548249,0.6953884288668633,0.41580000000000006
2018,0.24709621965885165,0.4779444228857756,0.7177632793784141,0.4738
2019,0.2632395282387734,0.49566212072968485,0.7472330594435335,0.6098
2020,0.2852784030139446,0.5147101677954197,0.7737434473820031,0.42980000000000007
2021,0.3035752450674772,0.5359570976346731,0.8020327507285401,0.4758
2022,0.32437175780534744,0.5624844712903723,0.8324708428233861,0.5208
2023,0.3543952466547489,0.5932983375620097,0.8670287745445964,0.8788000000000001
2024,0.37786287130787966,0.6220207300037146,0.9068163316312711,
2025,0.4032341057062149,0.649296261742711,0.9355077538825571,
2026,0.42954159114509816,0.6747309643775226,0.9677145392168313,
2027,0.4401210588216782,0.694861651211977,0.9897017907910048,
2028,0.4591372498869896,0.714818137139082,1.0204946027137338,
2029,0.4749522652477027,0.7377123437821865,1.0456918774172659,
2030,0.4884783198684454,0.757179359998554,1.069953672327101,
2031,0.5018429360911251,0.7787348814308643,1.0993890110217035,
2032,0.5235307996394113,0.8019311420619488,1.1246630185714455,
2033,0.536838310547173,0.828397386148572,1.1687928939540868,
2034,0.5628108773007989,0.8557843845337629,1.2030382230412215,
2035,0.5797753961756825,0.8903383683413266,1.2461042154766617,
2036,0.6076905605196953,0.9196651985868811,1.2798540601902642,
2037,0.6303009389154614,0.95105424746871,1.3207340490026398,
2038,0.6463106915727258,0.9798215962946415,1.3665196572616696,
2039,0.6608192227594554,1.0069742910563946,1.4035589833185076,
2040,0.6788047294318675,1.0280904315412043,1.4351814741885753,
2041,0.6844191842712462,1.0517701230943204,1.470963120078668,
2042,0.6988430489134043,1.07278495952487,1.4973677114397284,
2043,0.7080411496385932,1.089489761553705,1.533301060479134,
2044,0.7167274813354015,1.1144462920725346,1.5649733960814773,
2045,0.7324148897826671,1.1396648136200382,1.6091113576292986,
2046,0.7497425108402967,1.1701628759503366,1.6563516703477215,
2047,0.7659072171896696,1.195553920045495,1.6978479279018939,
2048,0.7861470177397132,1.2275568052195012,1.7429874493111857,
2049,0.7988829506933689,1.2578057903796434,1.7896406505163758,
2050,0.8087794461101294,1.280950625240803,1.830088641750626,
2051,0.8161893121153116,1.3011651512235403,1.8697024872072496,
2052,0.8189443949237466,1.31501371525228,1.905176394865484,
2053,0.8222050307691098,1.3314538569655268,1.9358741658367218,
2054,0.827080474048853,1.3505263604223727,1.9654553845664484,
2055,0.831734247840941,1.3655222971457988,1.995788503326475,
2056,0.842515363842249,1.3892186019569635,2.038839226616546,
2057,0.8500997243076563,1.4131660245358943,2.080086852025706,
2058,0.8601898279041051,1.4331929642707109,2.119883682616055,
2059,0.8699229748919607,1.4542613386176528,2.15762731580995,
2060,0.8780409732088447,1.4756191939115526,2.1991826781257986,
2061,0.8822324551548809,1.4913246568292378,2.233800224992446,
2062,0.8892832671105863,1.5064305010717363,2.2630246382020403,
2063,0.8857038165256381,1.5177380118519066,2.2977743224613367,
2064,0.8898596671968698,1.533600452664541,2.3295377061143507,
2065,0.8936050276458264,1.5501065619289873,2.367452786611392,
2066,0.8970279978215695,1.5668409983627498,2.4014018587023016,
2067,0.9045505458116532,1.5875484818592667,2.4412778745964165,
2068,0.9153178875520825,1.6096764650195836,2.486076218597591,
2069,0.9216227239370346,1.631454199552536,2.528804497965611,
2070,0.9318538134917618,1.651256024837494,2.5663991615176203,
2071,0.9294730551540851,1.6657369233667851,2.602020130362362,
2072,0.9298728654533626,1.680833969078958,2.6329572500148783,
2073,0.9275998310744763,1.6938186798244717,2.6636293618381024,
2074,0.9313562719151378,1.7049997936934234,2.7000647498713795,
2075,0.93103665843606,1.7188431546092033,2.7342872221535073,
2076,0.931629426330328,1.7317500465316698,2.762662301948802,
2077,0.9327913242578506,1.7470615101090514,2.794502404518425,
2078,0.9371073926240205,1.7605550922453403,2.827328838817775,
2079,0.9405347387120128,1.7784635815769434,2.864741604365408,
2080,0.9466693274676801,1.796820117160678,2.9007290790788827,
2081,0.9529974818602205,1.8169232044368981,2.9416472174972297,
2082,0.9588881983608007,1.8342822348698973,2.97626775971381,
2083,0.9595506408438087,1.850518597662449,3.015416137054562,
2084,0.9615842240303756,1.8636191576719283,3.044256644472479,
2085,0.9642629608511926,1.8773274173028769,3.072508713868446,
2086,0.9600521526671947,1.885554303601384,3.0991498997993756,
2087,0.958463643193245,1.8955601936206221,3.126629608031362,
2088,0.9593489411473275,1.9080023704096676,3.1600696806609627,
2089,0.9610630601644516,1.9189489659387617,3.1871658371807996,
2090,0.9623107496649027,1.9328993128612637,3.216897206455468,
2091,0.9663142210245133,1.949872021190822,3.2525202947296195,
2092,0.9749413329735398,1.9687520012259483,3.2912935250950954,
2093,0.982889918461442,1.988699235767126,3.329691856903955,
2094,0.9870805368572474,2.0046904910355803,3.364214987671003,
2095,0.9849699676781892,2.0147314285030005,3.3938668572716404,
2096,0.984956747069955,2.0249846949242056,3.4196801779558865,
2097,0.9818254320044071,2.032947050780058,3.4455801856331525,
2098,0.9776595861464739,2.040659926086664,3.473574986979365,
2099,0.9738612416386605,2.048485417990014,3.4963331320416176,
2100,0.9772611409425737,2.0611449860036375,3.5278882427141065,
