year,gmst_tant12p0_spliced,gmst_tant12p0_raw,ohc_tant12p0_raw,gmst_tant14p5_spliced,gmst_tant14p5_raw,ohc_tant14p5_raw,gmst_tant17p0_spliced,gmst_tant17p0_raw,ohc_tant17p0_raw,gmst_control_spliced
1880,0.0277402685575568,0.14840334987274972,0.5973715923278339,0.0277402685575568,0.17271215656403952,3.4299248161804012,0.0277402685575568,0.06417914542418242,2.5404613765102475,0.0277402685575568
1881,0.0340165033833926,0.014933726263522101,0.6034933844070487,0.0340165033833926,0.1294885466819418,3.6398465006291514,0.0340165033833926,0.12919298800884962,2.4052617089702375,0.0340165033833926
1882,0.0356134252604953,-0.073001437204097,0.7400997926492768,0.0356134252604953,0.10881539418909518,3.910976903887153,0.0356134252604953,0.1639090931083012,2.2581668456690087,0.0356134252604953
1883,0.0392965162331948,-0.0026269089011749513,0.8847373714694167,0.0392965162331948,0.07741750191388022,4.320313446163139,0.0392965162331948,0.16259596176756783,2.2082596817860525,0.0392965162331948
1884,0.0045028182374622,0.11021173535827421,0.3355761390054709,0.0045028182374622,0.11555617861229497,3.636336109461871,0.0045028182374622,0.10503043206776914,1.3758610430883447,0.0045028182374622
1885,-0.1426256444530415,-0.08735017159231541,-1.7300241993656107,-0.1426256444530415,-0.1228427652319703,-0.0006219593398819488,-0.1426256444530415,0.06747256118316362,-2.100105970206629,-0.1426256444530415
1886,-0.1441994411702638,-0.17797788064422987,-2.472792071255421,-0.1441994411702638,-0.1418589090160004,-1.38792982534822,-0.1441994411702638,-0.07332744968246392,-3.618262394073013,-0.1441994411702638
1887,-0.0965823145478391,-0.10129011417575846,-2.6131787696707405,-0.0965823145478391,-0.10352661116420336,-1.5840108860170594,-0.0965823145478391,0.015813038564399765,-4.158282019869215,-0.0965823145478391
1888,-0.0583142966951954,-0.032508215728969656,-2.6831028701780886,-0.0583142966951954,-0.013924936053781839,-1.5788234717242617,-0.0583142966951954,0.1429900066494384,-4.594590999173662,-0.0583142966951954
1889,-0.0332980961042151,0.004278899382400045,-2.6317395993502886,-0.0332980961042151,0.06382653387308188,-1.311596017048825,-0.0332980961042151,0.19727512495995414,-4.852903970526259,-0.0332980961042151
1890,-0.0047383622262842,-0.030634872257574455,-2.47704665604507,-0.0047383622262842,0.09894222650113071,-0.9488844686494207,-0.0047383622262842,0.14202432831418288,-4.929193114266591,-0.0047383622262842
1891,-0.0030628316938552,-0.06239920115294641,-2.4824497862190453,-0.0030628316938552,0.07360181170478189,-0.9121183168225048,-0.0030628316938552,0.11398661786178822,-5.2847076699118345,-0.0030628316938552
1892,-0.0134544671340828,-0.14851485234885053,-2.508357521639218,-0.0134544671340828,0.09060793720788435,-1.1316440179098903,-0.0134544671340828,-0.025526667901622058,-5.631246395296037,-0.0134544671340828
1893,-0.0077803710150908,-0.13381534068648165,-2.4514066535971804,-0.0077803710150908,0.0498069628256153,-1.181051231201682,-0.0077803710150908,-0.12276985205757653,-5.713974727621733,-0.0077803710150908
1894,0.0148582971567531,-0.08174042498814067,-2.20792743874998,0.0148582971567531,0.04156207153963124,-0.801127597644334,0.0148582971567531,-0.034167957397888166,-5.529144217034958,0.0148582971567531
1895,0.0311014131591887,-0.08419767416625094,-1.8873865290145846,0.0311014131591887,-0.05026150212090083,-0.18363601427766862,0.0311014131591887,0.0067462290845629325,-5.329669759770853,0.0311014131591887
1896,0.0460433986512274,-0.15545662406643035,-1.4858624066155957,0.0460433986512274,0.0038172684319652816,0.4082620649518085,0.0460433986512274,0.13678122482317095,-5.199629919826108,0.0460433986512274
1897,0.0523264788424739,-0.11603242554093866,-1.1274211077464407,0.0523264788424739,-0.029293474635961006,1.0149180717683683,0.0523264788424739,-0.06777713282539106,-4.870712702555295,0.0523264788424739
1898,0.0580772277239893,-0.12264484522193146,-0.8122544486251795,0.0580772277239893,0.04890808749612184,1.5064597202438832,0.0580772277239893,-0.024474326509037456,-4.637276184974143,0.0580772277239893
1899,0.0628137800841156,-0.0730609138824846,-0.5783487215643134,0.0628137800841156,-0.02725261187034797,2.0576361765284563,0.0628137800841156,0.03840767051258598,-4.456207689822208,0.0628137800841156
1900,0.0598934616715976,-0.0929378760784383,-0.37505980830163066,0.0598934616715976,0.05090280585099949,2.4862034576969263,0.0598934616715976,-0.034873391514201546,-4.283991311643088,0.0598934616715976
1901,0.0585854485849098,-0.07057364358240108,-0.20475062060824134,0.0585854485849098,0.09527567674067887,2.8545316586448215,0.0585854485849098,0.0003181423088346458,-4.117130935889231,0.0585854485849098
1902,0.0558837522050247,-0.08234594098910915,-0.03857685332793984,0.0558837522050247,0.07650852998958639,3.23486893368923,0.0558837522050247,0.04533108437467577,-3.9636745263252897,0.0558837522050247
1903,0.0436883912282353,-0.09052352023881315,-0.11584479940921094,0.0436883912282353,0.07483484118247642,3.1430508440326905,0.0436883912282353,-0.05703848236618443,-4.094355889114748,0.0436883912282353
1904,-0.0200073872992461,-0.23948610181382263,-0.795912402574534,-0.0200073872992461,-0.030380040583841555,1.725332430441041,-0.0200073872992461,-0.10378602311819406,-5.305694088425273,-0.0200073872992461
1905,-0.0287842211934094,-0.0867712190098963,-1.0843566221440537,-0.0287842211934094,-0.07978137771869848,1.3386406494504588,-0.0287842211934094,-0.06663935799372746,-5.7839787203489905,-0.0287842211934094
1906,0.0056028030649256,-0.030869698983387858,-1.0881069156076177,0.0056028030649256,-0.005286889091587366,1.5931936718889617,0.0056028030649256,-0.11174394372394776,-5.633134328135453,0.0056028030649256
1907,0.0308720966971317,-0.19778231052820366,-0.7812855764372335,0.0308720966971317,0.04864890452919861,2.04274614349597,0.0308720966971317,-0.024818477496897376,-5.306179916918417,0.0308720966971317
1908,0.0279716596179626,-0.20129584380652438,-0.7016254676455377,0.0279716596179626,0.02166977313403782,2.1044619804742513,0.0279716596179626,-0.20772964097801355,-5.2003767421831935,0.0279716596179626
1909,0.0381501406130272,-0.18265735650981313,-0.45758734210750196,0.0381501406130272,0.09777373425238002,2.370361289607083,0.0381501406130272,-0.1717659997136043,-4.888717690357022,0.0381501406130272
1910,0.0498556532433236,-0.08558466349032938,-0.27597742405227504,0.0498556532433236,0.05635964742016815,2.776776346918459,0.0498556532433236,0.039839074252732906,-4.649970553282332,0.0498556532433236
1911,0.0535589835495674,-0.17360234399579255,-0.05110049103809358,0.0535589835495674,0.07396033039404293,3.1171022342612726,0.0535589835495674,0.0630230557163991,-4.557368921624249,0.0535589835495674
1912,0.0593208180743026,-0.12818429855328978,0.135682312702101,0.0593208180743026,0.027358300531739835,3.5082269872366703,0.0593208180743026,-0.007216418342395434,-4.333804031231529,0.0593208180743026
1913,0.0150939198929742,-0.14595136848446455,-0.3152808001410364,0.0150939198929742,-0.054644448363752735,2.777179725506212,0.0150939198929742,0.023464029334125183,-5.097402391345741,0.0150939198929742
1914,-0.0031509111126779,-0.14148551137491117,-0.69941744147231,-0.0031509111126779,-0.03643347030204125,2.191115740355248,-0.0031509111126779,-0.07814736747122293,-5.663239593092637,-0.0031509111126779
1915,0.012464419148173,-0.15146566919970944,-0.6578511792985285,0.012464419148173,-0.0557864301888458,2.3138167946246595,0.012464419148173,-0.12313430151609119,-5.6774353893805625,0.012464419148173
1916,0.0403862315210641,-0.157765697015523,-0.3483951313003242,0.0403862315210641,0.014454855863336558,2.804041923686322,0.0403862315210641,-0.015985929820819145,-5.340996411280561,0.0403862315210641
