year,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
1874,0.96652,-0.02140,0.02340,0.35645,0.02211,-0.22017,0.02299,0.33291,0.44565,0.77171,0.06579,-0.22248,0.30167,-0.05726,-0.01410,-0.16330,-0.21036,-0.06650,-0.06048
1875,0.28221,-0.32185,-0.00604,-0.41291,0.46798,0.62029,0.02720,-0.96924,-0.22289,0.18701,-0.36705,-0.73690,0.10621,0.30573,-0.09790,0.05348,0.15519,-0.06114,0.13868
1876,-0.66426,-0.36622,-0.10787,0.16991,0.25921,0.02454,0.09938,-0.42797,-0.03872,0.07533,0.07634,0.13999,-0.11352,-0.17047,-0.29341,-0.06200,0.20253,0.19174,0.04925
1877,-0.27688,0.64455,0.74291,0.92559,0.23760,-0.11414,-0.20814,-0.55923,-0.21494,0.16065,0.26077,0.27219,0.18219,-0.28861,-0.10440,0.32630,0.69357,-0.03553,0.16485
1878,-0.29339,0.48100,1.01251,1.62125,0.78045,0.11491,0.46601,0.81475,0.74331,0.37019,0.28278,0.46032,0.21739,-0.34446,0.21464,0.42039,0.24618,-0.21240,0.20349
1879,-0.25586,-0.18071,0.20369,0.11065,0.47220,-0.12500,0.35300,-0.20956,0.27549,-0.07836,-0.61132,0.67754,0.28835,-0.32893,0.16488,-0.03454,0.55156,0.06264,0.17629
1880,-0.31989,-1.09211,0.17078,-0.09634,0.33735,0.47434,-0.04046,0.05386,-0.22895,0.20107,0.10221,-0.79375,0.45268,0.40534,0.13816,-0.00780,0.27606,0.31211,0.19686
1881,0.38157,-0.28032,0.38929,0.44154,-0.17582,-0.55799,-1.26057,-1.28749,-0.89096,0.07292,-0.16397,0.15346,0.53615,0.45491,0.08210,0.20004,0.18753,0.18600,0.12865
1882,0.02006,-0.58328,0.21623,-0.52248,-0.81120,-0.30164,-0.36321,0.71683,-0.52978,0.06223,0.33687,-0.22336,0.21668,-0.07038,0.02557,0.00128,0.18822,0.17645,0.20714
1883,0.38974,-0.67004,0.08210,-0.66206,0.26084,-0.08962,0.97444,0.88382,0.52801,0.04258,-0.35173,0.32132,0.07367,-0.14489,-0.20460,-0.05279,0.03659,0.14021,0.22816
1884,0.36838,-0.80621,-0.31091,-1.45303,-0.55682,0.03296,0.26753,0.52099,-0.31129,-0.37189,-0.00687,-0.32691,-0.05500,-0.24339,-0.47659,-0.13068,0.08936,-0.43597,0.12267
1885,0.46682,0.46356,-0.24484,-0.21525,-0.25431,-0.55985,-0.58013,-0.22822,-0.93538,-0.67903,-0.05196,0.15379,0.01836,-0.53412,-0.47316,-0.06772,-0.21855,-0.40243,0.02155
1886,0.01696,-0.17369,-0.10985,-0.47782,-0.57687,-0.48872,-0.12039,0.41322,-0.00757,0.02700,0.07501,-0.28440,-0.22184,-0.18750,-0.19356,0.04092,0.10847,-0.20216,-0.07706
1887,-0.76061,-0.84118,-0.31231,-1.11208,-0.67061,-0.04127,-0.18068,0.51336,-0.02556,0.16852,-0.48877,0.11816,0.15228,0.01180,-0.11264,-0.23351,-0.00511,0.23246,-0.13424
1888,0.14271,-0.12716,0.00749,-0.06655,0.20678,-0.06929,-0.55114,-1.14801,-0.83221,-0.12233,-0.74172,0.56864,0.62634,0.36810,-0.01794,0.04472,0.14366,-0.58633,-0.14112
1889,0.75671,0.58772,0.35440,0.27420,0.31342,0.44718,0.64331,0.64150,0.69900,-0.25058,-0.50344,0.30952,0.16838,0.15729,0.24854,0.16351,-0.36085,-0.04252,0.04698
1890,-0.29972,-0.50668,-0.33470,-0.47862,0.13563,0.30587,0.69832,0.94886,0.27839,-0.17505,-0.46035,0.10189,-0.10396,-0.05622,0.13965,-0.30829,-0.13737,0.06532,-0.02549
1891,0.72902,-0.08050,-0.04963,-0.12754,-0.05075,0.16491,-0.10021,0.34257,-0.65611,-0.24451,-0.49743,0.23615,-0.25123,-0.40367,0.01298,-0.07883,-0.04388,-0.15753,-0.00935
1892,-0.33913,-0.29425,-0.35029,0.51766,-0.23879,-0.53570,-1.17262,-0.80438,-0.48713,-0.47219,0.01312,0.62473,0.03621,0.43034,0.14133,-0.18586,-0.35369,0.22398,-0.07365
1893,-0.35749,-0.94653,-0.31023,0.12941,0.23586,0.24121,-0.86001,-0.98845,-0.52814,0.36203,0.02788,0.10693,0.10122,-0.58875,-0.82461,-0.23180,-0.28935,0.56928,-0.00731
1894,-0.56876,-0.50089,-0.89053,-0.48990,-0.36561,0.28069,0.46930,1.09865,0.61969,0.49015,0.01347,-0.45749,0.22348,-0.29507,-0.15851,-0.23235,-0.21018,-0.01534,-0.17036
1895,-0.35440,-0.58125,-0.18155,0.69067,0.55015,0.03683,0.07810,-0.04818,-0.03450,-0.31310,-0.04604,0.20549,0.06584,0.20378,-0.17325,-0.08606,-0.13501,-0.18368,-0.07459
1896,-0.74179,-0.40675,-0.56179,-0.31590,-0.13432,0.13733,0.25751,0.76218,0.43157,0.26684,-0.28235,-0.29463,0.44841,0.53892,0.21573,0.09655,0.33877,-0.06991,0.03606
1897,-0.28050,-0.48249,0.32848,-0.00938,0.14759,0.13099,0.45686,0.61919,0.88891,0.16204,0.24827,0.03926,-0.07051,-0.07242,0.24566,0.23454,0.18233,-0.02136,-0.00340
1898,-0.06289,-0.48449,-0.72669,-0.20240,-0.19083,0.16225,0.27204,0.40332,0.13517,-0.18636,0.53224,-0.36950,-0.21884,0.25388,0.19788,-0.12854,-0.26297,-0.51536,-0.18832
1899,-0.07673,-1.05126,-0.93976,-0.06725,-0.00886,0.11415,-0.33859,-0.56320,-0.21258,0.59224,0.40082,0.49220,0.36308,0.64327,0.01715,-0.03619,0.29314,-0.16069,-0.08412
1900,0.06370,0.15036,-0.05627,0.76794,0.55106,0.21699,-0.21130,-0.44525,0.10318,0.12073,0.51008,0.13002,-0.03209,0.34143,0.22181,0.19354,0.37586,-0.05714,-0.07809
1901,-0.24588,-0.05703,-0.21601,0.86232,0.58350,0.19290,0.12739,0.43742,-0.22289,0.51935,-0.26315,1.09859,0.02958,0.27713,0.18181,0.07917,0.49951,-0.47356,-0.12717
1902,0.00533,-0.26126,0.23338,0.91694,0.21781,-0.25111,-0.71914,-1.18533,-1.52831,-0.51399,-0.34656,0.52885,0.28150,0.70853,0.02956,0.02999,0.03224,-0.78804,-0.22478
1903,-0.43569,-0.39917,0.41526,0.50482,0.11186,-0.47755,0.28201,0.53956,0.28487,0.24677,0.01614,-0.06625,-0.49324,-0.27035,-0.00887,-0.17026,-0.21804,-0.65175,-0.25769
1904,-0.63600,-0.27975,-0.33706,-0.09667,-0.05212,-0.09967,0.26645,-0.07556,0.90537,0.37527,0.30227,-0.05994,0.00345,0.23348,-0.20523,-0.37684,0.23642,-0.55096,-0.25990
1905,0.53328,0.21417,0.49044,0.79872,0.43066,0.03617,0.35705,0.47435,0.73070,0.03309,-0.17045,0.08236,-0.71691,-0.28587,-0.55121,-0.04604,0.07371,-0.48510,-0.14047
1906,-0.07330,0.16262,0.09023,0.53617,-0.06356,-0.35603,0.12623,0.55776,0.71049,0.52033,0.02424,0.14709,0.12543,0.18711,0.05482,-0.00929,0.07115,-0.78948,-0.03414
1907,-0.26433,-0.61471,-0.68355,-0.62380,-0.15688,-0.44780,0.54982,0.03157,1.08595,0.08555,-0.20293,-0.53107,-0.05784,-0.13162,-0.05522,-0.15835,-0.19887,-0.03220,-0.23099
1908,-0.53432,-0.32975,0.17842,0.81871,0.76396,0.24750,0.34216,0.16149,0.28850,-0.03566,-0.22365,-0.28548,0.21425,0.00105,0.19555,-0.20946,-0.00135,-0.29658,-0.19084
1909,-0.84878,-0.95478,-0.19083,0.71979,0.60754,0.25521,0.17848,-0.11754,0.20039,0.00489,-0.39228,0.61744,0.46882,-0.11732,0.17029,-0.09822,-0.04968,-0.05668,-0.35826
1910,-0.56481,-0.00921,-0.19206,0.38357,-0.03242,0.05741,-0.01192,0.77376,0.19285,0.01488,0.00350,0.18979,0.09096,-0.22280,-0.13576,-0.15220,-0.28601,-0.02747,-0.29684
1911,-0.39365,-0.74794,0.34837,0.54079,0.41728,0.14384,0.40555,0.51246,0.42738,0.20197,0.43002,-0.85873,0.30772,0.02623,-0.03530,-0.15171,-0.26455,-0.09677,-0.39647
1912,0.32458,-0.14645,0.44598,0.55135,0.42787,0.17515,-1.01149,-0.13851,-1.52638,-0.70463,-0.34075,0.25625,0.06332,0.25617,-0.05815,0.10703,-0.11260,-0.65844,-0.28064
1913,-0.07570,-0.66756,-0.67935,-0.11517,0.07210,0.08936,-0.02390,0.70229,0.03399,0.00418,0.08375,-0.03132,-0.07530,-0.20214,-0.22989,0.01469,0.24178,-0.52446,-0.29244
1914,0.26025,-0.05605,-0.49760,-0.58475,-0.56535,-0.20803,-0.28385,0.89591,0.04543,0.67030,-0.17818,0.14072,0.78681,0.25513,0.07064,0.18780,0.01076,-0.37678,-0.01930
1915,0.67735,0.49273,0.63117,1.50568,0.51867,0.19073,-0.74828,-0.89307,-0.06747,-0.16205,-0.01763,0.72419,0.89537,0.87697,0.41932,0.34051,-0.02594,-0.17339,-0.04978
1916,-0.45983,-0.89203,0.23812,1.04659,0.58229,0.01308,-0.62329,0.16663,-0.62175,0.02118,0.38578,0.47219,0.31648,0.15298,-0.05742,-0.08514,0.07374,0.60203,-0.08004
1917,-0.60713,-0.95517,-1.36626,-0.20048,-0.29208,-0.05442,-1.74906,-0.50311,-1.33696,0.38865,-0.35515,0.67112,0.36489,-0.23281,-0.48494,-0.16897,0.21248,0.40844,0.12346
1918,-0.50874,-0.34141,-1.05761,-0.74963,-0.49269,-0.14871,-0.06543,0.33586,-0.11275,0.19939,0.10348,0.17442,0.20031,-0.00602,-0.08735,-0.07537,0.00393,-0.09379,0.03270
1919,-0.25831,-0.61293,-0.17859,0.40070,-0.00324,-0.27514,-0.68384,-0.30486,-0.10085,0.00167,-0.27876,0.65851,0.33870,-0.07134,0.20085,0.16597,0.34549,-0.21462,0.01532
1920,-0.41002,-0.28113,0.17591,0.34150,0.00124,-0.07959,0.75054,1.24549,1.21500,0.60017,0.44442,-0.34176,-0.09521,-0.47175,0.07321,0.03690,0.16626,-0.29471,-0.11592
1921,-0.05682,0.19114,0.29027,0.34207,-0.04992,-0.26550,0.18264,0.62531,1.03970,0.85599,0.58273,0.02172,0.24728,0.38021,0.31908,0.04300,-0.24179,-0.06087,-0.07701
1922,0.02275,-0.63323,-0.17468,-0.30434,0.38889,-0.22993,0.95094,0.19292,1.35143,0.27231,-0.22639,0.75668,0.65472,0.20054,0.20384,-0.01182,-0.11389,0.03419,-0.03839
1923,0.58112,0.04868,0.67079,0.41314,0.99421,-0.07561,1.03499,-0.03027,1.38900,0.44422,0.42719,0.44255,0.34848,-0.32845,0.16790,-0.00740,-0.39260,-0.16727,-0.17637
1924,-0.10449,-0.13504,0.78492,1.68700,1.01049,0.11435,0.89538,0.50115,1.57081,0.55200,-0.03648,0.43605,0.46811,-0.14566,0.27550,0.11424,-0.27338,0.36010,-0.23564
1925,0.27443,0.14273,0.31074,0.50869,0.67155,0.06752,0.63473,0.82309,0.31432,0.74348,0.05441,0.33227,0.35203,0.00986,-0.36025,0.03514,-0.13676,-0.33115,-0.28838
1926,1.72914,0.84493,0.77672,0.39062,1.20776,0.46495,0.43605,0.14829,0.51896,0.79438,0.65346,0.30982,0.56765,-0.09985,0.09874,0.29959,0.16029,-0.38910,-0.21514
1927,-0.07022,-0.38312,0.73321,1.22326,1.24234,0.45140,0.34248,0.26001,0.55946,0.55687,0.52718,0.54108,0.32568,-0.09140,-0.12614,0.13714,0.05347,-0.38555,-0.22535
1928,0.39757,0.60505,1.75737,1.73300,1.89765,0.60721,0.76013,0.26660,0.95687,0.40262,0.58978,0.10829,0.29429,0.27184,0.40582,0.13593,-0.26550,0.33805,-0.18134
1929,0.67783,-0.17770,0.91194,0.44396,1.57574,0.55239,0.29434,0.10905,0.24944,-0.15026,-0.15931,0.05103,-0.24240,-0.12350,0.03631,-0.05307,0.03176,-0.05518,-0.25278
1930,0.14763,0.36552,1.50397,0.87079,1.41610,0.25259,1.15090,1.38560,0.85364,0.50186,0.62564,0.54892,-0.15414,-0.29887,-0.00782,0.13343,0.24592,-0.68993,-0.30287
1931,0.34768,0.91329,1.20078,1.69311,1.37411,0.32906,1.21782,0.16072,1.56874,0.16929,-0.03795,0.13559,-0.08712,0.05951,0.43525,0.32987,0.02582,-0.68821,-0.11865
1932,-0.12541,-0.39933,1.02932,1.19346,1.81360,0.71378,0.95428,1.07087,1.09742,1.01174,0.11490,0.00162,0.42724,0.26204,0.32094,0.14646,0.28519,-0.46280,-0.11916
1933,-0.56900,-0.68171,0.41852,0.08331,1.71513,1.11752,1.38380,0.77733,0.72329,0.04442,-0.21358,-0.34497,0.37443,-0.09153,0.16562,0.12706,0.03088,-0.28476,-0.26861
1934,0.53482,1.03882,0.78370,0.04652,1.38805,0.74761,1.72775,1.94312,2.21794,0.84087,0.81287,0.03780,-0.39704,-0.14690,0.07310,0.04298,-0.15331,-0.27958,-0.15132
1935,0.47106,-0.27904,0.74095,0.73569,1.35795,0.66724,1.16794,0.96280,1.56206,0.56390,0.24006,0.72035,-0.03021,-0.44549,0.14361,0.10701,0.04343,0.23231,-0.20603
1936,0.85027,-0.22712,0.45501,0.56412,1.49951,0.72424,1.12148,1.22516,1.67808,0.51372,0.46676,0.57326,-0.24499,0.06477,-0.03605,0.19738,-0.04394,-0.39719,0.01430
1937,0.92948,0.14505,1.64936,1.34053,1.35214,0.46323,1.80476,1.55062,2.67283,0.56394,0.77270,0.87712,-0.30030,-0.28471,0.19927,0.30627,-0.01661,-0.44130,0.16095
1938,0.66476,0.87141,1.71757,0.90606,1.07758,0.62386,2.01903,2.04367,3.13304,1.03220,0.39845,0.48412,0.49198,0.15901,0.35147,0.19354,-0.01570,0.61466,0.12159
1939,0.03069,0.53124,1.44700,0.82105,1.84373,1.15225,1.43577,1.08887,1.41757,0.97482,0.30678,0.58996,0.77808,0.23680,0.38810,0.19021,0.24235,-0.30818,0.07883
1940,1.35545,1.23120,2.27631,1.86309,1.52092,0.48953,1.11608,-0.18866,1.15477,0.65478,-0.56435,0.59529,0.82503,0.42174,0.18864,0.46210,0.32774,-0.21502,0.20584
1941,1.12310,0.77048,0.61730,1.13939,1.83496,0.97304,0.40853,-0.75973,0.27725,-0.01987,-0.46732,0.41887,1.41264,1.24685,0.73660,0.54360,0.16263,-0.28539,0.06232
1942,1.11522,0.61613,1.26976,1.11143,1.42067,0.70793,0.42922,-0.55135,1.37442,0.54330,-0.01896,0.19138,0.70720,0.37330,0.63951,0.30563,0.28556,0.12344,0.21680
1943,0.71087,0.84078,1.47772,0.63969,0.79050,0.54091,0.68561,1.39243,2.46993,1.49443,0.89198,-0.04387,0.37917,0.05539,0.33322,0.04931,0.72247,0.28879,0.58096
1944,0.81462,0.86942,1.61503,1.16780,1.06475,0.43084,1.32838,1.05811,2.85000,1.18342,0.22806,0.50540,0.22294,-0.01870,0.13784,0.36537,0.85832,0.17499,0.04944
1945,0.45504,0.11441,1.03016,1.07867,1.36597,0.79099,1.23965,0.71789,2.12689,0.70180,0.84157,-0.28220,0.39106,-0.32225,0.16984,0.37915,0.91036,-0.10681,-0.42132
1946,-0.10467,0.15734,0.88109,0.85652,1.54146,0.87286,1.34105,1.06734,0.96906,0.13504,0.67456,0.26472,0.79790,0.65233,0.78041,0.18483,0.20414,-0.14860,0.03075
1947,0.63498,0.35652,2.15354,2.72701,1.96907,0.45833,1.07333,0.27504,1.85609,0.44319,0.86498,1.02095,0.72887,0.73366,0.61240,0.19006,0.44338,-0.24428,0.04165
1948,-0.20117,-0.18415,0.36022,1.31765,0.82346,0.38658,0.39536,1.04161,0.97321,1.22333,0.71894,-0.02517,0.54623,0.14607,0.33330,0.14588,0.22169,0.22431,-0.10658
1949,0.22874,-0.06348,0.76373,0.52251,0.42916,0.28446,0.82592,1.50902,1.15542,0.70052,0.93183,-0.48353,0.16270,-0.02658,0.30724,0.14142,0.41419,0.10588,-0.15727
1950,0.17262,-0.50695,0.79187,0.58933,1.11737,0.42374,1.47756,1.12527,1.59992,0.37994,1.05356,-0.08574,-0.00354,-0.82489,0.09690,0.01343,0.21832,0.58505,-0.01001
1951,0.26823,-0.53721,0.96973,1.30937,0.58259,0.26170,0.55980,0.57787,1.05709,0.78715,0.73239,0.60145,0.42935,0.11510,0.49255,0.20607,0.38345,0.04198,0.18213
1952,0.25007,0.38243,1.76082,2.03889,1.32039,0.25912,0.87144,0.21122,1.22771,-0.06346,0.65220,0.71388,0.24713,0.32084,0.68476,0.29186,0.51339,0.04150,0.19446
1953,0.45264,0.81032,1.24789,1.49679,1.25038,0.99288,1.60996,1.50865,2.26602,0.99948,0.57949,0.00712,0.71670,0.71831,0.75750,0.32917,0.58105,0.18539,0.07354
1954,0.18753,0.32689,1.27183,1.09852,1.17694,0.58636,1.78212,1.02303,2.76027,0.46867,-0.08397,0.49423,-0.24957,0.09716,0.46948,0.10494,0.16567,0.48870,0.09218
1955,-0.55231,-0.75987,0.75757,1.99775,0.88641,0.44472,0.68265,-0.13103,1.04286,0.47687,0.41516,1.04057,0.35476,0.11037,0.15671,0.04345,0.03758,0.57134,0.47701
1956,-0.71514,-0.21588,0.17025,0.44868,0.92292,0.71417,1.31197,-0.20707,2.06160,0.36437,-0.57268,-0.28636,0.21393,0.11943,0.16741,-0.07742,0.07939,0.74668,0.47301
1957,1.18291,0.13366,0.62486,0.72179,1.21560,0.81295,1.45393,0.99219,0.68931,0.37438,0.53514,0.25324,-0.05434,-0.65484,0.01107,0.25075,0.31554,0.36296,0.39966
1958,0.81807,1.13571,1.44201,1.55850,1.20137,0.87257,1.02829,0.12086,-0.17619,0.07479,0.59888,0.53744,0.65794,0.62229,0.71782,0.40552,0.36356,0.31081,-0.05547
1959,0.15202,0.15053,0.90589,0.97063,0.92018,0.90796,1.19607,1.38196,1.93493,1.05570,0.72749,-0.23910,0.37296,0.27676,0.29778,0.28549,0.04449,0.34935,-0.09151
1960,0.46851,0.37037,1.55504,2.00628,1.69878,1.24445,1.33959,0.87491,0.54779,0.14140,0.57123,0.83801,0.28659,0.15555,0.60156,0.18879,0.68645,0.39459,-0.12828
1961,-0.13770,0.17750,-0.16699,0.83030,0.74540,0.74953,1.06768,1.64289,1.42302,0.79750,1.06977,0.51935,0.35195,-0.17224,0.12178,0.21719,0.38356,0.32530,0.31892
1962,0.73939,0.41975,1.87972,1.20298,1.36508,0.39570,0.21033,0.21576,0.46314,1.25459,0.06995,1.25020,0.29410,-0.11901,-0.00188,0.17705,0.70521,0.80270,-0.00714
1963,0.81303,0.83850,1.18673,1.27086,1.00727,0.24723,-0.17880,0.28479,-1.01279,0.98742,-0.10615,0.75032,0.73158,0.50873,0.20201,0.28289,0.53833,0.12778,0.11938
1964,-0.39876,-0.30510,-0.32380,0.26505,0.84790,0.72290,0.62603,0.76488,-0.06299,0.05630,0.36246,-0.24333,0.18090,-0.39917,0.24446,0.07261,0.31427,-0.09250,-0.08525
1965,-0.09541,-0.11012,1.17444,1.14353,1.36059,0.41594,0.38412,0.05801,0.30062,0.16137,-0.07099,0.22779,0.56914,-0.06760,0.04134,0.12475,0.62381,-0.23356,0.09829
1966,-0.30150,-0.07427,0.35138,1.77413,0.64652,0.40894,-0.28859,-0.55462,-0.61923,-0.21527,0.78076,1.53644,0.55845,0.08873,0.51128,0.24989,0.34691,-0.02537,0.12177
1967,0.78967,0.30191,0.79239,0.41400,0.66921,0.12136,0.42615,0.88744,1.26702,1.15555,0.64262,-0.18097,-0.17210,-0.24760,-0.10645,0.03705,0.40180,0.04715,0.30909
1968,0.26004,0.21495,0.71955,1.49498,0.40539,0.29580,-0.84035,-0.04665,-0.54626,0.57606,0.45639,0.49364,0.15624,-0.26610,-0.14783,0.02908,0.73515,-0.00844,0.27723
1969,0.45165,0.22322,1.44800,2.01654,0.58622,-0.10645,0.28215,0.08425,0.02040,-0.46432,0.10270,0.18903,0.14479,0.37876,0.51076,0.48627,0.69170,0.16531,0.30393
1970,0.22309,0.11556,0.54840,0.73048,0.47847,-0.04142,0.45656,0.29859,0.48436,0.32317,0.25414,0.81520,0.23051,0.49759,0.10907,0.28740,0.62057,0.72102,0.30714
1971,-0.89942,-0.12344,0.84135,0.98004,0.02525,0.31567,0.24557,0.36388,0.62088,0.81622,0.33276,0.36664,0.65910,0.32278,-0.26654,-0.02434,0.08450,1.00030,0.37170
1972,-0.51156,-0.59819,-0.63859,-1.82482,0.38071,0.46271,1.82429,1.46523,1.37249,0.16972,0.07392,-0.38577,0.27857,-0.35135,0.26461,0.35593,0.46825,0.22755,0.38036
1973,-0.19493,0.43289,1.15449,1.38358,0.21764,0.00412,0.59148,0.85325,0.84172,0.94976,0.23268,0.07196,0.79324,0.13715,0.43605,0.46850,0.13624,0.52399,0.33960
1974,-0.14119,-0.04672,-0.47637,0.44953,0.92126,0.42446,1.56920,1.69297,1.27020,0.11862,0.35757,-0.02292,0.24587,-0.14691,0.15918,-0.00196,0.12283,0.75720,0.45473
1975,-0.63212,-0.26357,0.14561,1.10106,0.10925,-0.02400,0.38455,1.47963,1.30657,1.32644,0.56044,0.30308,0.35961,-0.42960,0.16124,0.04548,0.41080,0.72903,0.35037
1976,-0.02165,0.59190,0.48082,0.30774,0.95726,0.32017,1.41293,0.15609,1.67194,0.09034,0.22350,-0.27121,0.11010,-0.19650,0.05627,0.05091,0.18397,-0.11472,0.09465
1977,0.85461,0.88344,1.07839,2.39945,1.05510,0.22763,0.23551,0.30632,0.57175,0.39821,0.50389,0.29381,0.58572,0.42941,0.04870,0.33189,0.74816,-0.09818,0.51956
1978,1.14108,0.31796,0.78259,-0.09045,0.73544,0.16708,0.18864,-0.27648,-0.23843,0.86532,-0.08177,0.39895,0.64623,0.00703,0.06236,0.27059,0.80393,0.40169,0.38993
1979,1.16939,0.22458,-0.13282,0.93320,0.52313,-0.41462,0.15225,0.14039,-0.64414,0.23021,0.37195,1.04311,0.71311,0.11163,0.46843,0.46981,0.95658,0.43392,0.41137
1980,0.56010,0.73449,1.13723,2.03542,1.45306,0.43294,0.81183,0.19722,0.59814,0.58694,-0.22781,0.33291,0.86923,0.49155,0.34449,0.49450,0.93306,0.20617,0.72156
1981,1.61899,1.78954,2.69140,2.63927,0.84055,-0.17512,0.33841,0.10479,0.79000,1.39022,0.38852,0.83359,0.62932,0.24413,0.23866,0.38650,0.90032,0.51311,0.64955
