year,gmst_control_spliced,gmst_tant12p0_spliced,gmst_tant14p5_spliced
2137,5.672496825902029,8.510407,10.277293
2138,5.705523981047367,8.562426,10.338983
2139,5.727851161427154,8.555777,10.437066
2140,5.752497012532589,8.573942,10.559644
2141,5.775914719811637,8.799575,10.670228
2142,5.795470963655953,8.822282,10.673418
2143,5.821623376752074,8.74051,10.704014
2144,5.848793823506787,8.815066,10.742791
2145,5.8796144524477665,8.730961,10.888907
2146,5.9091583670197,8.841997,10.850767
2147,5.932415253541499,9.035371,10.97501
2148,5.96096757733068,9.132482,10.9878
2149,5.984855923664425,9.206057,11.095428
2150,6.009791200479169,9.199259,11.092209
2151,6.028441504608441,9.109864,11.119077
2152,6.057363066520258,9.101431,11.158125
2153,6.079955302058288,9.144712,11.398537
2154,6.109240893012745,9.181146,11.271149
2155,6.129226577689733,9.299917,11.575047
2156,6.153261600875571,9.455299,11.483805
2157,6.179711065972603,9.460699,11.556282
2158,6.209890798168322,9.479869,11.473607
2159,6.235836295677487,9.442034,11.650109
2160,6.266358270390076,9.534299,11.702821
2161,6.293047376185408,9.663467,11.803824
2162,6.314990012075206,9.793516,11.788057
2163,6.34206788466492,9.762784,11.881397
2164,6.35578476467653,9.844054,11.902164
2165,6.365862468403385,9.859502,11.98096
2166,6.383468880306376,9.752881,12.005213
2167,6.4081720464584295,9.957113,11.938486
2168,6.425798598490646,9.925086,12.079204
2169,6.454118406598851,9.874918,12.246748
2170,6.486204683733515,9.980133,12.169806
2171,6.506022511195588,10.070689,12.388251
2172,6.531421061215337,10.108188,12.530361
2173,6.554138006465327,10.119729,12.431858
2174,6.576907129836155,10.066846,12.470263
2175,6.589808472359773,10.316493,12.469618
2176,6.6019459723619525,10.091097,12.552885
2177,6.614660280653371,10.307283,12.778443
2178,6.633380513903446,10.164169,12.532589
2179,6.656222740533219,10.273799,12.600759
2180,6.678128541842929,10.360824,12.59863
2181,6.696941578395637,10.382457,12.647627
2182,6.7157318628045894,10.425069,12.822905
2183,6.740051518028006,10.407234,12.849142
2184,6.752856505124103,10.504984,12.90404
2185,6.764235939605002,10.638586,12.84533
2186,6.780215887890567,10.577524,12.967103
2187,6.791466420090469,10.395048,12.980394
2188,6.797450315162923,10.538045,13.037826
2189,6.815445705376506,10.633786,13.031116
2190,6.829200321021954,10.776616,13.034415
2191,6.843984002787081,10.837931,13.151415
2192,6.867009546309087,10.850556,13.245121
2193,6.882591514817378,10.861797,13.279518
2194,6.901731489455996,10.822305,13.244474
2195,6.9115909677334715,10.783102,13.36647
2196,6.931368135384477,10.759413,13.465002
2197,6.9433891919162045,10.86978,13.602924
2198,6.9547094681026,10.852434,13.523479
2199,6.960917768280012,10.831364,13.684582
2200,6.970768341443509,10.954593,13.532065
2201,6.9858294774921905,11.14417,13.582097
2202,6.99429547605429,11.104142,13.652425
2203,7.015072825093854,11.026837,13.741043
2204,7.048072466356301,11.004184,13.629234
2205,7.062495905426287,11.107058,13.743984
2206,7.078679378704682,11.145497,13.706355
2207,7.084990713011064,11.166592,13.801256
2208,7.089441806732302,11.201926,13.927954
2209,7.096858454906249,11.08659,13.805646
2210,7.094516093639992,11.151166,13.856764
2211,7.104821898367752,11.35034,14.007351
2212,7.1149564353894545,11.428315,14.057104
2213,7.128185242059944,11.475614,14.204559
2214,7.1387012376272105,11.227104,13.964566
2215,7.151785987242407,11.352158,14.116767
2216,7.1599873323527925,11.424101,14.086377
2217,7.1663441101175644,11.451837,14.033982
2218,7.16903600574906,11.50799,14.040072
2219,7.180590856775595,11.702104,14.117594
2220,7.1899779300695466,11.558424,14.311391
2221,7.192227004571489,11.606709,14.3398
2222,7.203934109479578,11.717578,14.34393
2223,7.213171118891374,11.792632,14.273263
2224,7.2215205920334276,11.638101,14.331404
2225,7.2235705486874995,11.911061,14.409669
2226,7.232496914101072,11.834399,14.451054
2227,7.246529815759302,11.788898,14.335695
2228,7.252379627521919,11.758922,14.375663
2229,7.2632171310775,11.802358,14.486429
2230,7.271621947313981,11.985258,14.603867
2231,7.278627167452372,11.913401,14.68631
2232,7.279264089930073,11.979077,14.627738
2233,7.280722184457256,11.982893,14.593265
2234,7.288982816774306,11.84327,14.706807
2235,7.2980039878624225,11.911766,14.814338
2236,7.3043741272263665,12.10558,14.863793
2237,7.31312588227286,12.066016,14.776948
2238,7.312612975895703,12.118928,14.859745
2239,7.3310520869894145,11.914483,14.88929
2240,7.335212262905988,12.036332,14.90906
2241,7.345193497716741,11.846882,14.888441
2242,7.351439212696151,11.920896,15.134386
2243,7.349425889177231,12.020516,14.930961
2244,7.350507135584997,12.011403,14.884313
2245,7.349181231872608,12.014073,15.029421
2246,7.353231645532587,12.058328,15.008215
2247,7.356303617760265,11.930008,14.968695
2248,7.358891036254669,12.047847,15.05978
2249,7.368516544587208,11.97291,15.009018
2250,7.380547257275471,12.111314,15.006666
2251,7.383332920033877,12.270184,15.141352
2252,7.388545884688615,12.107736,15.290288
2253,7.391045132739745,12.133484,15.201466
2254,7.3830128099047565,12.168588,15.057257
2255,7.387115574383927,12.238906,15.137996
2256,7.3844725960224125,12.21314,15.19143
2257,7.383639947861127,12.326679,15.272564
2258,7.384242666887389,12.346484,15.327368
2259,7.381447692341897,12.457991,15.351977
2260,7.380625739760694,12.397075,15.232198
2261,7.388511301710085,12.418629,15.423896
2262,7.384204774050025,12.476953,15.396686
2263,7.389791426726607,12.21223,15.283189
2264,7.39235440037691,12.27938,15.297107
2265,7.395262333168682,12.30943,15.444709
2266,7.4006968001478945,12.269337,15.512754
2267,7.400439306799472,12.230268,15.467263
2268,7.399911401776155,12.431189,15.592338
2269,7.403330993416088,12.283146,15.498599
2270,7.404063093558149,12.370066,15.587622
2271,7.402092949763769,12.407516,15.490199
2272,7.4013153226667105,12.464407,15.493939
2273,7.40833467279932,12.486089,15.516493
2274,7.41379733211296,12.540048,15.469899
2275,7.416422197633253,12.496717,15.650402
2276,7.417637947136342,12.329716,15.570077
2277,7.420580607314838,12.301816,15.6087
2278,7.418322963725158,12.269936,15.553409
2279,7.419821578717986,12.51048,15.653323
2280,7.420520876799646,12.519122,15.583218
2281,7.418631116595542,12.520928,15.741906
2282,7.421817746645316,12.348521,15.611415
2283,7.421512220147265,12.552961,15.635086
2284,7.427359381523998,12.655766,15.690492
