year,gmst_C
2177,3.7475516256546726
2178,3.7550501398872442
2179,3.7620462822905196
2180,3.7624159296818154
2181,3.7690557133154625
2182,3.770185077450999
2183,3.771198991954684
2184,3.784954921239464
2185,3.7919021497759164
2186,3.799798763794172
2187,3.8075416143035348
2188,3.8211003093921425
2189,3.827886883071741
2190,3.8381046107112375
2191,3.842789684118889
2192,3.846429214766566
2193,3.8461846980703824
2194,3.8578335632630987
2195,3.8667962065790213
2196,3.8712179039775774
2197,3.878827742648225
2198,3.890826274351696
2199,3.90113030090462
2200,3.915049462429279
2201,3.925410228926454
2202,3.927146253284588
2203,3.9311173858225525
2204,3.9355782780027595
2205,3.9380809117904327
2206,3.938957367235885
2207,3.9402464921795106
2208,3.948519042250011
2209,3.9562563407283027
2210,3.9673234357872813
2211,3.9781868888324747
2212,3.983625328460547
2213,3.992396403789356
2214,3.995952350571937
2215,4.0016499746921195
2216,4.0065473177735855
2217,4.005275064951279
2218,4.010856182828905
2219,4.014411208516768
2220,4.021774314704719
2221,4.0289387301954
2222,4.048253018877575
2223,4.0611095981157295
2224,4.071911507480109
2225,4.073858843473168
2226,4.075292932690522
2227,4.076137525244994
2228,4.076537850327884
2229,4.080071434703382
2230,4.084063328837856
2231,4.0919903230023404
2232,4.099870260109432
2233,4.106665722086373
2234,4.1194831848362785
2235,4.128967070823207
2236,4.130832357970583
2237,4.132986759431619
2238,4.135728409449372
2239,4.138274042998737
2240,4.1390323808878255
2241,4.152126691088243
2242,4.156828872129074
2243,4.170034648164456
2244,4.1813309257421585
2245,4.189573921718983
2246,4.196895137046901
2247,4.197520504126924
2248,4.20148660845647
2249,4.201626352239952
2250,4.204413739797506
2251,4.213346737504438
2252,4.216157748416307
2253,4.21481512742496
2254,4.225540337444204
2255,4.237278117649989
2256,4.24534839677853
2257,4.256187414030581
2258,4.259703435745433
2259,4.261193021848077
2260,4.262133718700129
2261,4.2647279082751375
2262,4.266200524571526
2263,4.267166731043788
2264,4.2660664948724
2265,4.2745890875291135
2266,4.287745438847179
2267,4.294404791952352
2268,4.3014517523820865
2269,4.310233502568625
2270,4.3144706148150265
2271,4.312136924838608
2272,4.313147099472352
2273,4.319105027152133
2274,4.320149108026385
2275,4.321298697404956
2276,4.333759928977298
2277,4.338255874713732
2278,4.340705058631212
2279,4.350190324841785
2280,4.34770903108944
2281,4.348034686439765
2282,4.349278773246115
2283,4.35315686699923
2284,4.356836586380029
2285,4.358279198229736
2286,4.3684124176182255
2287,4.3710449802111855
2288,4.3791738273060306
2289,4.3900036301288
2290,4.392996537335531
2291,4.3946932046949305
2292,4.395595927601933
2293,4.397300670798693
2294,4.392294194116289
2295,4.3933431663933815
2296,4.393087464554092
2297,4.407123149949663
2298,4.4144063176092345
2299,4.424311200408899
2300,4.428542679323477
2301,4.426742521189239
