year,ohc_1e22J
1840,-7.439435871714533
1841,-6.845366586019905
1842,-6.340501600966816
1843,-5.892223254397604
1844,-5.487562498693375
1845,-5.553370390125672
1846,-5.463440109673078
1847,-5.160945721792223
1848,-4.792145141732238
1849,-4.413715609068479
1850,-4.0103545043985465
1851,-3.611796093191252
1852,-3.2181382698830268
1853,-2.836870738889273
1854,-2.4766854136603063
1855,-2.1432879870550554
1856,-2.423201208574171
1857,-2.450909824421941
1858,-2.1953983078894863
1859,-1.8448646876537431
1860,-1.4518586886281988
1861,-1.0569263240697149
1862,-0.8518616426533475
1863,-0.6833137759623071
1864,-1.6622645291332738
1865,-2.08369885757862
1866,-1.9374810483898885
1867,-1.6031148250615759
1868,-1.2444972514481567
1869,-0.8761595899065415
1870,-0.4894465723527671
1871,-0.12455240944926964
1872,0.25575103633481566
1873,0.6140804217586111
1874,0.7852646268391097
1875,1.1100161955737717
1876,1.4372249136876203
1877,1.69964918930923
1878,1.980272428852681
1879,2.2658576879184467
1880,2.5581706991606135
1881,2.782128580811433
1882,3.0389455982051294
1883,3.3721383031349057
1884,2.9506779272621464
1885,0.3385305024683744
1886,-0.515493693292582
1887,-0.5059756728362558
1888,-0.34850300453834493
1889,0.019852446089550228
1890,0.43335946734493275
1891,0.5685304905683621
1892,0.5442038191833315
1893,0.6194521835828467
1894,0.9857679148046702
1895,1.4339893299391073
1896,1.8595019578777399
1897,2.252174754236536
1898,2.6004534190141926
1899,2.92314586093646
1900,3.217515166023029
1901,3.509991661917636
1902,3.8033161773567405
1903,3.7520417962746864
1904,2.717306140597828
1905,2.489506970256036
1906,2.7531493659226633
1907,3.167798207116006
1908,3.265811082856793
1909,3.5642935566057496
1910,3.922055398622736
1911,4.233270594809318
1912,4.531380352618192
1913,3.978743703838593
1914,3.6088031475245965
1915,3.757815391263089
1916,4.207132911593302
1917,4.66952114139402
1918,5.116234239061822
1919,5.555734510167091
1920,5.999494333484001
1921,6.361715190458458
1922,6.770067529953999
1923,6.942083636377514
1924,7.168305959002427
1925,7.543600676781298
1926,7.938647456577295
1927,8.36579408199519
1928,8.784310787402699
1929,9.13282232070104
1930,9.172875971576522
1931,9.603682047388837
1932,10.072505702366776
1933,10.272817893459445
1934,10.69084215493535
1935,11.110328493743157
1936,11.535537777116383
1937,11.987331416282931
1938,12.438890270652315
1939,12.909014373599794
1940,13.326649451447851
1941,13.692761826186787
1942,14.03883300509874
1943,14.359461510136017
1944,14.671772768811788
1945,15.023488003922036
1946,15.515520123114888
1947,16.05549955361609
1948,16.613095001795465
1949,17.163818523083695
1950,17.71734650572664
1951,18.177835633391663
1952,18.609827805342817
1953,19.02927830616915
1954,19.445862350913842
1955,19.874038736269718
1956,20.320237853556144
1957,20.82347700430627
1958,21.38064287051268
1959,21.97655361089892
1960,22.508981421276168
1961,23.0035202171381
1962,23.414714791817435
1963,23.54553718487157
1964,22.37333074226226
1965,21.725989161270526
1966,21.611535429458076
1967,22.20251966060024
1968,22.418677106172087
1969,22.829879369203667
1970,23.372539645952315
1971,23.859564023866298
1972,24.144369379993954
1973,24.57702515015785
1974,25.19729502458592
1975,25.64792556832717
1976,25.79779022885495
1977,26.31952063219311
1978,27.03618158040425
1979,27.8553284610123
1980,28.675365340539862
1981,29.433098452713462
1982,30.210974533640773
1983,30.404904001276883
1984,30.081206348694533
1985,30.440627884121376
1986,31.177017694526057
1987,31.926762132599453
1988,32.78580110586958
1989,33.79261205097796
1990,34.948257407017934
1991,36.04469352044647
1992,36.016095684128246
1993,34.48625683169687
1994,34.49573869178065
1995,35.451304107779116
1996,36.687439265438464
1997,38.008199247753296
1998,39.18607002693568
1999,40.44756362847131
2000,41.94393020836701
2001,43.493217099760216
2002,44.979941923276655
2003,46.35580850965465
2004,47.58505042486804
2005,48.8372886201613
2006,49.999371415377205
2007,51.129810830787065
2008,52.304584154462695
2009,53.56611466622594
2010,54.8644324825713
2011,56.238387013638665
2012,57.64237590652887
2013,59.0943091334603
2014,60.6824962862379
2015,62.23224579135716
2016,63.704669893597874
2017,65.29501599404144
2018,66.9234669752889
2019,68.53983205693544
2020,70.01370402080053
2021,71.64362247650308
2022,73.22476803093086
2023,74.73314382108752
2024,76.30962509043306
2025,77.93091870529302
2026,79.54005597364868
2027,81.14110681101207
2028,82.73979153289014
2029,84.35266096550374
2030,85.96766060291738
2031,87.60556485474673
2032,89.2819053637316
2033,90.99634166781837
2034,92.76289476070194
2035,94.6097335449819
2036,96.47851557218036
2037,98.38913579622526
2038,100.2921135381518
2039,102.21814052485419
2040,104.13322740589419
2041,106.05548314355815
2042,107.98635231391155
2043,109.93800610128085
2044,111.91050457272782
2045,113.93112662047116
2046,116.01945327722335
2047,118.1479643902165
2048,120.30820502805526
2049,122.4856460538961
2050,124.64303714306207
2051,126.76673903220517
2052,128.8675117269779
2053,130.96269271034183
2054,133.05458133559117
2055,135.17318987442113
2056,137.33593953259987
2057,139.54782829987454
2058,141.7642172465899
2059,143.98577856681504
2060,146.21923451651418
2061,148.42054572153992
2062,150.61850440468575
2063,152.80529622302655
2064,154.99028031471906
2065,157.18300268472632
2066,159.38645187508186
2067,161.63011114167952
2068,163.90364838146758
2069,166.1927915823421
2070,168.47274789328583
2071,170.72467957476263
2072,172.95816415927544
2073,175.1822176132333
2074,177.39268668479892
2075,179.6038499055402
2076,181.81350938285672
2077,184.023569535209
2078,186.23860456712075
2079,188.48949974743616
2080,190.76490010185947
2081,193.0541158770969
2082,195.32704276856657
2083,197.59559574333696
2084,199.83637306208453
2085,202.07027015027546
2086,204.27232926376715
2087,206.46112189149773
2088,208.63938278419405
2089,210.8252992960909
2090,213.0288786710327
2091,215.2716951486285
2092,217.5354562459601
2093,219.8195448433527
2094,222.07218096626409
2095,224.28706604417283
2096,226.46993999567883
2097,228.62173860398568
2098,230.7723267771987
2099,232.90792615326447
2100,235.05802483737475
2101,237.22674407420882
2102,239.41820777625844
2103,241.5930433090827
2104,243.74161706057959
2105,245.88115851210424
2106,247.98591393432446
2107,250.07834412632735
2108,252.14657890012094
2109,254.21471577026608
2110,256.28481458767106
2111,258.38065404468847
2112,260.52812194279323
2113,262.66566184640374
2114,264.7897173349396
2115,266.8593916024244
2116,268.9165747664542
2117,270.94244679606993
2118,272.9675491405032
2119,274.9758634257591
2120,276.9773665352453
2121,279.0151899495157
2122,281.0801016749361
2123,283.18187256245835
2124,285.24275390893763
2125,287.31303930937605
2126,289.34470491499667
2127,291.34257416458587
2128,293.3202209975803
2129,295.2776101988755
2130,297.2586877254563
2131,299.2617184664792
2132,301.3196431591716
2133,303.3700221648689
2134,305.41161671263507
2135,307.42664313613585
2136,309.4031646808759
2137,311.3437564278191
2138,313.2784302120748
2139,315.1883320756029
2140,317.0927384451428
2141,319.00630423271696
2142,320.95538978634914
2143,322.9207493360157
2144,324.8775245539122
2145,326.84214704628954
2146,328.7958985281619
2147,330.7183643595709
2148,332.6317742240317
2149,334.5344070930684
2150,336.428483914559
2151,338.30639289666794
2152,340.1909714151778
2153,342.1027345747465
2154,344.049813001835
2155,346.0175896259906
2156,347.9753231340781
2157,349.9175594442694
2158,351.83060188723806
2159,353.7092197631674
2160,355.5573061522595
2161,357.3888210390366
2162,359.2391600399685
2163,361.1006420251081
2164,363.0012215987666
2165,364.94840978890574
2166,366.8584865557883
2167,368.76091725437107
2168,370.61501594815786
2169,372.43938334272866
2170,374.251795312609
2171,376.04756770252874
2172,377.84252336149973
2173,379.64454353432905
2174,381.4830809390447
2175,383.34913630241056
2176,385.21301687306516
2177,387.07423827609625
2178,388.9032624923363
2179,390.6905880191285
2180,392.46557733885453
2181,394.216928324671
2182,395.961696081217
2183,397.70163540051266
2184,399.4207740448823
2185,401.14102914342476
2186,402.881316985207
2187,404.6689746812917
2188,406.44428505647375
2189,408.23396137609984
2190,410.02262913660246
2191,411.7754027415254
2192,413.4998269199881
2193,415.213984037781
2194,416.90789974370347
2195,418.590306163694
2196,420.2856092326477
2197,422.022135519235
2198,423.79228598762865
2199,425.57585484388176
2200,427.3262025889813
2201,429.03891881038965
2202,430.7154432349768
2203,432.37648104632075
2204,434.022616234796
2205,435.6519098565058
2206,437.28228321186765
2207,438.90905004491316
2208,440.540705060744
2209,442.1937643067128
2210,443.86233917384715
2211,445.5400162346667
2212,447.21571333661046
2213,448.88281530955254
2214,450.5274203208831
2215,452.155443246865
2216,453.7448312271402
2217,455.32448652539176
2218,456.9011324369498
2219,458.48132599785515
2220,460.0817050027496
2221,461.7215539106176
2222,463.3597608782221
2223,465.0285662994075
2224,466.66386431113926
2225,468.26305569423056
2226,469.836633988417
2227,471.3815801458873
2228,472.92589670961763
2229,474.4553159501268
2230,476.0009188731459
2231,477.5801730841742
2232,479.17643277503396
2233,480.7738029719154
2234,482.36683146663444
2235,483.9288268708932
2236,485.4835764432676
2237,486.9998305350156
2238,488.5056825347958
2239,490.00605406704153
2240,491.5131442379726
2241,493.0226703000339
2242,494.5823090649988
2243,496.16581633036367
2244,497.7396174802385
2245,499.2988135213636
2246,500.8154670810007
2247,502.3043872610408
2248,503.77890888101507
2249,505.2386813561401
2250,506.68991280701414
2251,508.11927982837864
2252,509.5449279620549
2253,510.996394521623
2254,512.4626290414126
2255,513.9486009355237
2256,515.4219098816652
2257,516.8851849535713
2258,518.3394365053194
2259,519.7735141285029
2260,521.1899262170734
2261,522.5699586730433
2262,523.9356605712032
2263,525.3060892373926
2264,526.6913897585735
2265,528.0989512855208
2266,529.5289288103571
2267,530.9828705323505
2268,532.4593510367915
2269,533.8858466173814
2270,535.2750081820667
2271,536.6332482922055
2272,537.9707396891407
2273,539.2798672694595
2274,540.5895633397056
2275,541.9271609031375
2276,543.2787338175852
2277,544.6511280224076
2278,546.0191837754093
2279,547.3685939854148
2280,548.7032089148148
2281,550.0075355973622
2282,551.2927108577367
2283,552.5638353857595
2284,553.8259221117726
2285,555.1098015155706
2286,556.419440240956
2287,557.777109418235
2288,559.1338918011359
2289,560.4675182381732
2290,561.7445793211486
2291,563.0061488259147
2292,564.2380601146378
2293,565.4470502952706
2294,566.6563530903352
2295,567.8809327403128
2296,569.1505340316419
2297,570.4312158282885
2298,571.7361148100957
2299,573.0250032123179
2300,574.2786333296116
2301,575.4940445936619
