year,ohc_1e22J
1951,-8.450940740027029
1952,-6.531416047384692
1953,-9.570253168174302
1954,-11.677644188115597
1955,-13.506862255286405
1956,-15.788043302695092
1957,-14.753792104041402
1958,-14.654746890969248
1959,-12.652314070194837
1960,-12.988595365146955
1961,-10.971247790789942
1962,-11.512147703411134
1963,-11.760019428542286
1964,-8.766801329162996
1965,-7.813611622306589
1966,-6.554667811772174
1967,-6.487923627804525
1968,-7.531543904752707
1969,-6.620921311318039
1970,-5.9364604672937835
1971,-6.801541758469873
1972,-7.5936200928098
1973,-4.481664745517328
1974,-2.3547412604234377
1975,-0.9945074775073302
1976,-1.4470369507945635
1977,-1.4765764223799989
1978,-0.5930180481743416
1979,0.40509754313411084
1980,-0.44439510221270323
1981,-3.6265182577141473
1982,-2.306761992448022
1983,-1.8200459279815677
1984,-1.7539501284383532
1985,-1.719506617750965
1986,-1.0475345784179437
1987,0.5328201323351628
1988,2.213249083443147
1989,4.8166235769626375
1990,3.258190435607398
1991,5.333090491901069
1992,8.127234901347517
1993,9.577331125267142
1994,11.02390957248965
1995,11.111871823921343
1996,11.233320981405004
1997,12.071139671641106
1998,14.495185149264422
1999,14.083878173915055
2000,15.375033225996015
2001,18.235233093739936
2002,19.280871139513465
2003,20.69439246984825
2004,21.1016873297301
2005,20.92681107686842
2006,22.165154513029883
2007,23.497006264075434
2008,24.048876572807295
2009,23.549021030903113
2010,23.82043264228835
2011,23.823980126105383
2012,26.172909629194784
2013,27.64240595419029
2014,27.497172011232283
2015,28.740234068083872
2016,31.369922705220645
2017,33.45653677638019
2018,34.71871634158282
2019,36.634032933224375
2020,39.54068380793904
2021,42.228943461537945
2022,43.55645632795995
2023,44.32414351495257
2024,45.981064236266576
2025,50.27737715971596
2026,52.47939775349044
2027,53.65327280578838
2028,54.335211975056716
2029,56.32329866641022
2030,58.610671292890565
2031,59.92145518430519
2032,62.450817372479655
2033,64.74356674161714
2034,65.2971443664215
2035,66.75236447033673
2036,67.60315369015524
2037,69.53624408339556
2038,71.37863538074362
2039,73.74652793362641
2040,75.94587044313609
2041,77.14581011181632
2042,78.58525932136773
2043,80.20714948715731
2044,83.03337804935346
2045,86.47464458608552
2046,87.77291194243914
2047,89.46558570090264
2048,91.29015025463566
2049,93.19469199132992
2050,94.65249705060737
2051,96.54774592227237
2052,98.65832948199532
2053,101.30233233038493
2054,103.1060561151559
2055,103.79118442169174
2056,104.741351435874
2057,107.57435313370743
2058,109.21324793232812
2059,111.52858897112951
2060,113.15949124683907
2061,115.50786056542383
2062,116.42990296779732
2063,119.03176477540727
2064,121.41303830725725
2065,124.59446066121518
2066,126.24125728852682
2067,128.48876292211287
2068,131.33526340688914
2069,133.01919576998583
2070,135.6520347288971
2071,138.44153751056353
2072,141.09973742860814
2073,145.17027745023086
2074,147.33230679608224
2075,147.89746186739768
2076,149.26371549566625
2077,152.519099599583
2078,155.15686333227762
2079,155.78908603267183
2080,158.31860386869386
2081,158.75573627285806
2082,161.9053662703992
2083,161.94321066994482
2084,161.35733889272626
2085,162.0476330323566
2086,163.2584575177537
2087,164.53177404831024
2088,166.2378379555985
2089,167.24213078099746
2090,167.79508464591765
2091,168.98305578047623
2092,171.4728835958326
2093,171.12000400891102
2094,175.13826346636253
2095,177.9604630311155
2096,179.90598669475324
2097,182.75678253317
2098,184.7750535048691
2099,184.6843068593353
2100,186.07236372681697
2101,188.73613844492994
2102,190.96545499880213
2103,192.32252865982846
2104,194.00542041532762
2105,195.1630278564417
2106,196.7571018232072
2107,197.70941504323363
2108,199.7533487261219
2109,199.47626118398202
2110,201.01732246161922
2111,202.2162791663692
2112,204.14735726823872
2113,205.33479241496542
2114,206.2485642538554
2115,207.4479650062357
2116,207.41530693172032
2117,207.53015575679865
2118,210.92978341476484
2119,211.89032390544696
2120,213.86537688181576
2121,214.76536278628774
2122,216.25640176228805
2123,217.00606484404
2124,217.8048839442089
2125,219.40342960165808
2126,220.94399064826382
2127,223.6725525390563
2128,225.25101403665278
2129,223.97650731989634
2130,224.2169719018766
2131,225.07018299761668
2132,228.45914154746936
2133,229.989594042567
