year,gmst_C
1925,0.1124796499805789
1926,0.12487720978138864
1927,0.13630487845079511
1928,0.14892788021960807
1929,0.15093583274256528
1930,0.1342552827527966
1931,0.1422906629351624
1932,0.15823673818110712
1933,0.15524748608919595
1934,0.1601937224004457
1935,0.17324607651477816
1936,0.18424776579548466
1937,0.19852684800252382
1938,0.19752645740130606
1939,0.21438860473251597
1940,0.21781146457774267
1941,0.21961272586235508
1942,0.21775382863318243
1943,0.21180519755523633
1944,0.21034640251820647
1945,0.21400497407448452
1946,0.22964757676315017
1947,0.23858799768859784
1948,0.25194323704422944
1949,0.2592123996856531
1950,0.2607643350528095
1951,0.2580014504389877
1952,0.2593882655198637
1953,0.26242251500848535
1954,0.2591706515065945
1955,0.26226154402516105
1956,0.2666269201718554
1957,0.26854767680965186
1958,0.2804488019315093
1959,0.29679484875250933
1960,0.30816591746775346
1961,0.3093676644601667
1962,0.2994359169107395
1963,0.2770783006085527
1964,0.19187821066016902
1965,0.16215850406232682
1966,0.173201138013619
1967,0.2234614452810271
1968,0.23827039290698798
1969,0.26668681568129604
1970,0.2934259494337374
1971,0.31227632022677126
1972,0.306028870725616
1973,0.31671337819788953
1974,0.3369412865714843
1975,0.3440242373106001
1976,0.3419343931653052
1977,0.355380494955295
1978,0.380846029979588
1979,0.410011809957645
1980,0.4459877600258453
1981,0.4647711474653637
1982,0.4822132598558078
1983,0.4644826046832645
1984,0.43304496896263744
1985,0.44572653677077206
1986,0.48296361550597267
1987,0.5109044690382432
1988,0.5378589664656872
1989,0.5728210893926244
1990,0.6172413401272017
1991,0.6480920599899472
1992,0.6054709248449786
1993,0.49579326119498635
1994,0.5159107825733913
1995,0.5766612473873399
1996,0.6411345082576302
1997,0.6860734222790282
1998,0.7181171626962323
1999,0.7443055351790053
2000,0.78080095281422
2001,0.8277653991917374
2002,0.8625038868905944
2003,0.8825685123647669
2004,0.8931410769792334
2005,0.8998718941653809
2006,0.9059038132337379
2007,0.9146854493265001
2008,0.9219150757625193
2009,0.944300568261457
2010,0.9618227486686342
2011,0.9819605692158233
2012,1.0103928501951052
2013,1.0340522463545012
2014,1.0652103142894338
2015,1.0914259349003625
2016,1.1177753966933797
2017,1.1396678413328527
2018,1.1764223403536713
2019,1.2023747030449239
2020,1.2242119415906947
2021,1.2542636608532196
2022,1.2920027905188913
2023,1.3250028461664434
2024,1.3626028290328722
2025,1.3979057072285084
2026,1.4285799114764959
2027,1.4535959455104546
2028,1.4787553161062734
2029,1.5066494161985142
2030,1.5358764167876693
2031,1.560813641692458
2032,1.5877368248242711
2033,1.6203891237979673
2034,1.660130536903219
2035,1.6983843427016336
2036,1.7379105519050024
2037,1.7789688529433703
2038,1.8180779499671587
2039,1.854563200681759
2040,1.887963715026139
2041,1.9189251631348994
2042,1.9488065929160125
2043,1.9872304964900644
2044,2.026055650660857
2045,2.061712474976564
2046,2.1092693975363828
2047,2.1579360685191724
2048,2.2112696171786164
2049,2.2547719890405253
2050,2.3004870210224966
2051,2.3411509651994478
2052,2.382735667827081
2053,2.421752370768244
2054,2.462242550597805
2055,2.5011109630701687
2056,2.543795255753352
2057,2.588104037957395
2058,2.6348544514848924
2059,2.68436156589961
2060,2.7290618077028044
2061,2.7753271709695344
2062,2.8120556973853272
2063,2.853203725269465
2064,2.896379074802964
2065,2.939696329451364
2066,2.9878915779359176
2067,3.0384833298902723
2068,3.0901093907853103
2069,3.142246516434776
2070,3.1926482590199377
2071,3.242407092886215
2072,3.2848070473292474
2073,3.3332533274978826
2074,3.3844855588203404
2075,3.4281103263441004
2076,3.4772033033894343
2077,3.5236281220144146
2078,3.577556692105566
2079,3.6234464432786284
2080,3.6794304763756065
2081,3.7343017868045822
2082,3.7923709868812927
2083,3.841339616398069
2084,3.8918259133551394
2085,3.942215395124608
2086,3.9899336609024094
2087,4.036264878743063
2088,4.089956306497721
2089,4.138608764498444
2090,4.193814838086254
2091,4.244780222683973
2092,4.29659047505665
2093,4.354803871982768
2094,4.411100499758799
2095,4.46079962215236
2096,4.509892734430499
2097,4.555399057720952
2098,4.597128022653102
2099,4.645339345717847
2100,4.692697276299074
2101,4.7469512613472995
2102,4.800162416260322
2103,4.850485400767702
2104,4.90287373128772
2105,4.940722669360691
2106,4.980553047733424
2107,5.0174748178574085
2108,5.0611079143211235
2109,5.1000113930151585
2110,5.142062031586268
2111,5.183323816315385
2112,5.228449838053001
2113,5.270773618537994
2114,5.316396963453626
2115,5.356560843261727
2116,5.391871405057131
2117,5.425789839332065
2118,5.4533376233311355
2119,5.48751712222086
2120,5.524605609723051
2121,5.5550238049242315
2122,5.597443351167935
2123,5.637082142474125
2124,5.673397423533563
2125,5.704348264083902
2126,5.733061444701019
2127,5.762195843297197
2128,5.792681681809225
2129,5.823650805516568
2130,5.84435510825446
2131,5.877880537947964
2132,5.91853771487443
2133,5.956153233651239
2134,5.9941630529414
2135,6.020374882760208
2136,6.046524400898059
2137,6.0688380209751
2138,6.091206324390452
2139,6.120903666854581
2140,6.1452621762708315
2141,6.169794212700991
2142,6.193168192353572
2143,6.227225995038062
2144,6.256984024969754
2145,6.282313346040785
2146,6.307072663751032
2147,6.331910058729778
2148,6.357313523848319
2149,6.3771734608176365
2150,6.399841000316632
2151,6.424830230140274
2152,6.446228716905289
2153,6.46942252862488
2154,6.501003637231042
2155,6.532037627126565
2156,6.555872150027168
2157,6.580661217297783
2158,6.601233980394745
2159,6.618447126779316
2160,6.6390236504505795
2161,6.657831264558351
2162,6.670962772468122
2163,6.69729565296804
2164,6.722849477569112
2165,6.747228493086978
2166,6.7744450995520875
2167,6.798426184671564
2168,6.812296803994795
2169,6.826009728280215
2170,6.836110655831117
2171,6.856157236537748
2172,6.86893802763189
2173,6.890300803448266
2174,6.910601162519447
2175,6.929670413932821
2176,6.958887821751237
2177,6.975334290897641
2178,6.9921234232402965
2179,7.0082380093631516
2180,7.0175526571565765
2181,7.032967539639518
2182,7.04270078400359
2183,7.052145725569451
2184,7.07416307398138
2185,7.089199243752708
2186,7.105012615873786
2187,7.120504677396504
2188,7.141648525542714
2189,7.155856499780258
2190,7.173334262087641
2191,7.185118897613264
2192,7.195697967225394
2193,7.202235394178895
2194,7.220506161241377
2195,7.235930791985162
2196,7.246652521870104
2197,7.260402293851079
2198,7.278379877721086
2199,7.294500046951248
2200,7.314072787142635
2201,7.3299227674079654
2202,7.336986691363776
2203,7.346123581607138
2204,7.355588491422893
2205,7.362933120595787
2206,7.368490409229145
2207,7.3742931904751705
2208,7.386908691781665
2209,7.398815478085816
2210,7.413878222415869
2211,7.428562544629939
2212,7.4376465047746425
2213,7.449887081792008
2214,7.456734105300824
2215,7.465545365724698
2216,7.473378225122557
2217,7.474865420088894
2218,7.483032663520458
2219,7.488999756483764
2220,7.498601483335065
2221,7.507829432410893
2222,7.529036452394187
2223,7.543614026733431
2224,7.555966426146727
2225,7.559295932439086
2226,7.5619442411677635
2227,7.563833419589343
2228,7.565107730445503
2229,7.5693446255927
2230,7.5738683037861305
2231,7.582154955694038
2232,7.590220889783375
2233,7.597030376665621
2234,7.6096883231797765
2235,7.618839101214014
2236,7.620197216852687
2237,7.621666593507458
2238,7.623545249019708
2239,7.625048988492205
2240,7.624585334554966
2241,7.636278195850139
2242,7.6393970468875
2243,7.650837195954657
2244,7.660186936594963
2245,7.666302332280071
2246,7.6713136236458
2247,7.66944770342657
2248,7.670741484697451
2249,7.668026932361672
2250,7.667777195404844
2251,7.673488462766776
2252,7.673053989643628
2253,7.668504802652729
2254,7.676090725159896
2255,7.6847761884393435
2256,7.689891789440089
2257,7.697881207878102
2258,7.69865536654349
2259,7.697510462129079
2260,7.695923401899504
2261,7.696094924869691
2262,7.695247332309738
2263,7.693992468697209
2264,7.690767329363941
2265,7.697257481089515
2266,7.7084698324101915
2267,7.713270654586024
2268,7.718541081930748
2269,7.725624466365659
2270,7.728236786350046
2271,7.724347662594509
2272,7.723868672753964
2273,7.728401105602227
2274,7.72807983396169
2275,7.727921444072809
2276,7.739129228412992
2277,7.742421698751341
2278,7.743716517175535
2279,7.752093446573425
2280,7.7485487099260055
2281,7.747851917896881
2282,7.7481125337552355
2283,7.751043004704399
2284,7.753810362216119
2285,7.754373519763602
2286,7.7636581952867205
2287,7.765473013953816
2288,7.77281449110791
2289,7.782904173994396
2290,7.785182842633437
2291,7.786186819977902
2292,7.786420808916887
2293,7.787480397989464
2294,7.78185242762937
2295,7.7823015658264465
2296,7.78146613483803
2297,7.794940610806338
2298,7.8016838488534885
2299,7.8110711480591
2300,7.814805661771588
2301,7.812528479289323
