year,ohc_1e22J
1843,-2.537447966714272
1844,-2.4729384796879397
1845,-2.0867066018257794
1846,-1.646168180002976
1847,-1.9479644514812908
1848,-1.6542484100875094
1849,-1.176041240498011
1850,-0.7058603891599813
1851,-0.24714381719066084
1852,0.1810498485905601
1853,0.5706061898001966
1854,0.616306209440493
1855,0.34377461690829964
1856,0.5335612700303374
1857,0.7670565863155755
1858,-0.17564935380447563
1859,-0.43804969266669236
1860,-0.05146918438561956
1861,0.4370817200133869
1862,0.907909549514822
1863,-0.5806490613591884
1864,-1.7185361256938072
1865,-1.4567303885640168
1866,-0.9338963793496591
1867,-0.46317403579535965
1868,-0.051539972679087255
1869,0.34502367857153493
1870,0.4679632815275834
1871,0.8559384311814074
1872,1.2939300238124227
1873,0.749855971688663
1874,0.06866474346334045
1875,0.34175172132066606
1876,0.5461679434108158
1877,0.7936608799119887
1878,1.1065191721360914
1879,1.404239821996738
1880,1.689034133003854
1881,1.8426890438044639
1882,1.893848251483115
1883,2.1702865235405246
1884,2.072565368093338
1885,-0.6220864716853408
1886,-1.9495920270142586
1887,-3.083898307476405
1888,-3.076999728955596
1889,-2.5330588207989964
1890,-1.9937991525757865
1891,-1.742439306895239
1892,-1.3186985020615818
1893,-0.9652999968816924
1894,-0.5095989017960703
1895,-0.04453976850689544
1896,-0.027748349945778374
1897,0.1961946386124166
1898,0.5114474448549222
1899,0.8500145249826813
1900,1.1333161472319542
1901,1.3913074646342283
1902,1.6160091691925507
1903,1.8040258512305214
1904,1.6143879470152853
1905,1.7695733035363757
1906,2.0499641599191634
1907,2.350422971293914
1908,2.1018737695088467
1909,2.0205403582995016
1910,2.2686495815715233
1911,2.510134459304215
1912,2.698306490616976
1913,2.027174958906793
1914,1.2322114461247078
1915,1.4762339368955057
1916,1.9144767338562532
1917,2.299146742825618
1918,2.6881934774447256
1919,2.968651213186468
1920,3.022871559339092
1921,3.272158001731774
1922,3.6283582016971265
1923,3.93334042809124
1924,4.195752877548825
1925,4.244520353923692
1926,4.491836465622386
1927,4.476874754557306
1928,4.703656788167462
1929,5.082171225617046
1930,5.3976405092023105
1931,5.743856427088159
1932,6.091492830225425
1933,6.33404850677609
1934,6.204994049874213
1935,6.4230914119343305
1936,6.798629538086092
1937,7.215157078619942
1938,7.593786222793131
1939,8.000349294460204
1940,8.359019485975477
1941,8.645225207737168
1942,8.90860853453912
1943,9.13235328732913
1944,9.104018755116414
1945,9.211732011862964
1946,9.601830532485444
