year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi,dang_closure_sig
1933,-0.4549425515261564,-0.8746618050815551,-0.03522329797075768,-4.259532507983121,-5.352085269938508,-3.166979746027735,-2.484005719965155,-2.8943314137336396,-2.07368002619667,-3.867179727554321,-4.629223244611078,-3.1051362104975637,1.9306785621426323,1.0790607765337643,2.7822963477515,-9.253040811952237,2.0200357018822284,-12.575999541548503,-5.9300820823559715,1.70916539930296
1934,-0.449480524930087,-0.8626160850994775,-0.036344964760696485,-4.18574787053195,-5.270597498195601,-3.100898242868299,-2.3884008234197447,-2.792713414997982,-1.984088231841507,-3.853262567520142,-4.6766150051998965,-3.0299101298403874,1.8635971107266165,1.0110703504559573,2.7161238709972757,-9.500952017569661,2.006278936337446,-12.80128086784476,-6.200623167294562,1.6807685106145203
1935,-0.4440792950716886,-0.8506178428290919,-0.03754074731428525,-4.097811469164762,-5.169986676914379,-3.025636261415145,-2.276845914667303,-2.676536419143677,-1.877155410190929,-3.7873159885406498,-4.510827805563329,-3.0638041715179702,1.7672590293667534,0.9157407220000178,2.618777336733489,-8.699684359075338,1.993010491848095,-11.978186618165454,-5.421182099985222,1.6291625872369848
1936,-0.43867577639493077,-0.8385358517686052,-0.038815701021256366,-3.990919837084684,-5.0525441248246,-2.929295549344768,-2.151611310785467,-2.5467805382717215,-1.7564420832992127,-3.683291864395142,-4.459441255083911,-2.9071424737063722,1.9551552810452204,1.107427567255539,2.802882994834902,-8.345625635928295,1.9814152953956936,-11.605053796854211,-5.086197475002379,1.6572753430710945
1937,-0.43329123583706947,-0.8264827210040698,-0.0400997506700691,-3.8969142523678872,-4.949593924983406,-2.8442345797523685,-2.0860078638250177,-2.4757521473760447,-1.6962635802739905,-3.566823816299438,-4.293658370081499,-2.839989262517377,1.9620314636013725,1.120712715195317,2.803350212007428,-7.953761479092558,1.969756873323402,-11.194011535709555,-4.713511422475561,1.6096261974291155
1938,-0.4277643593874845,-0.8143766325314706,-0.04115208624349842,-3.7989928809079254,-4.841968521722169,-2.756017240093682,-2.044928914850409,-2.430312735971826,-1.6595450937289915,-3.444520044326782,-4.2502978452238525,-2.6387422434297116,1.8964155235073783,1.0589342216989812,2.7338968253157754,-7.899684639860988,1.957981270383577,-11.120563829641972,-4.678805450080004,1.6199032699832145
1939,-0.4223870190707119,-0.8024667736060775,-0.04230726453534622,-3.720932349291714,-4.753351362120742,-2.6885133364626865,-1.9972474878484552,-2.3774370233286692,-1.6170579523682411,-3.301994562149048,-4.0821783649560865,-2.521810759342009,1.8687376060269094,1.030588456406759,2.70688675564706,-7.911933543707674,1.9458336494626634,-11.112829897073755,-4.711037190341592,1.5884113215779463
1940,-0.4169570836153898,-0.7904599066475384,-0.043454260583241255,-3.6258666602048004,-4.652023844001034,-2.599709476408566,-1.9552793329412288,-2.3316882648768984,-1.5788704010055592,-3.169507455825806,-3.92244381335008,-2.4165710983015316,1.9221768417141654,1.0866309162196637,2.757722767208667,-7.4846792166250555,1.9328034865749046,-10.664140952040773,-4.305217481209338,1.5692289106709905
1941,-0.41157092181119054,-0.7783728175811226,-0.044769026041258486,-3.522109946337613,-4.53499206374752,-2.5092278289277057,-1.893123418634588,-2.2621794699749866,-1.5240673672941891,-3.092987680435181,-3.8631647551332726,-2.3228106057370894,1.9212183990261773,1.0900804364071826,2.7523563616451723,-7.475771658546931,1.9204789165995746,-10.634959476353231,-4.3165838407406305,1.5487629969965129
1942,-0.40614322749051196,-0.7663709697692084,-0.04591548521181554,-3.4279491034421055,-4.4316051818008875,-2.4242930250833234,-1.8451209848577332,-2.208364657854568,-1.481877311860898,-2.967337656021119,-3.740021638713457,-2.194653673328781,1.8205607452175834,0.9920635058598751,2.6490579845752915,-7.568758274996826,1.9086778482634772,-10.708533335390246,-4.428983214603406,1.5181256969030053
