year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1873,286.7624532491476,270.0289493573308,257.97736364158754,275.3588303505405,268.53878952656265,r1i1p1f1,historical
1874,286.6971696841904,269.89844543965864,258.1786927454053,274.9194312211957,268.37414286259855,r1i1p1f1,historical
1875,286.5994342544104,269.6961975401818,258.40205064049843,274.8316301328211,268.3648494972124,r1i1p1f1,historical
1876,286.66804133408766,269.5388167704808,258.73655325925324,275.0715719046466,268.5533584256936,r1i1p1f1,historical
1877,286.84243581783784,269.88786340495227,258.2635971865149,275.2610583677117,268.5582419298347,r1i1p1f1,historical
1878,287.0223127689174,270.44619697764483,258.63917392106566,275.1884840049087,268.76399565549406,r1i1p1f1,historical
1879,286.82842617768574,270.236849109079,258.282359389145,275.3391555130744,268.67309312684876,r1i1p1f1,historical
1880,286.88463494622795,270.25346216983354,259.2624603442354,275.71632556175973,269.1735629544745,r1i1p1f1,historical
1881,286.8645779159989,270.46014299913963,258.7276780664565,274.9785192840095,268.6986361778014,r1i1p1f1,historical
1882,286.749647976614,270.3865279931448,256.93933143908765,274.9357205470364,268.07568955360136,r1i1p1f1,historical
1883,286.75027955890306,270.00400563421977,257.34558588034355,275.45085998832894,268.36861673661065,r1i1p1f1,historical
1884,286.3612553423905,269.8575328210615,257.2310879752124,274.3020187975491,267.7679238054676,r1i1p1f1,historical
1885,286.39453802030647,269.8712678358544,257.9326265239647,274.3768538499084,268.03606245440415,r1i1p1f1,historical
1886,286.5162758076888,269.8529350823305,257.09410085564076,275.3864934573554,268.2247394797151,r1i1p1f1,historical
1887,286.6488954954244,269.8974035901552,257.36894454628515,275.1496004075533,268.21448231634525,r1i1p1f1,historical
1888,286.7320971415435,270.1594554877818,257.25042143209447,274.50298428292285,267.9301546072781,r1i1p1f1,historical
1889,286.64943011013213,269.83307953115167,258.1567374998868,275.0686802536849,268.4225480507024,r1i1p1f1,historical
1890,286.73978978047353,269.90865525806106,257.88473122999164,275.3661157264385,268.4867375332291,r1i1p1f1,historical
