year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1874,286.94867494158706,271.02098606709626,256.02396703919754,274.79376488601287,267.8407627361305,r1i1p1f1,historical
1875,286.9295464116159,270.84045030844607,255.89402436192165,274.96581592589916,267.84032704324363,r1i1p1f1,historical
1876,287.0518648197707,270.86325255632016,257.2892252050723,275.1221273681948,268.3761252284814,r1i1p1f1,historical
1877,287.1213871808393,271.18257893991694,257.2051228582686,275.2009095664246,268.45132373378675,r1i1p1f1,historical
1878,287.4587338537664,271.272514036059,258.0029791466097,275.7216395399166,268.97367732871004,r1i1p1f1,historical
1879,287.42251580745244,271.36480557691107,258.38076581594436,275.8087104997525,269.1573884825983,r1i1p1f1,historical
1880,287.0804987554871,271.2270808134323,256.91814039365687,274.93613277120426,268.2434777907213,r1i1p1f1,historical
1881,287.0606807325048,271.40195120760984,255.07271242821804,274.7743738678212,267.59821963151086,r1i1p1f1,historical
1882,287.04375723252826,271.2325197806595,255.85620658303688,275.16942507909926,268.0037196714193,r1i1p1f1,historical
1883,287.09774119854814,271.13386341811594,256.0701296713559,275.8049541552554,268.3481975969254,r1i1p1f1,historical
1884,286.856783325265,270.8333596217934,256.5816016093192,275.8083863548987,268.45549839005395,r1i1p1f1,historical
1885,286.85953149184496,271.1750344764219,256.7692414765427,275.01787526239036,268.22162553713395,r1i1p1f1,historical
1886,286.9745439016159,271.16183934132044,256.4567170433262,275.2056713020595,268.2032291099546,r1i1p1f1,historical
1887,287.0546073747177,271.2500695407364,257.1776470057023,275.0851042519926,268.40261774984583,r1i1p1f1,historical
1888,286.93792780485046,271.3098796279683,255.45952581753224,275.2334961331839,267.91910492523067,r1i1p1f1,historical
1889,286.90327610271424,270.8999253018113,255.26813265292026,274.7965673304826,267.5684837333277,r1i1p1f1,historical
1890,287.1050010807077,271.1299589193821,255.27563906894548,275.44576887040023,267.91971402885906,r1i1p1f1,historical
1891,286.7615875485218,270.9564619932686,254.40229774452388,275.04247960821374,267.40964458734067,r1i1p1f1,historical
1892,286.9555106332549,271.08082561206095,255.04079185867195,274.8220852534803,267.5431581071407,r1i1p1f1,historical
1893,286.9705820086651,271.23943952942886,255.56334274878466,274.8044464865063,267.7396789146799,r1i1p1f1,historical
1894,287.0893175557911,271.3934720557118,255.69541094844902,275.6269175307623,268.19640140183685,r1i1p1f1,historical
1895,287.12517183991815,271.5108766724783,256.2778217257496,275.207698692451,268.21785415988734,r1i1p1f1,historical
1896,287.04321954535607,271.20078175196096,256.73316766179505,275.4262262279692,268.4044399998622,r1i1p1f1,historical
1897,287.0892281772837,271.33216142345793,255.75373936701226,275.46951574434473,268.12986426967825,r1i1p1f1,historical
1898,287.00183295293033,271.27776612671374,255.7429028971672,275.4733361700462,268.1167770924728,r1i1p1f1,historical
1899,286.95889869680116,270.95126714620085,255.08297107694034,275.03095692402167,267.62695552016106,r1i1p1f1,historical
1900,286.8456439402965,270.6704181208906,255.16248626735185,275.13011207221047,267.64073750882,r1i1p1f1,historical
1901,286.9419880838587,270.7361357509653,256.56946489317835,274.8271072711321,267.9763657513713,r1i1p1f1,historical
1902,286.76525540351906,270.29118231272787,255.42244274643747,274.4616305707841,267.33749571339774,r1i1p1f1,historical
1903,286.68428676622585,270.50188090823053,255.8566101934093,274.850910138823,267.7044426401629,r1i1p1f1,historical
1904,286.6677203195266,270.603266612567,254.62302794420987,274.6093923942409,267.20805369947743,r1i1p1f1,historical
1905,286.79045683500823,270.8606722019974,254.52434779934666,274.9230286863435,267.3744870126112,r1i1p1f1,historical
1906,286.61339134252313,270.82808754048824,254.34203618545428,274.22363487759026,266.9835342226939,r1i1p1f1,historical
1907,286.767879410638,270.8537828007619,254.95375769968584,275.0326212495766,267.5650105806958,r1i1p1f1,historical
1908,286.9298965320487,270.8656920337788,256.28524538457873,274.8923794888414,267.9401129832818,r1i1p1f1,historical
1909,286.7845516377301,270.99976095158087,254.96988559356166,274.68860210502976,267.4411295459656,r1i1p1f1,historical
1910,286.8585817412456,270.5156138784734,255.6832902556979,274.74465941686265,267.60106449057645,r1i1p1f1,historical
1911,287.013574678848,270.8929609873617,255.5491518354423,274.86831211433497,267.69266942174596,r1i1p1f1,historical
1912,286.65235975421115,270.86216689066384,255.54046696703435,274.2396591508419,267.39195597477044,r1i1p1f1,historical
1913,286.7352023577272,271.17242611506634,257.2141016735294,274.3107048513936,268.0394391418151,r1i1p1f1,historical
1914,286.90960832924117,270.95395427623106,256.0203979348913,274.69620586821077,267.7804372413582,r1i1p1f1,historical
1915,286.9270106078202,270.925646011603,255.5481525616036,274.9431915633703,267.73384536183795,r1i1p1f1,historical
1916,287.0112280939297,270.93913065453137,257.2650707626585,275.57961587169063,268.5960501870411,r1i1p1f1,historical
1917,286.95427510785,270.91090461425546,257.516670881785,274.95940625440664,268.38533833124046,r1i1p1f1,historical
1918,287.0893333089503,271.0686897302649,258.10366678212563,275.54867207490696,268.88424996134034,r1i1p1f1,historical
1919,287.0625367852113,271.2737909540469,256.998485684968,275.9925581179597,268.7693797928871,r1i1p1f1,historical
1920,287.08616486021896,271.0941690363453,257.1112019693081,275.0145966480866,268.31571144457365,r1i1p1f1,historical
1921,287.2589558554825,270.9796468914815,257.87306561027196,275.62097859019894,268.8234847114821,r1i1p1f1,historical
1922,287.1456794315938,271.04785786260305,257.24806920974055,275.6467334343561,268.6441597617458,r1i1p1f1,historical
1923,287.1788293333237,271.2452162151397,258.09185493062637,275.18009845282336,268.7461452562362,r1i1p1f1,historical
1924,287.26908624886335,271.2097473676108,257.6904577783443,275.3845740277326,268.7016445089455,r1i1p1f1,historical
1925,287.33494461034417,271.24471173811605,258.53376979085317,275.22808207504676,268.91354122743235,r1i1p1f1,historical
1926,287.2215611564827,271.1975098332882,258.1515515078765,275.54154043391287,268.9234356570899,r1i1p1f1,historical
1927,287.19347281714545,271.0605815015548,257.8976880457052,275.4277599900809,268.75880375293406,r1i1p1f1,historical
1928,287.3490303528465,271.0619032326122,259.42062412737835,275.50448089193225,269.295225821816,r1i1p1f1,historical
1929,287.3431436148716,271.07125888120413,260.1400270254454,276.43714419331275,269.9660434548465,r1i1p1f1,historical
1930,287.2904178715171,271.13040507634935,258.96569483677763,275.8711929798495,269.3299397010878,r1i1p1f1,historical
1931,287.2239366390914,270.80680839753086,258.57482551589334,275.93922553451546,269.1658028570045,r1i1p1f1,historical
1932,287.31755129019484,270.62536395950576,258.8728044339388,276.15352298218926,269.32541975828633,r1i1p1f1,historical
1933,287.4343325798689,270.715916827359,260.4978702133937,275.8486212684576,269.73700976963335,r1i1p1f1,historical
1934,287.5122011026448,271.03239730411804,260.74641862816713,276.19034576180644,270.0428654359461,r1i1p1f1,historical
1935,287.3951949099605,270.87973296137693,260.00983207563473,275.98391702260113,269.6733434848219,r1i1p1f1,historical
1936,287.40487020308757,270.96591473959495,259.3063001485678,276.18920661228776,269.5551746631484,r1i1p1f1,historical
1937,287.4403695145453,271.2583183881707,257.83819662034625,275.7554598621115,268.93224667691607,r1i1p1f1,historical
1938,287.4293137850074,271.58211418249095,258.9245218533481,276.3762978200536,269.6443982445883,r1i1p1f1,historical
1939,287.6151306217949,271.66885418123155,259.1393582360223,276.50119171516394,269.79093190032626,r1i1p1f1,historical
1940,287.7254661559951,271.4663657053966,259.860419616466,276.7073305717947,270.08145981546653,r1i1p1f1,historical
1941,287.7260412525645,271.4006444289858,261.241835381771,276.5950376232748,270.4698091794373,r1i1p1f1,historical
