year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1877,286.73576184808195,267.9923664466245,258.2056406942769,274.78230108472553,267.92357611788856,r10i1p1f2,historical
1878,286.8991574376117,267.814785712832,257.79699967118665,274.8833089336304,267.7992102262664,r10i1p1f2,historical
1879,286.86600741293233,268.05300245327675,258.12255539035596,275.27609578518354,268.1377982584346,r10i1p1f2,historical
1880,286.6482055787219,267.7081709140431,259.1635349842636,274.7203881722675,268.15070323464414,r10i1p1f2,historical
1881,286.81843472742963,267.72893313685137,259.0850771028327,275.2614675079307,268.38008822308836,r10i1p1f2,historical
1882,286.79289031818996,267.5897347106171,259.12928620059387,275.6406967417972,268.5415340679158,r10i1p1f2,historical
1883,286.70188989402425,267.62387042015735,257.6765426096242,275.44330988751545,267.97960278615557,r10i1p1f2,historical
1884,286.4455038780871,267.1898439402407,257.3037637503435,275.1055679383564,267.6103485120052,r10i1p1f2,historical
1885,286.62429963539495,267.27325725572405,257.3744494066531,275.70803232055385,267.9302270115947,r10i1p1f2,historical
1886,286.7710314291619,267.44723509135196,260.0322898422875,275.52114760989303,268.753323866306,r10i1p1f2,historical
1887,286.66655605276463,267.3880317927246,258.91955563683945,275.1522163717294,268.2042333305269,r10i1p1f2,historical
1888,286.7211728385266,267.7793023044751,257.7691298758143,275.08220600976796,267.87489563878626,r10i1p1f2,historical
1889,286.784613888366,267.55405460146943,257.40782197653215,275.35307508902326,267.8349416011252,r10i1p1f2,historical
1890,286.79155983383396,267.63980224308256,259.61328623509945,274.6909810743951,268.27070040666075,r10i1p1f2,historical
1891,286.84100016838755,267.8967086386728,258.9049974259415,274.7149490895895,268.1023569217425,r10i1p1f2,historical
1892,286.8136221969002,267.5400211674879,258.03367428026706,275.18291315330765,267.95884749710115,r10i1p1f2,historical
1893,286.8246822525728,267.62063625329347,258.56577747231387,275.23821898853964,268.1761290548843,r10i1p1f2,historical
1894,286.75785089349193,267.6492466647849,258.0138564325363,275.30870892227455,268.03333995230605,r10i1p1f2,historical
1895,286.7707481645788,267.70516435719753,256.74936171309247,275.44959344871194,267.69464163479654,r10i1p1f2,historical
1896,286.8466440733598,268.1689457497358,257.7789473594675,274.90659174896643,267.8776216849046,r10i1p1f2,historical
1897,286.7802471911865,267.8769011146086,257.07421951997964,275.1548474338794,267.70043177176296,r10i1p1f2,historical
1898,286.5540982037887,267.3632472088463,257.86952334758024,274.72402146037604,267.6554238292891,r10i1p1f2,historical
1899,286.566560891536,267.17791073716535,257.48876795137465,275.75207143976496,267.9684194156789,r10i1p1f2,historical
1900,286.74485843873686,267.45572117063165,258.09842706153967,275.1339122422201,267.9399057805238,r10i1p1f2,historical
1901,286.8681623569823,267.34369700871855,258.42468480646096,275.42058278562195,268.1567891032274,r10i1p1f2,historical
1902,286.55794622834946,267.31989816563635,258.1836408145026,274.9289542638508,267.84468266508844,r10i1p1f2,historical
1903,286.58676046649254,267.72655351073865,258.1255324082885,274.373401363968,267.65246325697,r10i1p1f2,historical
1904,286.7671583482485,267.4411945940062,257.3268797770028,275.5667826400044,267.88397988996724,r10i1p1f2,historical
1905,286.63424717853604,267.54020590803947,256.85742849705093,275.1405984336185,267.55264451228385,r10i1p1f2,historical
1906,286.73700086182777,267.4832853331974,258.29044927880307,275.67185369653487,268.2581532619929,r10i1p1f2,historical
1907,286.7909337647689,267.79970081583247,257.7376921096234,274.79765978924695,267.7368738405083,r10i1p1f2,historical
1908,286.9149937672934,268.00324920034916,259.1847043050217,275.50184407144184,268.5812499714151,r10i1p1f2,historical
1909,286.7488117754366,267.7358293331559,258.3540288844791,275.4297550396457,268.21925397844586,r10i1p1f2,historical
1910,286.82807610938426,267.8333260383284,257.93009514606405,275.58178371958184,268.17064329525965,r10i1p1f2,historical
