year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1882,287.45265863449936,266.37332019662233,260.99785127851663,277.0828119452293,269.5717078561301,r10i1p1f1,historical
1883,287.4662285107461,266.52128842737335,260.76160235273034,277.72515975555257,269.8225970554369,r10i1p1f1,historical
1884,287.08755838211243,266.2152989271252,260.34590220685334,277.1607523397899,269.36073570765967,r10i1p1f1,historical
1885,286.9855025350656,266.145089631618,260.94494953914307,276.53876364832,269.2546833240703,r10i1p1f1,historical
1886,287.0109263681811,266.37750555851534,259.565299303441,277.1718499349606,269.14298915500194,r10i1p1f1,historical
1887,287.0810227903384,266.34810352030877,258.79275418547843,277.0140397928119,268.8097876305949,r10i1p1f1,historical
1888,287.06376379810405,266.189277945322,258.94321246379167,276.8877617616478,268.76771134858313,r10i1p1f1,historical
1889,287.3054602141183,266.1352855173156,260.2639479704319,277.4672505971624,269.4592835278462,r10i1p1f1,historical
1890,287.13210740816083,266.33091367852035,259.7928613515394,277.04080083846173,269.1473524859602,r10i1p1f1,historical
1891,287.3288328103346,266.6803701145807,260.34430738281145,277.2217652468895,269.48508304991293,r10i1p1f1,historical
1892,287.4127057692841,266.1867687282174,261.4799478327316,277.4870619399321,269.87885026748523,r10i1p1f1,historical
1893,287.52473814818825,266.4078209993235,260.14758863078555,277.8061561900244,269.6347635939859,r10i1p1f1,historical
1894,287.3126371485825,266.3038910855585,259.919339503854,277.640825940461,269.46150375760106,r10i1p1f1,historical
1895,287.14604404510527,265.93142294735225,260.3054199576588,277.4748807816408,269.43411533174714,r10i1p1f1,historical
1896,287.2556436161273,266.2381968940421,259.62046146711464,277.7150825856296,269.3840495208956,r10i1p1f1,historical
1897,287.24509620905843,266.2534602841706,260.3337017740502,277.48029547409976,269.51280112077615,r10i1p1f1,historical
1898,287.0871617636113,266.0283164811478,259.6108542311959,276.58018991206706,268.8111320984347,r10i1p1f1,historical
1899,287.1968740867004,266.32475419872463,261.1896390219056,276.7961313094733,269.4917467165501,r10i1p1f1,historical
1900,287.29224881828316,266.16236353181995,260.8345489271605,277.4562126755504,269.6473415644877,r10i1p1f1,historical
1901,287.2859663504426,266.5589612426263,260.45014995069647,277.39151033231155,269.573358251214,r10i1p1f1,historical
1902,287.0809769081281,266.3386109981734,259.2038084028955,276.87471333066406,268.8783304050338,r10i1p1f1,historical
1903,286.91973965090057,266.28079725728367,260.154148502439,276.29062335633324,268.90789055091824,r10i1p1f1,historical
1904,287.10708116342994,266.31044468382464,260.2016316919361,277.5133446411488,269.4965476350583,r10i1p1f1,historical
1905,287.08612986456905,265.976298762959,259.9568480439495,277.2364566961561,269.2183210303449,r10i1p1f1,historical
1906,287.1615768343403,266.1593669144633,259.2476805155556,277.4595658350695,269.1266824944037,r10i1p1f1,historical
1907,287.1817783014167,266.37847160510995,260.2342563650815,277.04596073042563,269.30470453367354,r10i1p1f1,historical
1908,287.2891328875526,266.4635102093537,259.6429106604139,277.22080651090306,269.2090583231896,r10i1p1f1,historical
1909,287.2077080867176,266.32942009322556,259.60071522297875,277.20592855156855,269.16044384421593,r10i1p1f1,historical
1910,287.21553352347644,266.3269731061147,261.29343526943813,277.22373247676023,269.7245741243221,r10i1p1f1,historical
1911,287.2347670450249,266.3299184294585,260.96104241167285,277.3652221744199,269.68152998121275,r10i1p1f1,historical
1912,287.2040062198342,266.3642051510081,259.9185956410408,277.12418905569507,269.23425564996177,r10i1p1f1,historical
1913,287.1313896980204,266.3785723249908,259.3455888166336,276.59865526460794,268.80524218558736,r10i1p1f1,historical
1914,287.2811620271467,266.5078542615643,260.3366598350143,277.2427997190339,269.4564942521145,r10i1p1f1,historical
1915,287.0752300150312,266.45671326266927,259.6875185763652,277.2265639352105,269.2249783651141,r10i1p1f1,historical
1916,287.18861072441615,266.34177724966827,259.59174622384927,277.27313972019954,269.1912233318091,r10i1p1f1,historical
1917,287.23805751749364,266.5102053904384,261.02831270545306,277.0493556875141,269.59463663833014,r10i1p1f1,historical
1918,287.46929595776993,266.799396149106,260.99843538677055,276.95554067238845,269.6013784665597,r10i1p1f1,historical
1919,287.336883424931,266.3994421417883,261.04335133256797,277.31116214305297,269.6979587185082,r10i1p1f1,historical
