year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1895,r1i1p1f2,285.95277586898885,257.3533172515826,251.121476159105,248.38590992521085,247.74115061543836,historical
1896,r1i1p1f2,285.92644883986657,255.3020605280341,250.0765516847528,247.43080453794434,247.75891188051173,historical
1897,r1i1p1f2,286.0302097062476,256.7586846580909,251.00384636211962,248.23067826608835,248.2449783054415,historical
1898,r1i1p1f2,286.0144704449174,256.43149591414453,250.7286129840137,247.99938520521212,247.96689104174084,historical
1899,r1i1p1f2,285.87754365763664,257.35210014870296,251.74694345973143,249.09607315990039,248.98615756598787,historical
1900,r1i1p1f2,285.9834223276725,255.44098024978805,250.24071913515982,247.44995583580769,248.16601417931437,historical
1901,r1i1p1f2,286.06234618500145,255.62850380480197,250.50809994792291,247.676018524874,248.5888692551816,historical
1902,r1i1p1f2,285.8327251054374,255.24516942912263,249.8506491266169,247.26816266750401,247.23947868750255,historical
1903,r1i1p1f2,285.747767411343,254.81214951346234,249.1655335820915,246.30846978359165,246.65833868572483,historical
1904,r1i1p1f2,285.6613504177483,255.86975169955568,250.08362487226574,247.72243597638658,246.68260162577943,historical
1905,r1i1p1f2,285.6670499969005,257.0951723880712,251.23641905375501,248.79287313704268,247.87012851626025,historical
1906,r1i1p1f2,285.6986182176309,255.68899683074383,250.6116274397052,247.7882635322976,248.73067966361788,historical
1907,r1i1p1f2,285.8674052149711,255.19334607601758,250.24398873504504,247.46917319787994,248.4437047393104,historical
1908,r1i1p1f2,285.8075435886675,256.1797896015156,250.3194559206948,247.84611426703842,246.99504602466368,historical
1909,r1i1p1f2,285.76164818499836,256.88893714109776,251.22523157298983,248.53203831661975,248.45709740273497,historical
1910,r1i1p1f2,285.82108344154597,255.74205736013,250.1664757170666,247.24918416100698,247.83205138029325,historical
1911,r1i1p1f2,285.7642081869959,254.96993499161292,249.88869054252254,247.34128300599085,247.5978861473466,historical
1912,r1i1p1f2,285.7385945391535,254.92827720085384,249.0406270283198,246.31811004696218,246.04971771471804,historical
1913,r1i1p1f2,285.8349500292228,254.71921843918054,249.61074819439824,246.89078024298902,247.5410389605233,historical
1914,r1i1p1f2,285.9074418303007,254.7854681950523,249.6606338876236,247.0113250062476,247.4677327052887,historical
1915,r1i1p1f2,285.8059611781342,255.05808835295073,249.63942234073832,246.78186695885196,247.40354255859634,historical
1916,r1i1p1f2,285.7489997920565,255.50017606673856,250.16628814964525,247.49515980445472,247.75726811441714,historical
1917,r1i1p1f2,285.94883427601326,255.72353857059238,250.4515702334777,247.77776255517125,248.1199880042647,historical
1918,r1i1p1f2,285.714868835641,254.3132453603193,249.72653976264988,247.13945313524368,248.08105995318277,historical
1919,r1i1p1f2,285.93036810476065,255.12610228499213,250.0063097928029,247.2436091504032,247.9859154594191,historical
1920,r1i1p1f2,286.02708385979093,254.7446196780122,249.87364478462845,247.01621407013553,248.2877312695139,historical
1921,r1i1p1f2,286.0207661050752,254.84046353280863,249.65839934224093,247.0541450074399,247.33139710641277,historical
1922,r1i1p1f2,285.89844360809474,254.21311417836202,249.20481134552628,246.7630256611926,246.8454826538813,historical
1923,r1i1p1f2,285.8903482501729,256.4592127972215,251.01759614282676,248.18692782551844,248.71498718495315,historical
1924,r1i1p1f2,285.9297201597301,255.44199578501997,250.04739935486222,247.22251299983085,247.79211571649319,historical
1925,r1i1p1f2,285.96285816090705,256.12421260145913,250.87193304167775,248.14521757209027,248.64142074081914,historical
1926,r1i1p1f2,285.92875027058716,255.13681529058684,249.44696675511153,246.72130190669273,246.69548523779005,historical
1927,r1i1p1f2,285.86820799768617,255.84995690876514,250.45442603550595,247.8091600543304,247.93425105013188,historical
1928,r1i1p1f2,285.78147240656034,254.70615349595204,249.57727433499315,247.08266066866224,247.15239344587505,historical
