year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1905,r1i1p1f1,287.07936796781127,261.75269444778036,256.36093152202557,254.08048167407324,253.45067133438062,historical
1906,r1i1p1f1,286.9459306179641,260.1687510428408,255.30355801698022,252.7752912883428,253.337092037618,historical
1907,r1i1p1f1,286.7992535873349,259.7113919429887,255.14304878781107,252.71289087352332,253.37528072597186,historical
1908,r1i1p1f1,287.0158340016,259.5137203465715,254.9032682428076,252.32743111969125,253.29201404995027,historical
1909,r1i1p1f1,287.0774350328036,261.07152025590267,256.6388536095552,254.4267697978226,254.71906920314478,historical
1910,r1i1p1f1,287.09511170402385,260.46305106478405,256.03991292834127,253.44797094560099,254.6633928925732,historical
1911,r1i1p1f1,286.95566351573757,259.38396483376624,254.9976508734085,252.5360217447818,253.4801712577704,historical
1912,r1i1p1f1,286.9033281001214,259.9563207336219,255.63968278878278,253.4168918035929,253.86632584699083,historical
1913,r1i1p1f1,286.90403798002257,259.18582260940485,254.79243854525907,252.43480144268744,253.12117864350733,historical
1914,r1i1p1f1,286.90863516142485,258.97342723811124,254.2075529787304,251.64469750083407,252.4020645212875,historical
1915,r1i1p1f1,286.94609733841554,259.69232261896497,255.568137894608,253.22637070676276,254.17953750654806,historical
1916,r1i1p1f1,286.81635421342986,260.55175985637976,255.81409990429867,253.53524197994975,253.64247011732058,historical
1917,r1i1p1f1,286.8479817117583,260.8148200040082,256.45729807119415,254.35472808679302,254.4691127378187,historical
1918,r1i1p1f1,286.89196116298285,260.6715859905856,255.88170819788445,253.5028276571975,253.79114273546077,historical
1919,r1i1p1f1,286.83407044230404,261.4572848534671,257.06914713207476,254.96938388823014,255.0423508005864,historical
1920,r1i1p1f1,286.84396450137933,260.22857757743725,255.25009527567062,252.87412994633883,252.9418227312777,historical
1921,r1i1p1f1,286.98204909188956,259.8863500331832,255.4468503309764,253.18480216577663,253.58936484452178,historical
1922,r1i1p1f1,287.07295315869135,259.3552137011594,255.03790705697907,252.56034658197325,253.6209197612035,historical
1923,r1i1p1f1,287.11014558480247,259.6621621765297,255.53364748552727,253.1915291362089,254.14063505855455,historical
1924,r1i1p1f1,286.87975951701213,260.65617890639055,256.2116248774522,253.98222251012467,254.30265292039255,historical
1925,r1i1p1f1,286.8058155892285,258.9635920041328,254.55394449750574,252.19922578336113,252.86017310654526,historical
1926,r1i1p1f1,286.8922077600328,260.0396237676383,255.82899462509386,253.46734052514074,254.37036078554792,historical
1927,r1i1p1f1,287.0274077047081,259.5591687799502,255.34203186538664,253.0227997247567,253.8165614435546,historical
1928,r1i1p1f1,286.9985933679703,259.2472592302199,255.24909575434083,252.87405701239652,254.04987073630622,historical
1929,r1i1p1f1,287.056739906895,260.0989886454514,255.68280656838488,253.40215889601816,253.877803655424,historical
1930,r1i1p1f1,286.9943299047178,260.56261234623713,256.1608617049043,253.85879564002744,254.40222794513673,historical
1931,r1i1p1f1,286.83450516327775,259.7031836552344,255.26769826147205,252.91543416913856,253.5412210931325,historical
1932,r1i1p1f1,286.9634174635731,260.1673890018364,255.30303598541965,252.89749183850114,253.16549317130338,historical
1933,r1i1p1f1,286.99570467490713,259.76161162205136,255.1380490438964,253.0168136499993,252.87470048196192,historical
1934,r1i1p1f1,286.97770661102487,260.2953079681606,256.1974331508268,253.95281721705766,254.70244910341808,historical
1935,r1i1p1f1,287.0911274118253,260.3426682012177,256.0277923681223,253.73711700473027,254.3515892295458,historical
1936,r1i1p1f1,287.200927183928,259.45017219874205,255.2194016880041,252.80665838616798,253.80957004126074,historical
1937,r1i1p1f1,287.1334729711975,259.30018363667364,255.28623156709492,253.02524504471887,253.90924933912945,historical
1938,r1i1p1f1,287.2121184034594,260.4872839398947,256.0783487718294,253.6889452313061,254.4340041900304,historical
1939,r1i1p1f1,287.1429298746014,260.2050554412561,256.43105567420633,254.27201541328336,255.18294781387576,historical
1940,r1i1p1f1,287.0658804375021,260.79268145652605,255.70395470792306,253.4377913539714,253.1168985070978,historical
1941,r1i1p1f1,287.10570492018275,258.8119125700939,253.99766653652972,251.28665990517263,252.34506351992374,historical
1942,r1i1p1f1,287.00252351474273,259.27762471910364,254.92219942870068,252.5539418056208,253.30882055522292,historical
1943,r1i1p1f1,287.0212225008579,259.4694039507809,254.64860519575353,252.19985828026265,252.62095373803135,historical
1944,r1i1p1f1,287.1575490810598,260.4077670434866,255.94899801120758,253.9516849736769,253.69859082263898,historical
1945,r1i1p1f1,287.087318686605,260.10350419236596,255.43698965812433,253.11242325938719,253.4100144322108,historical
1946,r1i1p1f1,287.236323684149,259.03608281137616,254.89585561563104,252.33768976140064,253.79242506436833,historical
1947,r1i1p1f1,287.2289499472188,260.10237319515727,255.65307826830647,253.4309478723551,253.7285429925482,historical
1948,r1i1p1f1,287.30466012910665,258.453736434561,254.19748195498215,251.69205517164255,252.8887066878478,historical
1949,r1i1p1f1,287.2885382409955,259.3034939600901,255.2802396887561,252.83478173993967,254.15130708497878,historical
1950,r1i1p1f1,287.27463258425814,260.2322686936945,255.90047251159677,253.47386339964655,254.39565195940978,historical
1951,r1i1p1f1,287.19921117351845,261.6577408629912,257.0987428156837,254.84698626186838,255.09148253483497,historical
1952,r1i1p1f1,287.0633128715267,260.8425213764245,256.58769686421954,254.28725793302766,254.99319636640843,historical
1953,r1i1p1f1,286.9692137439213,259.80990441137556,255.58481484467433,253.40060107691903,253.86107287132876,historical
1954,r1i1p1f1,287.08658937872207,259.4916605980881,255.4235527578754,253.24332459308184,253.87202737799268,historical
1955,r1i1p1f1,287.238405039243,260.0191868215636,255.27884062021306,252.6825991597009,253.54906552539384,historical
1956,r1i1p1f1,287.0501624774698,258.62910392555375,254.5662341789369,252.1137730365011,253.4022484153281,historical
1957,r1i1p1f1,287.13711820853416,258.47305378253355,254.48003794684075,251.96147220401525,253.48783451693112,historical
1958,r1i1p1f1,287.2239614752964,260.2817307366995,255.81240090827657,253.57245965997257,253.89013997654595,historical
1959,r1i1p1f1,287.155279632352,259.67782551485845,255.46480360830773,253.22652186616602,253.83052053824863,historical
1960,r1i1p1f1,287.1504792489193,261.1228234911907,256.18767602798084,253.95801940269072,253.72339569963736,historical
1961,r1i1p1f1,287.0204036680283,260.4622342709434,255.86754075220583,253.68975299862544,253.71616352253548,historical
1962,r1i1p1f1,287.0678925823817,259.98228940555066,255.7290056589302,253.29840923983048,254.31870054600924,historical
1963,r1i1p1f1,286.9881155586239,259.5378545538647,255.21380130638897,252.8148835988978,253.6789338454585,historical
1964,r1i1p1f1,287.0005901948935,258.57893504189127,254.37997427488793,251.74635082541468,253.3157936887318,historical
1965,r1i1p1f1,286.9509085854001,259.0875185101714,254.47388733897472,252.35712719328453,252.21551421843884,historical
1966,r1i1p1f1,286.9895906219478,257.8074287544681,253.68466764415012,251.22787021369234,252.45892510255146,historical
1967,r1i1p1f1,287.0184033445543,260.0711244265001,255.8884887556486,253.62576399223417,254.3228856717599,historical
1968,r1i1p1f1,286.97678038458037,261.08494204571497,256.8455976027587,254.75803537218846,254.9702272396322,historical
1969,r1i1p1f1,286.9208345903734,260.45207438777555,255.97374815420224,253.82604566998805,253.9120004494227,historical
1970,r1i1p1f1,287.0071216759198,261.1434676868052,256.76019804052754,254.85486993369727,254.46636304025193,historical
1971,r1i1p1f1,287.0582818751966,260.7183038818825,255.8869926035834,253.6997427858402,253.4808766942686,historical
1972,r1i1p1f1,286.97575406752503,258.4569806165157,254.65605455157083,252.2013547675134,253.79189421396558,historical
1973,r1i1p1f1,286.9781153492861,259.79976038411644,255.14819267814988,252.83555379518677,253.12142722018416,historical
1974,r1i1p1f1,287.18366951809753,259.68377751648774,255.42826438507936,253.26208268794826,253.64478679372002,historical
1975,r1i1p1f1,287.12613655834434,259.9430714279193,255.542444500958,253.16443742480374,253.8915349802594,historical
