year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1952,r1i1p1f1,287.7270322726215,256.0622837234368,251.85916935017497,249.20622171535368,250.5511866638079,historical
1953,r1i1p1f1,287.6928435447232,256.72896106901226,252.4667224833153,249.98054588249184,250.858969154896,historical
1954,r1i1p1f1,287.876761567247,256.9044742102478,252.55894028942456,249.9625878266501,251.0046786346294,historical
1955,r1i1p1f1,288.1216926823273,258.5394304620315,253.8452042858538,251.50757505565718,251.52230767360027,historical
1956,r1i1p1f1,287.84385266111497,256.5021779908293,252.21763113060942,249.69612241511345,250.63223428972645,historical
1957,r1i1p1f1,287.93119365719514,258.12803683949215,253.8878116908782,251.44945800444597,252.2401328905253,historical
1958,r1i1p1f1,287.9031091685716,258.86611330404554,254.20935520670167,251.75710154578317,252.08875204367976,historical
1959,r1i1p1f1,287.9625461736917,260.0077637878499,255.25120547176945,252.92346889126802,252.84103161977254,historical
1960,r1i1p1f1,287.6686971662754,260.0318895715466,255.1196525444401,252.70633574623565,252.64354814900813,historical
1961,r1i1p1f1,287.60555719057663,258.5818720488485,253.81493809611754,251.47959308294082,251.40299607490948,historical
1962,r1i1p1f1,287.6258121691924,257.9311998931663,253.43980745508148,251.14367557740377,251.29932549592894,historical
1963,r1i1p1f1,287.6078150169341,256.5265250744554,252.1886585620494,249.60903213772897,250.62039545128485,historical
1964,r1i1p1f1,287.6031589500353,257.07086106698154,252.985207088539,250.73857820690236,251.2558122436898,historical
1965,r1i1p1f1,287.72517508817646,257.25351861873355,253.08224411368812,250.49993881278564,251.71448439724915,historical
1966,r1i1p1f1,287.80184874292746,257.54138819761414,253.11482155692204,250.68975769956728,251.22867853958914,historical
1967,r1i1p1f1,287.4154795133042,257.10094500484615,252.48376780911425,250.03565555938914,250.40421549170995,historical
1968,r1i1p1f1,287.3472211591752,255.6333242282678,251.43325573551365,248.91522881419647,249.94286054526935,historical
1969,r1i1p1f1,287.4528068565029,256.05032115564325,251.6453309976875,248.95294526439972,250.15322634691898,historical
1970,r1i1p1f1,287.61853195789996,256.21283252624113,251.67369036212443,249.2594835185694,249.6395835418816,historical
1971,r1i1p1f1,287.66586160472167,258.02088452538914,254.0004644840802,251.6712069081345,252.46205389330103,historical
1972,r1i1p1f1,287.5874252630904,258.20443956793787,253.72051067046485,250.93022312721874,252.2701226880513,historical
1973,r1i1p1f1,287.577917953654,257.2851334444503,253.08345901007934,250.8030598975001,251.263556710157,historical
1974,r1i1p1f1,287.6471404539961,257.04912098868823,252.79161861819097,250.23461086123095,251.28711325806304,historical
1975,r1i1p1f1,287.34851195201657,259.14204133767015,254.3852703232632,251.82729364059847,252.29226986312702,historical
1976,r1i1p1f1,287.5352102545063,258.4838621600816,254.496778123882,252.157049626237,253.01218627756668,historical
1977,r1i1p1f1,287.6480090828712,256.89208367922276,252.5401927309684,250.04469613386294,250.83937418911253,historical
1978,r1i1p1f1,287.6343593232049,257.40359364507015,253.19500202796914,250.9368797720942,251.33621544784228,historical
1979,r1i1p1f1,287.65977392743645,258.31572726744014,253.49513657478064,251.15266629368782,251.02962840282808,historical
1980,r1i1p1f1,287.7517150604365,257.3935523632073,252.77587083144462,250.31694698357714,250.71062830142714,historical
1981,r1i1p1f1,287.78310309139385,258.0883791308561,253.78464152367852,251.42537584049023,251.95289364425778,historical
1982,r1i1p1f1,287.83590459464864,258.1376894688244,254.30822316316122,252.2194176568314,252.6638997998832,historical
1983,r1i1p1f1,287.89448142023303,257.5691452017118,252.99214600376143,250.36260671157908,251.21018723254554,historical
1984,r1i1p1f1,287.73821069037086,258.4394327869788,253.87743457877156,251.4589708795639,251.82219465003828,historical
1985,r1i1p1f1,287.72304745936316,258.96148598245975,254.59166567200313,252.03298422980828,252.9567764898057,historical
1986,r1i1p1f1,287.8029436751976,258.3110340608099,253.56002384527034,251.1087599709775,251.32670759577198,historical
1987,r1i1p1f1,287.61087551352074,257.19023633870506,253.13128622023143,250.6868395812631,251.70616406625052,historical
1988,r1i1p1f1,287.6813757058695,256.6251774202766,252.33456554918607,249.89774584468128,250.62524553258487,historical
1989,r1i1p1f1,287.85883157617747,257.5323858174432,253.48289180596674,251.12234877568872,251.95326577700976,historical
1990,r1i1p1f1,287.92684495616527,259.0192576280018,254.8494333128081,252.37644677417939,253.33267255173686,historical
1991,r1i1p1f1,288.02288724016523,258.35606155462074,254.0273352886448,251.6036196937277,252.25492109422316,historical
1992,r1i1p1f1,287.7229407876664,257.09426709059574,253.07554730730297,250.63570222676725,251.69160884289602,historical
1993,r1i1p1f1,287.57653563400993,259.0143599938274,254.36480193967535,251.8762959729281,252.30268473046843,historical
1994,r1i1p1f1,287.7216356009248,258.0534895561512,253.5133063639633,250.9197741462644,251.72519984666098,historical
1995,r1i1p1f1,287.8263853607173,257.7781682661722,253.11355794314085,250.59579600834417,251.0739924039734,historical
1996,r1i1p1f1,287.9980486960297,256.8679456753067,252.75407802862063,250.22635659496018,251.37888516056893,historical
1997,r1i1p1f1,288.1415777502609,259.2878908791424,255.05257456064749,252.58891532374523,253.4455829563477,historical
1998,r1i1p1f1,288.1576068655593,259.840124950987,255.2796116824521,253.00558649388606,253.02699328735306,historical
1999,r1i1p1f1,288.2748052735018,255.73114895347945,251.59592261508942,248.82621277785304,250.52911848390724,historical
2000,r1i1p1f1,288.41054227507243,257.6108986387268,253.91039226159182,251.48460443922966,252.8830076045507,historical
2001,r1i1p1f1,288.2958517496827,262.0354480073907,257.53338748105534,255.2882019648275,255.31006422979164,historical
2002,r1i1p1f1,287.93338723672457,261.53515462475764,256.1295836863961,253.57017796998414,253.27206772044013,historical
2003,r1i1p1f1,288.0413127283974,259.4323521418492,255.2103927289997,252.82016420111037,253.51794426592147,historical
2004,r1i1p1f1,288.12268832000206,260.06824238317927,255.15290419743664,252.62897486022752,252.8256340974468,historical
2005,r1i1p1f1,288.04958407647746,258.77148559926894,254.10044083268417,251.62789484238837,251.9909359291683,historical
2006,r1i1p1f1,288.0875391228576,257.752757995461,253.7035607735591,251.2251712068797,252.3367566227456,historical
2007,r1i1p1f1,288.294201045464,258.00326977256964,254.0360669912884,251.612712500617,252.69025514278906,historical
2008,r1i1p1f1,288.4361759497221,257.3433200302481,253.60262316197375,251.21911209302266,252.46947225616773,historical
2009,r1i1p1f1,288.3739412774428,258.6076785618107,254.17777878755305,251.90862176934687,252.0727542628137,historical
2010,r1i1p1f1,288.3857106535138,256.6830998879818,252.837160657098,250.17068352465205,251.96979375793765,historical
2011,r1i1p1f1,288.48994710529377,257.2642500888699,253.22224965670847,250.88934770209252,251.6633685988304,historical
2012,r1i1p1f1,288.38809635259685,258.3313271919267,254.32858201825587,251.82067952136524,253.05734438125708,historical
2013,r1i1p1f1,288.4976493002843,257.4408472072021,253.16302033308008,250.58200778419746,251.667598449456,historical
2014,r1i1p1f1,288.68261793325416,258.82165981801404,254.90453078087714,252.35369031894825,253.7936363820737,historical
2015,r1i1p1f1,288.4337142026473,258.88122987336476,254.81327268665794,252.38331635311349,253.35753235230405,ssp126
2016,r1i1p1f1,288.42919446382655,258.92148377853493,254.50530580863645,252.16000064985232,252.52147509289654,ssp126
2017,r1i1p1f1,288.54071816616954,257.5530230740704,253.36165780306575,250.67132258009488,252.11910046034808,ssp126
2018,r1i1p1f1,288.59276569516976,258.2848548241289,254.30530648193792,251.8850185998381,252.94068187738398,ssp126
2019,r1i1p1f1,288.5332397015712,259.5588601761127,255.41087096379448,253.02842942390228,253.79507447606073,ssp126
2020,r1i1p1f1,288.39468244229107,260.43665594523037,255.30553617646578,252.7227092859445,252.80454407112393,ssp126
2021,r1i1p1f1,288.4640125148889,257.7987767975523,253.65125093627415,250.86579982453785,252.59161826527347,ssp126
2022,r1i1p1f1,288.65972530360574,260.15122810289176,256.160509882806,253.8955379481713,254.5685601638286,ssp126
2023,r1i1p1f1,288.69856264818884,258.84486982996555,254.22277786812444,251.69701248792532,252.24447718531331,ssp126
2024,r1i1p1f1,288.54946384519485,260.2137531798423,255.962589251595,253.76285576413466,253.97300944440883,ssp126
2025,r1i1p1f1,288.53097144144255,259.4744439004538,255.12633807448253,252.60195950928357,253.46980988429874,ssp126
2026,r1i1p1f1,288.73940338992895,261.1399827565186,256.8259256008652,254.56342181437367,254.84858377629234,ssp126
2027,r1i1p1f1,288.65651867231276,257.81984736021695,253.79059394579085,251.29104169565105,252.4765275228736,ssp126
