year,member,tas_global,tas_gis_south,tas_gis_all,tas_gis_central,tas_gis_north,scenario
1872,r1i1p1f2,285.4145866760153,255.7875112938537,250.57901185673967,247.72543436827095,248.63586245484578,historical
1873,r1i1p1f2,285.45745804440196,256.1873825239842,251.31612410061012,249.15300347953354,248.7689947771074,historical
1874,r1i1p1f2,285.45521489149684,256.47284654847994,251.36852506091998,248.89444121279513,248.9989414405992,historical
1875,r1i1p1f2,285.5726472733803,256.37300434081374,250.83255748507145,248.22713549210917,248.14498109586364,historical
1876,r1i1p1f2,285.47141334956666,256.23700596837193,251.22873521791635,248.74626205000422,248.98303639212148,historical
1877,r1i1p1f2,285.4830743230481,256.3194370640503,250.7582663566902,248.39233609168127,247.7009481437603,historical
1878,r1i1p1f2,285.4705622756746,256.4175026405031,251.2299436238218,248.85479237697427,248.62071800836173,historical
1879,r1i1p1f2,285.5023179748291,256.2358530400959,251.48567238198888,249.0418673871091,249.48451786512496,historical
1880,r1i1p1f2,285.63522615860546,255.87871534790364,250.76399156745276,248.20190267777915,248.50930773080316,historical
1881,r1i1p1f2,285.43539013543756,255.00431407672255,250.26544892979265,247.70392028179668,248.44735667348465,historical
1882,r1i1p1f2,285.6167347781427,256.9826372886785,252.13508110546275,249.67222717265855,250.04809787055177,historical
1883,r1i1p1f2,285.6110875153821,256.7330898286465,251.83997341887996,249.33365990319422,249.7626892287883,historical
1884,r1i1p1f2,285.38294453324374,256.8370848657715,252.04539700587534,249.60970671019737,249.9842282733326,historical
1885,r1i1p1f2,285.34135487406235,255.48738979697464,250.60691722592432,248.12205406844015,248.51339083587192,historical
1886,r1i1p1f2,285.57330125873096,255.44309531149767,250.59294268936932,248.23870761575208,248.34618355824173,historical
1887,r1i1p1f2,285.6455875412429,255.81046814324836,250.4191472250978,248.02475752187974,247.60056077603522,historical
1888,r1i1p1f2,285.7797194199878,256.98132512830415,251.9289987184591,249.32066643714032,249.8136655129799,historical
1889,r1i1p1f2,285.6416838164127,257.95050212028167,252.77846470856693,250.52459766141789,250.01226970559537,historical
1890,r1i1p1f2,285.58219107848976,257.3160575128709,252.0781323716053,249.50722526797455,249.69280080525056,historical
1891,r1i1p1f2,285.55630342519885,255.64079333754063,250.27891452562696,247.53217023826875,248.0030947359643,historical
1892,r1i1p1f2,285.61819138733284,257.7138720939549,252.42820982590337,249.74042930072818,250.15599183926483,historical
1893,r1i1p1f2,285.65350808172917,257.1668541152573,251.95137944659993,249.4870529295037,249.43836152070497,historical
1894,r1i1p1f2,285.5910883306642,256.68840478892287,251.72808426550793,248.93175822039584,249.99112655917847,historical
1895,r1i1p1f2,285.6725146564815,256.9924523511473,251.40072646280734,248.79762084018606,248.65013194265504,historical
1896,r1i1p1f2,285.51685901498587,255.78457794199883,250.80600473898593,248.00828273774542,249.04982032555944,historical
1897,r1i1p1f2,285.52589291911994,256.9582232295107,251.6986675036966,249.03605889951984,249.42050353705525,historical
1898,r1i1p1f2,285.61709390691186,257.2197041741796,252.52509156446058,250.16606131987845,250.46626008980527,historical
1899,r1i1p1f2,285.6880677472069,256.7560038458412,251.7567690027481,249.12765027371427,249.7332185046394,historical
1900,r1i1p1f2,285.6425783390677,256.61084199266236,251.13921184557304,248.46415543803369,248.63221347481092,historical
1901,r1i1p1f2,285.6499595771192,257.29284136393085,251.6530206167624,249.03437189422945,248.86888756462957,historical
1902,r1i1p1f2,285.67860736806165,257.1150072978081,252.1152464617,249.71482191610204,249.76104168623166,historical
1903,r1i1p1f2,285.5698241668576,256.79482315409945,252.0289619154558,249.46007222191054,250.1900765063706,historical
1904,r1i1p1f2,285.5065163703692,257.66769292600185,252.1429852421796,249.66108691189945,249.29546075382913,historical
1905,r1i1p1f2,285.5664362132133,256.17062352113385,251.22505771137978,248.6514824760723,249.18380566662208,historical
1906,r1i1p1f2,285.6729770080494,256.8877998577698,251.80870651780168,249.2196149604532,249.63445624932623,historical
1907,r1i1p1f2,285.5253232280653,256.20226861995786,251.2157077832244,248.59497669077783,249.19480178180345,historical
