year,member,tas_global,tas_gis_south,tas_gis_all,scenario
1935,r1i1p1f1,287.1824157890504,259.35027091561466,254.8143527405812,historical
1936,r1i1p1f1,287.10166255189483,258.8744734751193,253.7659229504906,historical
1937,r1i1p1f1,287.04671377227066,257.6612499199905,253.18736586785664,historical
1938,r1i1p1f1,287.1891400361263,256.7385736043839,253.04656111545688,historical
1939,r1i1p1f1,287.0787596475403,257.62941261660933,253.0268496506908,historical
1940,r1i1p1f1,287.10813503139667,258.847384823191,254.4383053410843,historical
1941,r1i1p1f1,287.06725043811696,257.5962639554408,253.16439233947958,historical
1942,r1i1p1f1,286.86101415983984,257.1561649422883,252.71387290959672,historical
1943,r1i1p1f1,287.1547550227532,257.35289521108973,252.9207292228182,historical
1944,r1i1p1f1,287.29824977962556,256.94408374358903,252.57036973677344,historical
1945,r1i1p1f1,287.26048733726134,257.91762990847974,253.21784698965797,historical
1946,r1i1p1f1,287.1227513178351,258.72938254789506,254.05145293074037,historical
1947,r1i1p1f1,287.08334356077864,257.2780330326456,252.467903689312,historical
1948,r1i1p1f1,287.2629213965455,258.92746640830956,254.14894589991022,historical
1949,r1i1p1f1,287.03381707772235,257.48165523641757,253.0996612438204,historical
1950,r1i1p1f1,287.0875023929687,257.74870594918036,253.24696130666277,historical
1951,r1i1p1f1,287.127032975795,258.6643127186103,254.11301325082047,historical
1952,r1i1p1f1,287.1039808303548,259.2107849771061,254.43100914064794,historical
1953,r1i1p1f1,287.23423148193893,258.609695415757,253.9719287648564,historical
1954,r1i1p1f1,287.3694562474887,258.04743693193865,253.59189500722093,historical
1955,r1i1p1f1,287.2114773799085,257.8483349048554,252.95809650317992,historical
1956,r1i1p1f1,287.17003469056874,258.62891961141673,254.1196189906522,historical
1957,r1i1p1f1,287.16102765193006,259.2228583382705,254.15519124094132,historical
1958,r1i1p1f1,287.0922806864224,258.48369427786065,254.04478720456353,historical
1959,r1i1p1f1,287.18490465226046,258.1139940437967,253.6973159968009,historical
1960,r1i1p1f1,287.15408042938134,258.4140331776987,254.19471155805962,historical
1961,r1i1p1f1,287.3172541063385,258.75517089026783,254.57007672663352,historical
1962,r1i1p1f1,287.37431179465807,258.8771459198047,254.27335156137016,historical
