,gcm,period_scenario,temp_ch_ipcc,region
108,gfdl-esm4,2021-2040_ssp585,2.207584181630525,RGI05_glacier
109,gfdl-esm4,2041-2060_ssp585,3.027589281573667,RGI05_glacier
110,gfdl-esm4,2061-2080_ssp585,4.372703501206679,RGI05_glacier
111,gfdl-esm4,2081-2100_ssp585,5.810650898659592,RGI05_glacier
112,gfdl-esm4,1851-1870_hist,0.09092973587263709,RGI06_glacier
113,gfdl-esm4,1901-1920_hist,0.4957510771529365,RGI06_glacier
114,gfdl-esm4,1951-1970_hist,0.45298884420683344,RGI06_glacier
115,gfdl-esm4,1995-2014_hist,0.8530617374131958,RGI06_glacier
116,gfdl-esm4,2021-2040_ssp126,1.1677504777212158,RGI06_glacier
117,gfdl-esm4,2041-2060_ssp126,0.782872149765489,RGI06_glacier
118,gfdl-esm4,2061-2080_ssp126,0.8557535954705309,RGI06_glacier
119,gfdl-esm4,2081-2100_ssp126,0.6558614416622868,RGI06_glacier
120,gfdl-esm4,2021-2040_ssp370,0.6308127830989115,RGI06_glacier
121,gfdl-esm4,2041-2060_ssp370,1.9262002070022157,RGI06_glacier
122,gfdl-esm4,2061-2080_ssp370,2.72174288627892,RGI06_glacier
123,gfdl-esm4,2081-2100_ssp370,2.994110473691034,RGI06_glacier
124,gfdl-esm4,2021-2040_ssp585,1.0126853968860012,RGI06_glacier
125,gfdl-esm4,2041-2060_ssp585,1.4731588729416523,RGI06_glacier
126,gfdl-esm4,2061-2080_ssp585,2.0636962962016407,RGI06_glacier
127,gfdl-esm4,2081-2100_ssp585,2.7976858781956304,RGI06_glacier
128,gfdl-esm4,1851-1870_hist,0.6469186146748283,RGI07_glacier
129,gfdl-esm4,1901-1920_hist,0.9284925280329976,RGI07_glacier
130,gfdl-esm4,1951-1970_hist,1.3000491116465605,RGI07_glacier
131,gfdl-esm4,1995-2014_hist,0.6439571062997307,RGI07_glacier
132,gfdl-esm4,2021-2040_ssp126,2.944393789108005,RGI07_glacier
133,gfdl-esm4,2041-2060_ssp126,2.4458307453722647,RGI07_glacier
134,gfdl-esm4,2061-2080_ssp126,3.437444079348722,RGI07_glacier
135,gfdl-esm4,2081-2100_ssp126,2.9038312167913998,RGI07_glacier
136,gfdl-esm4,2021-2040_ssp370,2.2348523694263966,RGI07_glacier
137,gfdl-esm4,2041-2060_ssp370,4.377180319322414,RGI07_glacier
138,gfdl-esm4,2061-2080_ssp370,6.397295677290407,RGI07_glacier
139,gfdl-esm4,2081-2100_ssp370,7.717391425724635,RGI07_glacier
140,gfdl-esm4,2021-2040_ssp585,2.5515871893540996,RGI07_glacier
141,gfdl-esm4,2041-2060_ssp585,3.874452552071332,RGI07_glacier
142,gfdl-esm4,2061-2080_ssp585,5.90823373408586,RGI07_glacier
143,gfdl-esm4,2081-2100_ssp585,7.78054651813968,RGI07_glacier
144,gfdl-esm4,1851-1870_hist,0.6724519771918943,RGI08_glacier
145,gfdl-esm4,1901-1920_hist,0.6942001142756306,RGI08_glacier
146,gfdl-esm4,1951-1970_hist,0.8616665950956383,RGI08_glacier
147,gfdl-esm4,1995-2014_hist,0.8295762235658282,RGI08_glacier
148,gfdl-esm4,2021-2040_ssp126,1.7665126354482532,RGI08_glacier
149,gfdl-esm4,2041-2060_ssp126,1.7037087245407343,RGI08_glacier
150,gfdl-esm4,2061-2080_ssp126,2.07982704713367,RGI08_glacier
151,gfdl-esm4,2081-2100_ssp126,1.4955634693399356,RGI08_glacier
152,gfdl-esm4,2021-2040_ssp370,1.3708685204023932,RGI08_glacier
153,gfdl-esm4,2041-2060_ssp370,2.596839006744548,RGI08_glacier
154,gfdl-esm4,2061-2080_ssp370,3.7548082563910126,RGI08_glacier
155,gfdl-esm4,2081-2100_ssp370,4.080182683739045,RGI08_glacier
156,gfdl-esm4,2021-2040_ssp585,1.5442101083909983,RGI08_glacier
157,gfdl-esm4,2041-2060_ssp585,2.5485839765509235,RGI08_glacier
158,gfdl-esm4,2061-2080_ssp585,3.335558439028588,RGI08_glacier
159,gfdl-esm4,2081-2100_ssp585,4.4075328463830985,RGI08_glacier
160,gfdl-esm4,1851-1870_hist,0.7085905703361548,RGI09_glacier
161,gfdl-esm4,1901-1920_hist,1.4770293776911232,RGI09_glacier
162,gfdl-esm4,1951-1970_hist,1.2950619539513775,RGI09_glacier
163,gfdl-esm4,1995-2014_hist,0.9031624550388604,RGI09_glacier
164,gfdl-esm4,2021-2040_ssp126,3.7599842316356544,RGI09_glacier
