scen,block,year,n,emu_med,emu_p05,emu_p95,lad_med,lad_p05,lad_p95,lad_fixed_med,lad_fixed_p05,lad_fixed_p95,lad_cmip6amp_med,lad_cmip6amp_p05,lad_cmip6amp_p95,ratio_cmip6amp,paired_diff_med,paired_diff_p05,paired_diff_p95,ratio_of_medians,frac_samples_lad_below,provenance
ssp585,RGI19,2100,200,2.3516,0.4529,4.1484,1.2539,0.4856,2.6020,1.2577,0.5324,2.4215,1.7675,0.7305,3.6399,0.7516,-1.0512,-3.0199,1.2248,0.5332,0.7850,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp585,sum (excl. RGI 05),2100,200,15.0870,10.9249,18.8168,13.0383,8.9062,17.9298,13.3611,10.4414,15.8434,11.9584,8.1536,17.1165,0.7926,-1.6028,-5.7832,2.1465,0.8642,0.7800,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvVL,SLOWG,2100,200,3.6213,1.3287,5.7156,2.6938,1.7259,4.2586,2.7741,2.0521,3.6418,2.3476,1.6103,3.5980,0.6483,-0.6416,-3.0672,1.5947,0.7439,0.7100,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvVL,FASTG,2100,200,3.7684,2.2812,5.2867,4.1629,2.6987,6.0441,4.2358,3.1648,5.2793,4.0019,2.6030,5.7821,1.0620,0.4137,-1.4636,2.4407,1.1047,0.3550,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvVL,RGI19,2100,200,1.1074,-0.8391,3.0125,0.5413,0.0482,1.6383,0.5250,0.0814,1.3796,0.6843,0.0709,1.8744,0.6179,-0.5575,-2.3090,1.5057,0.4888,0.7100,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvVL,sum (excl. RGI 05),2100,200,8.4285,4.8640,12.1801,7.4973,4.9395,11.1260,7.5241,5.9186,9.2752,7.1281,4.7226,10.5878,0.8457,-0.8413,-4.1202,2.4842,0.8895,0.6650,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvH,SLOWG,2100,200,5.5679,3.1880,7.6733,4.0735,2.6790,6.0177,4.1914,3.1323,5.5698,3.3087,2.2257,4.8894,0.5942,-1.1769,-3.5590,0.9895,0.7316,0.8150,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvH,FASTG,2100,200,5.3630,3.8833,6.9186,5.9903,4.0289,8.2661,5.9935,4.4382,7.5850,5.5140,3.6895,7.5919,1.0282,0.6690,-1.6405,3.0359,1.1170,0.3400,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvH,RGI19,2100,200,2.0245,0.1526,3.7693,0.9794,0.3114,2.1865,1.0038,0.3531,2.0372,1.3865,0.5057,3.0298,0.6848,-0.9799,-2.9645,1.1842,0.4837,0.7850,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
vvH,sum (excl. RGI 05),2100,200,12.9629,9.4348,16.1950,11.2463,7.7432,15.5432,11.3544,8.9496,13.5347,10.3062,7.1133,14.2491,0.7951,-1.4970,-5.3090,2.2830,0.8676,0.7900,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
