year,component,med_diff_cm,mean_diff_cm,se_mean_cm,p05_diff_cm,p95_diff_cm
2115,gis,0.0007475349393972763,0.0007820395825157365,2.5077966945824487e-6,0.00048000541721595626,0.0011947580719137818
2116,gis,0.0007439688834871561,0.0007783070561276511,2.4990294911359412e-6,0.00047722468165787294,0.0011897515578372265
2117,gis,0.0007402302939620853,0.0007746162006594766,2.4904200320662953e-6,0.00047464240116958936,0.0011838010399415567
2118,gis,0.0007365239250045619,0.0007709687179937945,2.4819819647635387e-6,0.0004720401018742493,0.0011779156061143329
2119,gis,0.0007331395197418544,0.0007673627618721685,2.4737032154727605e-6,0.0004697211611063956,0.0011731280248555187
2120,gis,0.0007295772461350936,0.000763800549755449,2.4656061374651777e-6,0.0004674618964648047,0.0011672620022630477
2121,gis,0.0007260145596932333,0.0007602819203823156,2.4576777037747064e-6,0.00046491177641705406,0.0011621363103076377
2122,gis,0.0007225916342585847,0.0007568088786254839,2.449944365452982e-6,0.0004626481910759317,0.0011572779209183537
2123,gis,0.000719325270603477,0.0007533817503690157,2.4423915647112205e-6,0.0004603065738209899,0.001152930979893796
2124,gis,0.0007162610836459748,0.0007499990277277426,2.435016948277444e-6,0.0004580280704559847,0.0011483163185684654
2125,gis,0.0007129985085629897,0.0007466591094869363,2.42781385977097e-6,0.0004557450037946609,0.001143571001994559
2126,gis,0.0007096776335426824,0.0007433606283642482,2.42077786343119e-6,0.00045327703130260133,0.001139015310039948
2127,gis,0.0007065672137862578,0.000740101826899339,2.4138901409848335e-6,0.0004508660551400645,0.0011355282462783833
2128,gis,0.0007032252218035495,0.0007368814205993695,2.407139968912064e-6,0.0004487989745983967,0.0011302247606375993
2129,gis,0.0007000302301447547,0.0007336984687880385,2.40052404603755e-6,0.0004468851732281287,0.0011265148829151528
2130,gis,0.0006971612128037208,0.0007305517421514461,2.3940511253623862e-6,0.0004447108570488467,0.0011222424835111156
2131,gis,0.0006942582050699642,0.0007274433285671275,2.387732319358595e-6,0.000442592199390468,0.001118092182660835
2132,gis,0.000691445764813281,0.0007243760176386993,2.3815806961969822e-6,0.000440566834817524,0.0011143804979699468
2133,gis,0.0006885304012245186,0.0007213500635142385,2.375599059521141e-6,0.000438444466962018,0.001109940937741705
2134,gis,0.0006854730164223,0.0007183624222067551,2.3697663686328337e-6,0.0004366693487549256,0.0011059628617164031
2135,gis,0.0006825905713094826,0.0007154111423603455,2.364067161355515e-6,0.00043500795110311684,0.0011020980483499089
2136,gis,0.0006799797449845713,0.0007124938469027653,2.3584846005884694e-6,0.0004327181309653483,0.0010980324210989603
2137,gis,0.0006773560884489882,0.0007096067699271904,2.352997817986353e-6,0.00043045943003479077,0.0010949508927423856
2138,gis,0.0006744207919444634,0.0007067513706036947,2.347608521055515e-6,0.00042843662863756293,0.0010907025215859177
2139,gis,0.0006713731961127678,0.0007039277871389211,2.342304167908912e-6,0.00042620035836460346,0.0010865948219963785
