year,ais,gsic,gis,te,total,lws_budget
1925,-0.7024561087902392,-4.034369619964494,-3.0163938182486465,-3.6522226555177806,-9.63195081612926,1.7734913863918995
1926,-0.6912309378074744,-3.9791134484915447,-2.9791833888785195,-3.6104570100820395,-9.565878965579104,1.6941058196804744
1927,-0.6803294647610314,-3.9231098683555246,-2.9417697603102138,-3.5652976633446984,-9.515687493334891,1.5948192634365774
1928,-0.6696847250711957,-3.8666176936348275,-2.9041901782802686,-3.521050700147046,-9.204146118505111,1.7573971786282283
1929,-0.6593855728692866,-3.8093979159162865,-2.8664042675692496,-3.4842049140922358,-8.983336624936506,1.8360560455105523
1930,-0.6491714592770315,-3.7527283057263605,-2.8286128427057182,-3.479970310327749,-8.758726913725038,1.9517560043118214
1931,-0.6386902637587344,-3.6987931923691555,-2.7911633188788247,-3.4344240744535273,-8.613532137934065,1.9495387115261775
1932,-0.6281916274749055,-3.644574686364731,-2.7535854741839554,-3.3848584950155463,-8.477290277262473,1.9339200057766655
1933,-0.6181046992489558,-3.5891842610451627,-2.7157361624217717,-3.3636808310590065,-8.356027391632264,1.9306785621426323
1934,-0.6081008756933515,-3.5348654089672222,-2.677969938946328,-3.3194859306541575,-8.276825043534444,1.8635971107266165
1935,-0.598081871176992,-3.480708904918112,-2.6401443231014614,-3.2751364546229094,-8.226812524452722,1.7672590293667534
1936,-0.5884055068011596,-3.4257964906254728,-2.602111764755948,-3.2301819300612293,-7.891340411198589,1.9551552810452204
1937,-0.5790008793460588,-3.3704108112874347,-2.5639145553948577,-3.1824168199309875,-7.733711602357966,1.9620314636013725
1938,-0.5699543993994083,-3.314160912513782,-2.525486158209949,-3.1346765320220444,-7.647862478637806,1.8964155235073783
1939,-0.5608616878065131,-3.2587800820586392,-2.487108313154989,-3.0849734649456853,-7.5229859419389165,1.8687376060269094
1940,-0.5522265601467624,-3.2021944314621145,-2.4484409803283196,-3.040819710314556,-7.321504840537587,1.9221768417141654
1941,-0.5437118820452058,-3.1459394890815395,-2.4097346009333602,-3.0021131053882226,-7.18028067842215,1.9212183990261773
1942,-0.5352632044080763,-3.090264611377898,-2.3710317266261765,-2.9655253216289688,-7.141524118823535,1.8205607452175834
1943,-0.526763841086797,-3.0355522410476605,-2.332397767090038,-2.9316274210692073,-7.082907981741159,1.7434332885525443
1944,-0.5181139853521866,-2.9822145620726075,-2.293903615262332,-2.8986088471621416,-6.811087370649751,1.8817536391995173
1945,-0.509424454867824,-2.9297448604087952,-2.2554687465938965,-2.861424355210204,-6.796960354877052,1.7591020622036675
1946,-0.5008163464626736,-2.8774952503233644,-2.2169883685014096,-2.809405100569482,-6.630287566336366,1.7744174995205624
1947,-0.49259769931010444,-2.823932283059326,-2.1782070326661955,-2.7523166984097354,-6.544710245754633,1.7023434676907283
1948,-0.48462466928743675,-2.7698743364071037,-2.139256125540994,-2.6933658728966927,-6.413947572757419,1.6731734313748103
1949,-0.4770403342269858,-2.714869350413826,-2.10005597894593,-2.63514157010621,-6.232649698924588,1.6944575347683644
1950,-0.46967447533525775,-2.659667195565074,-2.0607306337424074,-2.57662077043341,-6.203761533654953,1.5629315414211964
1951,-0.46235812988630887,-2.604928046372744,-2.02139283673281,-2.52793634464717,-5.84232164504474,1.7742937125942924
1952,-0.45509146999013206,-2.5509112701989953,-1.9820886391542718,-2.4822647107863776,-5.670225337587974,1.8001307525418024
1953,-0.44790578446253226,-2.497320834479666,-1.9427692097272402,-2.437919023664454,-5.625719345306007,1.7001955070278862
1954,-0.44080761697518067,-2.4440745608754715,-1.9034216574876854,-2.3938763877113685,-5.469824319445893,1.7123559036038134
1955,-0.433629174679262,-2.391795972773521,-1.8641545554459231,-2.3486081713650266,-5.52886694380445,1.5093209304592825
1956,-0.42651162475328963,-2.3398919400998306,-1.8248684616165516,-2.301434532496361,-5.648015946194739,1.2446906127712942
1957,-0.4194975591769068,-2.2881588781021325,-1.7855293311579583,-2.2482304336033962,-5.4711120905813555,1.2703041114590385
1958,-0.4125073347536423,-2.2367972277030566,-1.7461723181465043,-2.189325024910047,-5.138455714128675,1.4463461913845754
1959,-0.4058574407234117,-2.1845829726733696,-1.706585459614745,-2.1263233806309203,-5.037179720888242,1.3861695327542043
1960,-0.3996407381364975,-2.1311951882997353,-1.6667074126761765,-2.0700333605987926,-4.943270684718227,1.324306014992974
1961,-0.39380024504463984,-2.0771389836840974,-1.6266216498593327,-2.017749091852559,-4.826142085635643,1.2891678848049857
1962,-0.38799019186390726,-2.0236916982135256,-1.5865536161395237,-1.9742762484084835,-4.76005609668813,1.21245565793731
1963,-0.38215057287210863,-1.9712161318820767,-1.546569882741549,-1.9604452745522334,-4.647654597665345,1.2127272643826223
1964,-0.3759673657672824,-1.9214195573527284,-1.5069745717726395,-2.08437479673387,-4.696636335135743,1.1920999564907768
1965,-0.36832258370352866,-1.8815074310542759,-1.4689852703004096,-2.152813878711642,-4.786906259586209,1.084722904183648
1966,-0.35955439507759923,-1.8454540855876083,-1.431578515386283,-2.164914303841407,-4.79370620065615,1.0077950992367484
1967,-0.3507352567615363,-1.8086029244973725,-1.3940077871114003,-2.102433506329922,-4.744036879049298,0.9117425956509331
1968,-0.34280525535087536,-1.7665984378997357,-1.3555481233172788,-2.0795806299320656,-4.812782002109398,0.731750444390557
1969,-0.33543947613018377,-1.7236749578289898,-1.316880256103941,-2.0361069736500923,-4.621697769310443,0.790403894402764
1970,-0.32866166442989675,-1.6783863607144442,-1.2777508558963806,-1.9787351436039153,-4.585261392067434,0.6782726325772026
1971,-0.32244375492395116,-1.6310395133011815,-1.2381983004994428,-1.9272453238488425,-4.581225043611328,0.5377018489620903
1972,-0.31667881097753314,-1.5825895963950023,-1.1983798128615657,-1.897134764465545,-4.441431697833198,0.5533512868664482
1973,-0.3107902704597043,-1.5356539736514851,-1.1587563573768715,-1.851392972818175,-4.458782384199584,0.397811190106652
1974,-0.30504927368203427,-1.4883418495949972,-1.1189967618288659,-1.7858160007360018,-4.828726896117479,-0.13052301027558072
1975,-0.29968826615686117,-1.4396364350286657,-1.0789164895306396,-1.7381738568812115,-4.485284529659458,0.07113051793792025
1976,-0.2945836554400727,-1.3909120610803822,-1.0387571598974237,-1.7223296718503065,-4.334310663371647,0.11227188489653844
1977,-0.2895678224147824,-1.343167085410131,-0.9986992597506177,-1.6671706168894722,-4.099350971219923,0.19925381324507974
1978,-0.28463460000980323,-1.2947429876559113,-0.9584453802531971,-1.5914028633184003,-4.232198811758254,-0.102972980520942
1979,-0.2802436767046168,-1.2443487203398231,-0.9177538772183684,-1.5047999597510386,-4.106732898235351,-0.15958666422150353
1980,-0.2765507005076717,-1.1916842030364985,-0.8765542153835231,-1.4181029625694226,-3.721991537352225,0.04090054414489053
1981,-0.2738058489732409,-1.1361791538337953,-0.8347184569340076,-1.3379929246789575,-3.627275171291651,-0.04457878687165007
1982,-0.2715661055891161,-1.0796303998890269,-0.7925764119365457,-1.255753305852723,-3.4816037226787344,-0.08207749941132286
1983,-0.269760846902678,-1.0221611252678926,-0.7501454848539861,-1.2352504444219463,-3.272420064782997,0.004897836663506239
1984,-0.26780963294050775,-0.9672303128915662,-0.7081059277179218,-1.2694728253590033,-3.305007134294443,-0.092388435385444
1985,-0.2653016906385752,-0.9162139638152322,-0.6667246575651813,-1.2314735979805158,-3.252094115175598,-0.17238020517609337
1986,-0.2626952486492362,-0.8645913718225164,-0.6251404927649578,-1.1536200441818059,-3.108997249755865,-0.20295009233734823
1987,-0.2608654946119837,-0.8099150680964201,-0.5828694828683805,-1.0743545952034266,-2.6356226351103573,0.09238200566985383
1988,-0.25978510522346454,-0.7531877433615886,-0.5400861428880237,-0.9835341683374965,-2.500175147213229,0.036418012597344174
1989,-0.25936482788390114,-0.6945916453364551,-0.4968108151020605,-0.8770908023747744,-2.4883095944725278,-0.16045150377533657
1990,-0.23044180961230287,-0.6334117542158832,-0.45287691085828463,-0.7549121727584245,-2.22006226225844,-0.14841961481354454
1991,-0.20142821983554215,-0.5688143810201884,-0.4080769414529666,-0.6389933390951138,-1.8956102542434787,-0.07829737283966753
1992,-0.17255759746466204,-0.5022123807128034,-0.3626868750481176,-0.6420167964499953,-1.5858298613595454,0.09364378831603304
1993,-0.14424633245181395,-0.44031561379658246,-0.31817861085531796,-0.8037563937641813,-1.8706527641067332,-0.16415581323883754
1994,-0.14405620179209766,-0.38955681589701724,-0.27585735107351006,-0.8027539403166806,-1.7864441996954625,-0.1742198906161569
1995,-0.14370274869777155,-0.3373040894763604,-0.23314700485556547,-0.7017284203115355,-1.4658120214348067,-0.04992975809357386
1996,-0.11490251909440641,-0.2797299503999734,-0.18923633554248018,-0.5710401440215337,-1.2161843082338157,-0.061275359175421984
1997,-0.08599016903448886,-0.2167235559985506,-0.1440244948976481,-0.43140505281647823,-1.0180721343868822,-0.13992886163971646
1998,-0.05715888142888703,-0.15023477684314446,-0.09787854160140871,-0.3068766783342052,-0.6460358792669174,-0.03388700105927206
1999,-0.02850833988710111,-0.08161981564798887,-0.05107433386452517,-0.17350742391729485,-0.4460871010674663,-0.11137718775055627
2000,0.00013255902542308462,-0.011478114574461906,-0.0037322907654395443,-0.015306625393914086,-0.2575047243393198,-0.22712025263092733
2001,0.028845547362443824,0.06103132946088524,0.04437215209359205,0.14848908259182286,0.2876154441744474,0.004877332665703449
2002,0.05751257671881005,0.13676364383670286,0.09348919474952491,0.30567052290521657,0.7840241659374508,0.1905882277271964
2003,0.08610858819153577,0.2145669676880263,0.1433643417883719,0.4511316656165224,1.165367998952708,0.2701964356682517
2004,0.11462440235866511,0.2931113767168911,0.1936683159219417,0.5810911656333715,1.1835601133237335,0.0010648526928641044
2005,0.14303898448577712,0.37161698523795056,0.2441989969736387,0.7134819080480279,1.6291284463408462,0.15679157159545204
