year,gis_obs,gis_lo,gis_hi,gis_model,gmst,obs_rate_cm_dec,model_rate_cm_dec
1932,-2.5936906641179864,-2.9509090120142156,-2.23636360168457,-2.0048231581003892,0.12731167919364395,1.0260192871093747,0.21458942535016257
1933,-2.484005719965155,-2.8309089357202697,-2.131363677978516,-1.9832093329668183,0.12416196465982281,0.9995486831665037,0.21668916235210411
1934,-2.3884008234197447,-2.7309089357202696,-2.041363716125488,-1.961721511944215,0.12868337370841984,0.9439859771728512,0.21898189458113415
1935,-2.276845914667303,-2.6159091646021064,-1.9263635635375977,-1.9400641222544153,0.1411353346064558,0.880440330505371,0.22142673291458714
1936,-2.151611310785467,-2.4859092408960524,-1.7963636398315428,-1.9179280546758222,0.15129951244381115,0.8231872558593747,0.22385162564763328
1937,-2.0860078638250177,-2.4059091264551338,-1.746363639831543,-1.89539837720979,0.1650070049476805,0.7678567123413087,0.22633719559067367
1938,-2.044928914850409,-2.370909088308161,-1.7113636016845697,-1.8723307473619173,0.16365264711273567,0.6949275588989257,0.2287117997406085
1939,-1.9972474878484552,-2.320909088308161,-1.6713636398315428,-1.8493222388766057,0.1804445401000541,0.6252965545654301,0.2307510408874336
1940,-1.9552793329412288,-2.2809091264551338,-1.631363677978516,-1.8256459068854654,0.18387980464896214,0.5629166412353515,0.23256942451123308
1941,-1.893123418634588,-2.210909050161188,-1.576363563537598,-1.801836123269463,0.1850511843859057,0.5194227600097654,0.2342844651889564
1942,-1.8451209848577332,-2.160909050161188,-1.5413637161254878,-1.7779843582606987,0.18273909511722977,0.49780452728271474,0.23605277455608586
1943,-1.775259572809393,-2.085909050161188,-1.476363563537598,-1.754231635717541,0.17663919739661613,0.5056037902832033,0.23785607324391833
1944,-1.7251830881292172,-2.025909012014216,-1.4313636779785157,-1.73073030495502,0.1748249617642159,0.535947265625,0.2397499963533889
1945,-1.720994169061834,-2.020909088308161,-1.4313636779785157,-1.707307218170729,0.17860501771470108,0.5686942672729491,0.24166034674603765
1946,-1.70151384527033,-1.990909164602106,-1.4113636016845699,-1.6837374584005034,0.1959932803752389,0.5857481765747068,0.24364769681046283
1947,-1.649337751215155,-1.9459090883081611,-1.3613636016845698,-1.6594676592511022,0.2063643735703104,0.5858455276489258,0.24565373999756446
1948,-1.5536521738225768,-1.835909050161188,-1.2763635635375978,-1.6347778467240233,0.22093894119969273,0.5817419433593756,0.24773657982180453
1949,-1.4421209161931818,-1.720909088308161,-1.1713636398315428,-1.6094894850517634,0.22893486504710064,0.5799069595336916,0.2498965200241443
1950,-1.3604312723333192,-1.635909050161188,-1.08636360168457,-1.5838725093626167,0.23097544284174423,0.5823740386962895,0.25204057620708653
1951,-1.291308576410467,-1.5609090501611877,-1.0313636779785158,-1.5581759114467915,0.23058448301890164,0.5840880203247072,0.2540662397819915
1952,-1.244715864008123,-1.5059091264551339,-0.9863636016845698,-1.532501888338767,0.23277202533440902,0.5714285659790042,0.25589438798874653
1953,-1.1987132852727718,-1.460909050161188,-0.9463636398315429,-1.506741984757521,0.2356410353190667,0.5524053955078129,0.2576117269233791
1954,-1.16956976110285,-1.4209090883081608,-0.916363620758057,-1.4808673351946695,0.2327759763496018,0.5295548439025879,0.2593186131764824
1955,-1.146664029901678,-1.390909164602106,-0.9013636589050289,-1.45511962152668,0.23516231526658574,0.5105943298339846,0.26112832148047715
1956,-1.1088739221746269,-1.350909012014216,-0.871363639831543,-1.4292775455661328,0.23934771343525893,0.49275920867919953,0.26306153367539054
1957,-1.036597234552557,-1.2709090883081609,-0.8063636779785159,-1.4032649084144595,0.2416778314725945,0.48831762313842775,0.2649350366424841
1958,-0.9685359781438658,-1.205909126455134,-0.7363636016845698,-1.3771598778894785,0.2551825234713744,0.4906053161621091,0.26599664787557487
1959,-0.94980486089533,-1.1759090120142162,-0.7263636589050289,-1.3504857742576377,0.2718798038016109,0.5001049041748042,0.26589796539646215
1960,-0.881216985529119,-1.105909126455134,-0.6613636016845699,-1.323098218045405,0.2841674613009607,0.49460081100463815,0.2646766121922184
1961,-0.8129214113408869,-1.0309091264551342,-0.606363677978516,-1.2951815673469043,0.2846535993364472,0.4910760307312011,0.26275369435193596
1962,-0.7267779176885429,-0.945909088308161,-0.5213636398315429,-1.2672505959821507,0.2816532646308178,0.49713876724243145,0.2603064755680151
1963,-0.7027726953679869,-0.9059091264551341,-0.5013636589050288,-1.2394579549484093,0.26266657637454394,0.4884389495849605,0.2580837864801211
1964,-0.6994616335088559,-0.9009090120142161,-0.5013636589050288,-1.2124961095650761,0.1786500205699137,0.468747158050537,0.2564405137372461
1965,-0.656011277979071,-0.8559091264551341,-0.4613636016845699,-1.1890372740440143,0.14856575205130143,0.43287410736083953,0.2554613812112905
1966,-0.5829888170415709,-0.7909090692346751,-0.39136362075805653,-1.1667766138618092,0.158755773155405,0.393641147613525,0.25471920736030995
1967,-0.5461797540838069,-0.7509091073816471,-0.35636367797851554,-1.144120382079062,0.2078363215472045,0.3541458702087401,0.2544653256162377
1968,-0.4902192896062678,-0.6859090501611881,-0.3063636779785155,-1.1194904372817789,0.22029990955315384,0.3177377128601073,0.2554859786584984
1969,-0.4493830507451839,-0.645909088308161,-0.26636362075805653,-1.0943506425476486,0.24617816722541402,0.2671366691589356,0.2579723765905939
1970,-0.43406332189386587,-0.6259091073816471,-0.2613636016845702,-1.0681293160022094,0.26990905125411807,0.2325320434570315,0.26167962635025077
1971,-0.3854952638799498,-0.570909088308161,-0.22136363983154284,-1.0408969993569557,0.28529123484384783,0.19404579162597657,0.26636657266831065
1972,-0.41572569066828,-0.6009091073816469,-0.2513636589050292,-1.0130017322765312,0.27644805600070443,0.14541255950927745,0.27190939376463774
1973,-0.4206208055669609,-0.585909050161188,-0.26636362075805653,-0.9854993835956123,0.2850079086298514,0.10706171035766615,0.2774864014249445
1974,-0.39651621038263496,-0.5509091073816471,-0.2413636207580565,-0.9576303865754483,0.30322824072693166,0.0876799774169924,0.28292860740602777
1975,-0.39089840108698093,-0.5509091073816471,-0.2413636207580565,-0.928965106789515,0.3087815287630954,0.0893661308288578,0.2883815727623329
1976,-0.4085678880864929,-0.565909069234675,-0.2613636016845702,-0.9000600562113832,0.30489737894339963,0.09702922821044951,0.2943717590793682
1977,-0.40815065557306496,-0.555909126455134,-0.27636365890502923,-0.8713352695751582,0.31656138458606686,0.10315525054931662,0.30052893487418686
1978,-0.40049865896051595,-0.5409090692346751,-0.26636362075805653,-0.8420971343386825,0.3407767502921314,0.10967956542968765,0.3063457831431293
1979,-0.389603788202459,-0.520909088308161,-0.2613636016845702,-0.8117708140763853,0.3685291171488869,0.122404899597168,0.31176674142376015
1980,-0.3607046907598319,-0.4859090501611881,-0.23636360168457027,-0.7801721104461763,0.4026980680598302,0.12123659133911135,0.3171485374626215
1981,-0.3079829996282405,-0.430909126455134,-0.1863636493682861,-0.7469694118011134,0.41984287018710525,0.12766386032104504,0.32242347592696063
1982,-0.2692658250982112,-0.38590905016118804,-0.14636363983154288,-0.7129517929911018,0.4360573898811938,0.1467006301879884,0.32789113710492757
1983,-0.2925846880132503,-0.4159090692346751,-0.1713636398315429,-0.6781551490673394,0.41760852610723176,0.16102733612060546,0.33411836920304694
1984,-0.30610683614557455,-0.4209090883081611,-0.19636363983154292,-0.6442646791300917,0.3853274241900851,0.16149093627929678,0.3411885394242021
1985,-0.2849181955510921,-0.38590905016118804,-0.17636365890502925,-0.6119236598887696,0.3972336693094438,0.14948017120361318,0.3488798714268527
1986,-0.2674289529973811,-0.3609090501611881,-0.16636362075805655,-0.5790276772523868,0.4338574792122525,0.1400392532348631,0.35641662830489196
1987,-0.2675323312932796,-0.35590912645513406,-0.16636362075805655,-0.544376350095422,0.4613915786283969,0.13304235458374014,0.3628251159408791
1988,-0.24032619649713705,-0.325909107381647,-0.14636363983154288,-0.508378207488714,0.4877654947234895,0.13409173011779782,0.3685264604384031
1989,-0.2040105646306819,-0.28590905016118795,-0.11136364936828602,-0.471066800741194,0.5223545160611605,0.13099686622619638,0.3738930370922944
1990,-0.18309095556085775,-0.26590906923467517,-0.10136365890502919,-0.431994503054834,0.5670081984631804,0.1410289096832276,0.3791097594613646
1991,-0.16452606374567214,-0.2409090692346747,-0.086363649368286,-0.39058618173634163,0.5977258440036569,0.14657112121582033,0.3850363360995246
1992,-0.188701326196844,-0.25090910738164707,-0.1313636302947997,-0.3475362134981126,0.5557490961628647,0.14287501335144043,0.3927160529155671
1993,-0.1796168153936214,-0.23090912645513373,-0.1263636589050292,-0.3067524378271742,0.4473275962097417,0.13427653312683108,0.401592969829494
1994,-0.15549810582941237,-0.20090910738164736,-0.10636363029479967,-0.2715182276149648,0.46860738129783835,0.1387006568908692,0.411126792970613
1995,-0.1020575826818294,-0.14590908830816107,-0.06136364936828609,-0.23523933000980726,0.5305728406139647,0.16027688026428222,0.42123535756907404
1996,-0.13944633657282057,-0.18090912645513368,-0.10636363029479967,-0.1958115639181586,0.5967403968760473,0.19197035789489747,0.4325794328189758
1997,-0.1368076151067561,-0.1709090883081611,-0.10636363029479967,-0.15287715875708166,0.644162705534444,0.23415210723876956,0.4464241979659178
1998,-0.09964726621454423,-0.1159090692346747,-0.08136363029479976,-0.10734261305774886,0.6778141898441153,0.27669276237487794,0.46275008203625845
1999,-0.07188237363641925,-0.0809091264551337,-0.06136364936828609,-0.059921765145854594,0.705469142155294,0.33993293762207033,0.48105265071445297
2000,-0.04322274381464186,-0.045909088308161095,-0.036363649368286066,-0.010925588606237185,0.7437441030742178,0.40111268043518067,0.5004509884927444
2001,-0.014422828500921137,-0.005909078771417886,-0.01636362075805653,0.040299047303481855,0.7936113083876044,0.458519983291626,0.5196360794084498
2002,0.04990450685674486,0.06909092122858207,0.038636350631714,0.09450580083253321,0.8310921508162576,0.5152145147323608,0.5369621258674684
2003,0.11952950304204757,0.15409091169183897,0.08363637924194345,0.15100353285329923,0.852963908662685,0.5865476766228676,0.5524822802993868
2004,0.18753883188421067,0.22909091169183893,0.14363636970520027,0.20885063371508458,0.8653483910432542,0.6556769838929176,0.5665602528254965
2005,0.2505139047449285,0.2940909212285821,0.2036363601684571,0.2674590047904928,0.8738640391033539,0.7201069870591161,0.579547588813405
2006,0.3268577749078923,0.37909091169183895,0.2736363649368287,0.3265865085126378,0.8811502017838009,0.7830619898438453,0.5918218006741327
2007,0.4076969320123845,0.46409090215509574,0.3536363601684571,0.386156544465021,0.8910555333285005,0.8324653282761574,0.6037585347247898
2008,0.4865355665033513,0.5490909164602105,0.4236363649368287,0.4463388122012517,0.9000499418250834,0.8643368840217589,0.6157386387959818
2009,0.5546272212808782,0.6240909164602105,0.4886363625526429,0.5070773284792878,0.9243837867806682,0.8754323959350585,0.628300735872287
2010,0.6660145530646496,0.7390909110957925,0.5986363600939513,0.5693735183536546,0.9463088857220713,0.872435555458069,0.6418906780165656
2011,0.797527819330042,0.8740909164602105,0.7286363601684571,0.6330869823648271,0.9718671959982105,0.8495473480224611,0.6567536301784571
2012,0.9165590698068791,0.9890909021550958,0.8536363601684571,0.6984761839941782,1.0046912469275084,0.8282065737058577,0.673194477861081
2013,1.020487349683588,1.0890909021550956,0.9636363506317139,0.7660560174159385,1.0327694515771273,0.8079068036877699,0.6908360382516321
2014,1.061065118963068,1.1240909164602106,1.0086363792419435,0.8355333975935124,1.071178260797885,0.7706631223826955,0.7090950287626896
2015,1.1191089803522283,1.1740908926183526,1.0736363410949707,0.9076586321063445,1.1054666739940513,0.7214022833689675,0.7279600223463589
2016,1.1942859823053533,1.2490908926183526,1.1536363601684572,0.9821849289555089,1.1249282584221127,0.6748221339593503,0.747062456251939
2017,1.25936729257757,1.3040909116918389,1.2236363410949709,1.0580766383480593,1.149336787000515,0.6329282929127834,0.7659032637948826
2018,1.2730523759668522,1.3140909021550957,1.2436363697052002,1.1357060575733484,1.185534212068095,0.5857469304755261,0.7843992715191916
2019,1.3214496367767197,1.3049996367767196,1.3378996367767197,1.215964330770835,1.2069274748679948,0.5288850423556015,0.7577249719138468
2020,1.4331107785815083,1.4166607785815082,1.4495607785815083,1.2977809476222617,1.2125341530514406,0.48341043355959723,0.7294667337535305
2021,1.4787376202021343,1.4622876202021342,1.4951876202021344,1.3799803553629857,1.2466294033307712,NaN,NaN
2022,1.5219252353034234,1.5054752353034233,1.5383752353034235,1.4647212457955632,1.2663943849582218,NaN,NaN
2023,1.5741034120990034,1.5576534120990033,1.5905534120990035,1.5509354323159357,1.2860260403878898,NaN,NaN
2024,1.6184183292260754,1.6019683292260753,1.6348683292260755,1.6386244375997776,1.3151800041519384,NaN,NaN
2025,1.6502983936827973,1.6338483936827972,1.6667483936827974,1.7285460999964968,1.3445197184312636,NaN,NaN
