arm,anchor_ssp,anchor_horizon,lambda_rescale,ssp,horizon,med_cm,spread_cm,vs_n0_med,domain
n1p0,ssp245,2300,35.43432769950742,ssp245,2100,5.537063568414178,74.68778525070415,-0.04726582592172868,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp245,2150,11.345245991675446,326.30319694814733,-0.5601189201047791,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp245,2300,132.66478699143067,1388.8969429246101,1.316169807332244,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp585,2100,185.4764899656128,498.47059987993714,148.40346613758692,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp585,2150,1069.4296645486825,1763.080735490844,975.0812134843579,UNVERIFIED
n1p0,ssp245,2300,35.43432769950742,ssp585,2300,5326.378728333783,7165.662844704315,5045.189203957797,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp126,2100,4.401562802914572,2.022877546246719,-0.0016234282447884496,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp126,2150,6.765805629514714,3.249358331449301,-0.004668487891558826,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp126,2300,13.464612100456147,6.556878366354805,-0.0033565885687423247,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp245,2100,5.447488240915625,13.843403259600919,-0.13684115342028136,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp245,2150,10.76541404287822,56.61171326905322,-1.1399508689020053,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp245,2300,40.72289110147028,240.40503072764105,-90.62572608262815,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp585,2100,36.88479179921646,84.74227899684682,-0.18823202880942347,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp585,2150,192.9848931576177,295.939565433908,98.63644209329311,UNVERIFIED
n1p0,ssp585,2100,5.91416885248321,ssp585,2300,950.317979861438,1208.1087628544697,669.1284554854512,UNVERIFIED
n1p0,ssp585,2150,2.5673699059202177,ssp126,2100,4.401562802914572,2.022877546246719,-0.0016234282447884496,ok
n1p0,ssp585,2150,2.5673699059202177,ssp126,2150,6.765805629514714,3.249358331449301,-0.004668487891558826,ok
n1p0,ssp585,2150,2.5673699059202177,ssp126,2300,13.464612100456147,6.5525270581170645,-0.0033565885687423247,ok
n1p0,ssp585,2150,2.5673699059202177,ssp245,2100,5.378997676401426,7.04373694291314,-0.2053317179344809,ok
n1p0,ssp585,2150,2.5673699059202177,ssp245,2150,10.329907308667302,27.146506586849302,-1.5754576031129233,ok
n1p0,ssp585,2150,2.5673699059202177,ssp245,2300,30.870037024151138,110.16655835010569,-100.47858015994728,ok
n1p0,ssp585,2150,2.5673699059202177,ssp585,2100,20.21768855736582,37.87134761598949,-16.855335270660063,ok
n1p0,ssp585,2150,2.5673699059202177,ssp585,2150,94.44388540617015,131.5406157963697,0.09543434184556077,ok
n1p0,ssp585,2150,2.5673699059202177,ssp585,2300,455.5147185845793,546.9800433463733,174.32519420859262,ok
n1p0,ssp585,2300,1.4222216975250228,ssp126,2100,4.401562802914572,2.022877546246719,-0.0016234282447884496,ok
n1p0,ssp585,2300,1.4222216975250228,ssp126,2150,6.765805629514714,3.246999642425653,-0.004668487891558826,ok
n1p0,ssp585,2300,1.4222216975250228,ssp126,2300,13.464612100456147,6.5525270581170645,-0.0033565885687423247,ok
n1p0,ssp585,2300,1.4222216975250228,ssp245,2100,5.333402415712706,4.6729221379510015,-0.2509269786232009,ok
n1p0,ssp585,2300,1.4222216975250228,ssp245,2150,10.108771629210013,16.553876768631245,-1.7965932825702122,ok
n1p0,ssp585,2300,1.4222216975250228,ssp245,2300,28.39065391712684,64.75616450619728,-102.95796326697159,ok
n1p0,ssp585,2300,1.4222216975250228,ssp585,2100,14.510642975978884,21.987783386399066,-22.562380852047,ok
n1p0,ssp585,2300,1.4222216975250228,ssp585,2150,60.546011970984516,76.98874826541744,-33.80243909334008,ok
n1p0,ssp585,2300,1.4222216975250228,ssp585,2300,285.0051251400915,320.9888117714854,3.8156007641047722,ok
n2p0,ssp245,2300,1240.280130329235,ssp126,2100,4.401562802914572,2.022877546246719,-0.0016234282447884496,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp126,2150,6.765805629514714,3.249358331449301,-0.004668487891558826,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp126,2300,13.464612100456147,6.556878366354805,-0.0033565885687423247,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp245,2100,5.500704308995703,199.2718135829908,-0.08362508534020385,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp245,2150,11.077965877143736,1512.250053292531,-0.827399034636489,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp245,2300,128.91754941994878,8672.414204753873,-2.4310677641496454,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp585,2100,1442.995618210174,6246.287407395349,1405.922594382148,UNVERIFIED
n2p0,ssp245,2300,1240.280130329235,ssp585,2150,18383.69687167195,43953.241186543215,18289.348420607625,IMPOSSIBLE
n2p0,ssp245,2300,1240.280130329235,ssp585,2300,153210.19991299848,286279.39025065425,152929.0103886225,IMPOSSIBLE
n2p0,ssp585,2100,25.743645457763883,ssp126,2100,4.401562802914572,2.0223457538258782,-0.0016234282447884496,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp126,2150,6.765805629514714,3.246999642425653,-0.004668487891558826,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp126,2300,13.464612100456147,6.5525270581170645,-0.0033565885687423247,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp245,2100,5.300616025465249,5.784142500616901,-0.28371336887065723,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp245,2150,9.987498900045654,33.54351340170654,-1.9178660117345707,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp245,2300,28.026842743525364,188.96257088401572,-103.32177444057307,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp585,2100,36.96440158352169,131.62254940218872,-0.10862224450418978,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp585,2150,400.59768936641916,920.6990309034579,306.24923830209457,UNVERIFIED
n2p0,ssp585,2100,25.743645457763883,ssp585,2300,3257.573792106412,5929.288241512805,2976.384267730425,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp126,2100,4.401562802914572,2.0223457538258782,-0.0016234282447884496,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp126,2150,6.765805629514714,3.246999642425653,-0.004668487891558826,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp126,2300,13.464612100456147,6.5525270581170645,-0.0033565885687423247,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp245,2100,5.2070188263557595,3.25409045980177,-0.37731056798014695,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp245,2150,9.606378870587188,9.94378511258912,-2.2989860411930376,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp245,2300,24.615721236663205,45.74685116170815,-106.73289594743522,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp585,2100,13.333756800551395,28.569692030101308,-23.739267027474487,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp585,2150,94.54819673895312,189.3764965100941,0.19974567462853088,UNVERIFIED
n2p0,ssp585,2150,5.127809924285953,ssp585,2300,702.5964340874151,1199.297218193601,421.4069097114284,UNVERIFIED
n2p0,ssp585,2300,1.7033741366231476,ssp126,2100,4.401562802914572,2.0223457538258782,-0.0016234282447884496,ok
n2p0,ssp585,2300,1.7033741366231476,ssp126,2150,6.765805629514714,3.246999642425653,-0.004668487891558826,ok
n2p0,ssp585,2300,1.7033741366231476,ssp126,2300,13.464612100456147,6.5525270581170645,-0.0033565885687423247,ok
n2p0,ssp585,2300,1.7033741366231476,ssp245,2100,5.177798177626054,2.9951845689916845,-0.40653121670985204,ok
n2p0,ssp585,2300,1.7033741366231476,ssp245,2150,9.322415700765891,6.880044181841152,-2.582949211014334,ok
n2p0,ssp585,2300,1.7033741366231476,ssp245,2300,23.451269117838276,23.11901150630034,-107.89734806626015,ok
n2p0,ssp585,2300,1.7033741366231476,ssp585,2100,9.469042793703021,11.705960418843677,-27.60398103432286,ok
n2p0,ssp585,2300,1.7033741366231476,ssp585,2150,44.036056526020104,67.85362087124,-50.31239453830449,ok
n2p0,ssp585,2300,1.7033741366231476,ssp585,2300,282.8663209435844,428.2641999911708,1.6767965675977052,ok
