quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,5.167540326403371,4.800823408443337,5.6763846480470495,9.603603937271238,0.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9153156258791695,0.021803162392241216,1.2937130188013204,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,4.515103813990768,4.2607266621894695,4.861858820547904,8.53488568876731,0.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.7997224256192148,0.011115979907201942,1.149744700183536,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,3.845124313117503,3.6784410028777423,4.033318142954831,7.984555214979421,0.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.6796303830530868,0.005612675169323056,1.0756090211995908,0.0,False,False,True,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,8.247815785497934,7.322173149395046,9.531621773474953,15.814945459931078,1.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4636160599163826,0.08391657761883964,2.130450294158962,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,7.611886238814277,6.797379983772576,8.730030246891028,11.783920176495357,1.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3504992594536704,0.04360632478448243,1.5874260376026403,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,6.313832894632302,5.739368782685217,7.109327248733262,9.646483679487503,1.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.1193128589337613,0.022231959814403884,1.2994894003670712,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,4.962271762210234,4.630602003026893,5.419068389988524,8.545822731911725,1.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8791287738015052,0.011225350338646111,1.1512180423991814,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,11.02164875930908,9.589834438998881,12.998836863938775,20.010774340873063,1.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.9553580937222397,0.12587486642825946,2.6956754412384427,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,10.059724439488171,8.808177320435702,11.800363523335012,13.96423641571948,1.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.7856828930281714,0.06540948717672365,1.8811390564039607,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,8.109219560657397,7.206452476060017,9.35735410049109,10.758081670207698,1.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4389032922483076,0.033347939721605824,1.449234100550607,0.0,False,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,6.085778797887598,5.551570868094418,6.823481747816102,9.107090248844033,1.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0786271645499237,0.016838025507969166,1.2268270635987724,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,13.790973465129724,11.848603943775695,16.473420485164464,24.206603221815044,2.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.4471001275280972,0.16783315523767928,3.2609005883179236,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,12.514201377568433,10.808557768414424,14.87509792537787,16.144552654943602,2.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.2208665266026726,0.08721264956896486,2.174852075205281,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,9.906862181054015,8.682155292891766,11.610147276415141,11.869679660927893,2.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.758493725562854,0.04446391962880777,1.598978800734143,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,7.207656343502355,6.467367545787399,8.217614514458061,9.668357765776337,2.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.2781255552983422,0.022450700677292223,1.302436084798363,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,16.559193117290008,14.10045602861186,19.944598618539995,28.402432102757025,2.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.9388421613339544,0.2097914440470991,3.8261257353974045,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,14.968545672749649,12.802943435582693,17.9470009375082,18.32486889416772,2.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.656050160177174,0.10901581196120608,2.468565094006601,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,11.710408123005552,10.153972614660983,13.86517329692471,12.981277651648089,2.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.0780841588774006,0.05557989953600971,1.748723500917679,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,8.327051030109951,7.386763915252245,9.630401552095924,10.229625282708643,2.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4776239460467606,0.02806337584661528,1.3780451059979537,0.0005,False,True,False,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,5.46814625253917,5.045217495137039,6.054816652533755,7.423287698047115,0.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9688257552756585,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,5.105415110111878,4.748968680397348,5.599067799271058,7.423287698047115,0.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9044232034640678,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,4.434276743436175,4.192768267010605,4.761814967534204,7.423287698047115,0.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.7852358578947025,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,3.7789700315077455,3.6179896017503417,3.953022127665339,7.423287698047115,0.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.6678317990237113,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,8.213334806406204,7.293625318714467,9.488630630422765,7.423287698047115,1.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4575195182466485,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,7.49051327179458,6.698154181267429,8.574615733036534,7.423287698047115,1.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3287144146234673,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,6.150568321743125,5.604744072980409,6.904322035317318,7.423287698047115,1.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0903397234847365,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,4.830975291409349,4.521196090510717,5.254337814462111,7.423287698047115,1.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8555316057427542,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,10.970529815566456,9.547795091135901,12.934338161523318,7.423287698047115,1.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.9462132812176385,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,9.87618250898371,8.656746758864173,11.57175236255091,7.423287698047115,1.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.7530056257828668,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,7.867009558330411,7.007180835674758,9.050614587299796,7.423287698047115,1.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3954435890747707,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,5.887545654259936,5.3898304342680055,6.57474343314245,7.423287698047115,1.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.0432314124617972,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,13.721910657923111,11.793064502672726,16.387886271032915,7.423287698047115,2.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.4349070441886287,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,12.2687838668527,10.607939658263353,14.566921899562344,7.423287698047115,2.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.1772968369422667,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,9.582495247968067,8.413878502215672,11.202252432801934,7.423287698047115,2.0,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.7005474546648047,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,6.942320290822854,6.249959194312376,7.888322528125937,7.423287698047115,2.0,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.2309312191808401,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,16.473573198925084,14.030986546954049,19.836936118787897,7.423287698047115,2.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.9236008071596187,0.0,1.0,0.0005,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,14.66143469847096,12.553474617266946,17.562289247145312,7.423287698047115,2.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.601588048101666,0.0,1.0,0.0005,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,11.305250978335202,9.82103594742693,13.353556859565504,7.423287698047115,2.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,2.005651320254839,0.0,1.0,0.0005,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,,,,,,,,,,7.995554951987591,7.113497837103539,9.21439789026142,7.423287698047115,2.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.418631025899883,0.0,1.0,0.0005,False,True,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,5.456773685560684,5.0354250722541,6.0398445007799255,7.423287698047115,0.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9667339108081985,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,5.067919672313707,4.716986371033367,5.55186798716324,7.423287698047115,0.5,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.8978124374412693,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,4.388033293115746,4.1537300871678,4.70365203716106,7.423287698047115,0.5,200.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.7769631670106569,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,3.742493552881684,3.5858068767468185,3.909947197408383,7.423287698047115,0.5,400.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.6612952889563914,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,8.189915676746985,7.274034663913035,9.459128401252428,7.423287698047115,1.0,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.4533358293117287,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,5.0,True,,,,,,,,,,,7.417039799250162,6.63793263102012,8.480461715458338,7.423287698047115,1.0,100.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,1.3154928825778702,0.0,1.0,0.0,False,False,True,False
