year,ssp_label,component,p05,p50,p95
2070,SSP1-2.6,gis,3.400022479095888,4.5565076972211855,6.126963907696754
2070,SSP1-2.6,te,9.881830141572596,10.682913639004905,11.411455555793815
2070,SSP1-2.6,lws,1.549671952824712,1.549671952824712,1.549671952824712
2080,SSP1-2.6,ais,4.444815861973816,4.820705961521169,32.51621499209738
2080,SSP1-2.6,gsic,4.670210846992839,5.077622530597914,5.79200762265473
2080,SSP1-2.6,gis,3.9315648087666593,5.314437202211286,7.204002144994062
2080,SSP1-2.6,te,11.05483314718952,11.951007668933714,12.766029705889444
2080,SSP1-2.6,lws,1.8514719656612992,1.8514719656612992,1.8514719656612992
2090,SSP1-2.6,ais,5.131763833312596,5.574157904611516,44.69264894939866
2090,SSP1-2.6,gsic,5.077765017190757,5.523580110081188,6.321906683770012
2090,SSP1-2.6,gis,4.457747148975186,6.060655942004371,8.254935867028212
2090,SSP1-2.6,te,12.092977060821491,13.073310078032195,13.964869694151353
2090,SSP1-2.6,lws,2.1261555053725143,2.1261555053725143,2.1261555053725143
2100,SSP1-2.6,ais,5.808933587191941,6.3134184552808055,46.28606747442801
2100,SSP1-2.6,gsic,5.428661794655591,5.919732906476639,6.782799745940962
2100,SSP1-2.6,gis,4.978171013727306,6.791969080531611,9.28254221947001
2100,SSP1-2.6,te,13.028800998335381,14.084997808194233,15.045551421927765
2100,SSP1-2.6,lws,2.4965429746524026,2.4965429746524026,2.4965429746524026
2000,SSP2-4.5,ais,-0.17658596720474934,-0.1653777945122093,-0.15576036718501676
2000,SSP2-4.5,gsic,-0.371227949538791,-0.33809378305117155,-0.3122446668359534
2000,SSP2-4.5,gis,-0.30886421709498274,-0.2581121142758658,-0.21466509527132266
2000,SSP2-4.5,te,-0.6641222549530192,-0.6217226768939361,-0.5751013343211828
2000,SSP2-4.5,lws,0.0,0.0,0.0
2010,SSP2-4.5,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP2-4.5,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP2-4.5,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP2-4.5,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP2-4.5,lws,0.0,0.0,0.0
2020,SSP2-4.5,ais,0.5969400826463651,0.6348783203541775,0.6781862672133807
2020,SSP2-4.5,gsic,1.0633649351075638,1.151835480229274,1.2676754688657084
2020,SSP2-4.5,gis,0.7494417300300829,0.9156547692958039,1.1145825033787289
2020,SSP2-4.5,te,2.1095430798455617,2.280555951365926,2.43608286661554
2020,SSP2-4.5,lws,0.08806514076669698,0.08806514076669698,0.08806514076669698
2030,SSP2-4.5,ais,1.107262997079834,1.1797008886214817,1.260001120069965
2030,SSP2-4.5,gsic,1.7609584403117613,1.913921936151851,2.1263385912224795
2030,SSP2-4.5,gis,1.2587422262822388,1.5733385538647227,1.9671932567722914
2030,SSP2-4.5,te,3.6933425727241693,3.992748223599148,4.265041395890238
2030,SSP2-4.5,lws,0.4125050468020914,0.4125050468020914,0.4125050468020914
2040,SSP2-4.5,ais,1.6897028436285986,1.8063286009685156,1.9328655283621405
2040,SSP2-4.5,gsic,2.4376616126826582,2.6521850819807846,2.9696361637730084
2040,SSP2-4.5,gis,1.7819070532457006,2.277277372121103,2.9160125466898505
2040,SSP2-4.5,te,5.3798959513817035,5.816024259884376,6.212659260930928
2040,SSP2-4.5,lws,0.7235998286409084,0.7235998286409084,0.7235998286409084
2050,SSP2-4.5,ais,2.3619920853942955,2.5427103115181398,5.155624602939796
2050,SSP2-4.5,gsic,3.088682856012203,3.364075632531679,3.7917566481738567
2050,SSP2-4.5,gis,2.3221307153195934,3.0311749642320813,3.968058538774489
2050,SSP2-4.5,te,7.231664027856254,7.8179083397594535,8.351065689860325
2050,SSP2-4.5,lws,1.108488706550316,1.108488706550316,1.108488706550316
2060,SSP2-4.5,ais,3.1363318187995533,3.422993934504558,18.667865331622167
2060,SSP2-4.5,gsic,3.7048800632386456,4.039079491460702,4.589485558911494
2060,SSP2-4.5,gis,2.87735540836228,3.8362664792969596,5.137799157664609
2060,SSP2-4.5,te,9.171386862138322,9.914877345031535,10.59104154421615
2060,SSP2-4.5,lws,1.4113172047407936,1.4113172047407936,1.4113172047407936
2070,SSP2-4.5,ais,4.020516195095286,4.564024228360185,32.23474279632919
2070,SSP2-4.5,gsic,4.279607559873607,4.666684598696644,5.338126473593936
2070,SSP2-4.5,gis,3.4386297346281864,4.681913048497894,6.401986061774182
2070,SSP2-4.5,te,11.157734233778589,12.062250566822255,12.884859027931121
2070,SSP2-4.5,lws,1.7302758472532214,1.7302758472532214,1.7302758472532214
2080,SSP2-4.5,ais,5.013373323415978,15.555824498390077,45.86486631315274
2080,SSP2-4.5,gsic,4.8119934542578955,5.248012362082376,6.053234217209898
2080,SSP2-4.5,gis,4.013355340258604,5.5675988219660395,7.756160192030197
2080,SSP2-4.5,te,13.146116600101784,14.21182375280403,15.18102650664173
2080,SSP2-4.5,lws,2.0282825633465618,2.0282825633465618,2.0282825633465618
2090,SSP2-4.5,ais,6.119597351791775,29.302945613921455,59.53267930184107
2090,SSP2-4.5,gsic,5.296297346062503,5.781262074178182,6.708111851584158
2090,SSP2-4.5,gis,4.600341311259817,6.482498130175133,9.17096843505902
2090,SSP2-4.5,te,15.134751402667195,16.361669839102476,17.47748549663289
2090,SSP2-4.5,lws,2.1982357451673185,2.1982357451673185,2.1982357451673185
