name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.5770309979565847,1.036119018783646,1.6878958405176818,1.0694447024146563,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gis_slow_ell,12,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-6.66299595171732,-5.731396066736808,-5.015108842637582,-5.767060766809773,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,13,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.04630760485374399,0.44649501767065647,0.922584277881103,0.4619029348039885,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,14,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,1.5700120023050166,1.8996268094898885,2.23169152945467,1.9017408883764853,Southern-Greenland/global warming ratio,–
gis_s_high,15,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-0.7754086681382537,-0.5539401492765236,-0.3604881271959963,-0.5589140479654734,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,16,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.148262352230276,0.16619574378443905,0.1852517826597966,0.1664756272111014,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,17,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.039807223565880775,0.06819618889842405,0.09744275396316544,0.06826013620779403,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,18,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.2015554564715766,0.7507506601015558,2.5201168135240284,0.9809283093307207,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,19,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-3.086970656245358,-0.08571068015682776,0.72597146572188,-0.473001978499285,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,20,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-3.00011799974591,-2.784897168211473,-2.5692946794808753,-2.7847951068462087,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,21,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.08925110466455298,0.13039380052191019,0.17534411611025608,0.13101453713826605,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,22,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.11669295335092834,0.17298685763987937,0.28764504793346707,0.1840161287795348,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,23,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-3.8716080281795593,-2.7224548202158143,-0.931314947384483,-2.60667043330597,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,24,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-3.6837605728390277,-3.4704762601182253,-3.247800266860774,-3.4689436922433976,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,25,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.12091911662821234,0.15089476992647777,0.18285357783648182,0.1513315221852086,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,26,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.2521499311079448,0.3350402511270363,0.4577666618446887,0.3421206802652923,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,27,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-2.172173745586497,-1.5250154633471111,-0.9311769380294866,-1.5335185302463272,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,28,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-2.7622046809205516,-2.608481281931838,-2.4504566078844388,-2.608729479448146,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,29,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.6003791954993453,0.7264595946205703,0.8592511816481113,0.727419506013492,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,30,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,2.060827246055077,2.6139043507876725,3.192544397081806,2.6187231702767577,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,31,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,1.3459525627936493,1.4665831878355395,1.655518648068212,1.4788948542839633,"Regional/global warming ratio, FASTG",–
gic_u_unch,32,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,21.021925944640525,33.020692016892625,40.74595543320617,32.27816668819787,Uncharted-ice content of the Frederikse glacier target,mm SLE
gic_u_pre,33,likelihood_only,12.5,1000.0,0.0,25.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.5690827598101218,6.671950785519332,18.917067575283276,7.819247208780398,Pre-1901 uncharted-ice set-aside (ledger),mm SLE
gic_s_r5,34,likelihood_only,2.5,2.0,0.0,8.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.3744987962674013,2.5320313897504936,5.4544629197074155,2.677897754170389,RGI 05 share of the 19th-century glacier datum (ledger),mm SLE
d2_steric_1,35,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.010885613606782148,0.2124073694714564,0.3951350656405456,0.20873662193582604,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,36,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-0.054409646393015064,0.06573498771072635,0.1941767166917924,0.06775228867154191,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_lambda,37,antarctic_icesheet,0.010340416,0.003575958,0.0017231186,0.02952429,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.004615070634622515,0.010340217180973551,0.01633520343543031,0.010417967411823676,Fast-dynamics disintegration rate λ,m yr⁻¹
antarctic_gamma,38,antarctic_icesheet,2.7706168,0.9376221,0.5000172,4.2499385,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,1.2930063694363847,2.7148219170568506,3.9690772669505465,2.6844981668427184,Power of ice-flow speed on water depth γ,–
antarctic_kappa,39,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.034005329495675966,0.0570361858620327,0.0788937321809018,0.0568661524386052,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,40,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.8003651583832249,1.087984851255405,1.3746232314543336,1.0874931519573015,Antarctic/global warming ratio,–
ais_mu,41,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,8.420517505902332,11.055232753486338,13.19478396684748,10.97599375401535,Profile parameter µ,m¹ᐟ²
ais_bedheight0,42,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,747.8268333027502,779.1774656130381,809.9991241964408,779.0307787730843,Bed height at the continent centre b₀,m
ais_slope,43,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.000580254168748425,0.0006226348990155,0.0006821150146082149,0.0006257542244532647,Bed slope,–
ais_iceflow0,44,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.6898511688962913,1.1268939191107439,1.608615694881857,1.1350830736526203,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,45,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-1.7890258528852976,-1.6624432532763886,-1.4956730352837624,-1.654998141176848,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,46,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-21.915734071371624,-17.79468560110903,-15.087401449718808,-18.180037861194613,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,47,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,55.24164675322812,85.52569394065746,121.91620826297002,86.6171509096635,Runoff-line slope c,m °C⁻¹
sd_ais,48,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.01864791631692335,0.021565676365307797,0.02491950793154065,0.021650194169401504,"AR(1) innovation sd, Antarctica",cm
rho_ais,49,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.736735588926578,0.8879485270617204,0.9747755462199347,0.876300747648904,"AR(1) autocorrelation, Antarctica",–
sd_gsic,50,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.012185697995797645,0.0167536674352289,0.022304414772420306,0.01695003679124269,"AR(1) innovation sd, glaciers",cm
