post_idx,ais_1850,ais_1900,ais_2018,ais_2024,gis_1850,gis_1900,gis_2018,gis_2024,gsic_1850,gsic_1900,gsic_2018,gsic_2024,te_1850,te_1900,te_2018,te_2024,lws_1850,lws_1900,lws_2018,lws_2024,total_1850,total_1900,total_2018,total_2024
27,-13.590301183000806,-6.848088328119884,0.6926782363434247,0.8247127698733259,-0.26146383984491095,-0.3374249812083008,0.7952637261804618,1.3075724163027935,-3.45722775559911,-3.077320807159639,1.3740503001690094,1.9754679604714762,-1.4535830731329524,-1.604245897461009,1.0341144054925466,1.1889088265957797,0.0,0.0,0.0,0.08491570176669638,-18.76257585157778,-11.867080013948835,3.8961066681854395,5.381577675010068
28,-9.032902907201855,-4.335949656330163,0.5545161764650364,0.6971908536537508,-0.466609480842628,-0.5085498263706967,0.6267359931486638,0.998472958771135,-3.5976131473342403,-3.1976977646110094,1.4039869145867245,2.013904988902803,-1.5120986065434592,-1.6688265231896933,1.0757437813179407,1.2367696165640887,0.0,0.0,0.0,0.08491570176669638,-14.609224141922184,-9.711023770501564,3.660982865518367,5.031254119658471
29,-1.320682505010081,0.03526038025585265,0.6854238613537733,1.0577601307593998,0.831452153375789,0.38910335673953966,0.8386596178429961,1.433716898652193,-3.4790724701535156,-3.096752364321535,1.382856328813782,1.9881970742963877,-1.395495597945647,-1.5401376978778536,0.9927895607140392,1.1413981522894225,0.0,0.0,0.0,0.08491570176669638,-5.363798419733453,-4.212526325203996,3.8997293687245906,5.7059879577640995
30,-0.9595334789226793,-3.2055448665038955,0.4759244793193451,0.6142460084308854,-0.4156904688308316,-0.5391210958705095,0.6747982803907426,1.0644452017653627,-3.5037611092649494,-3.1168605032556376,1.381684554362662,1.9844536841735052,-1.6693454235717338,-1.8423718580034103,1.187612997266025,1.3653843013210234,0.0,0.0,0.0,0.08491570176669638,-6.548330480590195,-8.703898323633453,3.7200203113387733,5.113444897457474
31,-2.408157815328825,-4.718060133485791,0.6577591360490964,0.8396544534410411,-0.7145577060725827,-0.6797849817408164,0.8141812167028917,1.3073054610139856,-3.4772540782605663,-3.0871734334756455,1.3361426702819077,1.9126044943912541,-1.3664947093122215,-1.5081308883099485,0.9721576221188317,1.117677861985623,0.0,0.0,0.0,0.08491570176669638,-7.966464308974196,-9.993149437012201,3.780240645152727,5.262157972598599
32,-2.606603947649111,-4.579703262634216,0.6408536671071663,0.8187727339880269,0.13623915846219248,0.07803771896313094,0.8037918401762489,1.3870682598810191,-3.4539234254365656,-3.074445414985959,1.3730792640630152,1.974125664722208,-1.4539570286575634,-1.6046586132027356,1.0343804465617914,1.1892146907958927,0.0,0.0,0.0,0.08491570176669638,-7.378245243281048,-9.180769571859779,3.852105217908222,5.454097051153845
33,2.138378382269631,-0.6051478905110708,0.6594011796973831,0.9861611014457816,-0.7040256009675616,-0.6597488731824086,0.42066388372887786,0.6347558161444944,-3.585847838567681,-3.188107422442422,1.4027858791819732,2.0124416508897465,-1.673054568557078,-1.8464654531585887,1.1902517733582223,1.368418070283877,0.0,0.0,0.0,0.08491570176669638,-3.8245496258226903,-6.29946963929449,3.6731027159664547,5.086692340530595
34,-2.7167515450152333,-3.980828011368398,0.6481447871126478,0.8509588419484793,-0.15057174973200915,-0.06947234795884327,0.5770332467659678,0.9964842394720286,-3.682222774083414,-3.2722077247140677,1.4328756773485822,2.0545461082710785,-1.3826722922468238,-1.5259852659051245,0.9836667486819719,1.1309097656170284,0.0,0.0,0.0,0.08491570176669638,-7.9322183610774815,-8.848493349946434,3.641720459909169,5.117814657075311
35,-2.344290024521259,-3.5643596958424784,0.4743602051803242,0.5996435483010765,-0.27126919440618735,-0.07826650329887386,0.7464903953962043,1.3024281243179558,-3.746059755282291,-3.3338932276413087,1.4859578778887799,2.1358561306471,-1.6506832879996873,-1.82177540570379,1.1743362994363522,1.3501202423794747,0.0,0.0,0.0,0.08491570176669638,-8.012302262209426,-8.798294832486452,3.8811447779016612,5.472963747412303
36,-9.013202697509767,-6.494482001531998,0.784434681222923,0.9750706624288341,-0.1760519598541066,-0.03644914426974566,1.0007856450335417,1.7387578056545117,-3.3897013038293893,-3.009728159001135,1.303894749313625,1.8666500801665111,-1.5864042721050748,-1.750833916739209,1.1286066417813365,1.2975454079757747,0.0,0.0,0.0,0.08491570176669638,-14.165360233298335,-11.291493221542087,4.217721717351427,5.96293965799233
37,-5.896617843612473,-2.5430772356639375,0.4817218806031809,0.6448376054926208,0.28508650833929394,0.3761074962819855,0.7689564411058392,1.3923180842363436,-3.2884870695599324,-2.926211438491745,1.3021475667724391,1.8713046875321733,-1.4542328707551593,-1.6049630461323663,1.0345766873491518,1.189440306456009,0.0,0.0,0.0,0.08491570176669638,-10.354251275588272,-6.6981442240060645,3.5874025758306103,5.182816385483843
38,-2.299415564709921,-3.9879981690580157,0.7020587420827673,1.059894360259761,0.42996794072989175,-0.2931137727205879,0.7652863033203339,1.1652246128768695,-3.8877407928050167,-3.4485909196529887,1.4753352113471716,2.108089968505035,-1.538933544008362,-1.698442882331732,1.0948348094923004,1.258718340791052,0.0,0.0,0.0,0.08491570176669638,-7.296121960793409,-9.428145743763325,4.037515066242572,5.676842984199412
