scenario,component,module,year,med,p05,p17,p83,p95,n,unit
ssp245,ais,emuAIS,2030,1.1430643558502198,0.6088696360588075,0.8221048641204834,1.6779353351593018,1.9511194610595701,200,cm rel 2005
ssp245,ais,emuAIS,2040,1.8406020164489747,0.7012197756767273,1.2103419113159182,2.6043492279052733,3.001856107711792,200,cm rel 2005
ssp245,ais,emuAIS,2050,2.3989249229431153,0.9121412611007692,1.476055088043213,3.4787088050842288,4.2172670364379865,200,cm rel 2005
ssp245,ais,emuAIS,2060,3.2081476211547852,0.12040296494960792,1.5786125974655156,4.6229306411743165,6.377976322174072,200,cm rel 2005
ssp245,ais,emuAIS,2070,4.284778022766114,0.0415393458306791,1.8046278343200683,6.3456874923706055,8.134903945922845,200,cm rel 2005
ssp245,ais,emuAIS,2080,4.519706916809082,0.3305025038868193,1.7151295661926271,7.7271097564697255,10.275039710998534,200,cm rel 2005
ssp245,ais,emuAIS,2090,6.462435340881348,-0.2678945803642271,2.7360352668762236,10.220304924011229,13.661668853759764,200,cm rel 2005
ssp245,ais,emuAIS,2100,9.068058395385743,-1.9027478599548338,2.6231082859039323,14.098964096069334,18.981904830932617,200,cm rel 2005
ssp245,ais,bamber19,2020,0.5142117738723755,-0.2596606719493866,0.13286535644531253,1.065153447151184,1.8780492305755603,200,cm rel 2005
ssp245,ais,bamber19,2030,0.9478903770446778,-2.133404674530029,-0.6469625291824341,3.578497409820556,7.670293045043945,200,cm rel 2005
ssp245,ais,bamber19,2040,1.8349302291870118,-3.4870074653625487,-1.2900785026550292,6.642137565612793,15.574337921142561,200,cm rel 2005
ssp245,ais,bamber19,2050,3.2029998779296878,-4.334800071716309,-0.9528399696350098,9.54280017852783,23.225499725341795,200,cm rel 2005
ssp245,ais,bamber19,2060,5.229983520507814,-3.0883883571624757,-0.33257001328468266,13.525373474121091,30.25011474609373,200,cm rel 2005
ssp245,ais,bamber19,2070,7.4659774780273445,-2.402181510925293,-0.08949397909641262,21.64123979187011,40.934520721435526,200,cm rel 2005
ssp245,ais,bamber19,2080,9.072482681274415,-4.7524251556396475,0.15875649118423518,30.932221832275392,59.119103698730456,200,cm rel 2005
ssp245,ais,bamber19,2090,11.335797500610353,-7.8247698974609365,0.28730980068445433,40.658446502685514,76.27734771728511,200,cm rel 2005
ssp245,ais,bamber19,2100,13.709166717529296,-9.411333122253417,-0.20053332817554254,49.85356707763672,100.45716491699216,200,cm rel 2005
ssp245,ais,bamber19,2110,15.812757873535157,-10.829471397399903,-0.33519669079780506,58.63555255126952,120.54995117187487,200,cm rel 2005
ssp245,ais,bamber19,2120,18.250634765625,-11.60643039703369,1.2703244266510054,69.35830560302733,132.2799786376949,200,cm rel 2005
ssp245,ais,bamber19,2130,21.80842056274414,-15.281362533569336,1.4014330043792727,79.02759252929687,155.89264465331996,200,cm rel 2005
ssp245,ais,bamber19,2140,24.492616271972658,-13.38633773803711,1.5132262744903606,83.01870611572262,194.27765930175772,200,cm rel 2005
ssp245,ais,bamber19,2150,25.19712142944336,-12.661749687194822,2.3493641252517774,84.7721173095703,215.73226562499968,200,cm rel 2005
ssp245,te,tlm,2020,2.270271396636963,1.71063551902771,1.9362221298217774,2.6217568130493167,2.978650722503662,200,cm rel 2005
ssp245,te,tlm,2030,4.009632301330567,3.0410208797454836,3.3792313003540038,4.704545822143555,5.334444103240966,200,cm rel 2005
ssp245,te,tlm,2040,5.860888099670411,4.458292350769042,4.994760375976563,6.948357116699219,7.9730747604370125,200,cm rel 2005
ssp245,te,tlm,2050,7.8804870605468755,6.014140434265137,6.628258071899415,9.418817001342774,10.824280815124508,200,cm rel 2005
ssp245,te,tlm,2060,10.023055648803712,7.5267293167114255,8.333724914550782,11.998167510986327,13.84174240112304,200,cm rel 2005
ssp245,te,tlm,2070,12.23141860961914,8.988729629516602,10.095376930236817,14.706338745117186,16.999396438598627,200,cm rel 2005
ssp245,te,tlm,2080,14.45010986328125,10.572687301635742,11.812465492248535,17.44310107421875,20.323622817993158,200,cm rel 2005
ssp245,te,tlm,2090,16.676963806152344,11.9203715133667,13.667720993041995,20.11779397583008,23.692379760742178,200,cm rel 2005
ssp245,te,tlm,2100,18.838010406494142,13.283198394775392,15.368673248291017,22.66759866333008,27.01516052246093,200,cm rel 2005
ssp245,te,tlm,2110,20.873662567138673,14.51821243286133,16.976380172729492,25.26952200317383,30.56826644897461,200,cm rel 2005
ssp245,te,tlm,2120,22.885945892333986,15.674534606933594,18.525713516235353,27.86684362792969,33.57052703857421,200,cm rel 2005
ssp245,te,tlm,2130,24.87090530395508,16.786195068359376,20.083814910888673,30.439597747802736,36.67055709838867,200,cm rel 2005
ssp245,te,tlm,2140,26.82172088623047,17.817141036987305,21.50681285095215,32.960763458251954,39.739294891357424,200,cm rel 2005
ssp245,te,tlm,2150,28.643949890136717,18.745019149780273,22.82690203857422,35.29216430664062,42.66731338500977,200,cm rel 2005
ssp245,lws,ssp-lws,2005,0.0,0.0,0.0,0.0,0.0,200,cm rel 2005
ssp245,lws,ssp-lws,2020,0.27536599636077885,-0.03739784955978393,0.061769533932209075,0.4356779508590697,0.5688996958732604,200,cm rel 2005
ssp245,lws,ssp-lws,2030,0.3553628921508789,-0.23787984728813172,0.023914834007620876,0.6525171766281127,0.9049233388900757,200,cm rel 2005
