year,incumbent_hindcast_cm,stock_hindcast_cm,A_hindcast_cm,B_hindcast_cm,A+B_hindcast_cm,A+B'_hindcast_cm,A+B+C_hindcast_cm,A+B'+C_hindcast_cm,A+B+C+D_hindcast_cm,A+B'+C+D_hindcast_cm,A+B'+C+D2_hindcast_cm
1871,-5.42309532,-13.0867282,-4.87066517,-11.5993776,-5.04328307,-6.26846862,-2.71481442,-3.19340237,-4.76974919,-3.10666587,-1.84049645
1872,-5.38235703,-12.632893,-4.8272149,-11.2010421,-4.99474312,-6.18061835,-2.69729691,-3.17980742,-4.69728413,-3.09813678,-1.82307818
1873,-5.34149966,-12.1905146,-4.74439448,-10.8110199,-4.90978,-6.06503022,-2.67947186,-3.14943749,-4.62481906,-3.06975198,-1.78220024
1874,-5.30052473,-11.7595947,-4.71609298,-10.4294052,-4.87585355,-5.99142056,-2.66134428,-3.14309305,-4.59693442,-3.06789341,-1.77555415
1875,-5.25980332,-11.3544075,-4.69221609,-10.0756569,-4.84637638,-5.9223635,-2.64371881,-3.13915521,-4.58443395,-3.06697853,-1.77244728
1876,-5.21905518,-10.9628991,-4.644944,-9.73375641,-4.79497591,-5.83499239,-2.62598694,-3.12297713,-4.51196889,-3.05536054,-1.75172332
1877,-5.1782978,-10.5852966,-4.61019671,-9.40418499,-4.75560026,-5.75825957,-2.60818676,-3.11279906,-4.46350136,-3.05080411,-1.7396208
1878,-5.13750491,-10.2202193,-4.57371094,-9.08523162,-4.71476795,-5.6808958,-2.59026158,-3.10157557,-4.40939063,-3.04499424,-1.7260765
1879,-5.09684311,-9.87296037,-4.50443569,-8.78437081,-4.64309002,-5.58037374,-2.57257343,-3.07516408,-4.33692557,-3.02133054,-1.69166203
1880,-5.05614601,-9.53714243,-4.45756339,-8.49304325,-4.59268469,-5.4967059,-2.55476023,-3.05830801,-4.2644605,-3.0088913,-1.6705136
1881,-5.01558673,-9.21794079,-4.42144771,-8.21862037,-4.55270149,-5.42204247,-2.53719971,-3.046637,-4.21322539,-3.00261228,-1.65663389
1882,-4.97495445,-8.90800811,-4.40552334,-7.95110016,-4.53138925,-5.36505621,-2.51943169,-3.04663056,-4.21312538,-3.00261215,-1.65663389
1883,-4.9343326,-8.60965716,-4.40552334,-7.69386813,-4.52041319,-5.33910797,-2.50163835,-3.04662411,-4.21312528,-3.00261203,-1.65663389
1884,-4.8936838,-8.32138442,-4.36529015,-7.4449917,-4.47697957,-5.26302508,-2.4837386,-3.0325889,-4.1490811,-2.99348175,-1.63956212
1885,-4.85371719,-8.06263511,-4.36529015,-7.23220675,-4.46319543,-5.22823584,-2.46728709,-3.03258312,-4.14907099,-2.99348163,-1.63956212
1886,-4.81644023,-7.88274711,-4.35685064,-7.10682936,-4.44507996,-5.18010162,-2.45608047,-3.03257971,-4.14897099,-2.99348155,-3.96157685
1887,-4.77922615,-7.70896922,-4.35685064,-6.98663512,-4.43296942,-5.14930905,-2.44493787,-3.03257634,-4.14897092,-2.99348147,-4.01252919
1888,-4.74119995,-7.5198646,-4.35685064,-6.86060052,-4.42327269,-5.12477017,-2.43239731,-3.03257226,-4.14897085,-2.99348137,-4.01252919
1889,-4.70252173,-7.32031312,-4.33159491,-6.71669059,-4.39523979,-5.06277793,-2.41853825,-3.02658122,-4.13461607,-2.99209912,-4.00226948
1890,-4.66343083,-7.11695404,-4.30455353,-6.56238991,-4.36563704,-4.99995906,-2.40376839,-3.01943597,-4.11445179,-2.99026134,-3.98921349
1891,-4.62385697,-6.90867733,-4.28227964,-6.39556225,-4.34090403,-4.94159602,-2.38790489,-3.01507623,-4.10375663,-2.98927288,-3.98298902
1892,-4.58428921,-6.7075027,-4.27161518,-6.23436746,-4.3235539,-4.89386881,-2.37200792,-3.01507071,-4.10365663,-2.98927277,-3.98298902
1893,-4.54494847,-6.51813941,-4.26635969,-6.0862843,-4.30820766,-4.85177267,-2.35656124,-3.01506538,-4.10355663,-2.98927266,-3.98298902
1894,-4.50554305,-6.33357256,-4.23644759,-5.94066918,-4.27647916,-4.78894772,-2.3409269,-3.00599334,-4.07393143,-2.98629828,-3.96531921
1895,-4.46575973,-6.14703968,-4.23560409,-5.78689629,-4.26328942,-4.75230619,-2.32441442,-3.00598753,-4.07383143,-2.98629816,-3.96531921
1896,-4.42571368,-5.96139643,-4.18726824,-5.62936897,-4.2138453,-4.67745529,-2.30727457,-2.98710849,-4.00136636,-2.97165514,-3.92453166
1897,-4.38543094,-5.77742141,-4.17900337,-5.46934208,-4.19853001,-4.63426154,-2.28956681,-2.98710207,-4.00126636,-2.97165501,-3.92453166
1898,-4.34507331,-5.59857109,-4.15362957,-5.31240373,-4.17192209,-4.57709777,-2.27164782,-2.98035625,-3.97741576,-2.96965537,-3.91262232
1899,-4.30464614,-5.42485437,-4.14721564,-5.15871699,-4.15771774,-4.53651687,-2.25352955,-2.98034959,-3.97731576,-2.96965525,-3.91262232
1900,-4.26416919,-5.25654415,-4.13399085,-5.00887252,-4.14152409,-4.49015287,-2.23525603,-2.98034285,-3.97721575,-2.96965512,-3.91262232
1901,-4.22378534,-5.09616622,-4.08007951,-4.86708108,-4.08716014,-4.41477024,-2.21713649,-2.95827844,-3.90475069,-2.95095142,-3.86493379
1902,-4.18346409,-4.94278519,-4.02936171,-4.73203062,-4.0359672,-4.34217807,-2.19910569,-2.93743603,-3.83228563,-2.93372349,-3.82042718
1903,-4.14323154,-4.79654733,-3.99767251,-4.60413458,-4.00366253,-4.28315154,-2.18122075,-2.92630879,-3.79050932,-2.92802477,-3.79848949
1904,-4.10326046,-4.6600482,-3.96697801,-4.48777402,-3.97245608,-4.22541355,-2.16386184,-2.91561429,-3.75337715,-2.92291659,-3.77764303
1905,-4.06448839,-4.54765488,-3.95079877,-4.40673321,-3.95614884,-4.1792227,-2.14909104,-2.9141613,-3.75327715,-2.92291648,-3.77764303
1906,-4.02591209,-4.44176939,-3.90785726,-4.33294444,-3.91287541,-4.11422058,-2.13469438,-2.8965109,-3.70781609,-2.91050351,-3.74100925
1907,-3.98675041,-4.330332,-3.89343175,-4.24643256,-3.89811712,-4.07043486,-2.11898429,-2.89615004,-3.70771609,-2.9105034,-3.74100925
1908,-3.94717523,-4.21630441,-3.88066439,-4.15195033,-3.88407088,-4.02843134,-2.10231281,-2.89614413,-3.70761608,-2.91050328,-3.74100925
1909,-3.90769683,-4.10761479,-3.81657712,-4.06275194,-3.82002878,-3.95211115,-2.08580856,-2.86800393,-3.63515102,-2.88530638,-3.68155672
1910,-3.86807061,-4.00045533,-3.7692089,-3.97257595,-3.7725479,-3.88665023,-2.06892922,-2.84736372,-3.56603865,-2.8686783,-3.63900423
1911,-3.82826709,-3.89443517,-3.75800821,-3.88083232,-3.75975875,-3.84745319,-2.05160995,-2.84735748,-3.56593864,-2.86867817,-3.63900423
1912,-3.78843272,-3.79169354,-3.72089419,-3.79120854,-3.72268936,-3.78967956,-2.0341751,-2.83182386,-3.51425461,-2.85786994,-3.60799376
1913,-3.74853119,-3.69163297,-3.6772613,-3.70280819,-3.67908279,-3.72829623,-2.0165446,-2.81256672,-3.4489214,-2.84262867,-3.56903734
1914,-3.70947245,-3.60631139,-3.65610085,-3.63624264,-3.6585426,-3.68265018,-2.0007327,-2.8064841,-3.43671234,-2.84104412,-3.55939401
1915,-3.67076743,-3.52821723,-3.65610085,-3.57916048,-3.65267398,-3.65887493,-1.9856512,-2.80647889,-3.43669545,-2.84104401,-3.55939401
1916,-3.63179379,-3.44927535,-3.61337769,-3.51779053,-3.6101402,-3.5995298,-1.96993482,-2.78733899,-3.3883623,-2.82652075,-3.52105609
1917,-3.59233396,-3.36687574,-3.56575369,-3.44759944,-3.56268157,-3.53776786,-1.95309324,-2.765402,-3.32471165,-2.8083893,-3.47706582
1918,-3.55241311,-3.28151719,-3.56575369,-3.36948039,-3.55599644,-3.51193908,-1.93518592,-2.76539543,-3.32461165,-2.80838918,-3.47706582
1919,-3.51221739,-3.1957501,-3.56575369,-3.2879067,-3.55078339,-3.4891286,-1.91663361,-2.76538849,-3.32457772,-2.80838905,-3.47706582
1920,-3.4717995,-3.11034217,-3.54954964,-3.20431384,-3.53598419,-3.4494464,-1.89756071,-2.76244057,-3.32004827,-2.80781119,-3.47457208
1921,-3.43117227,-3.02552113,-3.53324668,-3.11922701,-3.52117655,-3.41006838,-1.87800422,-2.75935166,-3.31471091,-2.80716562,-3.47176525
1922,-3.39061593,-2.94478774,-3.5164845,-3.03866307,-3.50596901,-3.3707237,-1.85854905,-2.75584571,-3.30771947,-2.80635298,-3.46802938
1923,-3.34987819,-2.86492045,-3.47652129,-2.95732779,-3.46654449,-3.31633768,-1.83867622,-2.73740399,-3.2363979,-2.79148445,-3.43186081
1924,-3.30927385,-2.78969334,-3.39532263,-2.88161108,-3.38571888,-3.23956696,-1.81902982,-2.69939204,-3.16393284,-2.75299408,-3.35613668
1925,-3.26884309,-2.71931202,-3.32621699,-2.81191675,-3.31686071,-3.16984201,-1.79969811,-2.66593248,-3.09146777,-2.72015745,-3.29046311
1926,-3.2282837,-2.65010839,-3.27427081,-2.74226401,-3.26519027,-3.11016447,-1.7800536,-2.64003999,-3.01900271,-2.69632997,-3.24055454
1927,-3.18752039,-2.58123279,-3.18383744,-2.67137693,-3.17517641,-3.03078795,-1.75995136,-2.59691658,-2.94653765,-2.65138686,-3.15815073
1928,-3.14659047,-2.51314569,-3.09324627,-2.60013407,-3.08499084,-2.95204439,-1.7394769,-2.55306833,-2.87407258,-2.60534874,-3.07584541
1929,-3.10545356,-2.44541257,-2.9332646,-2.52796662,-2.92759778,-2.80997812,-1.71856508,-2.48499972,-2.80160752,-2.53701657,-2.91570703
1930,-3.0643107,-2.38030002,-2.81322844,-2.45859937,-2.80879079,-2.70625973,-1.69760036,-2.42843603,-2.72914246,-2.47789975,-2.80481156
1931,-3.02350981,-2.32142588,-2.70891455,-2.39777738,-2.70525496,-2.61854468,-1.6772467,-2.37652239,-2.65667739,-2.42250719,-2.71457963
1932,-2.98258001,-2.26346964,-2.61618523,-2.33714858,-2.61299782,-2.54150772,-1.65660042,-2.32818391,-2.58421233,-2.37088124,-2.63269014
1933,-2.94137798,-2.20492294,-2.4842562,-2.27447745,-2.48290253,-2.42342343,-1.63540439,-2.26500655,-2.51174727,-2.30646711,-2.50288971
1934,-2.90025873,-2.14956263,-2.36587346,-2.21568562,-2.36591559,-2.31812831,-1.61431796,-2.20532701,-2.4392822,-2.24485463,-2.3894732
1935,-2.85907959,-2.0957757,-2.28431753,-2.15834094,-2.28458283,-2.24846526,-1.5930827,-2.15872466,-2.36681714,-2.19502233,-2.31647489
1936,-2.81769287,-2.04201048,-2.20462862,-2.10017552,-2.20506664,-2.18033505,-1.57144107,-2.112229,-2.29435208,-2.14511052,-2.2449948
1937,-2.7761409,-1.98873255,-2.11557801,-2.04199453,-2.11645448,-2.10533046,-1.54948383,-2.06116794,-2.22188701,-2.09040202,-2.1682358
1938,-2.73435712,-1.93527108,-2.0364299,-1.98291014,-2.03746554,-2.03867309,-1.52712314,-2.01346085,-2.14942195,-2.03865834,-2.09778396
1939,-2.69262348,-1.88453812,-1.97959653,-1.92725939,-1.98033359,-1.98374876,-1.5048042,-1.97543427,-2.07695689,-1.99896146,-2.04239761
1940,-2.65059971,-1.8329838,-1.85862818,-1.86995148,-1.86107482,-1.87243924,-1.48202872,-1.91042864,-2.00449182,-1.93308427,-1.92072462
1941,-2.60853642,-1.78321197,-1.76841478,-1.81480831,-1.7714031,-1.79332378,-1.45916698,-1.85583537,-1.93202676,-1.87554736,-1.83916475
1942,-2.56647616,-1.73557797,-1.6570361,-1.76234812,-1.66146474,-1.69006791,-1.4362801,-1.7923103,-1.8595617,-1.81085621,-1.72787006
1943,-2.52448438,-1.69062656,-1.58601858,-1.71332608,-1.59041125,-1.63014292,-1.41345526,-1.7440887,-1.78709663,-1.75842291,-1.66516133
1944,-2.48263203,-1.64889581,-1.55724361,-1.66845563,-1.56116756,-1.59300362,-1.3907955,-1.71873207,-1.72972639,-1.73440138,-1.63278846
1945,-2.44083856,-1.60944242,-1.51379899,-1.62640955,-1.51715773,-1.54798238,-1.36818747,-1.68368984,-1.65726133,-1.69833294,-1.58826512
1946,-2.3989991,-1.57117847,-1.44722697,-1.58570887,-1.45039364,-1.49171761,-1.3454832,-1.63618556,-1.58479627,-1.64671553,-1.52910266
1947,-2.35685805,-1.53166974,-1.36564894,-1.54312592,-1.36909326,-1.41948688,-1.32234984,-1.58132937,-1.5123312,-1.58896837,-1.45512719
1948,-2.3145469,-1.49222167,-1.24648816,-1.50048471,-1.2518963,-1.30527635,-1.29898946,-1.51118097,-1.43986614,-1.5189726,-1.33118777
1949,-2.27198597,-1.45208654,-1.21761999,-1.45685793,-1.2223755,-1.26995365,-1.27534473,-1.48253625,-1.38138331,-1.49065695,-1.29832647
1950,-2.22929934,-1.41249801,-1.20292228,-1.41392021,-1.20754735,-1.24387515,-1.25156584,-1.46545444,-1.34893265,-1.47680914,-1.2794945
1951,-2.18659976,-1.3745208,-1.15756413,-1.37306606,-1.16152393,-1.20031998,-1.22775701,-1.42589123,-1.27646759,-1.43476404,-1.23489076
1952,-2.14393327,-1.33851412,-1.14175064,-1.33473775,-1.14550612,-1.17404752,-1.20395861,-1.40710511,-1.24378763,-1.4187767,-1.21448134
1953,-2.10125104,-1.30392511,-1.08330792,-1.2982084,-1.08660373,-1.1248149,-1.18012783,-1.35992347,-1.17132257,-1.36717787,-1.16275148
1954,-2.05854019,-1.27057102,-1.03996235,-1.26323683,-1.04253761,-1.08345631,-1.15625849,-1.32031614,-1.1053407,-1.32505904,-1.11995375
1955,-2.0159093,-1.2393897,-0.997173726,-1.23097918,-0.999013949,-1.04277254,-1.13243553,-1.28059103,-1.04498565,-1.28280903,-1.07771261
1956,-1.97325891,-1.20936559,-0.969505884,-1.20014562,-0.970651343,-1.01050585,-1.10858091,-1.25027474,-1.00260978,-1.25235123,-1.04598222
1957,-1.93055499,-1.18014089,-0.94292544,-1.17028904,-0.943393437,-0.979171446,-1.08467034,-1.22046917,-0.962579629,-1.22251947,-1.01517411
1958,-1.88783269,-1.15199913,-0.900582147,-1.14175378,-0.900282739,-0.939817247,-1.06073038,-1.17999781,-0.909870174,-1.17929305,-0.973853916
1959,-1.84488005,-1.12298727,-0.8639217,-1.11216529,-0.862824756,-0.903717,-1.03663217,-1.14255487,-0.862365951,-1.13981096,-0.93620614
1960,-1.80163579,-1.09257813,-0.840044234,-1.08092164,-0.838308853,-0.874853232,-1.01237208,-1.11368127,-0.826838101,-1.11104996,-0.907650672
1961,-1.75818337,-1.06160201,-0.771335103,-1.04906642,-0.769337116,-0.814148375,-0.988004984,-1.05843245,-0.757989385,-1.05299108,-0.84595713
1962,-1.71474812,-1.03218616,-0.756618403,-1.01916993,-0.754339026,-0.791348533,-0.963637826,-1.03655045,-0.734856941,-1.03300609,-0.825323177
1963,-1.67139659,-1.00485616,-0.703713971,-0.991826007,-0.700754533,-0.748686583,-0.939300952,-0.988212807,-0.684023746,-0.980482899,-0.779880047
1964,-1.62843284,-0.982182602,-0.671764516,-0.970019937,-0.667954114,-0.716635157,-0.915145977,-0.95171586,-0.652409399,-0.942168461,-0.746018491
1965,-1.58707572,-0.973416375,-0.653130333,-0.964306852,-0.648778464,-0.69219391,-0.892515377,-0.925040862,-0.648437298,-0.916519069,-0.721715872
1966,-1.5463018,-0.969068007,-0.603678163,-0.963440525,-0.598553686,-0.652199506,-0.870755335,-0.877433904,-0.658877534,-0.865186015,-0.678899102
1967,-1.50536324,-0.963594219,-0.593443272,-0.96112619,-0.588312326,-0.633533449,-0.848689689,-0.858372541,-0.660059878,-0.849100044,-0.662332739
1968,-1.46353408,-0.951561935,-0.578361045,-0.951173845,-0.572841552,-0.611942712,-0.825376893,-0.834051956,-0.649180516,-0.826266079,-0.641060031
1969,-1.4214961,-0.938275136,-0.571483826,-0.939671688,-0.566359783,-0.596076105,-0.801822408,-0.818938128,-0.641526219,-0.814913577,-0.62842714
1970,-1.37899585,-0.921687657,-0.558822404,-0.924271325,-0.553474258,-0.576406578,-0.77787139,-0.796793475,-0.626430443,-0.794689445,-0.609442737
1971,-1.33607188,-0.902154177,-0.547784716,-0.905406429,-0.542351488,-0.557986874,-0.753672991,-0.776254321,-0.610905953,-0.776430105,-0.592067312
1972,-1.29288149,-0.881108312,-0.548170103,-0.88477471,-0.545475595,-0.550219281,-0.729339188,-0.776239699,-0.610805953,-0.776429953,-0.592067312
1973,-1.24988561,-0.86263726,-0.539817465,-0.867139983,-0.537283687,-0.533922845,-0.705087837,-0.758768189,-0.597886566,-0.762019543,-0.577586125
1974,-1.2067531,-0.843740335,-0.537038425,-0.848995595,-0.535659944,-0.522243068,-0.680764445,-0.749918355,-0.591987039,-0.758454709,-0.571042433
1975,-1.16329948,-0.822813795,-0.51384342,-0.828494376,-0.511622084,-0.497421629,-0.656297236,-0.717883241,-0.565289309,-0.725640016,-0.544010697
1976,-1.1197663,-0.802083322,-0.513275689,-0.80823899,-0.512971458,-0.488431504,-0.631793181,-0.71414171,-0.563584467,-0.724613505,-0.542250922
1977,-1.07633398,-0.783136849,-0.483371728,-0.790058818,-0.482037642,-0.460555393,-0.607321708,-0.676884683,-0.534122089,-0.685210103,-0.511245102
1978,-1.03270524,-0.763257231,-0.45505113,-0.770797636,-0.452703495,-0.433732957,-0.582770106,-0.640392003,-0.506071619,-0.646738929,-0.48132523
1979,-0.988638614,-0.740288407,-0.437422027,-0.747976182,-0.434405667,-0.412797555,-0.558067066,-0.612024351,-0.484259485,-0.618475026,-0.45845381
1980,-0.944063794,-0.713632331,-0.427990845,-0.720931303,-0.424930936,-0.396969485,-0.533217545,-0.591788745,-0.468701014,-0.600455072,-0.442561934
1981,-0.898853238,-0.68210875,-0.378496752,-0.688328301,-0.374391989,-0.359537916,-0.50821638,-0.541634103,-0.426232084,-0.546481199,-0.403132565
1982,-0.853336316,-0.649151139,-0.359843774,-0.654245974,-0.354974024,-0.338656818,-0.483149857,-0.511422345,-0.402845329,-0.515735728,-0.379696473
1983,-0.807530441,-0.615004672,-0.358020034,-0.618988811,-0.354374429,-0.329047693,-0.458024695,-0.501808226,-0.396529988,-0.511128086,-0.373135422
1984,-0.762114413,-0.586568268,-0.358020035,-0.590585555,-0.365012862,-0.360683958,-0.432975316,-0.501786937,-0.396529839,-0.511127931,-0.373135422
1985,-0.71735493,-0.565844794,-0.356758408,-0.571152006,-0.364987523,-0.351358504,-0.408066476,-0.493438242,-0.391891715,-0.507944786,-0.367648054
1986,-0.672392219,-0.544189134,-0.317178198,-0.55061067,-0.324062438,-0.320105605,-0.383109303,-0.448116583,-0.360854449,-0.458091009,-0.333244085
1987,-0.626743245,-0.51696595,-0.302599803,-0.523634239,-0.308728513,-0.30168737,-0.358009016,-0.42084259,-0.342648502,-0.43105155,-0.312896498
1988,-0.580582401,-0.486034015,-0.288218384,-0.492434328,-0.293602734,-0.283569098,-0.332808959,-0.39356895,-0.324262358,-0.403956817,-0.292772862
1989,-0.533930134,-0.451723145,-0.253691329,-0.457446635,-0.257716687,-0.255397045,-0.307511377,-0.350571323,-0.294359479,-0.35674944,-0.261379371
1990,-0.486620541,-0.412374837,-0.254484395,-0.416786602,-0.260531825,-0.249039953,-0.282071069,-0.346550253,-0.2926932,-0.35555677,-0.259647771
1991,-0.438447212,-0.36582801,-0.239257426,-0.368004952,-0.244455789,-0.230938752,-0.256400349,-0.317837866,-0.270705782,-0.326275877,-0.239056034
1992,-0.389685342,-0.315472108,-0.211998853,-0.315230858,-0.215886348,-0.206818591,-0.230528774,-0.279155373,-0.239206953,-0.283950801,-0.211599011
1993,-0.341800742,-0.27813177,-0.211816657,-0.278191019,-0.217108816,-0.199442077,-0.204931976,-0.270949409,-0.234788419,-0.280725859,-0.206697045
1994,-0.296096065,-0.264923879,-0.211484826,-0.26889794,-0.218101971,-0.191992809,-0.179810146,-0.262341344,-0.231452133,-0.277393371,-0.201494928
1995,-0.250002436,-0.248616937,-0.200277295,-0.255748532,-0.206289465,-0.176780122,-0.154612172,-0.237089489,-0.219510701,-0.252861639,-0.184032598
1996,-0.202711035,-0.221170051,-0.178204093,-0.229548355,-0.182990235,-0.15588981,-0.12915836,-0.201821003,-0.199751196,-0.215345475,-0.159755804
1997,-0.154122422,-0.181342573,-0.131325785,-0.188905411,-0.134696386,-0.119867011,-0.103315122,-0.150178659,-0.164473632,-0.160194298,-0.125030393
1998,-0.104602949,-0.133417079,-0.110372163,-0.139040677,-0.1125268,-0.0999316448,-0.0770665747,-0.114909577,-0.137671034,-0.120668483,-0.101597124
1999,-0.0544275149,-0.0809418846,-0.0537305056,-0.084319431,-0.0546325418,-0.0501909818,-0.0504005518,-0.0573223381,-0.0875775158,-0.060763686,-0.0509090831
2000,-0.00371608291,-0.0256155901,-0.0337365616,-0.0268358763,-0.033417203,-0.0311084012,-0.0223419172,-0.0218143301,-0.0463319789,-0.0185470843,-0.0283784387
2001,0.0477544175,0.0351539607,0.0109932154,0.036437655,0.0127529638,0.0039664989,0.0101008491,0.0303859544,0.0261330846,0.0370356435,0.00519411216
2002,0.100232214,0.104271068,0.05854468,0.108814292,0.0617045038,0.0435811376,0.0516304763,0.0846950529,0.0985981481,0.0943019115,0.0440674906
2003,0.153464132,0.177958725,0.123818155,0.185587807,0.127958923,0.10633371,0.101755777,0.148483332,0.171063212,0.159156298,0.108898826
2004,0.207123123,0.251510542,0.232537974,0.261133481,0.235807006,0.217018079,0.157329503,0.230812469,0.243528275,0.238858532,0.223673765
2005,0.261008554,0.322209819,0.281752379,0.332425046,0.286329235,0.262868547,0.216078092,0.28875859,0.315993339,0.299028281,0.267869247
2006,0.315038282,0.389159749,0.393936542,0.398697821,0.397202605,0.379560871,0.277028467,0.374179764,0.388458402,0.381203866,0.385985295
2007,0.369186166,0.45229865,0.464029333,0.460167167,0.467825861,0.454008206,0.339872886,0.44424381,0.460923466,0.451077335,0.459114389
2008,0.423508179,0.512651331,0.53154123,0.518276103,0.535919337,0.52672185,0.405300478,0.514019281,0.533388529,0.520717954,0.529471986
2009,0.477984981,0.570170155,0.580591201,0.573119411,0.586171259,0.578052427,0.4730708,0.575695864,0.605853593,0.583869861,0.576523165
2010,0.532945787,0.629365371,0.631651683,0.630126356,0.638359079,0.632841907,0.547131119,0.639055434,0.678318656,0.648365365,0.626838971
2011,0.588340421,0.689418008,0.794693652,0.688237214,0.796310153,0.801344598,0.626666048,0.745077158,0.75078372,0.747028631,0.786254493
2012,0.644248988,0.751302269,0.844577161,0.748560581,0.847216257,0.85919413,0.712210534,0.810668158,0.823248783,0.813302353,0.837008046
2013,0.700831794,0.817023056,0.925771474,0.813391036,0.927947375,0.95434204,0.804597413,0.891154918,0.895713847,0.891500996,0.924023332
2014,0.757988355,0.884875344,0.968283591,0.880531775,0.971710231,1.00524644,0.901790975,0.954658512,0.96817891,0.956090894,0.965985049
2015,0.815948887,0.95787204,1.04328799,0.953515822,1.04648722,1.09594715,1.00352992,1.03417913,1.04064397,1.03350321,1.04657583
2016,0.874626903,1.03434803,1.05662258,1.03014142,1.06164524,1.02177459,1.10706346,1.08034764,1.11310904,1.08419508,1.0554919
2017,0.933695535,1.10927021,1.23549334,1.10431614,1.2333054,1.21340336,1.21123692,1.19603704,1.1855741,1.19056949,1.22133537
2018,0.993266406,1.1843329,1.28430966,1.17831247,1.28292917,1.28125599,1.31615973,1.26716434,1.25803916,1.26124683,1.27403879
2019,1.05360641,1.26335062,1.31664848,1.25678373,1.31677229,1.32805138,1.42209512,1.33008021,1.33050423,1.32534292,1.30581262
2020,1.11438492,1.34106293,1.4134768,1.33325468,1.41164277,1.45057758,1.52856511,1.42278618,1.40296929,1.41329883,1.40697035
2021,1.17524568,1.41233904,1.46298341,1.40180271,1.4618761,1.52295466,1.63515641,1.49678038,1.47543435,1.48626645,1.46117161
2022,1.23683504,1.48723622,1.58626972,1.47499608,1.58119318,1.67357997,1.74251655,1.60064193,1.54789942,1.58315577,1.582519
2023,1.29882928,1.5605816,1.62282483,1.54632361,1.6190148,1.54196361,1.8502756,1.67046004,1.62036448,1.65277586,1.62364537
