ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvH,glaciers,2100,fixed,2000,11.22238109828817,11.24054886214033,8.826676725445708,13.774181581837192,4.947504856391484,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2300,joint,2000,57.23898997969863,60.654503584511474,23.810639177503553,113.00025820384971,89.18961902634615,4.430280855780425,0.9040859955547126,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2100,fixed,2000,27.367015541482452,29.468556212695663,5.394664737167281,65.0108883412081,59.61622360404082,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2100,joint,2000,25.335421080807837,28.78107536954422,4.506936406904275,70.24471126674578,65.73777485984151,1.1026826404916021,0.9257648515748763,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2150,fixed,2000,79.3743953805045,82.25911763789546,34.44432695876962,138.15644651176592,103.7121195529963,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2150,joint,2000,76.86687110714453,78.80197955752732,15.0239668438847,146.90653862505596,131.88257178117127,1.2716216036234804,0.9684089023753893,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2300,fixed,2000,259.0485038017865,264.1502357340353,153.9436730589406,389.2993846662211,235.3557116072805,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2300,joint,2000,255.08500742513166,264.6426586574337,132.9256099590815,421.2021817432212,288.2765717841397,1.2248547945382522,0.9846997905083923,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2100,fixed,2000,23.902300156847534,23.7991249909215,21.59430829255389,25.710850137051565,4.116541844497675,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2100,joint,2000,23.59144503895795,23.79922831170018,16.68878347547713,31.652925284188488,14.964141808711357,3.6351244257878714,0.9869947613472451,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2150,fixed,2000,41.88783500975266,41.70702461497669,37.84317061423472,45.057247270521,7.214076656286281,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2150,joint,2000,41.14194532137232,41.71191305020504,27.917394235304318,56.81218767607808,28.894793440773764,4.00533496072503,0.9821931668655904,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2300,fixed,2000,92.45314940005673,92.05407194863403,83.52592836930056,99.44854902352648,15.922620654225923,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,te,2300,joint,2000,89.57174151589749,92.07741110550326,54.67102238775353,135.1983978704856,80.52737548273205,5.057419706934975,0.9688338590642162,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2100,fixed,2000,74.6781547786271,76.99400962206118,52.1685193703754,112.7120714107285,60.5435520403531,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2100,joint,2000,72.24017806183883,76.41115851383528,44.30242686083578,126.17678926977621,81.87436240894043,1.3523217526842504,0.9673535490530623,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2150,fixed,2000,161.37929823844905,164.29071830545925,116.47735335987643,220.98300408624888,104.50565072637245,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2150,joint,2000,158.11076768194394,161.1248097598652,88.71832259028704,241.2475958271506,152.52927323686356,1.459531347603696,0.9797462834937128,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2300,fixed,2000,449.3852231136998,454.6341063605284,342.6198235830977,577.9881970545574,235.36837347145973,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,total,2300,joint,2000,439.18576323749335,451.26298053494645,278.3127955360254,660.4359825016127,382.12318696558725,1.6235111851674613,0.9773035263475367,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
