ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.228248278189877,11.243225713733034,8.838366876106981,13.756375826884637,4.918008950777656,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2150,fixed,2000,52.32029101992238,56.64599142196517,8.149673541045939,134.07686722498912,125.92719368394317,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2150,joint,2000,43.40971429083491,53.72255690405328,6.747707574257663,141.75856397754214,135.01085640328446,1.0721342424428182,0.8296917590597017,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2300,fixed,2000,58.53768250503758,67.99932923973412,14.302968663718776,169.09890915420743,154.79594049048865,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2300,joint,2000,48.338672770115714,76.9227918423379,11.324284414821761,244.73809412601022,233.41380971118846,1.5078806910025553,0.8257701825820629,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2100,fixed,2000,23.154584602313648,23.054636978335395,20.918791706543775,24.90655923443498,3.9877675278912044,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2100,joint,2000,22.702167459709393,23.05040956177281,15.641633424522075,31.86333659716473,16.221703172642655,4.067865806917023,0.9804610123491895,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2150,fixed,2000,29.027771346182995,28.90247189360094,26.224867037144207,31.224136338213558,4.999269301069351,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2150,joint,2000,28.394793991696076,28.901794135040483,17.814550559143818,41.568661325826234,23.754110766682416,4.7515165389472775,0.9781940767364439,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2300,fixed,2000,26.269551132709612,26.156157640069395,23.73297892438305,28.25721741876871,4.52423849438566,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,te,2300,joint,2000,25.472042890741207,26.144838108454934,12.525600900327936,42.10788964054327,29.582288740215333,6.538622748762114,0.9696413449190845,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2100,fixed,2000,77.86595096511408,77.57339522014782,50.492418267377985,114.68109096693846,64.18867269956047,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2100,joint,2000,73.7130361186948,76.32725185772534,41.58990220291421,128.27970250353346,86.68980030061925,1.3505467032536547,0.9466658430938589,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2150,fixed,2000,111.60713422013978,115.71596342584247,65.96916409178671,193.72708250640326,127.75791841461655,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2150,joint,2000,99.46106659913781,112.96306023246089,52.6694686582982,211.54227381600884,158.87280515771064,1.2435456614291103,0.8911712256938303,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2300,fixed,2000,119.2052859119274,128.72933313916252,73.70487460858014,229.4445840180153,155.73970940943514,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,total,2300,joint,2000,107.33926876293725,137.67227123187556,56.66100339870731,321.0516733659785,264.3906699672712,1.6976445568688965,0.9004572904782332,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
