arm,priority,quantity,ssp,value,target,ratio
"Ladrillo L14, untapped",4,gis_2150_cm,SSP2-4.5,12.323022595425968,NaN,NaN
"Ladrillo L14, untapped",2,gis_2300_cm,SSP2-4.5,18.27831740431997,NaN,NaN
"Ladrillo L14, untapped",4,gis_2100_cm,SSP5-8.5,13.907579441340488,NaN,NaN
"Ladrillo L14, untapped",4,gis_2150_cm,SSP5-8.5,28.12765752343362,NaN,NaN
"Ladrillo L14, untapped",2,gis_2300_cm,SSP5-8.5,49.6712310008674,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2100_cm,SSP1-2.6,6.4186919587726825,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2150_cm,SSP1-2.6,7.874256283984879,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),2,gis_2300_cm,SSP1-2.6,9.959034906072581,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2100_cm,SSP2-4.5,8.469471208563375,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2150_cm,SSP2-4.5,12.323022595425968,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),2,gis_2300_cm,SSP2-4.5,18.27831740431997,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2100_cm,SSP5-8.5,13.907579441340488,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),4,gis_2150_cm,SSP5-8.5,30.547812463647432,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),2,gis_2300_cm,SSP5-8.5,95.45053935551505,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2100_cm,SSP1-2.6,6.4186919587726825,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2150_cm,SSP1-2.6,7.874256283984879,NaN,NaN
Ladrillo L14 + V=6.00 cascade,2,gis_2300_cm,SSP1-2.6,9.959034906072581,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2100_cm,SSP2-4.5,8.469471208563375,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2150_cm,SSP2-4.5,12.323022595425968,NaN,NaN
Ladrillo L14 + V=6.00 cascade,2,gis_2300_cm,SSP2-4.5,18.27831740431997,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2100_cm,SSP5-8.5,13.907579441340488,NaN,NaN
Ladrillo L14 + V=6.00 cascade,4,gis_2150_cm,SSP5-8.5,30.702290438554698,NaN,NaN
Ladrillo L14 + V=6.00 cascade,2,gis_2300_cm,SSP5-8.5,98.37262286751383,NaN,NaN
original BRICK (:stock SIMPLE),2,gis_2300_vs_matched_p50,SSP5-8.5,48.76031851903951,98.5,0.4950286144064925
"Ladrillo L14, untapped",2,gis_2300_vs_matched_p50,SSP5-8.5,49.6712310008674,98.5,0.5042764568615979
Ladrillo L14 + V=5.64 (SHIPPED),2,gis_2300_vs_matched_p50,SSP5-8.5,95.45053935551505,98.5,0.969041008685432
Ladrillo L14 + V=6.00 cascade,2,gis_2300_vs_matched_p50,SSP5-8.5,98.37262286751383,98.5,0.9987068311422723
original BRICK (:stock SIMPLE),2,sep_585_over_245_2300,-,1.89915343611381,NaN,NaN
"Ladrillo L14, untapped",2,sep_585_over_245_2300,-,2.7174947180383193,NaN,NaN
Ladrillo L14 + V=5.64 (SHIPPED),2,sep_585_over_245_2300,-,5.222063784326006,NaN,NaN
Ladrillo L14 + V=6.00 cascade,2,sep_585_over_245_2300,-,5.3819298949401135,NaN,NaN
original BRICK (:stock SIMPLE),3,rate_2250_2300_r2300_cm_per_century,r2300,13.952218996044124,41.5,0.33619804809744874
"Ladrillo L14, untapped",3,rate_2250_2300_r2300_cm_per_century,r2300,3.0861077125239973,41.5,0.07436404126563849
Ladrillo L14 + V=5.64 (SHIPPED),3,rate_2250_2300_r2300_cm_per_century,r2300,41.530129020068756,41.5,1.0007260004835845
Ladrillo L14 + V=6.00 cascade,3,rate_2250_2300_r2300_cm_per_century,r2300,43.984002720550365,41.5,1.0598554872421775
wired bisection,3,V_clearing_rate_band_m,r2300,5.635579867365373,5.66,0.9956854889338115
wired bisection,2,gis_2300_at_rate_clearing_V,SSP5-8.5,95.41466158692478,98.5,0.968676767379947
Ladrillo L14 + V=5.64 (SHIPPED),1,hindcast_deviation_cm,-,0.0,0.0,NaN
Ladrillo L14 + V=6.00 cascade,1,hindcast_deviation_cm,-,0.0,0.0,NaN
