marker,specie,horizon,metric,value,note
VL,CO2,2300,ais_mean_cm,0.21285334064243114,
VL,CO2,2300,ais_median_cm,0.027501007961894253,
VL,CO2,2300,ais_smooth_term_cm,0.02804972446900222,P(smooth)*E[d|smooth]
VL,CO2,2300,ais_premium_cm,0.18480361617342891,P(fired)*E[d|fired]
VL,CO2,2300,ais_cond_mean_fired_cm,2.9102931680854947,
VL,CO2,2300,ais_median_smooth_cm,0.026359296461919257,
VL,CO2,2300,total_mean_cm,0.33317652017080596,
VL,CO2,2300,total_median_cm,0.1453626668679746,
VL,CO2,2300,n_cross_both,190.0,
VL,CO2,2300,mean_dn_years_int,0.1855,what the annual step charges
VL,CO2,2300,mean_dtime_above_yr,0.184478516607337,what a sub-annual solver would charge
VL,CO2,2300,quantization_bias_yr,0.001021483392663003,
VL,CO2,2300,quantization_bias_ratio,1.005537140104163,
VL,CO2,2300,sd_dn_years_int,0.9703404197832487,
VL,CO2,2300,sd_dtime_above_yr,0.9684930482587671,
VL,CO2,2300,mean_dt_firstcross_yr,0.49122654892583006,entry side only; understates on peak-and-decline
VL,CH4,2100,n_draws,2000.0,
VL,CH4,2100,n_bifurcation,13.0,"never crosses at base, crosses under pulse"
VL,CH4,2100,n_quantization,180.0,"crosses in both, integer year count differs"
VL,CH4,2100,p_fired,0.0965,
VL,CH4,2100,ais_mean_cm,0.46981967948601094,
VL,CH4,2100,ais_median_cm,0.0571989579694403,
VL,CH4,2100,ais_smooth_term_cm,0.0525513788886473,P(smooth)*E[d|smooth]
VL,CH4,2100,ais_premium_cm,0.4172683005973637,P(fired)*E[d|fired]
VL,CH4,2100,ais_cond_mean_fired_cm,4.324023840387189,
VL,CH4,2100,ais_median_smooth_cm,0.053934358414553074,
VL,CH4,2100,total_mean_cm,0.9285126662729541,
VL,CH4,2100,total_median_cm,0.5003207146922293,
VL,CH4,2100,n_cross_both,188.0,
VL,CH4,2100,mean_dn_years_int,0.4165,what the annual step charges
VL,CH4,2100,mean_dtime_above_yr,0.4141582064473267,what a sub-annual solver would charge
VL,CH4,2100,quantization_bias_yr,0.002341793552673277,
VL,CH4,2100,quantization_bias_ratio,1.0056543454076676,
VL,CH4,2100,sd_dn_years_int,2.159481287187934,
VL,CH4,2100,sd_dtime_above_yr,2.146276354788881,
VL,CH4,2100,mean_dt_firstcross_yr,2.5989190945130343,entry side only; understates on peak-and-decline
VL,CH4,2150,n_draws,2000.0,
VL,CH4,2150,n_bifurcation,12.0,"never crosses at base, crosses under pulse"
VL,CH4,2150,n_quantization,184.0,"crosses in both, integer year count differs"
VL,CH4,2150,p_fired,0.098,
VL,CH4,2150,ais_mean_cm,0.5646236813205963,
VL,CH4,2150,ais_median_cm,0.06480195592350402,
VL,CH4,2150,ais_smooth_term_cm,0.06023723250663362,P(smooth)*E[d|smooth]
VL,CH4,2150,ais_premium_cm,0.5043864488139629,P(fired)*E[d|fired]
VL,CH4,2150,ais_cond_mean_fired_cm,5.146800498101662,
VL,CH4,2150,ais_median_smooth_cm,0.06139468170793272,
VL,CH4,2150,total_mean_cm,0.9302571116649372,
VL,CH4,2150,total_median_cm,0.4192781107328152,
VL,CH4,2150,n_cross_both,190.0,
VL,CH4,2150,mean_dn_years_int,0.5105,what the annual step charges
VL,CH4,2150,mean_dtime_above_yr,0.5082619996576354,what a sub-annual solver would charge
VL,CH4,2150,quantization_bias_yr,0.0022380003423645434,
VL,CH4,2150,quantization_bias_ratio,1.0044032415247885,
VL,CH4,2150,sd_dn_years_int,2.5778309401855832,
VL,CH4,2150,sd_dtime_above_yr,2.5652576491563064,
VL,CH4,2150,mean_dt_firstcross_yr,2.8608763486247595,entry side only; understates on peak-and-decline
VL,CH4,2300,n_draws,2000.0,
VL,CH4,2300,n_bifurcation,12.0,"never crosses at base, crosses under pulse"
VL,CH4,2300,n_quantization,185.0,"crosses in both, integer year count differs"
VL,CH4,2300,p_fired,0.0985,
VL,CH4,2300,ais_mean_cm,0.6786474815500434,
VL,CH4,2300,ais_median_cm,0.07471577235417293,
VL,CH4,2300,ais_smooth_term_cm,0.07005843013277578,P(smooth)*E[d|smooth]
VL,CH4,2300,ais_premium_cm,0.6085890514172675,P(fired)*E[d|fired]
VL,CH4,2300,ais_cond_mean_fired_cm,6.178569049921497,
VL,CH4,2300,ais_median_smooth_cm,0.07025780757065192,
VL,CH4,2300,total_mean_cm,0.895994898822303,
VL,CH4,2300,total_median_cm,0.285855905629262,
VL,CH4,2300,n_cross_both,190.0,
VL,CH4,2300,mean_dn_years_int,0.6285,what the annual step charges
VL,CH4,2300,mean_dtime_above_yr,0.6265019072037166,what a sub-annual solver would charge
VL,CH4,2300,quantization_bias_yr,0.0019980927962833794,
VL,CH4,2300,quantization_bias_ratio,1.0031892844591672,
VL,CH4,2300,sd_dn_years_int,2.9864606516094945,
VL,CH4,2300,sd_dtime_above_yr,2.969842436584068,
VL,CH4,2300,mean_dt_firstcross_yr,2.8608763486247595,entry side only; understates on peak-and-decline
L,CO2,2100,n_draws,2000.0,
L,CO2,2100,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
L,CO2,2100,n_quantization,90.0,"crosses in both, integer year count differs"
L,CO2,2100,p_fired,0.0455,
L,CO2,2100,ais_mean_cm,0.08914246964496102,
L,CO2,2100,ais_median_cm,0.007793986051818358,
L,CO2,2100,ais_smooth_term_cm,0.007848591310296225,P(smooth)*E[d|smooth]
L,CO2,2100,ais_premium_cm,0.08129387833466482,P(fired)*E[d|fired]
L,CO2,2100,ais_cond_mean_fired_cm,1.7866786447179082,
L,CO2,2100,ais_median_smooth_cm,0.007596135370113721,
L,CO2,2100,total_mean_cm,0.1587884959520152,
L,CO2,2100,total_median_cm,0.07545717066651036,
L,CO2,2100,n_cross_both,247.0,
L,CO2,2100,mean_dn_years_int,0.08,what the annual step charges
L,CO2,2100,mean_dtime_above_yr,0.0781605222384374,what a sub-annual solver would charge
L,CO2,2100,quantization_bias_yr,0.0018394777615625968,
L,CO2,2100,quantization_bias_ratio,1.0235346145199884,
L,CO2,2100,sd_dn_years_int,0.5037130764946606,
L,CO2,2100,sd_dtime_above_yr,0.4765235632798039,
L,CO2,2100,mean_dt_firstcross_yr,0.4022209534936731,entry side only; understates on peak-and-decline
L,CO2,2150,n_draws,2000.0,
L,CO2,2150,n_bifurcation,2.0,"never crosses at base, crosses under pulse"
L,CO2,2150,n_quantization,115.0,"crosses in both, integer year count differs"
L,CO2,2150,p_fired,0.0585,
L,CO2,2150,ais_mean_cm,0.13548248729651843,
L,CO2,2150,ais_median_cm,0.01317659818331185,
L,CO2,2150,ais_smooth_term_cm,0.013211067062390334,P(smooth)*E[d|smooth]
L,CO2,2150,ais_premium_cm,0.1222714202341281,P(fired)*E[d|fired]
L,CO2,2150,ais_cond_mean_fired_cm,2.0901097475919332,
L,CO2,2150,ais_median_smooth_cm,0.012737439712738663,
L,CO2,2150,total_mean_cm,0.22611159740317147,
L,CO2,2150,total_median_cm,0.10118185262273727,
L,CO2,2150,n_cross_both,250.0,
L,CO2,2150,mean_dn_years_int,0.1205,what the annual step charges
L,CO2,2150,mean_dtime_above_yr,0.1197986175632322,what a sub-annual solver would charge
L,CO2,2150,quantization_bias_yr,0.0007013824367678029,
L,CO2,2150,quantization_bias_ratio,1.005854678885569,
L,CO2,2150,sd_dn_years_int,0.6604527605548048,
L,CO2,2150,sd_dtime_above_yr,0.6393698605426689,
L,CO2,2150,mean_dt_firstcross_yr,0.40878714241494163,entry side only; understates on peak-and-decline
L,CO2,2300,n_draws,2000.0,
L,CO2,2300,n_bifurcation,2.0,"never crosses at base, crosses under pulse"
L,CO2,2300,n_quantization,174.0,"crosses in both, integer year count differs"
L,CO2,2300,p_fired,0.088,
L,CO2,2300,ais_mean_cm,0.24082936060893825,
L,CO2,2300,ais_median_cm,0.027767359254216473,
L,CO2,2300,ais_smooth_term_cm,0.027052243304109436,P(smooth)*E[d|smooth]
L,CO2,2300,ais_premium_cm,0.21377711730482882,P(fired)*E[d|fired]
L,CO2,2300,ais_cond_mean_fired_cm,2.4292854239185093,
L,CO2,2300,ais_median_smooth_cm,0.02613004863326651,
L,CO2,2300,total_mean_cm,0.36128650882401214,
L,CO2,2300,total_median_cm,0.1459847332779134,
L,CO2,2300,n_cross_both,250.0,
L,CO2,2300,mean_dn_years_int,0.2175,what the annual step charges
L,CO2,2300,mean_dtime_above_yr,0.2169328123404445,what a sub-annual solver would charge
L,CO2,2300,quantization_bias_yr,0.0005671876595554903,
L,CO2,2300,quantization_bias_ratio,1.0026145775433242,
L,CO2,2300,sd_dn_years_int,0.9053195854370375,
L,CO2,2300,sd_dtime_above_yr,0.8739503968933539,
L,CO2,2300,mean_dt_firstcross_yr,0.40878714241494163,entry side only; understates on peak-and-decline
L,CH4,2100,n_draws,2000.0,
L,CH4,2100,n_bifurcation,7.0,"never crosses at base, crosses under pulse"
L,CH4,2100,n_quantization,239.0,"crosses in both, integer year count differs"
L,CH4,2100,p_fired,0.123,
L,CH4,2100,ais_mean_cm,0.4600827812577227,
L,CH4,2100,ais_median_cm,0.048747217748990046,
L,CH4,2100,ais_smooth_term_cm,0.042418026221841994,P(smooth)*E[d|smooth]
L,CH4,2100,ais_premium_cm,0.41766475503588063,P(fired)*E[d|fired]
L,CH4,2100,ais_cond_mean_fired_cm,3.395648414925859,
L,CH4,2100,ais_median_smooth_cm,0.0452560716563748,
L,CH4,2100,total_mean_cm,0.8284870716468841,
L,CH4,2100,total_median_cm,0.4066485453442752,
L,CH4,2100,n_cross_both,247.0,
L,CH4,2100,mean_dn_years_int,0.407,what the annual step charges
L,CH4,2100,mean_dtime_above_yr,0.4065928920335266,what a sub-annual solver would charge
L,CH4,2100,quantization_bias_yr,0.00040710796647336345,
L,CH4,2100,quantization_bias_ratio,1.0010012668063066,
L,CH4,2100,sd_dn_years_int,1.5058169684165414,
L,CH4,2100,sd_dtime_above_yr,1.4871805696767832,
L,CH4,2100,mean_dt_firstcross_yr,2.629970780776355,entry side only; understates on peak-and-decline
L,CH4,2150,n_draws,2000.0,
L,CH4,2150,n_bifurcation,8.0,"never crosses at base, crosses under pulse"
L,CH4,2150,n_quantization,242.0,"crosses in both, integer year count differs"
L,CH4,2150,p_fired,0.125,
L,CH4,2150,ais_mean_cm,0.5454366622827111,
L,CH4,2150,ais_median_cm,0.05449907122368458,
L,CH4,2150,ais_smooth_term_cm,0.047919788583545245,P(smooth)*E[d|smooth]
L,CH4,2150,ais_premium_cm,0.4975168736991657,P(fired)*E[d|fired]
L,CH4,2150,ais_cond_mean_fired_cm,3.9801349895933256,
L,CH4,2150,ais_median_smooth_cm,0.05068860470075487,
L,CH4,2150,total_mean_cm,0.8325606917675018,
L,CH4,2150,total_median_cm,0.33276140010809385,
L,CH4,2150,n_cross_both,250.0,
L,CH4,2150,mean_dn_years_int,0.4875,what the annual step charges
L,CH4,2150,mean_dtime_above_yr,0.4891119572829068,what a sub-annual solver would charge
L,CH4,2150,quantization_bias_yr,-0.0016119572829068063,
L,CH4,2150,quantization_bias_ratio,0.9967043183898805,
L,CH4,2150,sd_dn_years_int,1.8208518612864608,
L,CH4,2150,sd_dtime_above_yr,1.8146947530311734,
L,CH4,2150,mean_dt_firstcross_yr,2.6509971368841296,entry side only; understates on peak-and-decline
L,CH4,2300,n_draws,2000.0,
L,CH4,2300,n_bifurcation,8.0,"never crosses at base, crosses under pulse"
L,CH4,2300,n_quantization,243.0,"crosses in both, integer year count differs"
L,CH4,2300,p_fired,0.1255,
L,CH4,2300,ais_mean_cm,0.6198123181665365,
L,CH4,2300,ais_median_cm,0.06273230975032984,
L,CH4,2300,ais_smooth_term_cm,0.054901188037419835,P(smooth)*E[d|smooth]
L,CH4,2300,ais_premium_cm,0.5649111301291166,P(fired)*E[d|fired]
L,CH4,2300,ais_cond_mean_fired_cm,4.501283905411288,
L,CH4,2300,ais_median_smooth_cm,0.05759132207471218,
L,CH4,2300,total_mean_cm,0.7937682033851527,
L,CH4,2300,total_median_cm,0.23185534509863714,
L,CH4,2300,n_cross_both,250.0,
L,CH4,2300,mean_dn_years_int,0.5785,what the annual step charges
L,CH4,2300,mean_dtime_above_yr,0.5832030892455995,what a sub-annual solver would charge
L,CH4,2300,quantization_bias_yr,-0.004703089245599479,
L,CH4,2300,quantization_bias_ratio,0.9919357607455696,
L,CH4,2300,sd_dn_years_int,1.9921902923868833,
L,CH4,2300,sd_dtime_above_yr,1.9912305032903521,
L,CH4,2300,mean_dt_firstcross_yr,2.6509971368841296,entry side only; understates on peak-and-decline
LN,CO2,2100,n_draws,2000.0,
LN,CO2,2100,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
LN,CO2,2100,n_quantization,93.0,"crosses in both, integer year count differs"
LN,CO2,2100,p_fired,0.047,
LN,CO2,2100,ais_mean_cm,0.07765516820538264,
LN,CO2,2100,ais_median_cm,0.007833393928247112,
LN,CO2,2100,ais_smooth_term_cm,0.007886631613865058,P(smooth)*E[d|smooth]
LN,CO2,2100,ais_premium_cm,0.0697685365915176,P(fired)*E[d|fired]
LN,CO2,2100,ais_cond_mean_fired_cm,1.4844369487556937,
LN,CO2,2100,ais_median_smooth_cm,0.007635412507622785,
LN,CO2,2100,total_mean_cm,0.14740205344210092,
LN,CO2,2100,total_median_cm,0.07538582510322556,
LN,CO2,2100,n_cross_both,260.0,
LN,CO2,2100,mean_dn_years_int,0.069,what the annual step charges
LN,CO2,2100,mean_dtime_above_yr,0.0752617618433764,what a sub-annual solver would charge
LN,CO2,2100,quantization_bias_yr,-0.006261761843376401,
LN,CO2,2100,quantization_bias_ratio,0.9168002224501807,
LN,CO2,2100,sd_dn_years_int,0.3889918473807188,
LN,CO2,2100,sd_dtime_above_yr,0.3668197393913206,
LN,CO2,2100,mean_dt_firstcross_yr,0.35400306060849274,entry side only; understates on peak-and-decline
LN,CO2,2150,n_draws,2000.0,
LN,CO2,2150,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
LN,CO2,2150,n_quantization,153.0,"crosses in both, integer year count differs"
LN,CO2,2150,p_fired,0.077,
LN,CO2,2150,ais_mean_cm,0.12387008084484497,
LN,CO2,2150,ais_median_cm,0.012953332904531045,
LN,CO2,2150,ais_smooth_term_cm,0.012563155253325308,P(smooth)*E[d|smooth]
LN,CO2,2150,ais_premium_cm,0.11130692559151964,P(fired)*E[d|fired]
LN,CO2,2150,ais_cond_mean_fired_cm,1.4455444882015538,
LN,CO2,2150,ais_median_smooth_cm,0.01243224024224343,
LN,CO2,2150,total_mean_cm,0.21572771354854178,
LN,CO2,2150,total_median_cm,0.10222430841561803,
LN,CO2,2150,n_cross_both,260.0,
LN,CO2,2150,mean_dn_years_int,0.111,what the annual step charges
LN,CO2,2150,mean_dtime_above_yr,0.11587034067893341,what a sub-annual solver would charge
LN,CO2,2150,quantization_bias_yr,-0.00487034067893341,
LN,CO2,2150,quantization_bias_ratio,0.9579673223501716,
LN,CO2,2150,sd_dn_years_int,0.4666775052935093,
LN,CO2,2150,sd_dtime_above_yr,0.43312723625178656,
LN,CO2,2150,mean_dt_firstcross_yr,0.35400306060849274,entry side only; understates on peak-and-decline
LN,CO2,2300,n_draws,2000.0,
LN,CO2,2300,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
LN,CO2,2300,n_quantization,167.0,"crosses in both, integer year count differs"
LN,CO2,2300,p_fired,0.084,
LN,CO2,2300,ais_mean_cm,0.14354662865196308,
LN,CO2,2300,ais_median_cm,0.029515955457764864,
LN,CO2,2300,ais_smooth_term_cm,0.02641011804655817,P(smooth)*E[d|smooth]
LN,CO2,2300,ais_premium_cm,0.11713651060540493,P(fired)*E[d|fired]
LN,CO2,2300,ais_cond_mean_fired_cm,1.3944822691119634,
LN,CO2,2300,ais_median_smooth_cm,0.02782016224945849,
LN,CO2,2300,total_mean_cm,0.26013797319334947,
LN,CO2,2300,total_median_cm,0.1416719161252189,
LN,CO2,2300,n_cross_both,260.0,
LN,CO2,2300,mean_dn_years_int,0.12,what the annual step charges
LN,CO2,2300,mean_dtime_above_yr,0.12726323832672407,what a sub-annual solver would charge
LN,CO2,2300,quantization_bias_yr,-0.00726323832672407,
LN,CO2,2300,quantization_bias_ratio,0.9429274437597046,
LN,CO2,2300,sd_dn_years_int,0.4782408986887141,
LN,CO2,2300,sd_dtime_above_yr,0.44098990184371467,
LN,CO2,2300,mean_dt_firstcross_yr,0.35400306060849274,entry side only; understates on peak-and-decline
LN,CH4,2100,n_draws,2000.0,
LN,CH4,2100,n_bifurcation,11.0,"never crosses at base, crosses under pulse"
LN,CH4,2100,n_quantization,254.0,"crosses in both, integer year count differs"
LN,CH4,2100,p_fired,0.1325,
LN,CH4,2100,ais_mean_cm,0.5406008946419834,
LN,CH4,2100,ais_median_cm,0.051014411002525684,
LN,CH4,2100,ais_smooth_term_cm,0.04358301184551942,P(smooth)*E[d|smooth]
LN,CH4,2100,ais_premium_cm,0.4970178827964641,P(fired)*E[d|fired]
LN,CH4,2100,ais_cond_mean_fired_cm,3.7510783607280307,
LN,CH4,2100,ais_median_smooth_cm,0.047045618539454104,
LN,CH4,2100,total_mean_cm,0.9254089709217863,
LN,CH4,2100,total_median_cm,0.42538440503268404,
LN,CH4,2100,n_cross_both,260.0,
LN,CH4,2100,mean_dn_years_int,0.489,what the annual step charges
LN,CH4,2100,mean_dtime_above_yr,0.4909348389272397,what a sub-annual solver would charge
LN,CH4,2100,quantization_bias_yr,-0.0019348389272397237,
LN,CH4,2100,quantization_bias_ratio,0.996058868155563,
LN,CH4,2100,sd_dn_years_int,1.731582567795873,
LN,CH4,2100,sd_dtime_above_yr,1.727518063673843,
LN,CH4,2100,mean_dt_firstcross_yr,2.5654048906907696,entry side only; understates on peak-and-decline
LN,CH4,2150,n_draws,2000.0,
LN,CH4,2150,n_bifurcation,11.0,"never crosses at base, crosses under pulse"
LN,CH4,2150,n_quantization,255.0,"crosses in both, integer year count differs"
LN,CH4,2150,p_fired,0.133,
LN,CH4,2150,ais_mean_cm,0.6222410243465315,
LN,CH4,2150,ais_median_cm,0.0570800702675065,
LN,CH4,2150,ais_smooth_term_cm,0.04922035723471337,P(smooth)*E[d|smooth]
LN,CH4,2150,ais_premium_cm,0.5730206671118182,P(fired)*E[d|fired]
LN,CH4,2150,ais_cond_mean_fired_cm,4.308426068509911,
LN,CH4,2150,ais_median_smooth_cm,0.05280551947671164,
LN,CH4,2150,total_mean_cm,0.9292408472700397,
LN,CH4,2150,total_median_cm,0.3553960833003096,
LN,CH4,2150,n_cross_both,260.0,
LN,CH4,2150,mean_dn_years_int,0.5725,what the annual step charges
LN,CH4,2150,mean_dtime_above_yr,0.5742703010548104,what a sub-annual solver would charge
LN,CH4,2150,quantization_bias_yr,-0.0017703010548103526,
LN,CH4,2150,quantization_bias_ratio,0.9969173034866008,
LN,CH4,2150,sd_dn_years_int,1.9027753485405217,
LN,CH4,2150,sd_dtime_above_yr,1.9042337138907632,
LN,CH4,2150,mean_dt_firstcross_yr,2.5654048906907696,entry side only; understates on peak-and-decline
LN,CH4,2300,n_draws,2000.0,
LN,CH4,2300,n_bifurcation,11.0,"never crosses at base, crosses under pulse"
LN,CH4,2300,n_quantization,257.0,"crosses in both, integer year count differs"
LN,CH4,2300,p_fired,0.134,
LN,CH4,2300,ais_mean_cm,0.6212428513305048,
LN,CH4,2300,ais_median_cm,0.06623580340410307,
LN,CH4,2300,ais_smooth_term_cm,0.05695010437309456,P(smooth)*E[d|smooth]
LN,CH4,2300,ais_premium_cm,0.5642927469574102,P(fired)*E[d|fired]
LN,CH4,2300,ais_cond_mean_fired_cm,4.21113990266724,
LN,CH4,2300,ais_median_smooth_cm,0.059940562608701065,
LN,CH4,2300,total_mean_cm,0.8167038795788846,
LN,CH4,2300,total_median_cm,0.2567333370059046,
LN,CH4,2300,n_cross_both,260.0,
LN,CH4,2300,mean_dn_years_int,0.5875,what the annual step charges
LN,CH4,2300,mean_dtime_above_yr,0.5903207724943987,what a sub-annual solver would charge
LN,CH4,2300,quantization_bias_yr,-0.0028207724943987156,
LN,CH4,2300,quantization_bias_ratio,0.9952216275865077,
LN,CH4,2300,sd_dn_years_int,1.9152487668497415,
LN,CH4,2300,sd_dtime_above_yr,1.9162573867172372,
LN,CH4,2300,mean_dt_firstcross_yr,2.5654048906907696,entry side only; understates on peak-and-decline
ML,CO2,2100,n_draws,2000.0,
ML,CO2,2100,n_bifurcation,3.0,"never crosses at base, crosses under pulse"
ML,CO2,2100,n_quantization,160.0,"crosses in both, integer year count differs"
ML,CO2,2100,p_fired,0.0815,
ML,CO2,2100,ais_mean_cm,0.11012752707328002,
ML,CO2,2100,ais_median_cm,0.008528918063249069,
ML,CO2,2100,ais_smooth_term_cm,0.008207138179438097,P(smooth)*E[d|smooth]
ML,CO2,2100,ais_premium_cm,0.10192038889384192,P(fired)*E[d|fired]
ML,CO2,2100,ais_cond_mean_fired_cm,1.2505569189428456,
ML,CO2,2100,ais_median_smooth_cm,0.008066746205281916,
ML,CO2,2100,total_mean_cm,0.17849928115050737,
ML,CO2,2100,total_median_cm,0.07525018671151429,
ML,CO2,2100,n_cross_both,632.0,
ML,CO2,2100,mean_dn_years_int,0.098,what the annual step charges
ML,CO2,2100,mean_dtime_above_yr,0.09759244597529826,what a sub-annual solver would charge
ML,CO2,2100,quantization_bias_yr,0.00040755402470174507,
ML,CO2,2100,quantization_bias_ratio,1.0041760816693222,
ML,CO2,2100,sd_dn_years_int,0.385318355541958,
ML,CO2,2100,sd_dtime_above_yr,0.2852314008678027,
ML,CO2,2100,mean_dt_firstcross_yr,0.2825049442897334,entry side only; understates on peak-and-decline
ML,CO2,2150,n_draws,2000.0,
ML,CO2,2150,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
ML,CO2,2150,n_quantization,249.0,"crosses in both, integer year count differs"
ML,CO2,2150,p_fired,0.125,
ML,CO2,2150,ais_mean_cm,0.18916736612793303,
ML,CO2,2150,ais_median_cm,0.01496658923066363,
ML,CO2,2150,ais_smooth_term_cm,0.013805187962974527,P(smooth)*E[d|smooth]
ML,CO2,2150,ais_premium_cm,0.17536217816495847,P(fired)*E[d|fired]
ML,CO2,2150,ais_cond_mean_fired_cm,1.4028974253196678,
ML,CO2,2150,ais_median_smooth_cm,0.013774327864529923,
ML,CO2,2150,total_mean_cm,0.2777282769167526,
ML,CO2,2150,total_median_cm,0.10190910245320595,
ML,CO2,2150,n_cross_both,642.0,
ML,CO2,2150,mean_dn_years_int,0.1745,what the annual step charges
ML,CO2,2150,mean_dtime_above_yr,0.1767505944193368,what a sub-annual solver would charge
ML,CO2,2150,quantization_bias_yr,-0.00225059441933681,
ML,CO2,2150,quantization_bias_ratio,0.9872668353578641,
ML,CO2,2150,sd_dn_years_int,0.5569603688111152,
ML,CO2,2150,sd_dtime_above_yr,0.4711128801780563,
ML,CO2,2150,mean_dt_firstcross_yr,0.30161284579797826,entry side only; understates on peak-and-decline
ML,CO2,2300,n_draws,2000.0,
ML,CO2,2300,n_bifurcation,1.0,"never crosses at base, crosses under pulse"
ML,CO2,2300,n_quantization,379.0,"crosses in both, integer year count differs"
ML,CO2,2300,p_fired,0.19,
ML,CO2,2300,ais_mean_cm,0.28346863330803446,
ML,CO2,2300,ais_median_cm,0.03625873023502191,
ML,CO2,2300,ais_smooth_term_cm,0.026765173634624474,P(smooth)*E[d|smooth]
ML,CO2,2300,ais_premium_cm,0.2567034596734099,P(fired)*E[d|fired]
ML,CO2,2300,ais_cond_mean_fired_cm,1.3510708403863678,
ML,CO2,2300,ais_median_smooth_cm,0.03241868420949512,
ML,CO2,2300,total_mean_cm,0.40289447164247244,
ML,CO2,2300,total_median_cm,0.15367250097144236,
ML,CO2,2300,n_cross_both,642.0,
ML,CO2,2300,mean_dn_years_int,0.2625,what the annual step charges
ML,CO2,2300,mean_dtime_above_yr,0.26049389021096386,what a sub-annual solver would charge
ML,CO2,2300,quantization_bias_yr,0.002006109789036148,
ML,CO2,2300,quantization_bias_ratio,1.00770117789485,
ML,CO2,2300,sd_dn_years_int,0.6424952529591462,
ML,CO2,2300,sd_dtime_above_yr,0.5311365869235743,
ML,CO2,2300,mean_dt_firstcross_yr,0.30161284579797826,entry side only; understates on peak-and-decline
ML,CH4,2100,n_draws,2000.0,
ML,CH4,2100,n_bifurcation,16.0,"never crosses at base, crosses under pulse"
ML,CH4,2100,n_quantization,619.0,"crosses in both, integer year count differs"
ML,CH4,2100,p_fired,0.3175,
ML,CH4,2100,ais_mean_cm,0.6345543240457489,
ML,CH4,2100,ais_median_cm,0.06021434323197328,
ML,CH4,2100,ais_smooth_term_cm,0.03429045480724141,P(smooth)*E[d|smooth]
ML,CH4,2100,ais_premium_cm,0.6002638692385074,P(fired)*E[d|fired]
ML,CH4,2100,ais_cond_mean_fired_cm,1.8905948637433303,
ML,CH4,2100,ais_median_smooth_cm,0.04748363689950352,
