ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvM,glaciers,2100,fixed,2000,10.20353495450442,10.23202702772363,7.978188818735177,12.587775214383946,4.609586395648769,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2150,joint,2000,34.07584217879376,34.62484405758373,22.71512453970367,48.14086281745296,25.425738277749293,4.245310204840701,0.9798854163627215,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2300,fixed,2000,62.781567385882816,62.51056841969001,56.71941663874179,67.53188855613998,10.812471917398184,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2300,joint,2000,60.830254468307686,62.506699227370554,36.85802109427198,93.32493652554193,56.466915431269946,5.222387245270888,0.9689190155833238,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2100,fixed,2000,59.549716611516686,64.94612159415738,46.26405608215193,102.16515448110869,55.901098398956755,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2100,joint,2000,56.99359188987928,65.53039484253063,38.76510264258673,115.84887994577062,77.0837773031839,1.3789313539610601,0.9570757869712002,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2150,fixed,2000,133.05416551845974,135.17752965079578,79.73166489186453,196.67153417055343,116.9398692786889,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2150,joint,2000,128.2918101436012,130.91445170992935,63.587308559063075,217.7470187202441,154.15971016118104,1.3182818752241847,0.9642073936107034,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2300,fixed,2000,338.8248251310395,342.4838471768056,229.0758736115556,465.5919583028285,236.5160846912729,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,total,2300,joint,2000,332.7441997281971,330.4393879812129,116.73846023359178,521.4222889133313,404.68382867973946,1.7110203274672748,0.982053778377984,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
