name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.5559317624751398,0.9793381322811112,1.630380602994341,1.0199674552617686,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.04953572780882254,0.44031118929536683,0.9248765503651343,0.4581193844011389,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,1.568205035436637,1.9076113750069523,2.228676916789895,1.903222257119802,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-0.7828072510741517,-0.5571725911726721,-0.36604322009523793,-0.5633583673404488,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.14868086005429504,0.1669095934780633,0.18521405854321046,0.1669762477352787,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.03904646430489182,0.067774250666391,0.09593743104904581,0.06769345542066306,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.1960786616314187,0.7338806949450265,2.4769352817329127,0.9572847699826474,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-3.191361139483871,-0.11230286491679414,0.7177204370877336,-0.5358242110474724,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-2.994122661508157,-2.7788010157446648,-2.5644892696000463,-2.77962732967027,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.09065353707394411,0.13167256878380115,0.17740985918417443,0.13252010563232253,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.11476452034692372,0.17269255335252615,0.2894879964468221,0.18343187031473163,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-3.87973116042132,-2.738447478920746,-0.9696760824001237,-2.632309400213342,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-3.6943145669781883,-3.4802937856041094,-3.259339650857206,-3.479058363692163,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.12079313997235137,0.15098903450538825,0.18339163384170612,0.15138129520991783,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.24911800495925368,0.3339207287725233,0.4593651834279656,0.3416064348332716,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-2.206037978105108,-1.5222821498277928,-0.9100776656258645,-1.5355603467614896,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-2.7657245235131427,-2.6103460183919487,-2.454376082354209,-2.609716297981697,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.5985224098767928,0.7286490487205288,0.8601888680443596,0.7286593665795659,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,2.078434390682883,2.6347269951291263,3.1994321493317583,2.6343160744982406,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,1.3475139616780991,1.4702508659445606,1.6603359098499773,1.481917116504041,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,20.962286299255652,33.13809965137213,40.76012114107939,32.333928362672324,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.00905465164706448,0.21070079628430582,0.39183565959519,0.20698880558491264,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-0.0513099740313201,0.06813734457077225,0.20215957398472154,0.0705245717828064,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.03305093352327186,0.0547773808620336,0.07718099118644894,0.054860622434755466,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.793857245873007,1.076497632993091,1.3739404125385783,1.0797954578566895,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,8.297514490026844,10.894777156770328,13.139264520138216,10.827736748278776,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,748.7651030800353,779.7923914646094,810.7368122983281,779.9067405069975,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.00057534107006153,0.0006168581297105,0.000671751101722835,0.0006191736385230868,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.7467008933495736,1.17319169282838,1.647424395972694,1.180633584842472,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-1.7981838688231595,-1.6775875554686235,-1.4763720433365606,-1.6651370836100323,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-22.302004871305975,-15.91730961076556,-8.386787454191108,-15.625603871877125,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,59.73685379747781,95.62919157657133,132.05621722704473,95.63877644830823,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0325870648137172,inf,"half-normal N+(0, 5) cm, FLOORED at 0.03259",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.032673584574300994,0.0336840938987773,0.03736876869394605,0.03418552247548806,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.8699729408048671,0.952919120328543,0.9862806687430278,0.9439556814772779,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.01218980082904636,0.016746032258595202,0.022292863181335793,0.01692108467629204,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.15927105860660506,0.595092177088929,0.9398974445041198,0.5821994131017113,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.02195001544767127,0.025511966997258398,0.029916930584622792,0.025651798931876364,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.8523704602372844,0.959916723316674,0.9878235756856071,0.9449860792201891,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.08959690010734356,0.10118767951863965,0.11473570955142802,0.10156199351283729,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.852452228291152,0.939690070594127,0.9832109606709774,0.9318593250387294,"AR(1) autocorrelation, thermal expansion",–
