ssp,alpha,rho_net,knob,contrast,npv_from,npv_to,d_npv_frac
SSP2-4.5,1.0,0.01,onset,onset 4.69->2.0 K at cell B,4860.782832746706,5874.074480612689,0.2084626453664043
SSP2-4.5,1.0,0.01,structure,reservoir off->cell A,4860.782832746706,4860.782832746706,0.0
SSP2-4.5,1.0,0.01,structure,reservoir off->cell B,4860.782832746706,4860.782832746706,0.0
SSP2-4.5,1.0,0.02,tau,tau 800->2700 at psi=0.125,1503.1725084513346,1503.1725084513346,0.0
SSP2-4.5,1.0,0.02,tau,tau 2200->2718 at psi=0.273,1503.1725084513346,1503.1725084513346,0.0
SSP2-4.5,1.0,0.02,psi,psi 0.125->0.273 at tau=800,1503.1725084513346,1503.1725084513346,0.0
SSP2-4.5,1.0,0.02,onset,onset 4.69->2.0 K at cell A,1503.1725084513346,1604.505853668928,0.06741298463607054
SSP2-4.5,1.0,0.02,onset,onset 4.69->2.0 K at cell B,1503.1725084513346,1732.8707446984922,0.15280896567474322
SSP2-4.5,1.0,0.02,structure,reservoir off->cell A,1503.1725084513346,1503.1725084513346,0.0
SSP2-4.5,1.0,0.02,structure,reservoir off->cell B,1503.1725084513346,1503.1725084513346,0.0
SSP2-4.5,1.0,0.03,tau,tau 800->2700 at psi=0.125,692.0790041723707,692.0790041723707,0.0
SSP2-4.5,1.0,0.03,tau,tau 2200->2718 at psi=0.273,692.0790041723707,692.0790041723707,0.0
SSP2-4.5,1.0,0.03,psi,psi 0.125->0.273 at tau=800,692.0790041723707,692.0790041723707,0.0
SSP2-4.5,1.0,0.03,onset,onset 4.69->2.0 K at cell A,692.0790041723707,723.2617100291412,0.045056569652854435
SSP2-4.5,1.0,0.03,onset,onset 4.69->2.0 K at cell B,692.0790041723707,762.0803589659719,0.10114647947933775
SSP2-4.5,1.0,0.03,structure,reservoir off->cell A,692.0790041723707,692.0790041723707,0.0
SSP2-4.5,1.0,0.03,structure,reservoir off->cell B,692.0790041723707,692.0790041723707,0.0
SSP2-4.5,2.0,0.005,tau,tau 800->2700 at psi=0.125,1254513.988896672,1254513.988896672,0.0
SSP2-4.5,2.0,0.005,tau,tau 2200->2718 at psi=0.273,1254513.988896672,1254513.988896672,0.0
SSP2-4.5,2.0,0.005,psi,psi 0.125->0.273 at tau=800,1254513.988896672,1254513.988896672,0.0
SSP2-4.5,2.0,0.005,onset,onset 4.69->2.0 K at cell A,1254513.988896672,1540087.4469401804,0.22763672670933424
SSP2-4.5,2.0,0.005,onset,onset 4.69->2.0 K at cell B,1254513.988896672,1966717.8951422772,0.5677130048362227
SSP2-4.5,2.0,0.005,structure,reservoir off->cell A,1254513.988896672,1254513.988896672,0.0
SSP2-4.5,2.0,0.005,structure,reservoir off->cell B,1254513.988896672,1254513.988896672,0.0
SSP2-4.5,2.0,0.01,tau,tau 800->2700 at psi=0.125,477470.6479379014,477470.6479379014,0.0
SSP2-4.5,2.0,0.01,tau,tau 2200->2718 at psi=0.273,477470.6479379014,477470.6479379014,0.0
SSP2-4.5,2.0,0.01,psi,psi 0.125->0.273 at tau=800,477470.6479379014,477470.6479379014,0.0
SSP2-4.5,2.0,0.01,onset,onset 4.69->2.0 K at cell A,477470.6479379014,583776.8295782739,0.22264443290804856
SSP2-4.5,2.0,0.01,onset,onset 4.69->2.0 K at cell B,477470.6479379014,741052.7845182216,0.5520384084732285
SSP2-4.5,2.0,0.01,structure,reservoir off->cell A,477470.6479379014,477470.6479379014,0.0
SSP2-4.5,2.0,0.01,structure,reservoir off->cell B,477470.6479379014,477470.6479379014,0.0
SSP2-4.5,2.0,0.02,tau,tau 800->2700 at psi=0.125,91239.16679036968,91239.16679036968,0.0
SSP2-4.5,2.0,0.02,tau,tau 2200->2718 at psi=0.273,91239.16679036968,91239.16679036968,0.0
SSP2-4.5,2.0,0.02,psi,psi 0.125->0.273 at tau=800,91239.16679036968,91239.16679036968,0.0
SSP2-4.5,2.0,0.02,onset,onset 4.69->2.0 K at cell A,91239.16679036968,109412.55475939358,0.19918406325190274
SSP2-4.5,2.0,0.02,onset,onset 4.69->2.0 K at cell B,91239.16679036968,135641.48772307884,0.48665855349959025
SSP2-4.5,2.0,0.02,structure,reservoir off->cell A,91239.16679036968,91239.16679036968,0.0
SSP2-4.5,2.0,0.02,structure,reservoir off->cell B,91239.16679036968,91239.16679036968,0.0
SSP2-4.5,2.0,0.03,tau,tau 800->2700 at psi=0.125,26596.681438719468,26596.681438719468,0.0
SSP2-4.5,2.0,0.03,tau,tau 2200->2718 at psi=0.273,26596.681438719468,26596.681438719468,0.0
SSP2-4.5,2.0,0.03,psi,psi 0.125->0.273 at tau=800,26596.681438719468,26596.681438719468,0.0
SSP2-4.5,2.0,0.03,onset,onset 4.69->2.0 K at cell A,26596.681438719468,30811.5403335675,0.15847311269112083
SSP2-4.5,2.0,0.03,onset,onset 4.69->2.0 K at cell B,26596.681438719468,36723.440628887634,0.3807527346410076
SSP2-4.5,2.0,0.03,structure,reservoir off->cell A,26596.681438719468,26596.681438719468,0.0
SSP2-4.5,2.0,0.03,structure,reservoir off->cell B,26596.681438719468,26596.681438719468,0.0
SSP5-8.5,1.0,0.005,tau,tau 800->2700 at psi=0.125,25506.65815728685,25544.68061003406,0.0014906873535820984
SSP5-8.5,1.0,0.005,tau,tau 2200->2718 at psi=0.273,26473.377060083418,26483.53235856946,0.00038360419462143
SSP5-8.5,1.0,0.005,psi,psi 0.125->0.273 at tau=800,25506.65815728685,26400.283384387414,0.035034978772602185
SSP5-8.5,1.0,0.005,onset,onset 4.69->2.0 K at cell A,25506.65815728685,26152.511855086133,0.0253209845765222
SSP5-8.5,1.0,0.005,onset,onset 4.69->2.0 K at cell B,26483.53235856946,28005.69937074022,0.05747598135934548
SSP5-8.5,1.0,0.005,structure,reservoir off->cell A,24751.907120884345,25506.65815728685,0.030492641747418524
SSP5-8.5,1.0,0.005,structure,reservoir off->cell B,24751.907120884345,26483.53235856946,0.06995926532966269
SSP5-8.5,1.0,0.01,tau,tau 800->2700 at psi=0.125,11580.987946776524,11594.22140991389,0.0011426886201922467
SSP5-8.5,1.0,0.01,tau,tau 2200->2718 at psi=0.273,11952.230896129593,11955.822072402221,0.00030046075112145996
SSP5-8.5,1.0,0.01,psi,psi 0.125->0.273 at tau=800,11580.987946776524,11926.849228566221,0.029864574885941846
SSP5-8.5,1.0,0.01,onset,onset 4.69->2.0 K at cell A,11580.987946776524,11922.485355682848,0.02948776136161825
SSP5-8.5,1.0,0.01,onset,onset 4.69->2.0 K at cell B,11955.822072402221,12748.773460710801,0.06632345174648928
SSP5-8.5,1.0,0.01,structure,reservoir off->cell A,11288.875377697384,11580.987946776524,0.025876144372737542
SSP5-8.5,1.0,0.01,structure,reservoir off->cell B,11288.875377697384,11955.822072402221,0.059079994453874046
SSP5-8.5,1.0,0.02,tau,tau 800->2700 at psi=0.125,3250.7642786512597,3252.6003928187047,0.0005648253795279116
SSP5-8.5,1.0,0.02,tau,tau 2200->2718 at psi=0.273,3315.8740155730375,3316.394944832261,0.00015710164402416127
SSP5-8.5,1.0,0.02,psi,psi 0.125->0.273 at tau=800,3250.7642786512597,3312.3755620434604,0.018952860961596135
SSP5-8.5,1.0,0.02,onset,onset 4.69->2.0 K at cell A,3250.7642786512597,3370.7596754448223,0.03691297999722964
SSP5-8.5,1.0,0.02,onset,onset 4.69->2.0 K at cell B,3316.394944832261,3589.1531925182985,0.08224540569604362
SSP5-8.5,1.0,0.02,structure,reservoir off->cell A,3198.727721732172,3250.7642786512597,0.016267891938895263
SSP5-8.5,1.0,0.02,structure,reservoir off->cell B,3198.727721732172,3316.394944832261,0.03678563270660932
SSP5-8.5,1.0,0.03,tau,tau 800->2700 at psi=0.125,1297.9402423352246,1298.2495780033369,0.00023832812792342134
SSP5-8.5,1.0,0.03,tau,tau 2200->2718 at psi=0.273,1312.0825035819437,1312.1756762330924,7.101127474406198e-05
SSP5-8.5,1.0,0.03,psi,psi 0.125->0.273 at tau=800,1297.9402423352246,1311.4986399549423,0.01044608771458052
SSP5-8.5,1.0,0.03,onset,onset 4.69->2.0 K at cell A,1297.9402423352246,1349.8473741171238,0.03999192727741378
SSP5-8.5,1.0,0.03,onset,onset 4.69->2.0 K at cell B,1312.1756762330924,1428.7585125973444,0.08884697260882805
SSP5-8.5,1.0,0.03,structure,reservoir off->cell A,1286.4888929942467,1297.9402423352246,0.008901242290810142
SSP5-8.5,1.0,0.03,structure,reservoir off->cell B,1286.4888929942467,1312.1756762330924,0.019966579873892908
SSP5-8.5,2.0,0.005,tau,tau 800->2700 at psi=0.125,7481076.677711294,7510476.331971349,0.003929869392683391
SSP5-8.5,2.0,0.005,tau,tau 2200->2718 at psi=0.273,8176705.120365556,8184836.851720498,0.000994499769190413
SSP5-8.5,2.0,0.005,psi,psi 0.125->0.273 at tau=800,7481076.677711294,8117361.964174527,0.08505263531905052
SSP5-8.5,2.0,0.005,onset,onset 4.69->2.0 K at cell A,7481076.677711294,7780883.646534096,0.04007537707988353
SSP5-8.5,2.0,0.005,onset,onset 4.69->2.0 K at cell B,8184836.851720498,8951971.177002603,0.09372628180375389
SSP5-8.5,2.0,0.005,structure,reservoir off->cell A,6965258.679937088,7481076.677711294,0.07405582785603952
SSP5-8.5,2.0,0.005,structure,reservoir off->cell B,6965258.679937088,8184836.851720498,0.17509445489746342
SSP5-8.5,2.0,0.01,tau,tau 800->2700 at psi=0.125,2920790.486107366,2930602.8570217374,0.003359491535268758
SSP5-8.5,2.0,0.01,tau,tau 2200->2718 at psi=0.273,3170910.506104566,3173650.85125014,0.0008642139663980387
SSP5-8.5,2.0,0.01,psi,psi 0.125->0.273 at tau=800,2920790.486107366,3151152.5279097175,0.07886975902518857
SSP5-8.5,2.0,0.01,onset,onset 4.69->2.0 K at cell A,2920790.486107366,3054555.8026138484,0.04579764181742308
SSP5-8.5,2.0,0.01,onset,onset 4.69->2.0 K at cell B,3173650.85125014,3510068.635307924,0.1060034010752206
SSP5-8.5,2.0,0.01,structure,reservoir off->cell A,2733777.391639923,2920790.486107366,0.06840831116657183
SSP5-8.5,2.0,0.01,structure,reservoir off->cell B,2733777.391639923,3173650.85125014,0.160903174104585
SSP5-8.5,2.0,0.02,tau,tau 800->2700 at psi=0.125,561907.4556488639,563135.2335120984,0.0021850179258019187
SSP5-8.5,2.0,0.02,tau,tau 2200->2718 at psi=0.273,599691.8342026384,600044.5966850893,0.0005882395962919279
SSP5-8.5,2.0,0.02,psi,psi 0.125->0.273 at tau=800,561907.4556488639,597236.6038757116,0.06287360644832737
SSP5-8.5,2.0,0.02,onset,onset 4.69->2.0 K at cell A,561907.4556488639,595923.7547258771,0.06053719119589321
SSP5-8.5,2.0,0.02,onset,onset 4.69->2.0 K at cell B,600044.5966850893,682957.4468801322,0.1381778132043685
SSP5-8.5,2.0,0.02,structure,reservoir off->cell A,533126.2095817274,561907.4556488639,0.05398580214189302
SSP5-8.5,2.0,0.02,structure,reservoir off->cell B,533126.2095817274,600044.5966850893,0.1255207226743997
SSP5-8.5,2.0,0.03,tau,tau 800->2700 at psi=0.125,148153.57825480757,148337.02484787267,0.0012382191184717676
SSP5-8.5,2.0,0.03,tau,tau 2200->2718 at psi=0.273,155223.5057005543,155278.4709231357,0.0003541037314763459
SSP5-8.5,2.0,0.03,psi,psi 0.125->0.273 at tau=800,148153.57825480757,154860.26541499022,0.045268479095711786
SSP5-8.5,2.0,0.03,onset,onset 4.69->2.0 K at cell A,148153.57825480757,159425.4365403819,0.07608225476800834
SSP5-8.5,2.0,0.03,onset,onset 4.69->2.0 K at cell B,155278.4709231357,182145.38923919157,0.17302410409074193
SSP5-8.5,2.0,0.03,structure,reservoir off->cell A,142668.50109283294,148153.57825480757,0.03844630818967908
SSP5-8.5,2.0,0.03,structure,reservoir off->cell B,142668.50109283294,155278.4709231357,0.08838650251254533
