name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.5635302204156802,1.025885882728924,1.6898029577771756,1.0597521189620203,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
ais_runoff_Ton,41,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-20.524628278427677,-17.84111660973798,-17.599967287543738,-18.342100797768403,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,42,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,52.96208649256411,80.18560163350978,112.96621990532151,81.12759987508461,Runoff-line slope c,m °C⁻¹
sd_ais,43,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.01119400238705638,0.013940732466039399,0.01710490821437391,0.014018558108226074,"AR(1) innovation sd, Antarctica",cm
rho_ais,44,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.9111646474321218,0.9662494406951276,0.9873871413978691,0.9599735829282119,"AR(1) autocorrelation, Antarctica",–
sd_gsic,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.012200200895265401,0.0166768243115843,0.022306225474669483,0.016904114642571678,"AR(1) innovation sd, glaciers",cm
rho_gsic,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.16417951551765508,0.596063440686502,0.9383365393065786,0.582652742976716,"AR(1) autocorrelation, glaciers",–
sd_gis,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.02196682031235149,0.025503242598080948,0.02979805765777126,0.025646209578919103,"AR(1) innovation sd, Greenland",cm
rho_gis,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.8586374318869348,0.9615697377996131,0.9879080060528317,0.9473353550239688,"AR(1) autocorrelation, Greenland",–
sd_steric,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.08972422703468616,0.1013097884156991,0.11459384198885998,0.10163696854201032,"AR(1) innovation sd, thermal expansion",cm
rho_steric,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.853733780530985,0.9403346825396173,0.9833891152915258,0.932416718182441,"AR(1) autocorrelation, thermal expansion",–
