draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
141,87.18571670290792,0.8879918238732216,-42.37340026982663,-2627.791059704388,-2582.0907514474334,-174.1875805608532,112.82521033392094,0.018800771828627962,0.9899999999627842,2.465047731054426,0.018879757388789182,0.9459912530262037,101.11263077926681,0.026989365113223668,0.985107499580868,3.2591949404698397,0.09439794906780118,0.9899999999726432,219.66208378471202,-167.03871805770282,ladrillo
146,107.43209948929392,7.04563189602402,3.6562777935710358,-546.9032993752606,-428.7692901963717,-165.9015077641524,117.48784517726203,0.016410063027628763,0.9279521664428061,7.04563189602402,1.2210086763401857e-09,0.14466796875000087,101.12690953887777,0.025769626798494528,0.987485947226807,9.917126834774066,0.07309144079408836,0.9899999998580065,235.57751344693787,-165.57865158576942,ladrillo
151,92.51369473828079,0.013382877459292786,58.40000492878728,-619.0298646284658,-468.10278208393845,-167.3095651063856,115.21865505712863,0.014459733415615314,0.9887117023297856,3.981660335357276,0.026050204862928306,0.9871734472123417,100.69145291145351,0.025694262177841196,0.9845864845168345,9.678754412005034,0.07390474906864875,0.989999996017733,229.57052271594443,-165.40958214844696,ladrillo
156,91.24966818157237,-0.9085863718175915,-10.518625682620652,-369.1047283035387,-289.2822721764046,-168.3491715325961,115.693915832923,0.016226183461102005,0.9758473204266807,3.780017808994444,0.02370779772952284,0.9672226588644735,99.37845312974777,0.028647733324593003,0.9853412208476402,10.45088644030426,0.07125651359179201,0.9899999995072422,229.30327321196947,-167.38378044940688,ladrillo
161,20.740841590122827,-0.8014217689818395,-158.52346689366857,-216.4773075044509,-355.0613545769785,-167.61596911270118,109.23913247941486,0.024576248704114016,0.9899999999622198,4.145366174043204,0.02323634104624955,0.9681001490104426,98.34559218380933,0.030509210895998635,0.9890864470454375,10.724355040967211,0.07036528820249445,0.9899999999950393,222.4544458782346,-166.43857005817097,ladrillo
166,113.93856149355388,-9.363011728837364,-21.42162185558361,-1352.1378339852583,-1268.9839060761255,-177.48344621734282,116.60106015927566,0.006716857463477955,0.9894363765929397,2.1713583858928303,0.027392871911350068,0.9728113468073043,99.00584977196185,0.028615391639299683,0.9899999993229192,7.167931981509781,0.08219928391128899,0.9899999995304736,224.94620029864012,-168.2897968328054,ladrillo
171,27.72781583757886,2.601723510642799,-49.69618763054835,-231.20864681936206,-250.57529510168877,-165.4342729871725,110.79610150239596,0.022485541126884685,0.9899999999705246,3.581881074168251,0.021798283034385742,0.9722371084749486,101.41684280116932,0.026678164554792362,0.9843760271399918,10.71675369530223,0.07037890610862096,0.9899999999602866,226.51157907303576,-165.33868520719057,ladrillo
176,62.768242393681575,-19.78228580356108,-129.9306539101937,-772.78858820471,-859.7332855247832,-166.78509280011474,112.2012032101217,0.019648813059450022,0.9899999999855991,-4.61716033091642,0.04643293674873251,0.989999999952244,99.71287653950726,0.028805507944485987,0.9893563257429054,9.15455683445667,0.0758117775644841,0.9896304259119575,216.45147625316923,-166.61420235028092,ladrillo
181,30.12175843101737,1.9771402713770527,-47.408692911779625,-980.3893491446853,-995.6991433540705,-164.37468167451743,110.96483631613215,0.02228868436787834,0.989999999998842,2.3811044851940153,0.01761037201075427,0.9899682043200171,102.13927830646217,0.02548074304116964,0.9899999999497691,8.435265703103397,0.07818077754339832,0.9896939841488275,223.92048481089174,-164.08864202607447,ladrillo
186,81.80548379838815,-8.80852935805649,2.1344094856869162,-970.9096739313555,-895.778310005337,-166.7298312903689,114.34251692248621,0.019263479517182124,0.9670797310241528,-0.5194125592539649,0.03403641588678225,0.9899999999607565,101.49193835276562,0.026000348753703505,0.9836200261505696,8.468103639536167,0.07807828723504623,0.989678734247679,223.78314635553403,-165.7111731786975,ladrillo
