year,dt_glob,secant,slope,model,scenario
2022.5,1.1554102895467508,1.37891073382146,1.3728852868103152,INM-CM4-8,ssp126
2023.5,1.1749726318014193,1.421144991051789,1.4092073849357316,INM-CM4-8,ssp126
2024.5,1.194031174203432,1.3899870457447931,1.377526510453728,INM-CM4-8,ssp126
2025.5,1.2076138852629261,1.391761454377889,1.381328951482869,INM-CM4-8,ssp126
2026.5,1.2186230543485428,1.3520309789861351,1.3424901836591074,INM-CM4-8,ssp126
2027.5,1.2306747061198924,1.4066813310492536,1.393477333448363,INM-CM4-8,ssp126
2028.5,1.2469617203705259,1.3836892756245052,1.3700823726764915,INM-CM4-8,ssp126
2029.5,1.263605885431222,1.4401005890581093,1.4197886450181392,INM-CM4-8,ssp126
2030.5,1.2823544237497402,1.44358838265625,1.429363162067108,INM-CM4-8,ssp126
2031.5,1.300278135310189,1.412877077166452,1.4050705914453974,INM-CM4-8,ssp126
2032.5,1.3163958215843157,1.38520077332296,1.3795014584989953,INM-CM4-8,ssp126
2033.5,1.333095460304535,1.3974799898108157,1.3967524205454538,INM-CM4-8,ssp126
2034.5,1.3489583842927497,1.3596102645305808,1.3636386035183206,INM-CM4-8,ssp126
2035.5,1.3645612459069676,1.3734441053288604,1.382995874749819,INM-CM4-8,ssp126
2036.5,1.3775851154403427,1.3570424508002186,1.3694568802412614,INM-CM4-8,ssp126
2037.5,1.3876877479796594,1.37678273020693,1.3844893460139414,INM-CM4-8,ssp126
2038.5,1.396867594299264,1.4062091877822822,1.4100270496508318,INM-CM4-8,ssp126
2039.5,1.4079061595865956,1.489341340023077,1.4929387485571834,INM-CM4-8,ssp126
2040.5,1.416032129040165,1.4772544023912606,1.4801069378721812,INM-CM4-8,ssp126
2041.5,1.4250746510153078,1.4389121982084856,1.4429504167438556,INM-CM4-8,ssp126
2042.5,1.4390667621921827,1.390022766152742,1.3957976581285005,INM-CM4-8,ssp126
2043.5,1.4499767037683264,1.4296104194491313,1.432132166600324,INM-CM4-8,ssp126
2044.5,1.4595669936417228,1.4393817536044773,1.436337173631395,INM-CM4-8,ssp126
2045.5,1.468490032170314,1.4595343186198741,1.4580569863044974,INM-CM4-8,ssp126
2046.5,1.4774998369450296,1.4679206001107135,1.467767485775597,INM-CM4-8,ssp126
2047.5,1.4838740327255246,1.4908184550788395,1.4874989267043377,INM-CM4-8,ssp126
2048.5,1.4908905062269677,1.5490428039775082,1.5451818282254943,INM-CM4-8,ssp126
2049.5,1.4983372781264714,1.5495254562830327,1.5470256478455067,INM-CM4-8,ssp126
2050.5,1.5051825568500172,1.5562154308153258,1.5546000747319282,INM-CM4-8,ssp126
2051.5,1.5119660215611892,1.5391223779790548,1.5399023645761294,INM-CM4-8,ssp126
2052.5,1.518237495125294,1.5146326694620096,1.5157243308704116,INM-CM4-8,ssp126
2053.5,1.5225067632468778,1.5425149514886831,1.5449532702939806,INM-CM4-8,ssp126
2054.5,1.5232912902132738,1.5562605098598663,1.5585131754008967,INM-CM4-8,ssp126
2055.5,1.527738260839008,1.534040924190145,1.5358786743039694,INM-CM4-8,ssp126
2056.5,1.5375824444539716,1.5493509182368765,1.5459148078136826,INM-CM4-8,ssp126
2057.5,1.5486261521538873,1.5278167759816865,1.5273248027826543,INM-CM4-8,ssp126
2058.5,1.5555390286702087,1.5466554110323854,1.5461631837396366,INM-CM4-8,ssp126
2059.5,1.5617962611237053,1.5301677435418064,1.5301939273862704,INM-CM4-8,ssp126
2060.5,1.5662332210947814,1.541138097498993,1.5422723436207948,INM-CM4-8,ssp126
2061.5,1.5671952176404602,1.5295484312562921,1.5305862358664541,INM-CM4-8,ssp126
2062.5,1.5671704586097273,1.5649975943151049,1.5647264373762815,INM-CM4-8,ssp126
2063.5,1.5655528904918905,1.5769692374629052,1.575697690070015,INM-CM4-8,ssp126
2064.5,1.5662842082776005,1.601403793336698,1.5996235250708946,INM-CM4-8,ssp126
