model,scenario,year,dTg,R
ACCESS-CM2,ssp245,2019,1.1280938070171962,1.1437593083318247
ACCESS-CM2,ssp245,2020,1.1694579713762911,1.1347341581335244
ACCESS-CM2,ssp245,2021,1.2078439198918942,1.1074982368994024
ACCESS-CM2,ssp245,2022,1.2369837202572607,1.0957567601502192
ACCESS-CM2,ssp245,2023,1.2779167418175992,1.098228972809282
ACCESS-CM2,ssp245,2024,1.3215144459214268,1.0833848486172664
ACCESS-CM2,ssp245,2025,1.3653107865070504,1.100642241784716
ACCESS-CM2,ssp245,2026,1.4101460426061068,1.1030526838122772
ACCESS-CM2,ssp245,2027,1.4483308194394984,1.0818930114331726
ACCESS-CM2,ssp245,2028,1.4880270870011012,1.074032565868267
ACCESS-CM2,ssp245,2029,1.5379995971822173,1.0529440815811801
ACCESS-CM2,ssp245,2030,1.5764551367447022,1.049391502474836
ACCESS-CM2,ssp245,2031,1.6165482644064657,1.0448803754465061
ACCESS-CM2,ssp245,2032,1.6595660297571024,1.0531278721924309
ACCESS-CM2,ssp245,2033,1.6998604895740073,1.0474802502960205
ACCESS-CM2,ssp245,2034,1.7398345643760762,1.055008372333103
ACCESS-CM2,ssp245,2035,1.7817527222799925,1.0745167084212948
ACCESS-CM2,ssp245,2036,1.8195076034168267,1.0864066477345684
ACCESS-CM2,ssp245,2037,1.858848842371655,1.072154365497063
ACCESS-CM2,ssp245,2038,1.8928626861617868,1.0692363386113783
ACCESS-CM2,ssp245,2039,1.934842829299392,1.0794442805049673
ACCESS-CM2,ssp245,2040,1.9715102248023149,1.0664783745112953
ACCESS-CM2,ssp245,2041,2.011617757577242,1.0652838925842656
ACCESS-CM2,ssp245,2042,2.0531769115173497,1.0516465465546636
ACCESS-CM2,ssp245,2043,2.086480314993232,1.0386643651762293
ACCESS-CM2,ssp245,2044,2.125084358243758,1.0399950549644605
ACCESS-CM2,ssp245,2045,2.1678792426103333,1.02900972495968
ACCESS-CM2,ssp245,2046,2.2025268707458037,1.0269678178489365
ACCESS-CM2,ssp245,2047,2.239892977662678,1.0270795565452966
ACCESS-CM2,ssp245,2048,2.2866058514543073,1.0206220694235364
ACCESS-CM2,ssp245,2049,2.3222870985793502,1.008948198185034
ACCESS-CM2,ssp245,2050,2.3539855162939016,1.011582693097466
ACCESS-CM2,ssp245,2051,2.3911861961777485,1.012700263941931
ACCESS-CM2,ssp245,2052,2.4316112228662803,1.0043878098003718
ACCESS-CM2,ssp245,2053,2.468541508558559,0.99677017326084
ACCESS-CM2,ssp245,2054,2.501660866503492,0.9983430685611813
ACCESS-CM2,ssp245,2055,2.5397022270911784,0.9989101269981034
ACCESS-CM2,ssp245,2056,2.571923192133357,0.9993282538497152
ACCESS-CM2,ssp245,2057,2.6090092571937284,1.0010731114353022
ACCESS-CM2,ssp245,2058,2.6374645878003,1.0020813592717295
ACCESS-CM2,ssp245,2059,2.6647115718167074,1.0154412415745306
ACCESS-CM2,ssp245,2060,2.6985390197813066,1.0162247900769852
ACCESS-CM2,ssp245,2061,2.7281555331270244,1.0216407745434035
ACCESS-CM2,ssp245,2062,2.75950177716306,1.0219498951636607
ACCESS-CM2,ssp245,2063,2.7842512681689318,1.0220059534102763
ACCESS-CM2,ssp245,2064,2.8043123477709666,1.0232062114527778
ACCESS-CM2,ssp245,2065,2.8353979047233433,1.024564880819427
ACCESS-CM2,ssp245,2066,2.867387211120238,1.0185586356873164
ACCESS-CM2,ssp245,2067,2.89647057898603,1.026185915597948
ACCESS-CM2,ssp245,2068,2.921457481733578,1.0181351584377238
ACCESS-CM2,ssp245,2069,2.9450545941709816,1.0092718952764734
ACCESS-CM2,ssp245,2070,2.9713403695153526,1.0123690649358934
ACCESS-CM2,ssp245,2071,2.99537772118696,1.0063990136978485
ACCESS-CM2,ssp245,2072,3.015331147849264,1.0102220220487685
ACCESS-CM2,ssp245,2073,3.042259171346033,1.016727503314534
ACCESS-CM2,ssp245,2074,3.0625535170140057,1.019556800815343
ACCESS-CM2,ssp245,2075,3.081226469579557,1.0261482195284761
ACCESS-CM2,ssp245,2076,3.1095437223540805,1.0334262974364001
ACCESS-CM2,ssp245,2077,3.132805809347438,1.0360046495229587
ACCESS-CM2,ssp245,2078,3.1504472332216076,1.0439304376815226
ACCESS-CM2,ssp245,2079,3.1738606153751734,1.0483584910294252
ACCESS-CM2,ssp245,2080,3.19692150562308,1.048677004114633
ACCESS-CM2,ssp245,2081,3.2166482676835946,1.0500395847476411
ACCESS-CM2,ssp245,2082,3.2463752821400154,1.0620460624805659
ACCESS-CM2,ssp245,2083,3.2675615415734627,1.0632105661984796
ACCESS-CM2,ssp245,2084,3.2876186027328305,1.0591709277571761
ACCESS-CM2,ssp245,2085,3.3055697995133775,1.0548516120711158
ACCESS-CM2,ssp245,2086,3.3216086949516996,1.0584132025759327
ACCESS-CM2,ssp245,2087,3.327424514096269,1.0668938174068392
ACCESS-CM2,ssp245,2088,3.3366642454440654,1.0684173046682068
ACCESS-CM2,ssp245,2089,3.346812334033022,1.0621487030104444
ACCESS-CM2,ssp245,2090,3.355021730437419,1.0642765881996015
ACCESS-CM2,ssp245,2091,3.363929717326753,1.063480136064823
ACCESS-CM2,ssp245,2092,3.372133040267317,1.068361198006528
ACCESS-CM2,ssp245,2093,3.3852149209009954,1.0688643421314943
ACCESS-CM2,ssp245,2094,3.4055506216349727,1.0705540309516077
ACCESS-CM2,ssp245,2095,3.411514343310763,1.0656014897190536
ACCESS-CM2,ssp245,2096,3.420915130784189,1.0705083463459337
ACCESS-CM2,ssp245,2097,3.428462115381311,1.0716996897016713
ACCESS-CM2,ssp245,2098,3.444330209829881,1.0819432975672172
ACCESS-CM2,ssp245,2099,3.45179965805119,1.0809036812224497
ACCESS-CM2,ssp245,2100,3.4634742285109184,1.0848019949504004
ACCESS-CM2,ssp585,1950,0.16500564129957523,2.0587684278281975
ACCESS-CM2,ssp585,1951,0.15209940511744738,2.122802118094471
ACCESS-CM2,ssp585,1952,0.13794216875948942,2.352532589189928
ACCESS-CM2,ssp585,1953,0.13287613354681488,2.5265729019105962
ACCESS-CM2,ssp585,1954,0.13152748983117704,2.791990300945044
ACCESS-CM2,ssp585,1955,0.1284544361356571,3.060463771612847
ACCESS-CM2,ssp585,1956,0.12402193219795284,3.2831929039241325
ACCESS-CM2,ssp585,1957,0.1136231304587227,3.3569540592732237
ACCESS-CM2,ssp585,1958,0.10934217359094116,3.284921481659294
ACCESS-CM2,ssp585,1959,0.11180549084790907,3.1620580142868713
ACCESS-CM2,ssp585,1960,0.10502462176013788,3.5837240347880623
ACCESS-CM2,ssp585,1961,0.09567810538603491,
ACCESS-CM2,ssp585,1962,0.0925603758622041,
ACCESS-CM2,ssp585,1963,0.09401635222520402,
ACCESS-CM2,ssp585,1964,0.09528309881126802,
ACCESS-CM2,ssp585,1965,0.09800105410126131,
ACCESS-CM2,ssp585,1966,0.10185669049618203,4.030327817024376
ACCESS-CM2,ssp585,1967,0.10461497387460857,3.9130060911158746
ACCESS-CM2,ssp585,1968,0.10406644238716846,3.946607392208893
ACCESS-CM2,ssp585,1969,0.10097539312659667,4.1106000148838175
ACCESS-CM2,ssp585,1970,0.10425561454983191,3.9523716911381883
ACCESS-CM2,ssp585,1971,0.10967989378133894,3.7441983825513985
ACCESS-CM2,ssp585,1972,0.12281007630859904,3.2527053651522175
ACCESS-CM2,ssp585,1973,0.12305394547333132,3.369324007821519
ACCESS-CM2,ssp585,1974,0.12433422933203436,3.441473487748643
ACCESS-CM2,ssp585,1975,0.12829450687316732,3.0613431448114112
ACCESS-CM2,ssp585,1976,0.13367533398529569,3.0517837832208263
ACCESS-CM2,ssp585,1977,0.13823564339029606,2.872504631759114
ACCESS-CM2,ssp585,1978,0.13265221850076994,3.1171234736821707
ACCESS-CM2,ssp585,1979,0.1378397946192706,3.0784759394914083
ACCESS-CM2,ssp585,1980,0.15015648521163788,3.0989312260220356
ACCESS-CM2,ssp585,1981,0.1638768392958582,3.10750125698799
ACCESS-CM2,ssp585,1982,0.18394557752586327,2.9013295603352396
ACCESS-CM2,ssp585,1983,0.19687113762773453,2.723509358073777
ACCESS-CM2,ssp585,1984,0.2060222433428521,2.5353165093450367
ACCESS-CM2,ssp585,1985,0.21878506788708402,2.3593012997839313
ACCESS-CM2,ssp585,1986,0.23857943925441608,2.1883329567218412
ACCESS-CM2,ssp585,1987,0.2558741898641339,2.177310836272617
ACCESS-CM2,ssp585,1988,0.2698881075957369,2.154366316920247
ACCESS-CM2,ssp585,1989,0.2850358436589905,2.153371961294122
ACCESS-CM2,ssp585,1990,0.3011080606459927,1.9687198319170465
ACCESS-CM2,ssp585,1991,0.32090781729377416,1.9195506039707153
ACCESS-CM2,ssp585,1992,0.337914079238639,1.8441465694337515
ACCESS-CM2,ssp585,1993,0.3491422060901243,1.8744547729255507
ACCESS-CM2,ssp585,1994,0.3660524590845853,1.8821798764559707
ACCESS-CM2,ssp585,1995,0.37622246593504466,1.8008225912925027
ACCESS-CM2,ssp585,1996,0.397295553769671,1.7567844428817647
ACCESS-CM2,ssp585,1997,0.42002681670960934,1.6988866140827732
ACCESS-CM2,ssp585,1998,0.4487180148411956,1.6087328550645004
ACCESS-CM2,ssp585,1999,0.47087775068003074,1.6091250241267157
ACCESS-CM2,ssp585,2000,0.4962810003719047,1.5533364737251703
ACCESS-CM2,ssp585,2001,0.5220183252807582,1.5085231594602526
ACCESS-CM2,ssp585,2002,0.5445361797150762,1.4958943147226473
ACCESS-CM2,ssp585,2003,0.5748450487580745,1.4603434583308208
ACCESS-CM2,ssp585,2004,0.613149970827601,1.4032024406567076
ACCESS-CM2,ssp585,2005,0.650705524379445,1.3692196313789189
ACCESS-CM2,ssp585,2006,0.6802747430314431,1.330288939452501
ACCESS-CM2,ssp585,2007,0.7190394045466992,1.332499285421379
ACCESS-CM2,ssp585,2008,0.7615895356401836,1.2713841489411857
ACCESS-CM2,ssp585,2009,0.8080926605023042,1.2526494207074217
ACCESS-CM2,ssp585,2010,0.8459432996387098,1.1977783507180046
ACCESS-CM2,ssp585,2011,0.8855201440384367,1.1581369321872277
ACCESS-CM2,ssp585,2012,0.9199391138899823,1.130400172788905
ACCESS-CM2,ssp585,2013,0.966223782446762,1.102029107201201
ACCESS-CM2,ssp585,2014,1.0091359330330363,1.0923494990285973
ACCESS-CM2,ssp585,2015,1.0433377178792418,1.097405401574278
ACCESS-CM2,ssp585,2016,1.0757979276041094,1.0894460729253463
ACCESS-CM2,ssp585,2017,1.1185622314231352,1.0927496972947677
ACCESS-CM2,ssp585,2018,1.1522534959938373,1.0925118084285026
ACCESS-CM2,ssp585,2019,1.1863933464691305,1.1015248281062506
ACCESS-CM2,ssp585,2020,1.2270153389606548,1.1038049514029966
ACCESS-CM2,ssp585,2021,1.2667126615981317,1.0825903214815038
ACCESS-CM2,ssp585,2022,1.3076191084851359,1.078639231322488
ACCESS-CM2,ssp585,2023,1.3610778887069122,1.0707774265249643
ACCESS-CM2,ssp585,2024,1.4049388329211012,1.052186899190017
ACCESS-CM2,ssp585,2025,1.4481220421392493,1.057049181574657
ACCESS-CM2,ssp585,2026,1.490692507467488,1.0525106777082345
ACCESS-CM2,ssp585,2027,1.532895167558155,1.0352448063091308
ACCESS-CM2,ssp585,2028,1.5698914248419897,1.0279955176576807
ACCESS-CM2,ssp585,2029,1.6224078791587297,1.0224508861237136
ACCESS-CM2,ssp585,2030,1.6659891662209152,1.0228272552441051
ACCESS-CM2,ssp585,2031,1.710071213681774,1.018842656357083
ACCESS-CM2,ssp585,2032,1.7537973873074577,1.0196332855360524
ACCESS-CM2,ssp585,2033,1.797353101598217,1.0240574723034965
ACCESS-CM2,ssp585,2034,1.8358982077718091,1.0330395230527003
ACCESS-CM2,ssp585,2035,1.8739714921201747,1.0423369216321228
ACCESS-CM2,ssp585,2036,1.9200090023241425,1.0307057063215417
ACCESS-CM2,ssp585,2037,1.955461476305559,1.0177664429633781
ACCESS-CM2,ssp585,2038,2.003618571601432,1.0248824004787007
ACCESS-CM2,ssp585,2039,2.0527131574759476,1.0244518229912687
ACCESS-CM2,ssp585,2040,2.1020358044311576,1.0239403681774035
ACCESS-CM2,ssp585,2041,2.149423558238857,1.01767028027786
ACCESS-CM2,ssp585,2042,2.2016569526034573,1.023596239688808
ACCESS-CM2,ssp585,2043,2.2480547489779044,1.0222711389229258
ACCESS-CM2,ssp585,2044,2.303733807192814,1.027530704881847
ACCESS-CM2,ssp585,2045,2.3631611913676864,1.0232103784776607
ACCESS-CM2,ssp585,2046,2.418694955570561,1.0247726422941579
ACCESS-CM2,ssp585,2047,2.4716808118430396,1.0127956031803331
ACCESS-CM2,ssp585,2048,2.5347291617931544,1.0137317583173353
ACCESS-CM2,ssp585,2049,2.593614688088669,1.0021756258053374
ACCESS-CM2,ssp585,2050,2.656323299834156,1.0043784529285047
ACCESS-CM2,ssp585,2051,2.710514154302994,1.0023371317260668
ACCESS-CM2,ssp585,2052,2.767153859203906,0.9966293493967492
ACCESS-CM2,ssp585,2053,2.823998459155077,0.9946146419725305
ACCESS-CM2,ssp585,2054,2.88102080575138,0.9986896798029482
ACCESS-CM2,ssp585,2055,2.95109437333878,1.0045129679114109
ACCESS-CM2,ssp585,2056,3.0166755016427316,1.0023034708862428
ACCESS-CM2,ssp585,2057,3.0859952773054564,1.0043728442718627
ACCESS-CM2,ssp585,2058,3.1520096008953393,1.0120685309640651
ACCESS-CM2,ssp585,2059,3.213556403343224,1.0095055510930377
ACCESS-CM2,ssp585,2060,3.280221423496154,1.0085612147576448
ACCESS-CM2,ssp585,2061,3.346437423493319,1.0141801539579094
ACCESS-CM2,ssp585,2062,3.4118049988379844,1.0204553831444525
ACCESS-CM2,ssp585,2063,3.476031290407129,1.0203596729240574
ACCESS-CM2,ssp585,2064,3.538410531598517,1.0205140351721405
ACCESS-CM2,ssp585,2065,3.6019846391134935,1.0180955913130394
ACCESS-CM2,ssp585,2066,3.667572171551922,1.0266716353126157
ACCESS-CM2,ssp585,2067,3.73776973757399,1.0438113645640188
ACCESS-CM2,ssp585,2068,3.809160902981927,1.046890834045819
ACCESS-CM2,ssp585,2069,3.8683919270904594,1.0507864055417369
ACCESS-CM2,ssp585,2070,3.941784364451259,1.0541703729918444
ACCESS-CM2,ssp585,2071,4.016338146128354,1.0604972725677484
ACCESS-CM2,ssp585,2072,4.0837940791456235,1.0575751724361095
ACCESS-CM2,ssp585,2073,4.154300345510664,1.0578778314476238
ACCESS-CM2,ssp585,2074,4.218448073826713,1.056255598315881
ACCESS-CM2,ssp585,2075,4.281478523046938,1.056091776460929
ACCESS-CM2,ssp585,2076,4.351508860129587,1.0602418342605446
ACCESS-CM2,ssp585,2077,4.42098939423119,1.0652319366240275
ACCESS-CM2,ssp585,2078,4.491590488278283,1.0652677446468153
ACCESS-CM2,ssp585,2079,4.560172280759377,1.0709944494413797
ACCESS-CM2,ssp585,2080,4.63143219751571,1.0750638619318644
ACCESS-CM2,ssp585,2081,4.711986036823417,1.0751490252572689
ACCESS-CM2,ssp585,2082,4.791213640973785,1.0775920321036094
ACCESS-CM2,ssp585,2083,4.861737518672953,1.0787315551694814
ACCESS-CM2,ssp585,2084,4.9425591793157135,1.0761687813076195
ACCESS-CM2,ssp585,2085,5.0165327922087135,1.0753925068991492
ACCESS-CM2,ssp585,2086,5.0906779953596315,1.0760824738640768
ACCESS-CM2,ssp585,2087,5.119994555353134,1.0816214703123912
ACCESS-CM2,ssp585,2088,5.155905735275594,1.0793088752939173
ACCESS-CM2,ssp585,2089,5.192495624339309,1.0808267669925355
ACCESS-CM2,ssp585,2090,5.227889009192372,1.0832848733762404
ACCESS-CM2,ssp585,2091,5.261561229064207,1.0829847867240812
ACCESS-CM2,ssp585,2092,5.298379818861686,1.0794160366176195
ACCESS-CM2,ssp585,2093,5.341612839740406,1.0775299733484587
ACCESS-CM2,ssp585,2094,5.3871805703374545,1.0763270050527372
ACCESS-CM2,ssp585,2095,5.429025217952588,1.0789781427401166
ACCESS-CM2,ssp585,2096,5.4669737513561305,1.0797519905552664
ACCESS-CM2,ssp585,2097,5.507161805382964,1.069294930028392
ACCESS-CM2,ssp585,2098,5.543554585331005,1.0652629886545792
ACCESS-CM2,ssp585,2099,5.590140824343547,1.063017194947405
ACCESS-CM2,ssp585,2100,5.623436782248579,1.061533401899113
ACCESS-ESM1-5,ssp245,1950,0.0592054841508741,
ACCESS-ESM1-5,ssp245,1951,0.04648264051862725,
ACCESS-ESM1-5,ssp245,1952,0.03452660691779481,
ACCESS-ESM1-5,ssp245,1953,0.02983349494931531,
ACCESS-ESM1-5,ssp245,1954,0.026924583906009047,
ACCESS-ESM1-5,ssp245,1955,0.026504978089987693,
ACCESS-ESM1-5,ssp245,1956,0.025658704048006107,
ACCESS-ESM1-5,ssp245,1957,0.026825768661351883,
ACCESS-ESM1-5,ssp245,1958,0.030727675728627446,
ACCESS-ESM1-5,ssp245,1959,0.02656623392465652,
ACCESS-ESM1-5,ssp245,1960,0.02425574089951965,
ACCESS-ESM1-5,ssp245,1961,0.020139961636527915,
ACCESS-ESM1-5,ssp245,1962,0.011816305775776451,
ACCESS-ESM1-5,ssp245,1963,0.008679218118847606,
ACCESS-ESM1-5,ssp245,1964,0.012056307818733103,
ACCESS-ESM1-5,ssp245,1965,0.006080068525047485,
ACCESS-ESM1-5,ssp245,1966,0.0012258412948331929,
ACCESS-ESM1-5,ssp245,1967,0.004082278471220964,
ACCESS-ESM1-5,ssp245,1968,0.004952591436242907,
ACCESS-ESM1-5,ssp245,1969,0.00573851872150802,
ACCESS-ESM1-5,ssp245,1970,0.011336762295227724,
ACCESS-ESM1-5,ssp245,1971,0.01908176126465643,
ACCESS-ESM1-5,ssp245,1972,0.033983891421695486,
ACCESS-ESM1-5,ssp245,1973,0.050068468956474516,
ACCESS-ESM1-5,ssp245,1974,0.06074265737196546,
ACCESS-ESM1-5,ssp245,1975,0.07946908884879349,
ACCESS-ESM1-5,ssp245,1976,0.0913062687296133,
ACCESS-ESM1-5,ssp245,1977,0.09880349792484064,
ACCESS-ESM1-5,ssp245,1978,0.10994728753083981,3.76810277516583
ACCESS-ESM1-5,ssp245,1979,0.11536465596948536,3.462589120529595
ACCESS-ESM1-5,ssp245,1980,0.1232782158032478,3.281945111458665
ACCESS-ESM1-5,ssp245,1981,0.14126927554675034,2.9891053302468595
ACCESS-ESM1-5,ssp245,1982,0.1549168790108259,2.6226844759543035
ACCESS-ESM1-5,ssp245,1983,0.1672267536826098,2.1790237731926494
ACCESS-ESM1-5,ssp245,1984,0.18654094334187904,1.977196468133108
ACCESS-ESM1-5,ssp245,1985,0.19819941146140535,1.8732644569765275
ACCESS-ESM1-5,ssp245,1986,0.215075302714979,1.827361188314319
ACCESS-ESM1-5,ssp245,1987,0.2370012491207452,1.6558534813749022
ACCESS-ESM1-5,ssp245,1988,0.2536513009005887,1.682662391190152
ACCESS-ESM1-5,ssp245,1989,0.2830982435382111,1.5895110988164076
ACCESS-ESM1-5,ssp245,1990,0.3103313473478958,1.546861273654179
ACCESS-ESM1-5,ssp245,1991,0.33828302119619785,1.3768133151154658
ACCESS-ESM1-5,ssp245,1992,0.3692417750468621,1.3292316255252596
ACCESS-ESM1-5,ssp245,1993,0.39324010392254916,1.231651646548683
ACCESS-ESM1-5,ssp245,1994,0.40613947805666156,1.1703371614314446
ACCESS-ESM1-5,ssp245,1995,0.42760268385098166,1.106271665302971
ACCESS-ESM1-5,ssp245,1996,0.455464494129086,1.102276983314137
ACCESS-ESM1-5,ssp245,1997,0.4816332173055343,1.0640128556888964
ACCESS-ESM1-5,ssp245,1998,0.5062812600320437,1.049700764921122
ACCESS-ESM1-5,ssp245,1999,0.540364515417419,1.0397827395508905
ACCESS-ESM1-5,ssp245,2000,0.5760927542714247,1.0596692327115056
ACCESS-ESM1-5,ssp245,2001,0.6059905306749859,1.052186863900174
ACCESS-ESM1-5,ssp245,2002,0.6393423759791744,1.0700746681990179
ACCESS-ESM1-5,ssp245,2003,0.664657661410242,1.0917052428222085
ACCESS-ESM1-5,ssp245,2004,0.6944168989056417,1.067751544142867
ACCESS-ESM1-5,ssp245,2005,0.7271584254882043,1.0211099505609533
ACCESS-ESM1-5,ssp245,2006,0.7596011774122132,0.9709047081205693
ACCESS-ESM1-5,ssp245,2007,0.7887443987605575,0.9457711271128884
ACCESS-ESM1-5,ssp245,2008,0.8208625576604864,0.9023338963481581
ACCESS-ESM1-5,ssp245,2009,0.8594397312262174,0.9549409367529671
ACCESS-ESM1-5,ssp245,2010,0.8985666556805881,0.9755395917822647
ACCESS-ESM1-5,ssp245,2011,0.9364969343724074,0.9906805614806926
ACCESS-ESM1-5,ssp245,2012,0.9746590679294835,1.0168488443731076
ACCESS-ESM1-5,ssp245,2013,1.0185298305236983,1.0443907107078403
ACCESS-ESM1-5,ssp245,2014,1.0557297310503089,1.0273545041085663
ACCESS-ESM1-5,ssp245,2015,1.0967078282299705,1.0194232250423845
ACCESS-ESM1-5,ssp245,2016,1.1290194771508064,0.9725816902148553
ACCESS-ESM1-5,ssp245,2017,1.159803066511184,0.9778380824751539
ACCESS-ESM1-5,ssp245,2018,1.1942683027835244,0.9484122085716646
ACCESS-ESM1-5,ssp245,2019,1.2145593238033257,0.931958638179651
ACCESS-ESM1-5,ssp245,2020,1.2309565107145848,0.9369293173011981
ACCESS-ESM1-5,ssp245,2021,1.2569476287649763,0.949409928198654
ACCESS-ESM1-5,ssp245,2022,1.2861331875534119,0.9425165513072308
ACCESS-ESM1-5,ssp245,2023,1.3142495343585778,0.9334052344508077
ACCESS-ESM1-5,ssp245,2024,1.351045193323599,0.9322206049943238
ACCESS-ESM1-5,ssp245,2025,1.3880527822127797,0.936689379425518
ACCESS-ESM1-5,ssp245,2026,1.4231297833245737,0.9572807490756801
ACCESS-ESM1-5,ssp245,2027,1.4511390674265348,0.9576876294967308
ACCESS-ESM1-5,ssp245,2028,1.4844164536811604,0.9553508589271148
ACCESS-ESM1-5,ssp245,2029,1.5107390494165487,0.9461751457074303
ACCESS-ESM1-5,ssp245,2030,1.533108847088939,0.9124821303568571
ACCESS-ESM1-5,ssp245,2031,1.5627602974892019,0.9253042326728912
ACCESS-ESM1-5,ssp245,2032,1.5890034593735076,0.9372498325508128
ACCESS-ESM1-5,ssp245,2033,1.6167744073758645,0.9138033453578854
ACCESS-ESM1-5,ssp245,2034,1.6480595192368221,0.9166463348854774
ACCESS-ESM1-5,ssp245,2035,1.6783052741422524,0.912101545144065
ACCESS-ESM1-5,ssp245,2036,1.7025339571580427,0.9030557304690994
ACCESS-ESM1-5,ssp245,2037,1.7344392045587314,0.9036966795407344
ACCESS-ESM1-5,ssp245,2038,1.7684884361489595,0.9001398792540943
ACCESS-ESM1-5,ssp245,2039,1.7963304002727303,0.8957617616760124
ACCESS-ESM1-5,ssp245,2040,1.827453340877516,0.8808660359080785
ACCESS-ESM1-5,ssp245,2041,1.859815736654582,0.8639515558828094
