year,ssp_label,calib,weighting,p05,p50,p95
2100,SSP1-1.9,v2.0.0,unweighted,31.078394235118147,35.83740600675747,41.88444804214904
2100,SSP1-1.9,v2.0.0,dangendorf,31.192809764823913,35.83963821684407,42.08155142211844
2000,SSP1-1.9,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP1-1.9,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP1-1.9,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP1-1.9,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP1-1.9,new,unweighted,1.8629619488349678,5.482967807251795,6.57995040168559
2020,SSP1-1.9,new,dangendorf,1.7999030800664477,5.4643593767347065,6.612482718624263
2030,SSP1-1.9,new,unweighted,4.181081830744052,10.073888766443407,12.036579096890518
2030,SSP1-1.9,new,dangendorf,4.0625120556820065,10.051926033502824,12.071788805030495
2040,SSP1-1.9,new,unweighted,6.399318695479966,14.567729134708625,17.456938006827844
2040,SSP1-1.9,new,dangendorf,6.305964731793673,14.57147993894528,17.52267327384411
2050,SSP1-1.9,new,unweighted,8.441875369570305,18.86206863708098,22.727900189574036
2050,SSP1-1.9,new,dangendorf,8.31028725867724,18.878381120954764,22.82227610093247
2060,SSP1-1.9,new,unweighted,10.218808917914027,22.840237379629826,27.773405325386474
2060,SSP1-1.9,new,dangendorf,10.01200713015219,22.875349225488385,27.842437187506626
2070,SSP1-1.9,new,unweighted,11.700472917632737,26.578997684349858,32.47194296335085
2070,SSP1-1.9,new,dangendorf,11.497731300419222,26.646028752613006,32.55888134795704
2080,SSP1-1.9,new,unweighted,12.889394132769747,30.028327760656975,36.85912558713332
2080,SSP1-1.9,new,dangendorf,12.673635724466825,30.08662296390428,36.95575228964791
2090,SSP1-1.9,new,unweighted,13.961728064504292,33.30321690647534,41.07400551784979
2090,SSP1-1.9,new,dangendorf,13.707407801732868,33.354380182837424,41.15876660295459
2100,SSP1-1.9,new,unweighted,14.737544368984274,36.30596770544781,44.97399462562555
2100,SSP1-1.9,new,dangendorf,14.496513230241876,36.36031335027457,45.066321982121266
2000,SSP1-2.6,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP1-2.6,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP1-2.6,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP1-2.6,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP1-2.6,v2.0.0,unweighted,4.619665576873938,5.331698617219782,6.19298369032738
2020,SSP1-2.6,v2.0.0,dangendorf,4.6406324514948025,5.3354646422256184,6.224962104856366
2030,SSP1-2.6,v2.0.0,unweighted,8.377415147638771,9.664739607806606,11.238447650388855
2030,SSP1-2.6,v2.0.0,dangendorf,8.427041096915616,9.678168357001905,11.3197865672784
2040,SSP1-2.6,v2.0.0,unweighted,12.226164302674881,14.131838795798085,16.52203399078841
2040,SSP1-2.6,v2.0.0,dangendorf,12.284733646184145,14.167189669535773,16.596766562458768
2050,SSP1-2.6,v2.0.0,unweighted,16.086976610539228,18.68638914970756,22.393018414110408
2050,SSP1-2.6,v2.0.0,dangendorf,16.171710449268538,18.72100169433063,22.315399749549968
2060,SSP1-2.6,v2.0.0,unweighted,19.9180531211776,23.16533236343148,29.217812162319845
2060,SSP1-2.6,v2.0.0,dangendorf,20.00539090715727,23.203470933673877,29.10832946912215
2070,SSP1-2.6,v2.0.0,unweighted,23.654342368361142,27.560446736563485,39.15145452648331
2070,SSP1-2.6,v2.0.0,dangendorf,23.767172607813457,27.62235954414477,35.93021562849808
2080,SSP1-2.6,v2.0.0,unweighted,27.127590384162986,31.67631306704364,51.693863601826045
2080,SSP1-2.6,v2.0.0,dangendorf,27.240087418094006,31.73813518194638,45.75813264786913
2090,SSP1-2.6,v2.0.0,unweighted,30.4273804856826,35.552381776380116,61.85835748591242
2090,SSP1-2.6,v2.0.0,dangendorf,30.512568066738492,35.5913775225445,54.295259426172606
2100,SSP1-2.6,v2.0.0,unweighted,33.59474368823204,39.25917500117767,68.40962223870174
2100,SSP1-2.6,v2.0.0,dangendorf,33.65323066614394,39.289864392298604,58.458961255951614
2000,SSP1-2.6,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP1-2.6,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP1-2.6,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP1-2.6,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP1-2.6,new,unweighted,1.866042457806761,5.486057737941147,6.582960277132437
2020,SSP1-2.6,new,dangendorf,1.8029310857501535,5.467415835379977,6.61544231429132
2030,SSP1-2.6,new,unweighted,4.090695177861367,9.984100418710431,11.946282816670525
2030,SSP1-2.6,new,dangendorf,3.9755601751392726,9.963494355497232,11.978465246581955
2040,SSP1-2.6,new,unweighted,6.470271454324552,14.645951722138086,17.553065128980975
2040,SSP1-2.6,new,dangendorf,6.374125843780441,14.651368684526183,17.626674976892026
2050,SSP1-2.6,new,unweighted,8.994043008313877,19.37350918863779,24.064626306605994
2050,SSP1-2.6,new,dangendorf,8.887768718480817,19.389143215030284,23.58679152823659
2060,SSP1-2.6,new,unweighted,11.524777037291184,24.0139972182001,31.740968128052717
2060,SSP1-2.6,new,dangendorf,11.339602037287268,24.037527092464206,30.04835015271825
2070,SSP1-2.6,new,unweighted,13.750047779102202,28.55265531700622,40.325648027452736
2070,SSP1-2.6,new,dangendorf,13.643712478861383,28.57562905807444,37.49364262162349
2080,SSP1-2.6,new,unweighted,15.729684685732014,32.736768355784065,51.082115848505644
2080,SSP1-2.6,new,dangendorf,15.455391850905297,32.768219235127596,46.27822724349164
2090,SSP1-2.6,new,unweighted,17.42655518717,36.610711765152814,60.8750912088333
2090,SSP1-2.6,new,dangendorf,16.971458742501554,36.659026518447554,53.447131499887135
2100,SSP1-2.6,new,unweighted,18.867908191518968,40.26503387235192,67.1431499406459
2100,SSP1-2.6,new,dangendorf,18.294989209340432,40.30442589697414,59.00003605453551
2000,SSP2-4.5,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP2-4.5,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP2-4.5,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP2-4.5,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP2-4.5,v2.0.0,unweighted,4.5675549649068685,5.2776185481053055,6.135227253803869
2020,SSP2-4.5,v2.0.0,dangendorf,4.588501933775785,5.28133786514193,6.168111125588885
2030,SSP2-4.5,v2.0.0,unweighted,8.35821117419844,9.62053162798512,11.166200069629276
2030,SSP2-4.5,v2.0.0,dangendorf,8.39986083276596,9.631787730869961,11.236051582979162
2040,SSP2-4.5,v2.0.0,unweighted,12.255660791585182,14.128133288512634,16.469201086059115
2040,SSP2-4.5,v2.0.0,dangendorf,12.315957284278904,14.16653227016273,16.537702320229293
2050,SSP2-4.5,v2.0.0,unweighted,16.5564282214712,19.211579089012606,23.486296492647902
2050,SSP2-4.5,v2.0.0,dangendorf,16.61452588397327,19.24304043657089,23.572911059327616
2060,SSP2-4.5,v2.0.0,unweighted,21.21936742042912,25.201579516735748,37.59209257633628
2060,SSP2-4.5,v2.0.0,dangendorf,21.218597798780703,25.29832151814787,36.252600313544285
2070,SSP2-4.5,v2.0.0,unweighted,26.18043402146181,32.68557076045411,54.63514589702257
2070,SSP2-4.5,v2.0.0,dangendorf,26.12619514638016,32.64257214543084,52.28860815027615
2080,SSP2-4.5,v2.0.0,unweighted,31.365607749695243,43.913870613019704,72.56529488477565
2080,SSP2-4.5,v2.0.0,dangendorf,31.720173201403146,43.09131451622317,70.10559441467623
2090,SSP2-4.5,v2.0.0,unweighted,36.94938240148428,57.13001191227555,91.53911675587216
2090,SSP2-4.5,v2.0.0,dangendorf,37.399526844796696,56.594987155836584,88.2155382077222
2100,SSP2-4.5,v2.0.0,unweighted,42.94382293793849,70.70825847003027,110.51564145320101
2100,SSP2-4.5,v2.0.0,dangendorf,43.327544132375785,70.14748188606144,106.61720900794577
2000,SSP2-4.5,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP2-4.5,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP2-4.5,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP2-4.5,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP2-4.5,new,unweighted,1.8112347655699939,5.431186826545356,6.527852338678622
2020,SSP2-4.5,new,dangendorf,1.7478943191800682,5.412497953960502,6.560110723947648
2030,SSP2-4.5,new,unweighted,4.0346169149111635,9.927889366626308,11.88022586210498
2030,SSP2-4.5,new,dangendorf,3.9195892404975203,9.90558396842894,11.921965914349203
2040,SSP2-4.5,new,unweighted,6.446519037283059,14.620111784943276,17.508622466783798
2040,SSP2-4.5,new,dangendorf,6.344367812482352,14.62799067198981,17.581117437518106
2050,SSP2-4.5,new,unweighted,9.585899757234873,19.90762047742718,25.130928458987004
2050,SSP2-4.5,new,dangendorf,9.349874562552342,19.900119200207033,24.32930205676151
2060,SSP2-4.5,new,unweighted,13.48756336318517,26.061853518370125,38.64189981573728
2060,SSP2-4.5,new,dangendorf,14.229276523505433,26.125721603726284,37.35523086258139
2070,SSP2-4.5,new,unweighted,18.592177935284486,33.55187349784718,55.55505458538049
2070,SSP2-4.5,new,dangendorf,19.20795959968847,32.905219675672214,53.811088710619856
2080,SSP2-4.5,new,unweighted,24.872546954019697,44.03601121155874,73.74459894513353
2080,SSP2-4.5,new,dangendorf,24.35535345167861,43.68435283049622,71.72096401494466
2090,SSP2-4.5,new,unweighted,32.18752018600371,57.346049201605126,92.73154243746949
2090,SSP2-4.5,new,dangendorf,32.19705979442216,56.64516449344001,91.35070374083377
2100,SSP2-4.5,new,unweighted,39.37619941326311,71.10461997393958,112.29267941464566
2100,SSP2-4.5,new,dangendorf,39.515361556035614,71.35168808054358,111.34540835920559
2000,SSP4-6.0,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP4-6.0,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP4-6.0,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP4-6.0,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP4-6.0,v2.0.0,unweighted,4.546392858882072,5.2524819802644895,6.104365657636574
2020,SSP4-6.0,v2.0.0,dangendorf,4.567681346674821,5.256322376547959,6.136310301020528
2030,SSP4-6.0,v2.0.0,unweighted,8.06150574298169,9.308473744578151,10.832641162155978
2030,SSP4-6.0,v2.0.0,dangendorf,8.099536286604453,9.319286661385123,10.893596239153853
2040,SSP4-6.0,v2.0.0,unweighted,11.967928269902853,13.835728413627741,16.16913675861661
2040,SSP4-6.0,v2.0.0,dangendorf,12.026951853245501,13.87260294647828,16.23857965671726
2050,SSP4-6.0,v2.0.0,unweighted,16.277679346215834,18.990410709464435,23.545969100849515
2050,SSP4-6.0,v2.0.0,dangendorf,16.360247872025894,19.024471617815607,23.580972743707562
2060,SSP4-6.0,v2.0.0,unweighted,21.149942189020237,25.568892709259636,38.89451269726224
2060,SSP4-6.0,v2.0.0,dangendorf,21.09539935393256,25.45926534380814,37.383146021324706
2070,SSP4-6.0,v2.0.0,unweighted,26.763513434777213,35.8207677167876,56.909329261721716
2070,SSP4-6.0,v2.0.0,dangendorf,27.140834590329977,35.473398863664855,55.19632679444426
2080,SSP4-6.0,v2.0.0,unweighted,33.36299817244705,49.76394666046801,76.17854510147556
2080,SSP4-6.0,v2.0.0,dangendorf,33.791423008049875,49.507749014220316,74.05461049208105
2090,SSP4-6.0,v2.0.0,unweighted,41.96793834543189,64.63278232319867,96.13771305429383
2090,SSP4-6.0,v2.0.0,dangendorf,43.044462589407054,64.42233933940284,93.77059488007221
2100,SSP4-6.0,v2.0.0,unweighted,53.424855712928775,79.58750591547249,116.85527248159335
2100,SSP4-6.0,v2.0.0,dangendorf,53.896106258094136,79.56498143461077,114.33525783241312
2000,SSP4-6.0,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP4-6.0,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP4-6.0,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP4-6.0,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP4-6.0,new,unweighted,1.7840678695014607,5.403709262825515,6.500007556385211
2020,SSP4-6.0,new,dangendorf,1.7203050402584603,5.385202807838479,6.531924410349227
2030,SSP4-6.0,new,unweighted,3.7150924852044045,9.605644511942112,11.549230907800244
2030,SSP4-6.0,new,dangendorf,3.594978411843086,9.584725294279917,11.586421338329478
2040,SSP4-6.0,new,unweighted,6.139746804059147,14.317392795338694,17.199928472308148
2040,SSP4-6.0,new,dangendorf,6.040334960009658,14.326027159952314,17.26883535729897
2050,SSP4-6.0,new,unweighted,9.392165805679308,19.692540331735202,25.214339205902153
2050,SSP4-6.0,new,dangendorf,9.077308374811272,19.80206388303798,24.3646447942932
2060,SSP4-6.0,new,unweighted,13.834740731022428,26.414754057711214,39.83326830126778
2060,SSP4-6.0,new,dangendorf,14.311051304834594,26.410265733968885,38.51935584349882
2070,SSP4-6.0,new,unweighted,20.343003260689763,36.20302251763066,58.084244597169935
2070,SSP4-6.0,new,dangendorf,20.377459965307253,35.72539962349862,56.78550179358177
2080,SSP4-6.0,new,unweighted,29.079649554210427,50.28072756110355,77.5584591458422
2080,SSP4-6.0,new,dangendorf,29.089704596538464,50.501591563203164,77.10094592961076
2090,SSP4-6.0,new,unweighted,39.18968387079068,65.096578513205,98.36792354925541
2090,SSP4-6.0,new,dangendorf,38.69444644911931,65.7636363954235,98.02760362877476
2100,SSP4-6.0,new,unweighted,49.89235086327138,80.1568703513742,119.1017615546747
2100,SSP4-6.0,new,dangendorf,50.41795551087374,80.38241346162879,117.99019881636193
2000,SSP3-7.0,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP3-7.0,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP3-7.0,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP3-7.0,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP3-7.0,v2.0.0,unweighted,4.5738145006177335,5.277833668637713,6.127769729951896
2020,SSP3-7.0,v2.0.0,dangendorf,4.594945607249656,5.281391773900099,6.158313404913648
2030,SSP3-7.0,v2.0.0,unweighted,8.14275911116826,9.37747124462312,10.880628020955298
2030,SSP3-7.0,v2.0.0,dangendorf,8.178400128045531,9.39136090034327,10.945815056862362
2040,SSP3-7.0,v2.0.0,unweighted,12.031369294062,13.86507504424335,16.155322266342775
2040,SSP3-7.0,v2.0.0,dangendorf,12.090338905500342,13.895621769070235,16.22753023572809
2050,SSP3-7.0,v2.0.0,unweighted,16.334749490747182,18.965870723146196,23.08025427348941
2050,SSP3-7.0,v2.0.0,dangendorf,16.396802349949812,19.00007365937395,23.077670836206053
2060,SSP3-7.0,v2.0.0,unweighted,21.25995578953866,25.51933469593052,37.74279296001224
2060,SSP3-7.0,v2.0.0,dangendorf,21.198908764305465,25.449213298953076,36.30375548696037
2070,SSP3-7.0,v2.0.0,unweighted,27.183773689636833,36.24636130462842,55.903365523436634
2070,SSP3-7.0,v2.0.0,dangendorf,27.491289890900568,35.99464027618765,54.2208293458352
2080,SSP3-7.0,v2.0.0,unweighted,35.066737735996064,51.0242515497724,75.55787478013114
2080,SSP3-7.0,v2.0.0,dangendorf,35.53889994756845,50.91682550532654,73.58861724285397
2090,SSP3-7.0,v2.0.0,unweighted,47.41750863404786,66.83854559025698,96.73519958127007
2090,SSP3-7.0,v2.0.0,dangendorf,48.06917721789712,66.95227793395165,94.44494084207446
2100,SSP3-7.0,v2.0.0,unweighted,60.96951564923855,83.34156847472224,118.7820124502359
2100,SSP3-7.0,v2.0.0,dangendorf,61.93132289810652,83.33520752838781,116.27170631937078
2000,SSP3-7.0,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP3-7.0,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP3-7.0,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP3-7.0,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP3-7.0,new,unweighted,1.8085071052067858,5.428150085055613,6.523758539100266
2020,SSP3-7.0,new,dangendorf,1.744531745197836,5.409565254748277,6.555845390406145
2030,SSP3-7.0,new,unweighted,3.7773363830373796,9.66831127803021,11.602778060499928
2030,SSP3-7.0,new,dangendorf,3.65778175228981,9.64741486546509,11.640327502488745
2040,SSP3-7.0,new,unweighted,6.157280508714331,14.329268368454956,17.179580268614213
2040,SSP3-7.0,new,dangendorf,6.042665297652648,14.331330871980668,17.241091595998267
2050,SSP3-7.0,new,unweighted,9.276682664807698,19.63174853189403,24.63856044855617
2050,SSP3-7.0,new,dangendorf,9.054692286857932,19.62782107294681,23.980505746136103
2060,SSP3-7.0,new,unweighted,13.768149508106735,26.340017228138088,38.756302414648154
2060,SSP3-7.0,new,dangendorf,14.38403454976505,26.337379575024578,37.458463454022585
2070,SSP3-7.0,new,unweighted,20.945919797888106,36.662236883183496,56.99960763023183
2070,SSP3-7.0,new,dangendorf,21.046494184349395,36.289897369581894,55.69877162175174
2080,SSP3-7.0,new,unweighted,30.97385505275492,51.51761330274665,77.16839111110221
2080,SSP3-7.0,new,dangendorf,31.022076481708304,52.04939877836618,76.38352746050629
2090,SSP3-7.0,new,unweighted,43.480289200164115,67.60847274441714,99.10642411683884
2090,SSP3-7.0,new,dangendorf,43.41784948971526,67.87364422564892,97.66954330691182
2100,SSP3-7.0,new,unweighted,57.03523907259477,84.31943259885993,121.67190614936155
2100,SSP3-7.0,new,dangendorf,57.505939209927284,84.63747176616167,119.71293463953825
2000,SSP5-8.5,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP5-8.5,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP5-8.5,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP5-8.5,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP5-8.5,v2.0.0,unweighted,4.60763447754876,5.321392063957827,6.184685896831141
2020,SSP5-8.5,v2.0.0,dangendorf,4.628583879508557,5.324665340511759,6.216341293086941
2030,SSP5-8.5,v2.0.0,unweighted,8.380435531366727,9.691343071685658,11.29161820657551
2030,SSP5-8.5,v2.0.0,dangendorf,8.432651856748713,9.701282894577123,11.364808635981898
2040,SSP5-8.5,v2.0.0,unweighted,12.70862645013527,14.773237697283648,17.65932495196519
2040,SSP5-8.5,v2.0.0,dangendorf,12.76210134125927,14.804919133324407,17.562657577367283
2050,SSP5-8.5,v2.0.0,unweighted,17.901827731776308,21.606480036760864,31.289412557582462
2050,SSP5-8.5,v2.0.0,dangendorf,17.852017309517155,21.52809019225508,30.36872597950502
2060,SSP5-8.5,v2.0.0,unweighted,24.66159207601132,34.06799232124948,50.32269724777767
2060,SSP5-8.5,v2.0.0,dangendorf,24.981890534652585,33.79611541431945,48.94257134615548
2070,SSP5-8.5,v2.0.0,unweighted,35.480533326530065,49.975346224354865,71.44356300199689
2070,SSP5-8.5,v2.0.0,dangendorf,35.778900958599344,49.88761282954856,69.89738307733855
2080,SSP5-8.5,v2.0.0,unweighted,49.61216193956041,67.04975275211352,94.2599908430144
2080,SSP5-8.5,v2.0.0,dangendorf,50.381414524193445,66.95129899244819,92.08098303046923
2090,SSP5-8.5,v2.0.0,unweighted,63.35176333192367,84.71603922890216,117.75809476526767
2090,SSP5-8.5,v2.0.0,dangendorf,63.71904427489468,84.59073189243334,115.46041016644759
2100,SSP5-8.5,v2.0.0,unweighted,77.24846544858582,103.24848845706879,142.7415129902336
2100,SSP5-8.5,v2.0.0,dangendorf,77.43298549681657,102.92644310171985,140.29181247614056
2000,SSP5-8.5,new,unweighted,-1.7902887891979755,-1.4802615790250022,-0.42382068652960253
2000,SSP5-8.5,new,dangendorf,-1.7867624850858799,-1.4795359416883092,-0.41817122141172003
2010,SSP5-8.5,new,unweighted,0.42971121056425476,1.7340823522654703,2.0917980174448747
2010,SSP5-8.5,new,dangendorf,0.41604402435981847,1.7222117895288325,2.091094943455374
2020,SSP5-8.5,new,unweighted,1.856162343222983,5.476105061462825,6.5733089932242095
2020,SSP5-8.5,new,dangendorf,1.7931787041924414,5.457559395549555,6.605881141519649
2030,SSP5-8.5,new,unweighted,4.125433030664371,10.02046707166106,11.986704220301847
2030,SSP5-8.5,new,dangendorf,4.008634944185441,9.99923147991778,12.02495789917509
2040,SSP5-8.5,new,unweighted,7.199825939495277,15.331788398194796,18.748878103695784
2040,SSP5-8.5,new,dangendorf,7.045831353195286,15.335185761062714,18.498840683054635
2050,SSP5-8.5,new,unweighted,12.021950960351294,22.324396153099315,32.32668635545151
2050,SSP5-8.5,new,dangendorf,12.42253225701835,22.34978048129592,31.235374104923334
2060,SSP5-8.5,new,unweighted,20.721677435258023,34.66583501373813,51.54685992696819
2060,SSP5-8.5,new,dangendorf,20.918056695595705,34.70051837409302,51.17919654746015
2070,SSP5-8.5,new,unweighted,32.57513781634578,50.81342039597442,73.3374983647663
2070,SSP5-8.5,new,dangendorf,32.78074483078506,51.14022825408184,72.67350586649934
2080,SSP5-8.5,new,unweighted,46.87027720537984,68.1044512197393,96.59493581485258
2080,SSP5-8.5,new,dangendorf,47.10581815992988,68.26996049649642,95.67974076975977
2090,SSP5-8.5,new,unweighted,61.12189894008629,86.35737800526923,120.91348693488834
2090,SSP5-8.5,new,dangendorf,61.940134459547735,86.36228158793391,120.02137702556422
2100,SSP5-8.5,new,unweighted,75.64364393597263,105.57211866103813,146.4880203016382
2100,SSP5-8.5,new,dangendorf,76.2838929646048,105.60530639388656,145.8487156023855
